Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.5642381820419802,25,12,25Mg
2,0.9370737593044178,25,12,25Mg
3,1.2608041466967472,25,12,25Mg
4,1.5562704870468718,25,12,25Mg
5,1.8323544208649711,25,12,25Mg
6,2.0939144480013523,25,12,25Mg
7,2.3439832187323493,25,12,25Mg
7,2.5846181315021797,25,12,25Mg
9,2.8172979903182833,25,12,25Mg
10,3.0431319612649967,25,12,25Mg
11,3.262979656429107,25,12,25Mg
12,3.477524821786121,25,12,25Mg
12,3.6873229379454253,25,12,25Mg
13,3.892833268700291,25,12,25Mg
15,4.094441187379246,25,12,25Mg
16,4.292474181892406,25,12,25Mg
17,4.487213611290522,25,12,25Mg
17,4.678903524951302,25,12,25Mg
18,4.867757400524838,25,12,25Mg
20,5.0539633753283475,25,12,25Mg
21,5.237688366409516,25,12,25Mg
21,5.419081356951428,25,12,25Mg
22,5.598276047858897,25,12,25Mg
23,5.775393019366943,25,12,25Mg
25,5.950541509815085,25,12,25Mg
26,6.12382089195951,25,12,25Mg
27,6.295321907884331,25,12,25Mg
28,6.46512770944466,25,12,25Mg
29,6.633314740702162,25,12,25Mg
29,6.799953490958274,25,12,25Mg
30,6.965109141032552,25,12,25Mg
32,7.128842120868387,25,12,25Mg
33,7.2912085930172985,25,12,25Mg
34,7.4522608737972895,25,12,25Mg
35,7.612047801752572,25,12,25Mg
36,7.770615061322801,25,12,25Mg
37,7.928005468256913,25,12,25Mg
37,8.084259222202606,25,12,25Mg
38,8.239414131009186,25,12,25Mg
39,8.393505810553984,25,12,25Mg
40,8.546567863307256,25,12,25Mg
42,8.698632038360017,25,12,25Mg
42,8.849728375233944,25,12,25Mg
44,8.999885333455055,25,12,25Mg
45,9.149129909591304,25,12,25Mg
46,9.297487743218174,25,12,25Mg
47,9.444983213076982,25,12,25Mg
47,9.591639524522666,25,12,25Mg
48,9.737478789214732,25,12,25Mg
49,9.882522097883362,25,12,25Mg
50,10.02678958689869,25,12,25Mg
52,10.17030049928184,25,12,25Mg
52,10.313073240719643,25,12,25Mg
54,10.45512543107854,25,12,25Mg
55,10.596473951855838,25,12,25Mg
56,10.737134989956642,25,12,25Mg
57,10.877124078141296,25,12,25Mg
58,11.016456132450662,25,12,25Mg
59,11.155145486882857,25,12,25Mg
60,11.293205925566689,25,12,25Mg
61,11.430650712650968,25,12,25Mg
62,11.567492620106544,25,12,25Mg
63,11.703743953618334,25,12,25Mg
63,11.839416576726455,25,12,25Mg
64,11.974521933360432,25,12,25Mg
66,12.109071068896677,25,12,25Mg
67,12.243074649856446,25,12,25Mg
68,12.376542982351525,25,12,25Mg
68,12.50948602937407,25,12,25Mg
70,12.641913427018846,25,12,25Mg
70,12.773834499718136,25,12,25Mg
72,12.905258274562366,25,12,25Mg
73,13.036193494773208,25,12,25Mg
74,13.1666486323904,25,12,25Mg
75,13.296631900227881,25,12,25Mg
76,13.426151263150732,25,12,25Mg
77,13.55521444871985,25,12,25Mg
77,13.683828957247476,25,12,25Mg
78,13.812002071303379,25,12,25Mg
79,13.939740864708273,25,12,25Mg
81,14.06705221104817,25,12,25Mg
82,14.19394279174072,25,12,25Mg
83,14.320419103682395,25,12,25Mg
83,14.446487466502937,25,12,25Mg
84,14.572154029451895,25,12,25Mg
85,14.6974247779397,25,12,25Mg
86,14.822305539754655,25,12,25Mg
88,14.946801990975429,25,12,25Mg
89,15.070919661597014,25,12,25Mg
90,15.194663940887533,25,12,25Mg
91,15.318040082491066,25,12,25Mg
92,15.441053209291647,25,12,25Mg
92,15.563708318051908,25,12,25Mg
93,15.686010283839073,25,12,25Mg
95,15.807963864250238,25,12,25Mg
96,15.929573703448117,25,12,25Mg
96,16.0508443360176,25,12,25Mg
98,16.171780190652868,25,12,25Mg
99,16.29238559368392,25,12,25Mg
100,16.412664772451613,25,12,25Mg
101,16.53262185853848,25,12,25Mg
101,16.652260890863435,25,12,25Mg
102,16.771585818647033,25,12,25Mg
103,16.890600504254007,25,12,25Mg
105,17.009308725919315,25,12,25Mg
106,17.127714180363515,25,12,25Mg
107,17.245820485302914,25,12,25Mg
108,17.363631181859766,25,12,25Mg
109,17.48114973687727,25,12,25Mg
109,17.59837954514413,25,12,25Mg
111,17.71532393153271,25,12,25Mg
111,17.831986153055265,25,12,25Mg
112,17.948369400841806,25,12,25Mg
114,18.06447680204336,25,12,25Mg
115,18.18031142166398,25,12,25Mg
116,18.295876264325,25,12,25Mg
117,18.41117427596429,25,12,25Mg
118,18.52620834547368,25,12,25Mg
118,18.640981306277155,25,12,25Mg
119,18.755495937852622,25,12,25Mg
121,18.86975496719939,25,12,25Mg
122,18.98376107025422,25,12,25Mg
123,19.09751687325766,25,12,25Mg
124,19.211024954073153,25,12,25Mg
124,19.324287843460663,25,12,25Mg
126,19.43730802630706,25,12,25Mg
126,19.5500879428146,25,12,25Mg
127,19.662629989649744,25,12,25Mg
128,19.774936521053572,25,12,25Mg
130,19.88700984991551,25,12,25Mg
131,19.998852248811865,25,12,25Mg
132,20.110465951010607,25,12,25Mg
133,20.22185315144359,25,12,25Mg
134,20.333016007647647,25,12,25Mg
135,20.44395664067575,25,12,25Mg
135,20.554677135979375,25,12,25Mg
136,20.665179544263225,25,12,25Mg
138,20.775465882313334,25,12,25Mg
138,20.88553813379954,25,12,25Mg
140,20.995398250053483,25,12,25Mg
140,21.105048150822643,25,12,25Mg
141,21.214489725001886,25,12,25Mg
143,21.323724831342876,25,12,25Mg
144,21.432755299142162,25,12,25Mg
144,21.54158292890938,25,12,25Mg
146,21.650209493015222,25,12,25Mg
146,21.758636736320895,25,12,25Mg
148,21.86686637678921,25,12,25Mg
149,21.974900106077875,25,12,25Mg
150,22.082739590116134,25,12,25Mg
150,22.190386469664702,25,12,25Mg
152,22.29784236086021,25,12,25Mg
153,22.405108855743958,25,12,25Mg
154,22.512187522776347,25,12,25Mg
154,22.61907990733683,25,12,25Mg
156,22.725787532210138,25,12,25Mg
156,22.832311898059217,25,12,25Mg
158,22.93865448388549,25,12,25Mg
158,23.044816747476254,25,12,25Mg
159,23.150800125840696,25,12,25Mg
160,23.25660603563371,25,12,25Mg
161,23.362235873568874,25,12,25Mg
162,23.467691016820343,25,12,25Mg
164,23.57297282341436,25,12,25Mg
165,23.67808263261047,25,12,25Mg
165,23.78302176527295,25,12,25Mg
167,23.88779152423275,25,12,25Mg
168,23.992393194640027,25,12,25Mg
168,24.096828044307884,25,12,25Mg
170,24.20109732404738,25,12,25Mg
170,24.305202267994044,25,12,25Mg
171,24.409144093926557,25,12,25Mg
173,24.51292400357701,25,12,25Mg
174,24.61654318293403,25,12,25Mg
175,24.720002802538197,25,12,25Mg
176,24.823304017770294,25,12,25Mg
177,24.926447969132653,25,12,25Mg
178,25.02943578252356,25,12,25Mg
179,25.132268569505385,25,12,25Mg
179,25.234947427565967,25,12,25Mg
181,25.337473440373994,25,12,25Mg
181,25.439847678028425,25,12,25Mg
182,25.542071197301897,25,12,25Mg
183,25.644145041878634,25,12,25Mg
184,25.746070242586637,25,12,25Mg
186,25.847847817624732,25,12,25Mg
187,25.949478772784296,25,12,25Mg
188,26.050964101665876,25,12,25Mg
189,26.152304785891126,25,12,25Mg
189,26.253501795309603,25,12,25Mg
191,26.35455608820128,25,12,25Mg
192,26.455468611474274,25,12,25Mg
193,26.556240300858313,25,12,25Mg
193,26.656872081093905,25,12,25Mg
194,26.757364866117324,25,12,25Mg
195,26.857719559241552,25,12,25Mg
197,26.957937053333364,25,12,25Mg
197,27.058018230986423,25,12,25Mg
199,27.15796396469075,25,12,25Mg
200,27.25777511699862,25,12,25Mg
201,27.35745254068672,25,12,25Mg
202,27.456997078915133,25,12,25Mg
203,27.556409565382744,25,12,25Mg
204,27.655690824479414,25,12,25Mg
204,27.754841671435088,25,12,25Mg
205,27.853862912465775,25,12,25Mg
207,27.952755344916355,25,12,25Mg
207,28.051519757400566,25,12,25Mg
209,28.15015692993822,25,12,25Mg
209,28.248667634089244,25,12,25Mg
210,28.347052633085656,25,12,25Mg
211,28.445312681960036,25,12,25Mg
212,28.54344852767218,25,12,25Mg
214,28.64146090923275,25,12,25Mg
215,28.739350557824576,25,12,25Mg
215,28.837118196921566,25,12,25Mg
217,28.93476454240543,25,12,25Mg
217,29.032290302679705,25,12,25Mg
219,29.1296961787821,25,12,25Mg
219,29.226982864493944,25,12,25Mg
220,29.324151046448392,25,12,25Mg
222,29.421201404235653,25,12,25Mg
223,29.51813461050685,25,12,25Mg
223,29.614951331075616,25,12,25Mg
225,29.71165222501775,25,12,25Mg
225,29.808237944768976,25,12,25Mg
226,29.904709136221108,25,12,25Mg
228,30.001066438816032,25,12,25Mg
228,30.097310485638047,25,12,25Mg
230,30.19344190350481,25,12,25Mg
231,30.28946131305609,25,12,25Mg
232,30.385369328841165,25,12,25Mg
232,30.48116655940469,25,12,25Mg
234,30.57685360737078,25,12,25Mg
235,30.67243106952553,25,12,25Mg
236,30.767899536898494,25,12,25Mg
237,30.863259594842,25,12,25Mg
237,30.958511823109614,25,12,25Mg
238,31.05365679593289,25,12,25Mg
239,31.148695082096857,25,12,25Mg
240,31.243627245014128,25,12,25Mg
241,31.33845384279779,25,12,25Mg
242,31.433175428332884,25,12,25Mg
243,31.527792549346522,25,12,25Mg
245,31.62230574847731,25,12,25Mg
246,31.716715563342788,25,12,25Mg
247,31.81102252660634,25,12,25Mg
248,31.90522716604264,25,12,25Mg
249,31.999330004602086,25,12,25Mg
249,32.093331560473985,25,12,25Mg
250,32.187232347148836,25,12,25Mg
252,32.281032873479546,25,12,25Mg
253,32.37473364374129,25,12,25Mg
254,32.46833515769096,25,12,25Mg
254,32.56183791062499,25,12,25Mg
256,32.655242393436616,25,12,25Mg
257,32.7485490926721,25,12,25Mg
257,32.841758490585775,25,12,25Mg
259,32.934871065194734,25,12,25Mg
259,33.02788729033191,25,12,25Mg
260,33.12080763569884,25,12,25Mg
261,33.21363256691731,25,12,25Mg
263,33.30636254558032,25,12,25Mg
264,33.39899802930195,25,12,25Mg
265,33.491539471766714,25,12,25Mg
266,33.58398732277795,25,12,25Mg
267,33.67634202830556,25,12,25Mg
268,33.768604030532764,25,12,25Mg
269,33.86077376790241,25,12,25Mg
270,33.95285167516225,25,12,25Mg
271,34.04483818340976,25,12,25Mg
272,34.13673372013608,25,12,25Mg
273,34.228538709269394,25,12,25Mg
274,34.32025357121743,25,12,25Mg
275,34.4118787229095,25,12,25Mg
276,34.5034145778379,25,12,25Mg
277,34.59486154609852,25,12,25Mg
277,34.68622003443075,25,12,25Mg
278,34.77749044625723,25,12,25Mg
280,34.86867318172244,25,12,25Mg
280,34.95976863773098,25,12,25Mg
281,35.05077720798533,25,12,25Mg
283,35.141699283022916,25,12,25Mg
283,35.232535250252525,25,12,25Mg
285,35.32328549399046,25,12,25Mg
286,35.4139503954958,25,12,25Mg
287,35.50453033300554,25,12,25Mg
288,35.595025681768824,25,12,25Mg
288,35.68543681408085,25,12,25Mg
290,35.77576409931633,25,12,25Mg
291,35.866007903962334,25,12,25Mg
292,35.956168591650766,25,12,25Mg
293,36.046246523190156,25,12,25Mg
294,36.136242056597354,25,12,25Mg
295,36.226155547128414,25,12,25Mg
296,36.31598734730911,25,12,25Mg
296,36.40573780696523,25,12,25Mg
298,36.49540727325214,25,12,25Mg
298,36.58499609068412,25,12,25Mg
300,36.674504601163285,25,12,25Mg
301,36.76393314400784,25,12,25Mg
301,36.853282055980195,25,12,25Mg
302,36.94255167131482,25,12,25Mg
304,37.03174232174521,25,12,25Mg
305,37.120854336530826,25,12,25Mg
306,37.209888042483804,25,12,25Mg
307,37.2988437639948,25,12,25Mg
308,37.387721823058946,25,12,25Mg
309,37.476522539301065,25,12,25Mg
309,37.565246230001065,25,12,25Mg
311,37.65389321011822,25,12,25Mg
312,37.742463792315945,25,12,25Mg
312,37.830958286985556,25,12,25Mg
313,37.91937700227009,25,12,25Mg
314,38.00772024408773,25,12,25Mg
316,38.0959883161548,25,12,25Mg
317,38.184181520008615,25,12,25Mg
317,38.27230015502976,25,12,25Mg
318,38.3603445184645,25,12,25Mg
319,38.44831490544652,25,12,25Mg
320,38.53621160901843,25,12,25Mg
321,38.62403492015302,25,12,25Mg
323,38.71178512777447,25,12,25Mg
323,38.79946251877884,25,12,25Mg
325,38.88706737805469,25,12,25Mg
325,38.97459998850308,25,12,25Mg
326,39.062060631057705,25,12,25Mg
328,39.14944958470442,25,12,25Mg
329,39.23676712650055,25,12,25Mg
330,39.32401353159417,25,12,25Mg
331,39.411189073243136,25,12,25Mg
331,39.498294022833385,25,12,25Mg
332,39.585328649897626,25,12,25Mg
334,39.67229322213354,25,12,25Mg
334,39.75918800542143,25,12,25Mg
336,39.84601326384241,25,12,25Mg
336,39.932769259695355,25,12,25Mg
337,40.01945625351475,25,12,25Mg
338,40.1060745040872,25,12,25Mg
339,40.19262426846869,25,12,25Mg
340,40.27910580200097,25,12,25Mg
341,40.36551935832818,25,12,25Mg
342,40.45186518941277,25,12,25Mg
343,40.53814354555178,25,12,25Mg
344,40.62435467539266,25,12,25Mg
346,40.71049882594862,25,12,25Mg
346,40.79657624261431,25,12,25Mg
347,40.882587169181114,25,12,25Mg
348,40.96853184785188,25,12,25Mg
350,41.054410519256116,25,12,25Mg
350,41.140223422464466,25,12,25Mg
352,41.22597079500338,25,12,25Mg
352,41.31165287286926,25,12,25Mg
353,41.39726989054283,25,12,25Mg
355,41.482822081002936,25,12,25Mg
356,41.5683096757405,25,12,25Mg
357,41.65373290477206,25,12,25Mg
358,41.73909199665341,25,12,25Mg
359,41.82438717849279,25,12,25Mg
360,41.90961867596404,25,12,25Mg
360,41.9947867133199,25,12,25Mg
362,42.079891513404505,25,12,25Mg
362,42.16493329766619,25,12,25Mg
363,42.24991228617033,25,12,25Mg
364,42.33482869761132,25,12,25Mg
365,42.41968274932518,25,12,25Mg
367,42.504474657301614,25,12,25Mg
368,42.58920463619575,25,12,25Mg
368,42.67387289934039,25,12,25Mg
370,42.758479658757416,25,12,25Mg
371,42.843025125169454,25,12,25Mg
371,42.92750950801125,25,12,25Mg
373,43.011933015441286,25,12,25Mg
374,43.096295854352455,25,12,25Mg
375,43.180598230383545,25,12,25Mg
375,43.26484034792987,25,12,25Mg
377,43.34902241015442,25,12,25Mg
378,43.433144618998135,25,12,25Mg
