Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,2.6490663268934487,28,14,28Si
2,3.52448561968283,28,14,28Si
3,4.16517061372498,28,14,28Si
4,4.689198891414054,28,14,28Si
5,5.140657556776619,28,14,28Si
6,5.541606785215712,28,14,28Si
7,5.904906346228356,28,14,28Si
7,6.238807195138324,28,14,28Si
9,6.548966352904731,28,14,28Si
10,6.839456396631708,28,14,28Si
11,7.113321244957886,28,14,28Si
12,7.372904644231344,28,14,28Si
12,7.6200553890280895,28,14,28Si
13,7.85626138974844,28,14,28Si
15,8.082740538934965,28,14,28Si
16,8.300504226719283,28,14,28Si
17,8.510402919236949,28,14,28Si
17,8.713159614114803,28,14,28Si
18,8.909394886380008,28,14,28Si
20,9.099645966450646,28,14,28Si
21,9.284381497140881,28,14,28Si
21,9.464013105869972,28,14,28Si
22,9.63890459179315,28,14,28Si
23,9.809379300955237,28,14,28Si
25,9.975726106878817,28,14,28Si
26,10.138204305103606,28,14,28Si
27,10.297047652778385,28,14,28Si
28,10.452467728548324,28,14,28Si
29,10.604656747124391,28,14,28Si
29,10.753789932663159,28,14,28Si
30,10.900027532415372,28,14,28Si
32,11.043516534935502,28,14,28Si
33,11.184392144015913,28,14,28Si
34,11.32277904937631,28,14,28Si
35,11.458792527250285,28,14,28Si
36,11.592539397819323,28,14,28Si
37,11.724118861549186,28,14,28Si
37,11.85362323258473,28,14,28Si
38,11.981138584233372,28,14,28Si
39,12.106745319046194,28,14,28Si
40,12.230518673958946,28,14,28Si
42,12.352529169285141,28,14,28Si
42,12.472843008983357,28,14,28Si
44,12.591522438490527,28,14,28Si
45,12.708626065477015,28,14,28Si
46,12.824209148099673,28,14,28Si
47,12.938323854677805,28,14,28Si
47,13.051019498169678,28,14,28Si
48,13.162342748366521,28,14,28Si
49,13.272337824330794,28,14,28Si
50,13.381046669274571,28,14,28Si
52,13.488509109791508,28,14,28Si
52,13.594763001114897,28,14,28Si
54,13.699844359867555,28,14,28Si
55,13.803787485591037,28,14,28Si
56,13.906625072188767,28,14,28Si
57,14.008388310284175,28,14,28Si
58,14.10910698138053,28,14,28Si
59,14.208809544608231,28,14,28Si
60,14.307523216758533,28,14,28Si
61,14.405274046225886,28,14,28Si
62,14.502086981414449,28,14,28Si
63,14.597985934105516,28,14,28Si
63,14.692993838230645,28,14,28Si
64,14.787132704450107,28,14,28Si
66,14.880423670895578,28,14,28Si
67,14.972887050400454,28,14,28Si
68,15.064542374509587,28,14,28Si
68,15.15540843453197,28,14,28Si
70,15.245503319874839,28,14,28Si
70,15.334844453875364,28,14,28Si
72,15.423448627326204,28,14,28Si
73,15.511332029872998,28,14,28Si
74,15.598510279446234,28,14,28Si
75,15.684998449875353,28,14,28Si
76,15.77081109681991,28,14,28Si
77,15.85596228214118,28,14,28Si
77,15.940465596826892,28,14,28Si
78,16.02433418257249,28,14,28Si
79,16.10758075211343,28,14,28Si
81,16.190217608395656,28,14,28Si
82,16.27225666266395,28,14,28Si
83,16.353709451541718,28,14,28Si
83,16.434587153169947,28,14,28Si
84,16.514900602467588,28,14,28Si
85,16.59466030557095,28,14,28Si
86,16.673876453505454,28,14,28Si
88,16.75255893513857,28,14,28Si
89,16.830717349459757,28,14,28Si
90,16.908361017229335,28,14,28Si
91,16.985498992035392,28,14,28Si
92,17.062140070794936,28,14,28Si
92,17.13829280373311,28,14,28Si
93,17.213965503871435,28,14,28Si
95,17.289166256054457,28,14,28Si
96,17.363902925541744,28,14,28Si
96,17.438183166190417,28,14,28Si
98,17.512014428251916,28,14,28Si
99,17.585403965804637,28,14,28Si
100,17.658358843843292,28,14,28Si
101,17.73088594504376,28,14,28Si
101,17.80299197622167,28,14,28Si
102,17.874683474501143,28,14,28Si
103,17.94596681320965,28,14,28Si
105,18.016848207513387,28,14,28Si
106,18.087333719807187,28,14,28Si
107,18.157429264871773,28,14,28Si
108,18.227140614810367,28,14,28Si
109,18.296473403776222,28,14,28Si
109,18.365433132501668,28,14,28Si
111,18.434025172638727,28,14,28Si
111,18.50225477092081,28,14,28Si
112,18.570127053154334,28,14,28Si
114,18.63764702804871,28,14,28Si
115,18.70481959089253,28,14,28Si
116,18.771649527083515,28,14,28Si
117,18.838141515519162,28,14,28Si
118,18.904300131854768,28,14,28Si
118,18.97012985163503,28,14,28Si
119,19.035635053305306,28,14,28Si
121,19.100820021107918,28,14,28Si
122,19.165688947868897,28,14,28Si
123,19.230245937680305,28,14,28Si
124,19.294495008482542,28,14,28Si
124,19.35844009455149,28,14,28Si
126,19.4220850488945,28,14,28Si
126,19.485433645559315,28,14,28Si
127,19.548489581859855,28,14,28Si
128,19.611256480522293,28,14,28Si
130,19.67373789175508,28,14,28Si
131,19.735937295245964,28,14,28Si
132,19.797858102089325,28,14,28Si
133,19.85950365664659,28,14,28Si
134,19.920877238342644,28,14,28Si
135,19.98198206340088,28,14,28Si
135,20.04282128651936,28,14,28Si
136,20.10339800249058,28,14,28Si
138,20.16371524776709,28,14,28Si
138,20.223776001975235,28,14,28Si
140,20.283583189378906,28,14,28Si
140,20.34313968029555,28,14,28Si
141,20.4024482924661,28,14,28Si
143,20.461511792380854,28,14,28Si
144,20.52033289656268,28,14,28Si
144,20.5789142728097,28,14,28Si
146,20.63725854139853,28,14,28Si
146,20.695368276249823,28,14,28Si
148,20.753246006057566,28,14,28Si
149,20.810894215383364,28,14,28Si
150,20.868315345717175,28,14,28Si
150,20.925511796505507,28,14,28Si
152,20.98248592614869,28,14,28Si
153,21.03924005296782,28,14,28Si
154,21.09577645614296,28,14,28Si
154,21.15209737662339,28,14,28Si
156,21.208205018010876,28,14,28Si
156,21.264101547417166,28,14,28Si
158,21.31978909629635,28,14,28Si
158,21.37526976125311,28,14,28Si
159,21.430545604827792,28,14,28Si
160,21.48561865625885,28,14,28Si
161,21.540490912223728,28,14,28Si
162,21.595164337558696,28,14,28Si
164,21.64964086595857,28,14,28Si
165,21.703922400656836,28,14,28Si
165,21.758010815086806,28,14,28Si
167,21.81190795352476,28,14,28Si
168,21.86561563171516,28,14,28Si
168,21.919135637479098,28,14,28Si
170,21.972469731306013,28,14,28Si
170,22.025619646929663,28,14,28Si
171,22.078587091888544,28,14,28Si
173,22.131373748071418,28,14,28Si
174,22.183981272248396,28,14,28Si
175,22.2364112965881,28,14,28Si
176,22.288665429161178,28,14,28Si
177,22.340745254430804,28,14,28Si
178,22.392652333730418,28,14,28Si
179,22.44438820572928,28,14,28Si
179,22.495954386885966,28,14,28Si
181,22.54735237189041,28,14,28Si
181,22.598583634094798,28,14,28Si
182,22.649649625933478,28,14,28Si
183,22.700551779332514,28,14,28Si
184,22.751291506108934,28,14,28Si
186,22.80187019836014,28,14,28Si
187,22.85228922884373,28,14,28Si
188,22.902549951348007,28,14,28Si
189,22.95265370105343,28,14,28Si
189,23.00260179488535,28,14,28Si
191,23.052395531858256,28,14,28Si
192,23.102036193411642,28,14,28Si
193,23.15152504373806,28,14,28Si
193,23.200863330103175,28,14,28Si
194,23.250052283158443,28,14,28Si
195,23.299093117246304,28,14,28Si
197,23.347987030698334,28,14,28Si
197,23.396735206126383,28,14,28Si
199,23.445338810707124,28,14,28Si
200,23.49379899645981,28,14,28Si
201,23.542116900517946,28,14,28Si
202,23.59029364539452,28,14,28Si
203,23.638330339241403,28,14,28Si
204,23.68622807610278,28,14,28Si
204,23.733987936162944,28,14,28Si
205,23.781610985988557,28,14,28Si
207,23.82909827876548,28,14,28Si
207,23.87645085453037,28,14,28Si
209,23.923669740397237,28,14,28Si
209,23.970755950778948,28,14,28Si
210,24.01771048760398,28,14,28Si
211,24.06453434052838,28,14,28Si
212,24.1112284871432,28,14,28Si
214,24.157793893177523,28,14,28Si
215,24.20423151269694,28,14,28Si
215,24.250542288298057,28,14,28Si
217,24.296727151298754,28,14,28Si
217,24.342787021924348,28,14,28Si
219,24.388722809489966,28,14,28Si
219,24.43453541257905,28,14,28Si
220,24.4802257192182,28,14,28Si
222,24.525794607048258,28,14,28Si
223,24.571242943492003,28,14,28Si
223,24.616571585918383,28,14,28Si
225,24.66178138180323,28,14,28Si
225,24.706873168886915,28,14,28Si
226,24.751847775328738,28,14,28Si
228,24.796706019858092,28,14,28Si
228,24.8414487119227,28,14,28Si
230,24.886076651833893,28,14,28Si
231,24.930590630908917,28,14,28Si
232,24.97499143161053,28,14,28Si
232,25.01927982768365,28,14,28Si
234,25.063456584289582,28,14,28Si
235,25.107522458137336,28,14,28Si
236,25.15147819761263,28,14,28Si
237,25.195324542904224,28,14,28Si
237,25.23906222612784,28,14,28Si
238,25.282691971447797,28,14,28Si
239,25.326214495196176,28,14,28Si
240,25.369630505989818,28,14,28Si
241,25.41294070484498,28,14,28Si
242,25.456145785289994,28,14,28Si
243,25.499246433475594,28,14,28Si
245,25.542243328283355,28,14,28Si
246,25.58513714143198,28,14,28Si
247,25.62792853758168,28,14,28Si
248,25.670618174436555,28,14,28Si
249,25.713206702845145,28,14,28Si
249,25.755694766899108,28,14,28Si
250,25.79808300403005,28,14,28Si
252,25.840372045104655,28,14,28Si
253,25.882562514518032,28,14,28Si
254,25.92465503028535,28,14,28Si
254,25.96665020413198,28,14,28Si
256,26.00854864158179,28,14,28Si
257,26.050350942043966,28,14,28Si
257,26.09205769889833,28,14,28Si
259,26.133669499579106,28,14,28Si
259,26.175186925657123,28,14,28Si
260,26.216610552920752,28,14,28Si
