Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.1185296655050903,33,16,33S
2,1.549300208283236,33,16,33S
3,1.874566259704681,33,16,33S
4,2.1459700260185492,33,16,33S
5,2.3832666579346506,33,16,33S
6,2.596503236496387,33,16,33S
7,2.7916099865473347,33,16,33S
7,2.9724306031514804,33,16,33S
9,3.1416231239932237,33,16,33S
10,3.3011154226877686,33,16,33S
11,3.452357949102213,33,16,33S
12,3.5964741295398763,33,16,33S
12,3.7343549012075057,33,16,33S
13,3.866720809456854,33,16,33S
15,3.994164305714699,33,16,33S
16,4.117179449586172,33,16,33S
17,4.23618331358219,33,16,33S
17,4.351531756783772,33,16,33S
18,4.463531277227523,33,16,33S
20,4.572448071484687,33,16,33S
21,4.6785150652872485,33,16,33S
21,4.781937443918425,33,16,33S
22,4.882897055677026,33,16,33S
23,4.98155595673474,33,16,33S
25,5.078059293365384,33,16,33S
26,5.172537666787508,33,16,33S
27,5.26510908969621,33,16,33S
28,5.355880617399113,33,16,33S
29,5.444949717290611,33,16,33S
29,5.532405426159961,33,16,33S
30,5.618329334137432,33,16,33S
32,5.702796425969523,33,16,33S
33,5.7858758040966825,33,16,33S
34,5.86763131319827,33,16,33S
35,5.94812208211869,33,16,33S
36,6.027402996139427,33,16,33S
37,6.105525110225439,33,16,33S
37,6.182536012010552,33,16,33S
38,6.258480141789801,33,16,33S
39,6.333399075577102,33,16,33S
40,6.407331776303601,33,16,33S
42,6.480314817428331,33,16,33S
42,6.552382582572533,33,16,33S
44,6.623567444243618,33,16,33S
45,6.693899924262198,33,16,33S
46,6.763408838128477,33,16,33S
47,6.832121425248435,33,16,33S
47,6.900063466674862,33,16,33S
48,6.967259391794241,33,16,33S
49,7.033732375200741,33,16,33S
50,7.099504424837277,33,16,33S
52,7.164596462345949,33,16,33S
52,7.229028396452427,33,16,33S
54,7.292819190107726,33,16,33S
55,7.355986922023669,33,16,33S
56,7.418548843163274,33,16,33S
57,7.480521428681928,33,16,33S
58,7.541920425758882,33,16,33S
59,7.602760897709143,33,16,33S
60,7.663057264722966,33,16,33S
61,7.722823341542433,33,16,33S
62,7.782072372351685,33,16,33S
63,7.8408170631283145,33,16,33S
63,7.899069611677872,33,16,33S
64,7.956841735550901,33,16,33S
66,8.014144698021987,33,16,33S
67,8.070989332292495,33,16,33S
68,8.127386064063177,33,16,33S
68,8.183344932608607,33,16,33S
70,8.23887561047317,33,16,33S
70,8.29398742189703,33,16,33S
72,8.348689360070725,33,16,33S
73,8.402990103307967,33,16,33S
74,8.45689803021836,33,16,33S
75,8.510421233954498,33,16,33S
76,8.563567535601464,33,16,33S
77,8.616344496770928,33,16,33S
77,8.668759431456767,33,16,33S
78,8.720819417204416,33,16,33S
79,8.772531305641802,33,16,33S
81,8.823901732415898,33,16,33S
82,8.874937126575288,33,16,33S
83,8.925643719436048,33,16,33S
83,8.97602755296521,33,16,33S
84,9.026094487713534,33,16,33S
85,9.07585021032674,33,16,33S
86,9.125300240662297,33,16,33S
88,9.174449938536743,33,16,33S
89,9.223304510126658,33,16,33S
90,9.271869014044817,33,16,33S
91,9.32014836711134,33,16,33S
92,9.368147349838386,33,16,33S
92,9.415870611645538,33,16,33S
93,9.463322675821855,33,16,33S
95,9.510507944249433,33,16,33S
96,9.557430701902344,33,16,33S
96,9.60409512113387,33,16,33S
98,9.650505265764027,33,16,33S
99,9.696665094978629,33,16,33S
100,9.74257846705046,33,16,33S
101,9.788249142892248,33,16,33S
101,9.833680789450723,33,16,33S
102,9.878876982950317,33,16,33S
103,9.923841211994565,33,16,33S
105,9.968576880532735,33,16,33S
106,10.013087310698783,33,16,33S
107,10.057375745529317,33,16,33S
108,10.101445351566728,33,16,33S
109,10.145299221353381,33,16,33S
109,10.18894037582248,33,16,33S
111,10.232371766590603,33,16,33S
111,10.275596278156922,33,16,33S
112,10.318616730013764,33,16,33S
114,10.361435878672614,33,16,33S
115,10.404056419609887,33,16,33S
116,10.446480989136221,33,16,33S
117,10.488712166192915,33,16,33S
118,10.53075247407894,33,16,33S
118,10.572604382111853,33,16,33S
119,10.614270307225592,33,16,33S
121,10.655752615508078,33,16,33S
122,10.69705362368136,33,16,33S
123,10.738175600527004,33,16,33S
124,10.779120768258972,33,16,33S
124,10.819891303846543,33,16,33S
126,10.860489340289355,33,16,33S
126,10.900916967846692,33,16,33S
127,10.941176235223068,33,16,33S
128,10.981269150711844,33,16,33S
130,11.021197683298867,33,16,33S
131,11.06096376372763,33,16,33S
132,11.100569285527769,33,16,33S
133,11.140016106008256,33,16,33S
134,11.179306047216883,33,16,33S
135,11.21844089686733,33,16,33S
135,11.257422409235188,33,16,33S
136,11.296252306024277,33,16,33S
138,11.334932277204215,33,16,33S
138,11.373463981820704,33,16,33S
140,11.411849048779361,33,16,33S
140,11.450089077604249,33,16,33S
