Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.25222039529737705,41,18,41Ar
2,0.46256229891142203,41,18,41Ar
3,0.6595436202905672,41,18,41Ar
4,0.8483210888712965,41,18,41Ar
5,1.0312237681819285,41,18,41Ar
6,1.20957709575495,41,18,41Ar
7,1.384233964688847,41,18,41Ar
7,1.555787558816138,41,18,41Ar
9,1.724673322128092,41,18,41Ar
10,1.8912238890908306,41,18,41Ar
11,2.0557012615256043,41,18,41Ar
12,2.2183168869564827,41,18,41Ar
12,2.379244823717803,41,18,41Ar
13,2.5386307248579745,41,18,41Ar
15,2.696598173967984,41,18,41Ar
16,2.8532532786465987,41,18,41Ar
17,3.008688080044198,41,18,41Ar
17,3.162983135500089,41,18,41Ar
18,3.3162095097145996,41,18,41Ar
20,3.4684303339649576,41,18,41Ar
21,3.619702044014448,41,18,41Ar
21,3.770075375091137,41,18,41Ar
22,3.9195961704948186,41,18,41Ar
23,4.068306045333084,41,18,41Ar
25,4.216242936299905,41,18,41Ar
26,4.363441560839761,41,18,41Ar
27,4.509933803544202,41,18,41Ar
28,4.6557490435813556,41,18,41Ar
29,4.80091443394203,41,18,41Ar
29,4.945455141009939,41,18,41Ar
30,5.089394551227818,41,18,41Ar
32,5.232754450294242,41,18,41Ar
33,5.375555179286417,41,18,41Ar
34,5.517815771289093,41,18,41Ar
35,5.659554071465244,41,18,41Ar
36,5.800786842990864,41,18,41Ar
37,5.941529860864416,41,18,41Ar
37,6.081797995268853,41,18,41Ar
38,6.221605285893987,41,18,41Ar
39,6.3609650084059846,41,18,41Ar
40,6.499889734069206,41,18,41Ar
42,6.6383913833756045,41,18,41Ar
42,6.776481274412206,41,18,41Ar
44,6.914170166593316,41,18,41Ar
45,7.051468300296776,41,18,41Ar
46,7.188385432870443,41,18,41Ar
47,7.324930871412904,41,18,41Ar
47,7.461113502679844,41,18,41Ar
48,7.596941820422764,41,18,41Ar
49,7.732423950428282,41,18,41Ar
50,7.867567673493619,41,18,41Ar
52,8.002380446545406,41,18,41Ar
52,8.13686942208468,41,18,41Ar
54,8.27104146611983,41,18,41Ar
55,8.40490317473078,41,18,41Ar
56,8.538460889392011,41,18,41Ar
57,8.671720711167723,41,18,41Ar
58,8.804688513880658,41,18,41Ar
59,8.937369956345055,41,18,41Ar
60,9.069770493745072,41,18,41Ar
61,9.201895388231543,41,18,41Ar
62,9.333749718802725,41,18,41Ar
63,9.465338390528172,41,18,41Ar
63,9.596666143169152,41,18,41Ar
64,9.72773755924383,41,18,41Ar
66,9.858557071581062,41,18,41Ar
67,9.989128970402376,41,18,41Ar
68,10.119457409968335,41,18,41Ar
68,10.249546414821914,41,18,41Ar
70,10.379399885658998,41,18,41Ar
70,10.509021604853102,41,18,41Ar
72,10.63841524165944,41,18,41Ar
73,10.767584357120924,41,18,41Ar
74,10.896532408697269,41,18,41Ar
75,11.02526275463612,41,18,41Ar
76,11.153778658103997,41,18,41Ar
