Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.484754000577777,43,20,43Ca
2,0.7083458783334629,43,20,43Ca
3,0.8843062942572628,43,20,43Ca
4,1.0350690922694106,43,20,43Ca
5,1.1694956590454535,43,20,43Ca
6,1.292190921529007,43,20,43Ca
7,1.405918183400243,43,20,43Ca
7,1.5124927786578597,43,20,43Ca
9,1.613184462904797,43,20,43Ca
10,1.7089233483918589,43,20,43Ca
11,1.800415361004928,43,20,43Ca
12,1.8882115716302001,43,20,43Ca
12,1.9727521275749937,43,20,43Ca
13,2.054395320716589,43,20,43Ca
15,2.133437519170114,43,20,43Ca
16,2.2101272490674875,43,20,43Ca
17,2.2846753999087404,43,20,43Ca
17,2.357262784687123,43,20,43Ca
18,2.4280458485318843,43,20,43Ca
20,2.497161052365512,43,20,43Ca
21,2.564728289626761,43,20,43Ca
21,2.6308535849854713,43,20,43Ca
22,2.695631251539779,43,20,43Ca
23,2.7591456338506366,43,20,43Ca
25,2.821472530182273,43,20,43Ca
26,2.882680363392091,43,20,43Ca
27,2.9428311528000464,43,20,43Ca
28,3.0019813269466007,43,20,43Ca
29,3.0601824080123077,43,20,43Ca
29,3.11748159186909,43,20,43Ca
30,3.1739222426100677,43,20,43Ca
32,3.229544316505842,43,20,43Ca
33,3.284384727338976,43,20,43Ca
34,3.3384776627450545,43,20,43Ca
35,3.3918548593718008,43,20,43Ca
36,3.4445458432355482,43,20,43Ca
37,3.4965781405171943,43,20,43Ca
37,3.5479774631303638,43,20,43Ca
38,3.5987678726626036,43,20,43Ca
39,3.648971925697717,43,20,43Ca
40,3.6986108030444234,43,20,43Ca
42,3.747704425001157,43,20,43Ca
42,3.7962715544610086,43,20,43Ca
44,3.8443298893915427,43,20,43Ca
45,3.8918961459999983,43,20,43Ca
46,3.9389861337074503,43,20,43Ca
47,3.9856148228985186,43,20,43Ca
47,4.031796406281102,43,20,43Ca
48,4.077544354578874,43,20,43Ca
49,4.1228714671845905,43,20,43Ca
50,4.167789918321406,43,20,43Ca
52,4.212311299190559,43,20,43Ca
52,4.2564466565245995,43,20,43Ca
54,4.3002065279145,43,20,43Ca
55,4.3436009742351445,43,20,43Ca
56,4.386639609455816,43,20,43Ca
57,4.429331628089293,43,20,43Ca
58,4.471685830504653,43,20,43Ca
59,4.513710646303911,43,20,43Ca
60,4.555414155940742,43,20,43Ca
61,4.596804110740547,43,20,43Ca
62,4.637887951464201,43,20,43Ca
63,4.678672825543222,43,20,43Ca
63,4.719165603100847,43,20,43Ca
64,4.759372891862226,43,20,43Ca
66,4.799301051046535,43,20,43Ca
67,4.838956204324908,43,20,43Ca
68,4.878344251919938,43,20,43Ca
68,4.917470881915379,43,20,43Ca
70,4.956341580838287,43,20,43Ca
70,4.994961643570063,43,20,43Ca
72,5.033336182637829,43,20,43Ca
73,5.071470136932896,43,20,43Ca
74,5.109368279899008,43,20,43Ca
75,5.147035227229299,43,20,43Ca
76,5.184475444107605,43,20,43Ca
77,5.221693252026732,43,20,43Ca
77,5.258692835213508,43,20,43Ca
78,5.2954782466880905,43,20,43Ca
79,5.332053413982677,43,20,43Ca
81,5.368422144542773,43,20,43Ca
82,5.4045881308323205,43,20,43Ca
83,5.440554955162366,43,20,43Ca
83,5.476326094261325,43,20,43Ca
84,5.511904923603631,43,20,43Ca
85,5.5472947215122,43,20,43Ca
86,5.582498673048993,43,20,43Ca
88,5.617519873707002,43,20,43Ca
89,5.652361332915827,43,20,43Ca
90,5.6870259773723495,43,20,43Ca
91,5.721516654206956,43,20,43Ca
92,5.755836133995273,43,20,43Ca
92,5.789987113624413,43,20,43Ca
93,5.823972219022358,43,20,43Ca
95,5.857794007758318,43,20,43Ca
96,5.891454971521512,43,20,43Ca
96,5.924957538485222,43,20,43Ca
98,5.958304075562565,43,20,43Ca
99,5.991496890560019,43,20,43Ca
100,6.024538234234278,43,20,43Ca
101,6.057430302257738,43,20,43Ca
101,6.0901752370975055,43,20,43Ca
102,6.122775129812571,43,20,43Ca
103,6.155232021773425,43,20,43Ca
105,6.187547906308241,43,20,43Ca
106,6.219724730279353,43,20,43Ca
107,6.2517643955936775,43,20,43Ca
108,6.28366876065041,43,20,43Ca
109,6.3154396417291085,43,20,43Ca
109,6.347078814321247,43,20,43Ca
111,6.378588014407949,43,20,43Ca
111,6.409968939686533,43,20,43Ca
112,6.441223250748462,43,20,43Ca
114,6.4723525722108946,43,20,43Ca
115,6.503358493804165,43,20,43Ca
116,6.5342425714172245,43,20,43Ca
117,6.5650063281030215,43,20,43Ca
118,6.595651255045715,43,20,43Ca
118,6.626178812491419,43,20,43Ca
119,6.6565904306442265,43,20,43Ca
121,6.6868875105290035,43,20,43Ca
122,6.717071424822519,43,20,43Ca
