Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.9417141126701025,50,22,50Ti
2,2.4126228905426244,50,22,50Ti
3,2.7393898321551644,50,22,50Ti
4,2.997737501102044,50,22,50Ti
5,3.2147911082753318,50,22,50Ti
6,3.4037526801970337,50,22,50Ti
7,3.572156899512469,50,22,50Ti
7,3.7247553941148204,50,22,50Ti
9,3.864758773471445,50,22,50Ti
10,3.99444931956145,50,22,50Ti
11,4.115513865486447,50,22,50Ti
12,4.229238267572084,50,22,50Ti
12,4.336627653124588,50,22,50Ti
13,4.438484248601531,50,22,50Ti
15,4.535459683301232,50,22,50Ti
16,4.628091265791982,50,22,50Ti
17,4.716827828735763,50,22,50Ti
17,4.802048572681321,50,22,50Ti
18,4.884077084936787,50,22,50Ti
20,4.963191955294661,50,22,50Ti
21,5.039634941897307,50,22,50Ti
21,5.113617341208009,50,22,50Ti
22,5.1853250199461405,50,22,50Ti
23,5.254922435451663,50,22,50Ti
25,5.322555881120091,50,22,50Ti
26,5.388356131017175,50,22,50Ti
27,5.452440613526554,50,22,50Ti
28,5.514915212087296,50,22,50Ti
29,5.575875767917149,50,22,50Ti
29,5.6354093425311875,50,22,50Ti
30,5.693595285112886,50,22,50Ti
32,5.7505061401730675,50,22,50Ti
33,5.806208423599495,50,22,50Ti
34,5.8607632895594115,50,22,50Ti
35,5.914227106340319,50,22,50Ti
36,5.966651955790194,50,22,50Ti
37,6.018086068318913,50,22,50Ti
37,6.068574203279323,50,22,50Ti
38,6.118157982833168,50,22,50Ti
39,6.166876186028595,50,22,50Ti
40,6.214765008700498,50,22,50Ti
42,6.261858293896875,50,22,50Ti
42,6.3081877367913215,50,22,50Ti
44,6.35378306743051,50,22,50Ti
45,6.398672214160285,50,22,50Ti
46,6.44288145015452,50,22,50Ti
47,6.486435525120894,50,22,50Ti
47,6.529357783964717,50,22,50Ti
48,6.571670273945478,50,22,50Ti
49,6.613393841652702,50,22,50Ti
50,6.65454822095151,50,22,50Ti
52,6.695152112898321,50,22,50Ti
52,6.735223258499354,50,22,50Ti
54,6.774778505075127,50,22,50Ti
55,6.813833866900226,50,22,50Ti
56,6.852404580706744,50,22,50Ti
57,6.890505156569891,50,22,50Ti
58,6.928149424633876,50,22,50Ti
59,6.9653505780835605,50,22,50Ti
60,7.002121212721743,50,22,50Ti
61,7.038473363472034,50,22,50Ti
62,7.074418538092347,50,22,50Ti
63,7.109967748353554,50,22,50Ti
63,7.145131538910853,50,22,50Ti
64,7.179920014071856,50,22,50Ti
66,7.214342862644446,50,22,50Ti
67,7.24840938102904,50,22,50Ti
68,7.282128494703526,50,22,50Ti
68,7.315508778234646,50,22,50Ti
70,7.348558473936679,50,22,50Ti
70,7.381285509286793,50,22,50Ti
72,7.413697513196219,50,22,50Ti
73,7.445801831227141,50,22,50Ti
74,7.477605539837118,50,22,50Ti
75,7.509115459725397,50,22,50Ti
76,7.540338168348938,50,22,50Ti
77,7.57128001166997,50,22,50Ti
77,7.601947115191644,50,22,50Ti
78,7.632345394333405,50,22,50Ti
79,7.662480564193446,50,22,50Ti
81,7.69235814874164,50,22,50Ti
82,7.721983489482736,50,22,50Ti
83,7.751361753626426,50,22,50Ti
83,7.780497941797957,50,22,50Ti
84,7.809396895320226,50,22,50Ti
85,7.838063303095933,50,22,50Ti
86,7.866501708116158,50,22,50Ti
88,7.894716513619647,50,22,50Ti
89,7.922711988925323,50,22,50Ti
90,7.950492274958815,50,22,50Ti
91,7.978061389492257,50,22,50Ti
92,8.005423232115232,50,22,50Ti
92,8.032581588953386,50,22,50Ti
93,8.059540137150126,50,22,50Ti
95,8.086302449125649,50,22,50Ti
96,8.112871996626598,50,22,50Ti
96,8.139252154578722,50,22,50Ti
98,8.165446204754005,50,22,50Ti
99,8.191457339263037,50,22,50Ti
100,8.217288663882618,50,22,50Ti
101,8.242943201227922,50,22,50Ti
101,8.26842389377794,50,22,50Ti
102,8.293733606762403,50,22,50Ti
103,8.31887513091773,50,22,50Ti
105,8.343851185119211,50,22,50Ti
106,8.36866441889606,50,22,50Ti
107,8.393317414835638,50,22,50Ti
108,8.41781269088268,50,22,50Ti
109,8.442152702539058,50,22,50Ti
109,8.466339844969273,50,22,50Ti
111,8.490376455016493,50,22,50Ti
111,8.514264813133721,50,22,50Ti
112,8.53800714523442,50,22,50Ti
114,8.561605624466592,50,22,50Ti
115,8.585062372914136,50,22,50Ti
116,8.608379463229086,50,22,50Ti
117,8.631558920198085,50,22,50Ti
118,8.654602722246285,50,22,50Ti
118,8.677512802881688,50,22,50Ti
119,8.700291052082784,50,22,50Ti
121,8.722939317632116,50,22,50Ti
122,8.745459406398345,50,22,50Ti
123,8.767853085569214,50,22,50Ti
124,8.790122083837645,50,22,50Ti
124,8.812268092543126,50,22,50Ti
126,8.83429276677045,50,22,50Ti
126,8.85619772640762,50,22,50Ti
127,8.877984557164927,50,22,50Ti
128,8.899654811556712,50,22,50Ti
130,8.921210009847606,50,22,50Ti
131,8.942651640964735,50,22,50Ti
132,8.963981163377365,50,22,50Ti
133,8.98520000594541,50,22,50Ti
134,9.0063095687381,50,22,50Ti
135,9.027311223824093,50,22,50Ti
135,9.048206316034232,50,22,50Ti
136,9.068996163698076,50,22,50Ti
138,9.089682059355294,50,22,50Ti
138,9.11026527044296,50,22,50Ti
140,9.130747039959747,50,22,50Ti
140,9.151128587107896,50,22,50Ti
141,9.171411107913965,50,22,50Ti
143,9.191595775829063,50,22,50Ti
144,9.211683742309514,50,22,50Ti
144,9.231676137378647,50,22,50Ti
146,9.251574070170474,50,22,50Ti
146,9.271378629455937,50,22,50Ti
148,9.291090884152457,50,22,50Ti
149,9.310711883817332,50,22,50Ti
150,9.330242659125698,50,22,50Ti
150,9.349684222333558,50,22,50Ti
152,9.369037567726487,50,22,50Ti
153,9.38830367205452,50,22,50Ti
154,9.407483494953771,50,22,50Ti
154,9.426577979355224,50,22,50Ti
156,9.4455880518812,50,22,50Ti
