Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.757346701117649,53,25,53Mn
2,1.0335819371941815,53,25,53Mn
3,1.239778777752993,53,25,53Mn
4,1.4105714322351353,53,25,53Mn
5,1.559091231030799,53,25,53Mn
6,1.6919766718612983,53,25,53Mn
7,1.8131281717829568,53,25,53Mn
7,1.9250643745180591,53,25,53Mn
9,2.0295215064625127,53,25,53Mn
10,2.127755402450675,53,25,53Mn
11,2.22070861079506,53,25,53Mn
12,2.309109584301339,53,25,53Mn
12,2.3935348877996514,53,25,53Mn
13,2.4744499783351626,53,25,53Mn
15,2.5522369318573226,53,25,53Mn
16,2.6272138803820995,53,25,53Mn
17,2.699648997458792,53,25,53Mn
17,2.7697707894299217,53,25,53Mn
18,2.837775817813101,53,25,53Mn
20,2.903834594505907,53,25,53Mn
21,2.9680961512148976,53,25,53Mn
21,3.030691629741185,53,25,53Mn
22,3.091737137586092,53,25,53Mn
23,3.1513360443951774,53,25,53Mn
25,3.2095808473053977,53,25,53Mn
26,3.2665547000111848,53,25,53Mn
27,3.3223326766886356,53,25,53Mn
28,3.3769828248059666,53,25,53Mn
29,3.4305670483139896,53,25,53Mn
29,3.483141853413629,53,25,53Mn
30,3.534758982122508,53,25,53Mn
32,3.5854659535738147,53,25,53Mn
33,3.6353065289306072,53,25,53Mn
34,3.684321112668756,53,25,53Mn
35,3.7325471005419772,53,25,53Mn
36,3.780019182625475,53,25,53Mn
37,3.826769608317137,53,25,53Mn
37,3.8728284189653235,53,25,53Mn
38,3.9182236528213576,53,25,53Mn
39,3.9629815262305526,53,25,53Mn
40,4.00712659433872,53,25,53Mn
42,4.050681894070506,53,25,53Mn
42,4.093669071708713,53,25,53Mn
44,4.136108497050779,53,25,53Mn
45,4.178019365826193,53,25,53Mn
46,4.219419791814761,53,25,53Mn
47,4.260326889901737,53,25,53Mn
47,4.300756851134469,53,25,53Mn
48,4.340725010700649,53,25,53Mn
49,4.380245909625905,53,25,53Mn
50,4.419333350884463,53,25,53Mn
52,4.458000450527926,53,25,53Mn
52,4.496259684361412,53,25,53Mn
54,4.534122930631128,53,25,53Mn
55,4.571601509131444,53,25,53Mn
56,4.608706217091215,53,25,53Mn
57,4.645447362157053,53,25,53Mn
58,4.68183479275509,53,25,53Mn
59,4.717877926080959,53,25,53Mn
60,4.753585773940192,53,25,53Mn
61,4.788966966637057,53,25,53Mn
62,4.8240297750886665,53,25,53Mn
63,4.858782131322622,53,25,53Mn
63,4.893231647500003,53,25,53Mn
64,4.927385633591109,53,25,53Mn
66,4.961251113818568,53,25,53Mn
67,4.994834841971038,53,25,53Mn
68,5.028143315680779,53,25,53Mn
68,5.061182789749259,53,25,53Mn
70,5.09395928859721,53,25,53Mn
70,5.126478617908189,53,25,53Mn
72,5.158746375528589,53,25,53Mn
73,5.190767961681102,53,25,53Mn
74,5.222548588543752,53,25,53Mn
75,5.254093289241863,53,25,53Mn
76,5.285406926296279,53,25,53Mn
77,5.3164941995674395,53,25,53Mn
77,5.347359653731493,53,25,53Mn
78,5.378007685321657,53,25,53Mn
79,5.408442549365289,53,25,53Mn
81,5.4386683656446175,53,25,53Mn
82,5.468689124606816,53,25,53Mn
83,5.498508692947146,53,25,53Mn
83,5.528130818886886,53,25,53Mn
84,5.557559137166225,53,25,53Mn
85,5.58679717377064,53,25,53Mn
86,5.615848350407896,53,25,53Mn
88,5.644715988751583,53,25,53Mn
89,5.673403314465829,53,25,53Mn
90,5.701913461024794,53,25,53Mn
91,5.73024947333962,53,25,53Mn
92,5.758414311204479,53,25,53Mn
92,5.786410852572646,53,25,53Mn
93,5.814241896672712,53,25,53Mn
95,5.841910166974327,53,25,53Mn
96,5.869418314012281,53,25,53Mn
96,5.896768918077034,53,25,53Mn
98,5.923964491779391,53,25,53Mn
99,5.951007482496361,53,25,53Mn
100,5.977900274704886,53,25,53Mn
101,6.0046451922096535,53,25,53Mn
101,6.031244500270753,53,25,53Mn
102,6.0577004076366645,53,25,53Mn
103,6.08401506848765,53,25,53Mn
105,6.110190584294303,53,25,53Mn
106,6.136229005595747,53,25,53Mn
107,6.162132333701672,53,25,53Mn
108,6.187902522322179,53,25,53Mn
109,6.213541479129057,53,25,53Mn
109,6.239051067252096,53,25,53Mn
111,6.264433106713588,53,25,53Mn
111,6.2896893758041585,53,25,53Mn
112,6.314821612402862,53,25,53Mn
114,6.33983151524418,53,25,53Mn
115,6.364720745134579,53,25,53Mn
116,6.389490926121044,53,25,53Mn
117,6.414143646613855,53,25,53Mn
118,6.4386804604657835,53,25,53Mn
118,6.463102888009772,53,25,53Mn
119,6.487412417057017,53,25,53Mn
121,6.5116105038572565,53,25,53Mn
122,6.535698574023039,53,25,53Mn
123,6.559678023419596,53,25,53Mn
124,6.583550219021828,53,25,53Mn
124,6.6073164997399285,53,25,53Mn
126,6.630978177215012,53,25,53Mn
126,6.654536536586038,53,25,53Mn
127,6.677992837229341,53,25,53Mn
128,6.701348313471892,53,25,53Mn
130,6.724604175279475,53,25,53Mn
131,6.747761608920795,53,25,53Mn
132,6.77082177760857,53,25,53Mn
133,6.793785822118571,53,25,53Mn
134,6.816654861387517,53,25,53Mn
135,6.839429993090683,53,25,53Mn
135,6.862112294200108,53,25,53Mn
136,6.884702821524135,53,25,53Mn
138,6.907202612229068,53,25,53Mn
138,6.929612684343659,53,25,53Mn
140,6.9519340372471135,53,25,53Mn
140,6.9741676521412375,53,25,53Mn
141,6.996314492507426,53,25,53Mn
143,7.018375504548966,53,25,53Mn
144,7.04035161761933,53,25,53Mn
144,7.062243744636956,53,25,53Mn
146,7.084052782487022,53,25,53Mn
146,7.105779612410711,53,25,53Mn
148,7.127425100382469,53,25,53Mn
