Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.4496747720533978,54,26,54Fe
2,1.88386094277924,54,26,54Fe
3,2.195861065059625,54,26,54Fe
4,2.448088440348719,54,26,54Fe
5,2.6635173004090795,54,26,54Fe
6,2.85353444509213,54,26,54Fe
7,3.024729501858984,54,26,54Fe
7,3.181305411495719,54,26,54Fe
9,3.3261293567349073,54,26,54Fe
10,3.461256489653972,54,26,54Fe
11,3.588216962079289,54,26,54Fe
12,3.708184893339847,54,26,54Fe
12,3.8220835577855627,54,26,54Fe
13,3.930653882424298,54,26,54Fe
15,4.034500736876717,54,26,54Fe
16,4.134125203324067,54,26,54Fe
17,4.229947675892339,54,26,54Fe
17,4.322324776962821,54,26,54Fe
18,4.411561993972969,54,26,54Fe
20,4.49792328562376,54,26,54Fe
21,4.581638498172533,54,26,54Fe
21,4.662909170657872,54,26,54Fe
22,4.741913135738307,54,26,54Fe
23,4.818808207079447,54,26,54Fe
25,4.8937351648395495,54,26,54Fe
26,4.966820195368431,54,26,54Fe
27,5.038176901885808,54,26,54Fe
28,5.107907974554977,54,26,54Fe
29,5.176106587661246,54,26,54Fe
29,5.242857576289638,54,26,54Fe
30,5.308238433437512,54,26,54Fe
32,5.3723201598314265,54,26,54Fe
33,5.435167992097896,54,26,54Fe
34,5.496842029834177,54,26,54Fe
35,5.55739777815654,54,26,54Fe
36,5.616886619192212,54,26,54Fe
37,5.675356223523547,54,26,54Fe
37,5.732850910637811,54,26,54Fe
38,5.789411965870056,54,26,54Fe
39,5.845077920064514,54,26,54Fe
40,5.899884797156629,54,26,54Fe
42,5.953866334043542,54,26,54Fe
42,6.007054176426837,54,26,54Fe
44,6.059478053747867,54,26,54Fe
45,6.111165935869392,54,26,54Fe
46,6.162144173769333,54,26,54Fe
47,6.21243762618821,54,26,54Fe
47,6.262069773900049,54,26,54Fe
48,6.311062823047527,54,26,54Fe
49,6.359437798788551,54,26,54Fe
50,6.407214630337311,54,26,54Fe
52,6.45441222834296,54,26,54Fe
52,6.501048555429656,54,26,54Fe
54,6.547140690619389,54,26,54Fe
55,6.59270488827094,54,26,54Fe
56,6.637756632092578,54,26,54Fe
57,6.682310684720413,54,26,54Fe
58,6.726381133297515,54,26,54Fe
59,6.769981431439488,54,26,54Fe
60,6.813124437929085,54,26,54Fe
61,6.85582245244485,54,26,54Fe
62,6.8980872485958145,54,26,54Fe
63,6.939930104505359,54,26,54Fe
63,6.9813618311619186,54,26,54Fe
64,7.022392798731791,54,26,54Fe
66,7.063032961009506,54,26,54Fe
67,7.103291878163679,54,26,54Fe
68,7.143178737920766,54,26,54Fe
68,7.182702375315259,54,26,54Fe
70,7.221871291122669,54,26,54Fe
70,7.2606936690806085,54,26,54Fe
72,7.299177391993533,54,26,54Fe
73,7.337330056807964,54,26,54Fe
74,7.375158988737151,54,26,54Fe
75,7.412671254507073,54,26,54Fe
76,7.449873674789427,54,26,54Fe
77,7.486772835881472,54,26,54Fe
77,7.523375100687515,54,26,54Fe
78,7.559686619052181,54,26,54Fe
79,7.595713337491441,54,26,54Fe
81,7.631461008363515,54,26,54Fe
82,7.66693519851844,54,26,54Fe
83,7.702141297461878,54,26,54Fe
83,7.737084525065945,54,26,54Fe
84,7.771769938857311,54,26,54Fe
85,7.806202440910382,54,26,54Fe
86,7.84038678437132,54,26,54Fe
88,7.874327579636669,54,26,54Fe
89,7.908029300208572,54,26,54Fe
90,7.941496288246942,54,26,54Fe
91,7.974732759837464,54,26,54Fe
92,8.007742809992903,54,26,54Fe
92,8.040530417403984,54,26,54Fe
93,8.073099448954926,54,26,54Fe
95,8.10545366401766,54,26,54Fe
96,8.137596718537779,54,26,54Fe
96,8.169532168924396,54,26,54Fe
98,8.201263475755235,54,26,54Fe
99,8.232794007307493,54,26,54Fe
100,8.26412704292439,54,26,54Fe
101,8.295265776226568,54,26,54Fe
101,8.326213318176986,54,26,54Fe
102,8.356972700007322,54,26,54Fe
103,8.387546876013474,54,26,54Fe
105,8.417938726227153,54,26,54Fe
106,8.448151058970225,54,26,54Fe
107,8.47818661329802,54,26,54Fe
108,8.508048061337345,54,26,54Fe
109,8.537738010524773,54,26,54Fe
109,8.567259005750238,54,26,54Fe
111,8.596613531410858,54,26,54Fe
111,8.625804013379408,54,26,54Fe
112,8.654832820891851,54,26,54Fe
114,8.683702268357813,54,26,54Fe
115,8.712414617097872,54,26,54Fe
116,8.740972077011216,54,26,54Fe
117,8.769376808177013,54,26,54Fe
118,8.797630922392688,54,26,54Fe
118,8.825736484652106,54,26,54Fe
119,8.853695514566487,54,26,54Fe
121,8.881509987730729,54,26,54Fe
122,8.909181837037657,54,26,54Fe
123,8.936712953942644,54,26,54Fe
124,8.964105189680781,54,26,54Fe
124,8.99136035643883,54,26,54Fe
126,9.018480228483917,54,26,54Fe
126,9.045466543250942,54,26,54Fe
127,9.072321002390497,54,26,54Fe
128,9.099045272779042,54,26,54Fe
130,9.125640987492975,54,26,54Fe
131,9.152109746748128,54,26,54Fe
132,9.178453118806228,54,26,54Fe
133,9.204672640849665,54,26,54Fe
134,9.23076981982594,54,26,54Fe
135,9.256746133263038,54,26,54Fe
135,9.282603030056983,54,26,54Fe
136,9.308341931232645,54,26,54Fe
138,9.33396423067896,54,26,54Fe
138,9.35947129585958,54,26,54Fe
