Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.05321350795215604,58,27,58Co
2,0.10773552980711953,58,27,58Co
3,0.1627626100972218,58,27,58Co
4,0.21812026362284698,58,27,58Co
5,0.27372503548050764,58,27,58Co
6,0.3295275336363788,58,27,58Co
7,0.38549499946897114,58,27,58Co
7,0.4416040788779437,58,27,58Co
9,0.49783726473133016,58,27,58Co
10,0.5541809373943039,58,27,58Co
11,0.6106241948762331,58,27,58Co
12,0.6671581105735064,58,27,58Co
12,0.7237752392983052,58,27,58Co
13,0.7804692756419217,58,27,58Co
15,0.8372348100752671,58,27,58Co
16,0.8940671501242874,58,27,58Co
17,0.9509621862483065,58,27,58Co
17,1.0079162892583549,58,27,58Co
18,1.0649262305089566,58,27,58Co
20,1.1219891188692517,58,27,58Co
21,1.1791023502793654,58,27,58Co
21,1.236263566897046,58,27,58Co
22,1.293470623656601,58,27,58Co
23,1.350721560630383,58,27,58Co
25,1.4080145799854082,58,27,58Co
26,1.4653480266173335,58,27,58Co
27,1.5227203717557178,58,27,58Co
28,1.580130198991221,58,27,58Co
29,1.6375761922930565,58,27,58Co
29,1.695057125674184,58,27,58Co
30,1.7525718542301871,58,27,58Co
32,1.8101193063307321,58,27,58Co
33,1.8676984767839098,58,27,58Co
34,1.925308420826388,58,27,58Co
35,1.982948248818223,58,27,58Co
36,2.040617121541884,58,27,58Co
37,2.0983142460218005,58,27,58Co
37,2.1560388717942565,58,27,58Co
38,2.213790287568524,58,27,58Co
39,2.271567818229213,58,27,58Co
40,2.3293708221372977,58,27,58Co
42,2.387198688693486,58,27,58Co
42,2.4450508361327903,58,27,58Co
44,2.5029267095235017,58,27,58Co
45,2.560825778947373,58,27,58Co
46,2.6187475378409646,58,27,58Co
47,2.6766915014806725,58,27,58Co
47,2.7346572055961897,58,27,58Co
48,2.7926442050990747,58,27,58Co
49,2.850652072914705,58,27,58Co
50,2.9086803989073133,58,27,58Co
52,2.966728788889009,58,27,58Co
52,3.0247968637047156,58,27,58Co
54,3.0828842583859286,58,27,58Co
55,3.1409906213668664,58,27,58Co
56,3.199115613757446,58,27,58Co
57,3.257258908667959,58,27,58Co
