Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.548425563659464,60,28,60Ni
2,1.8922497982371131,60,28,60Ni
3,2.127755691100516,60,28,60Ni
4,2.312419391001386,60,28,60Ni
5,2.4666226770721025,60,28,60Ni
6,2.6002188104331045,60,28,60Ni
7,2.718802351818429,60,28,60Ni
7,2.825886648190392,60,28,60Ni
9,2.9238372106896486,60,28,60Ni
10,3.014330409261612,60,28,60Ni
11,3.098601881589736,60,28,60Ni
12,3.177591248097267,60,28,60Ni
12,3.252031369122587,60,28,60Ni
13,3.3225059844119476,60,28,60Ni
15,3.3894883694209006,60,28,60Ni
16,3.4533680955523276,60,28,60Ni
17,3.514470061879194,60,28,60Ni
17,3.5730683488137043,60,28,60Ni
18,3.6293965088664644,60,28,60Ni
20,3.683655348123469,60,28,60Ni
21,3.736018903864713,60,28,60Ni
21,3.7866391015905525,60,28,60Ni
22,3.835649429366549,60,28,60Ni
23,3.8831678701311003,60,28,60Ni
25,3.9292992661960557,60,28,60Ni
26,3.9741372439885105,60,28,60Ni
27,4.0177657944328224,60,28,60Ni
28,4.060260580939216,60,28,60Ni
29,4.10169002991342,60,28,60Ni
29,4.142116246134438,60,28,60Ni
30,4.1815957859763575,60,28,60Ni
32,4.2201803143857815,60,28,60Ni
33,4.25791716614755,60,28,60Ni
34,4.294849827837015,60,28,60Ni
35,4.331018353651497,60,28,60Ni
36,4.366459725807708,60,28,60Ni
37,4.40120816821788,60,28,60Ni
37,4.435295420591125,60,28,60Ni
38,4.468750978855422,60,28,60Ni
39,4.501602306789772,60,28,60Ni
40,4.533875022942521,60,28,60Ni
42,4.565593066250095,60,28,60Ni
42,4.596778843229189,60,28,60Ni
44,4.6274533591705165,60,28,60Ni
45,4.6576363353946935,60,28,60Ni
46,4.6873463143258745,60,28,60Ni
47,4.7166007538844035,60,28,60Ni
47,4.745416112487019,60,28,60Ni
48,4.773807925764183,60,28,60Ni
49,4.801790875953212,60,28,60Ni
50,4.829378854798096,60,28,60Ni
52,4.856585020678269,60,28,60Ni
52,4.883421850595973,60,28,60Ni
54,4.90990118757267,60,28,60Ni
55,4.936034283936962,60,28,60Ni
56,4.96183184092795,60,28,60Ni
57,4.987304044987546,60,28,60Ni
58,5.012460601071407,60,28,60Ni
59,5.037310763270401,60,28,60Ni
60,5.061863363001355,60,28,60Ni
61,5.086126834997141,60,28,60Ni
62,5.110109241300996,60,28,60Ni
63,5.13381829344785,60,28,60Ni
63,5.15726137299614,60,28,60Ni
64,5.1804455505565,60,28,60Ni
66,5.203377603448674,60,28,60Ni
67,5.226064032104774,60,28,60Ni
68,5.248511075325156,60,28,60Ni
68,5.27072472448278,60,28,60Ni
70,5.292710736762699,60,28,60Ni
70,5.314474647514936,60,28,60Ni
72,5.336021781791783,60,28,60Ni
73,5.357357265133851,60,28,60Ni
74,5.3784860336634095,60,28,60Ni
75,5.399412843538168,60,28,60Ni
76,5.420142279814041,60,28,60Ni
77,5.440678764761036,60,28,60Ni
77,5.46102656567271,60,28,60Ni
78,5.481189802206047,60,28,60Ni
79,5.5011724532856,60,28,60Ni
81,5.5209783636028344,60,28,60Ni
82,5.540611249739125,60,28,60Ni
83,5.56007470593847,60,28,60Ni
83,5.579372209553938,60,28,60Ni
84,5.59850712618996,60,28,60Ni
85,5.617482714560775,60,28,60Ni
86,5.636302131083833,60,28,60Ni
88,5.654968434225477,60,28,60Ni
89,5.67348458861491,60,28,60Ni
90,5.69185346894127,60,28,60Ni
91,5.710077863647494,60,28,60Ni
92,5.728160478433731,60,28,60Ni
92,5.746103939582003,60,28,60Ni
93,5.7639107971131365,60,28,60Ni
95,5.781583527786022,60,28,60Ni
96,5.7991245379487415,60,28,60Ni
96,5.816536166250281,60,28,60Ni
98,5.833820686221013,60,28,60Ni
99,5.850980308729582,60,28,60Ni
100,5.8680171843233335,60,28,60Ni
101,5.884933405458801,60,28,60Ni
101,5.9017310086286,60,28,60Ni
102,5.918411976390373,60,28,60Ni
103,5.934978239303285,60,28,60Ni
105,5.9514316777770775,60,28,60Ni
106,5.967774123838465,60,28,60Ni
107,5.984007362819279,60,28,60Ni
108,6.000133134970519,60,28,60Ni
109,6.01615313700625,60,28,60Ni
109,6.032069023580992,60,28,60Ni
111,6.047882408704017,60,28,60Ni
111,6.063594867093831,60,28,60Ni
112,6.079207935475879,60,28,60Ni
114,6.094723113826281,60,28,60Ni
115,6.110141866564354,60,28,60Ni
116,6.125465623696452,60,28,60Ni
117,6.140695781913449,60,28,60Ni
118,6.155833705644208,60,28,60Ni
118,6.170880728067093,60,28,60Ni
119,6.185838152081588,60,28,60Ni
121,6.200707251241827,60,28,60Ni
122,6.215489270653959,60,28,60Ni
123,6.230185427838903,60,28,60Ni
124,6.24479691356219,60,28,60Ni
124,6.25932489263235,60,28,60Ni
126,6.273770504669309,60,28,60Ni
126,6.2881348648441175,60,28,60Ni
127,6.302419064591347,60,28,60Ni
128,6.316624172295306,60,28,60Ni
130,6.330751233951302,60,28,60Ni
131,6.34480127380296,60,28,60Ni
132,6.358775294956741,60,28,60Ni
133,6.372674279974537,60,28,60Ni
134,6.386499191445361,60,28,60Ni
135,6.400250972536984,60,28,60Ni
135,6.413930547528376,60,28,60Ni
136,6.427538822323741,60,28,60Ni
138,6.441076684948947,60,28,60Ni
