Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.4984385029036742,64,30,64Zn
2,1.7770272396383895,64,30,64Zn
3,1.9634216582906785,64,30,64Zn
4,2.107411017734528,64,30,64Zn
5,2.2263307418093867,64,30,64Zn
6,2.3284597685640254,64,30,64Zn
7,2.4184551906172636,64,30,64Zn
7,2.4992195384537954,64,30,64Zn
9,2.572694575569602,64,30,64Zn
10,2.6402487422561554,64,30,64Zn
11,2.702885758760648,64,30,64Zn
12,2.76136553293463,64,30,64Zn
12,2.816278396127851,64,30,64Zn
13,2.8680928468160176,64,30,64Zn
15,2.9171874511475386,64,30,64Zn
16,2.963872851013076,64,30,64Zn
17,3.008407366595533,64,30,64Zn
17,3.0510083204602485,64,30,64Zn
18,3.0918604261620226,64,30,64Zn
20,3.1311221150006676,64,30,64Zn
21,3.1689303843046646,64,30,64Zn
21,3.2054045659137143,64,30,64Zn
22,3.24064929296996,64,30,64Zn
23,3.274756862637064,64,30,64Zn
25,3.3078091375259877,64,30,64Zn
26,3.339879090550854,64,30,64Zn
27,3.371032071087284,64,30,64Zn
28,3.401326851070453,64,30,64Zn
29,3.4308164956979335,64,30,64Zn
29,3.4595490931226447,64,30,64Zn
30,3.487568369868468,64,30,64Zn
32,3.514914212941515,64,30,64Zn
33,3.541623115231203,64,30,64Zn
34,3.567728557434647,64,30,64Zn
35,3.5932613371359805,64,30,64Zn
36,3.6182498536409837,64,30,64Zn
37,3.6427203555695504,64,30,64Zn
37,3.6666971569423636,64,30,64Zn
38,3.690202826487982,64,30,64Zn
39,3.713258354085443,64,30,64Zn
40,3.7358832976022476,64,30,64Zn
42,3.7580959128551834,64,30,64Zn
42,3.7799132689865615,64,30,64Zn
44,3.8013513511912915,64,30,64Zn
45,3.8224251524355397,64,30,64Zn
46,3.843148755563378,64,30,64Zn
47,3.863535406984423,64,30,64Zn
47,3.8835975829652756,64,30,64Zn
48,3.9033470494047866,64,30,64Zn
49,3.922794915852688,64,30,64Zn
50,3.941951684429326,64,30,64Zn
52,3.9608272942176845,64,30,64Zn
52,3.979431161625271,64,30,64Zn
54,3.9977722171503816,64,30,64Zn
55,4.015858938933346,64,30,64Zn
56,4.03369938342689,64,30,64Zn
57,4.051301213479703,64,30,64Zn
58,4.068671724092684,64,30,64Zn
59,4.085817866077333,64,30,64Zn
60,4.102746267819593,64,30,64Zn
61,4.119463255329749,64,30,64Zn
62,4.135974870739105,64,30,64Zn
63,4.152286889386713,64,30,64Zn
63,4.168404835624227,64,30,64Zn
64,4.184333997453433,64,30,64Zn
66,4.2000794400992465,64,30,64Zn
67,4.2156460186104585,64,30,64Zn
68,4.2310383895712675,64,30,64Zn
68,4.246261021998457,64,30,64Zn
70,4.261318207491746,64,30,64Zn
70,4.276214069698401,64,30,64Zn
72,4.290952573147392,64,30,64Zn
73,4.305537531503206,64,30,64Zn
74,4.319972615284871,64,30,64Zn
75,4.334261359091514,64,30,64Zn
76,4.348407168372184,64,30,64Zn
77,4.362413325774225,64,30,64Zn
77,4.376282997101596,64,30,64Zn
78,4.390019236911729,64,30,64Zn
79,4.403624993777155,64,30,64Zn
81,4.417103115235912,64,30,64Zn
82,4.430456352452693,64,30,64Zn
83,4.44368736461101,64,30,64Zn
83,4.456798723054879,64,30,64Zn
84,4.469792915197144,64,30,64Zn
85,4.482672348210146,64,30,64Zn
86,4.495439352513273,64,30,64Zn
88,4.508096185070712,64,30,64Zn
89,4.520645032511823,64,30,64Zn
90,4.533088014085506,64,30,64Zn
91,4.54542718445917,64,30,64Zn
92,4.55766453637205,64,30,64Zn
92,4.569802003151979,64,30,64Zn
93,4.581841461104033,64,30,64Zn
95,4.593784731778801,64,30,64Zn
96,4.605633584127641,64,30,64Zn
96,4.617389736551576,64,30,64Zn
98,4.6290548588501785,64,30,64Zn
99,4.6406305740762575,64,30,64Zn
100,4.652118460301826,64,30,64Zn
101,4.663520052300408,64,30,64Zn
101,4.67483684315048,64,30,64Zn
102,4.6860702857644165,64,30,64Zn
103,4.697221794347143,64,30,64Zn
105,4.708292745788339,64,30,64Zn
106,4.719284480991834,64,30,64Zn
107,4.730198306145585,64,30,64Zn
108,4.74103549393543,64,30,64Zn
109,4.751797284705591,64,30,64Zn
109,4.762484887568739,64,30,64Zn
111,4.773099481468244,64,30,64Zn
111,4.783642216195073,64,30,64Zn
112,4.79411421336169,64,30,64Zn
114,4.8045165673350905,64,30,64Zn
115,4.8148503461310685,64,30,64Zn
116,4.825116592271637,64,30,64Zn
117,4.835316323607408,64,30,64Zn
118,4.8454505341066785,64,30,64Zn
118,4.8555201946128115,64,30,64Zn
119,4.865526253571469,64,30,64Zn
121,4.875469637729108,64,30,64Zn
122,4.8853512528041225,64,30,64Zn
123,4.8951719841319274,64,30,64Zn
124,4.904932697285161,64,30,64Zn
124,4.914634238670191,64,30,64Zn
126,4.924277436101013,64,30,64Zn
126,4.933863099351542,64,30,64Zn
127,4.943392020687292,64,30,64Zn
128,4.952864975377386,64,30,64Zn
130,4.962282722187724,64,30,64Zn
131,4.971646003856185,64,30,64Zn
132,4.98095554755063,64,30,64Zn
133,4.990212065310454,64,30,64Zn
134,4.999416254472396,64,30,64Zn
135,5.008568798081291,64,30,64Zn
135,5.017670365286402,64,30,64Zn
136,5.026721611723908,64,30,64Zn
138,5.035723179886198,64,30,64Zn
138,5.04467569947844,64,30,64Zn
140,5.053579787763007,64,30,64Zn
140,5.062436049892232,64,30,64Zn
141,5.071245079229978,64,30,64Zn
143,5.080007457662466,64,30,64Zn
144,5.088723755898795,64,30,64Zn
144,5.097394533761572,64,30,64Zn
146,5.106020340468032,64,30,64Zn
146,5.1146017149020375,64,30,64Zn
148,5.123139185877286,64,30,64Zn
149,5.131633272392102,64,30,64Zn
150,5.140084483876114,64,30,64Zn
150,5.148493320429123,64,30,64Zn
152,5.156860273052492,64,30,64Zn
153,5.165185823873282,64,30,64Zn
154,5.173470446361479,64,30,64Zn
154,5.181714605540506,64,30,64Zn
156,5.1899187581913,64,30,64Zn
156,5.198083353050183,64,30,64Zn
158,5.206208831000768,64,30,64Zn
158,5.214295625260079,64,30,64Zn
159,5.222344161559152,64,30,64Zn
160,5.230354858318254,64,30,64Zn
161,5.238328126816953,64,30,64Zn
162,5.246264371359211,64,30,64Zn
164,5.254163989433665,64,30,64Zn
165,5.262027371869277,64,30,64Zn
165,5.269854902986509,64,30,64Zn
167,5.277646960744183,64,30,64Zn
168,5.285403916882156,64,30,64Zn
168,5.293126137059978,64,30,64Zn
170,5.300813980991661,64,30,64Zn
170,5.308467802576678,64,30,64Zn
171,5.31608795002733,64,30,64Zn
173,5.323674765992607,64,30,64Zn
174,5.33122858767864,64,30,64Zn
175,5.33874974696589,64,30,64Zn
176,5.346238570523133,64,30,64Zn
177,5.353695379918396,64,30,64Zn
178,5.361120491726911,64,30,64Zn
179,5.368514217636182,64,30,64Zn
179,5.37587686454829,64,30,64Zn
181,5.383208734679476,64,30,64Zn
181,5.390510125657136,64,30,64Zn
182,5.397781330614273,64,30,64Zn
183,5.405022638281503,64,30,64Zn
184,5.4122343330766975,64,30,64Zn
186,5.4194166951923135,64,30,64Zn
187,5.426570000680507,64,30,64Zn
188,5.433694521536084,64,30,64Zn
189,5.4407905257773495,64,30,64Zn
189,5.447858277524941,64,30,64Zn
191,5.4548980370786895,64,30,64Zn
192,5.461910060992558,64,30,64Zn
193,5.468894602147746,64,30,64Zn
193,5.4758519098239855,64,30,64Zn
194,5.482782229769103,64,30,64Zn
195,5.489685804266875,64,30,64Zn
197,5.496562872203251,64,30,64Zn
197,5.503413669130984,64,30,64Zn
199,5.510238427332699,64,30,64Zn
200,5.517037375882471,64,30,64Zn
201,5.523810740705939,64,30,64Zn
202,5.5305587446389906,64,30,64Zn
203,5.537281607485083,64,30,64Zn
204,5.543979546071214,64,30,64Zn
204,5.550652774302597,64,30,64Zn
205,5.557301503216067,64,30,64Zn
207,5.5639259410322515,64,30,64Zn
207,5.570526293206558,64,30,64Zn
209,5.5771027624789875,64,30,64Zn
209,5.58365554892282,64,30,64Zn
210,5.590184849992209,64,30,64Zn
211,5.596690860568677,64,30,64Zn
212,5.603173773006616,64,30,64Zn
214,5.609633777177725,64,30,64Zn
215,5.616071060514498,64,30,64Zn
215,5.6224858080527405,64,30,64Zn
217,5.628878202473144,64,30,64Zn
217,5.635248424141961,64,30,64Zn
219,5.641596651150795,64,30,64Zn
219,5.647923059355518,64,30,64Zn
220,5.654227822414363,64,30,64Zn
222,5.660511111825185,64,30,64Zn
223,5.666773096961929,64,30,64Zn
223,5.673013945110336,64,30,64Zn
225,5.679233821502869,64,30,64Zn
225,5.685432889352915,64,30,64Zn
226,5.691611309888274,64,30,64Zn
228,5.697769242383936,64,30,64Zn
228,5.7039068441941785,64,30,64Zn
230,5.710024270784011,64,30,64Zn
231,5.716121675759951,64,30,64Zn
232,5.722199210900185,64,30,64Zn
232,5.728257026184097,64,30,64Zn
234,5.734295269821213,64,30,64Zn
235,5.740314088279538,64,30,64Zn
236,5.746313626313344,64,30,64Zn
237,5.752294026990376,64,30,64Zn
237,5.758255431718528,64,30,64Zn
238,5.764197980271986,64,30,64Zn
239,5.770121810816839,64,30,64Zn
240,5.77602705993621,64,30,64Zn
241,5.78191386265485,64,30,64Zn
242,5.787782352463303,64,30,64Zn
243,5.7936326613415465,64,30,64Zn
245,5.799464919782216,64,30,64Zn
246,5.805279256813342,64,30,64Zn
247,5.811075800020679,64,30,64Zn
248,5.816854675569587,64,30,64Zn
249,5.822616008226501,64,30,64Zn
249,5.828359921379989,64,30,64Zn
250,5.834086537061414,64,30,64Zn
252,5.839795975965197,64,30,64Zn
253,5.8454883574687075,64,30,64Zn
254,5.851163799651775,64,30,64Zn
254,5.85682241931584,64,30,64Zn
256,5.862464332002744,64,30,64Zn
257,5.8680896520131745,64,30,64Zn
257,5.873698492424767,64,30,64Zn
259,5.8792909651098775,64,30,64Zn
259,5.884867180753021,64,30,64Zn
260,5.890427248868007,64,30,64Zn
261,5.895971277814742,64,30,64Zn
263,5.901499374815752,64,30,64Zn
264,5.907011645972379,64,30,64Zn
265,5.912508196280717,64,30,64Zn
266,5.9179891296472364,64,30,64Zn
267,5.923454548904142,64,30,64Zn
268,5.9289045558244595,64,30,64Zn
269,5.934339251136848,64,30,64Zn
270,5.93975873454015,64,30,64Zn
271,5.945163104717703,64,30,64Zn
272,5.95055245935137,64,30,64Zn
273,5.955926895135358,64,30,64Zn
274,5.961286507789769,64,30,64Zn
275,5.966631392073936,64,30,64Zn
276,5.97196164179951,64,30,64Zn
277,5.977277349843346,64,30,64Zn
277,5.9825786081601455,64,30,64Zn
278,5.987865507794893,64,30,64Zn
280,5.9931381388950795,64,30,64Zn
280,5.998396590722725,64,30,64Zn
281,6.003640951666183,64,30,64Zn
283,6.008871309251766,64,30,64Zn
283,6.014087750155153,64,30,64Zn
285,6.019290360212632,64,30,64Zn
286,6.024479224432128,64,30,64Zn
287,6.029654427004073,64,30,64Zn
288,6.034816051312079,64,30,64Zn
288,6.039964179943443,64,30,64Zn
290,6.0450988946994775,64,30,64Zn
291,6.050220276605671,64,30,64Zn
292,6.055328405921683,64,30,64Zn
293,6.0604233621511785,64,30,64Zn
294,6.065505224051497,64,30,64Zn
295,6.070574069643182,64,30,64Zn
296,6.075629976219331,64,30,64Zn
296,6.080673020354814,64,30,64Zn
298,6.0857032779153455,64,30,64Zn
298,6.090720824066403,64,30,64Zn
300,6.095725733282005,64,30,64Zn
301,6.100718079353354,64,30,64Zn
301,6.1056979353973455,64,30,64Zn
302,6.110665373864938,64,30,64Zn
304,6.115620466549393,64,30,64Zn
305,6.120563284594377,64,30,64Zn
306,6.125493898501968,64,30,64Zn
307,6.130412378140494,64,30,64Zn
308,6.135318792752296,64,30,64Zn
309,6.140213210961322,64,30,64Zn
309,6.145095700780657,64,30,64Zn
311,6.149966329619894,64,30,64Zn
312,6.154825164292414,64,30,64Zn
312,6.159672271022553,64,30,64Zn
313,6.16450771545266,64,30,64Zn
314,6.169331562650042,64,30,64Zn
316,6.174143877113808,64,30,64Zn
317,6.17894472278162,64,30,64Zn
317,6.183734163036321,64,30,64Zn
318,6.188512260712489,64,30,64Zn
319,6.193279078102876,64,30,64Zn
320,6.198034676964752,64,30,64Zn
321,6.202779118526171,64,30,64Zn
323,6.207512463492122,64,30,64Zn
323,6.2122347720506115,64,30,64Zn
325,6.21694610387864,64,30,64Zn
325,6.221646518148097,64,30,64Zn
326,6.2263360735315745,64,30,64Zn
328,6.231014828208097,64,30,64Zn
329,6.235682839868747,64,30,64Zn
330,6.240340165722248,64,30,64Zn
331,6.244986862500427,64,30,64Zn
331,6.2496229864636295,64,30,64Zn
332,6.2542485934060394,64,30,64Zn
334,6.258863738660927,64,30,64Zn
334,6.2634684771058255,64,30,64Zn
336,6.268062863167636,64,30,64Zn
336,6.272646950827644,64,30,64Zn
337,6.2772207936264985,64,30,64Zn
338,6.281784444669078,64,30,64Zn
339,6.286337956629328,64,30,64Zn
340,6.290881381755005,64,30,64Zn
341,6.295414771872365,64,30,64Zn
342,6.299938178390783,64,30,64Zn
343,6.304451652307318,64,30,64Zn
344,6.308955244211197,64,30,64Zn
346,6.313449004288259,64,30,64Zn
346,6.317932982325314,64,30,64Zn
347,6.322407227714472,64,30,64Zn
348,6.326871789457378,64,30,64Zn
350,6.331326716169422,64,30,64Zn
350,6.335772056083866,64,30,64Zn
352,6.3402078570559395,64,30,64Zn
352,6.344634166566847,64,30,64Zn
353,6.349051031727769,64,30,64Zn
355,6.353458499283758,64,30,64Zn
356,6.357856615617615,64,30,64Zn
357,6.362245426753702,64,30,64Zn
358,6.36662497836172,64,30,64Zn
359,6.370995315760407,64,30,64Zn
360,6.375356483921209,64,30,64Zn
360,6.379708527471904,64,30,64Zn
362,6.384051490700173,64,30,64Zn
362,6.3883854175571075,64,30,64Zn
363,6.392710351660707,64,30,64Zn
364,6.397026336299294,64,30,64Zn
365,6.4013334144349106,64,30,64Zn
367,6.405631628706667,64,30,64Zn
