Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.1053339898210172,66,29,66Cu
2,0.18890506483745,66,29,66Cu
3,0.2658483713570115,66,29,66Cu
4,0.3387807067963257,66,29,66Cu
5,0.4088686393301205,66,29,66Cu
6,0.47677016614922135,66,29,66Cu
7,0.5429058034926488,66,29,66Cu
7,0.6075663847138135,66,29,66Cu
9,0.670964393101093,66,29,66Cu
10,0.7332614757486883,66,29,66Cu
11,0.7945844912487823,66,29,66Cu
12,0.855035485715647,66,29,66Cu
12,0.9146982119746355,66,29,66Cu
13,0.9736425647948207,66,29,66Cu
15,1.0319277001618115,66,29,66Cu
16,1.0896042910027282,66,29,66Cu
17,1.1467161975846447,66,29,66Cu
17,1.2033017300280051,66,29,66Cu
18,1.2593946196919923,66,29,66Cu
20,1.3150247783690439,66,29,66Cu
21,1.370218899939479,66,29,66Cu
21,1.4250009431260888,66,29,66Cu
22,1.4793925231839458,66,29,66Cu
23,1.5334132329164534,66,29,66Cu
25,1.587080908182861,66,29,66Cu
26,1.640411849331575,66,29,66Cu
27,1.6934210072889533,66,29,66Cu
28,1.74612214104481,66,29,66Cu
29,1.798527951795301,66,29,66Cu
29,1.8506501978882803,66,29,66Cu
30,1.902499793866521,66,29,66Cu
32,1.9540868962505085,66,29,66Cu
33,2.0054209781948282,66,29,66Cu
34,2.0565108947545,66,29,66Cu
35,2.1073649401835746,66,29,66Cu
36,2.1579908984383804,66,29,66Cu
37,2.2083960878575657,66,29,66Cu
37,2.2585874008294935,66,29,66Cu
38,2.308571339126354,66,29,66Cu
39,2.35835404547727,66,29,66Cu
40,2.4079413318646488,66,29,66Cu
42,2.457338704955429,66,29,66Cu
42,2.5065513890185636,66,29,66Cu
44,2.555584346629867,66,29,66Cu
45,2.6044422974232195,66,29,66Cu
46,2.653129735111777,66,29,66Cu
47,2.7016509429728806,66,29,66Cu
47,2.750010007965055,66,29,66Cu
48,2.7982108336238882,66,29,66Cu
49,2.846257151865161,66,29,66Cu
50,2.8941525338078087,66,29,66Cu
52,2.9419003997157236,66,29,66Cu
52,2.9895040281456766,66,29,66Cu
54,3.0369665643785493,66,29,66Cu
55,3.0842910282022045,66,29,66Cu
56,3.131480321106775,66,29,66Cu
57,3.17853723294639,66,29,66Cu
58,3.225464448115563,66,29,66Cu
59,3.272264551283383,66,29,66Cu
60,3.3189400327240857,66,29,66Cu
61,3.3654932932786825,66,29,66Cu
62,3.4119266489788003,66,29,66Cu
63,3.4582423353608114,66,29,66Cu
63,3.5044425114955637,66,29,66Cu
64,3.550529263756619,66,29,66Cu
66,3.59650460934774,66,29,66Cu
67,3.6423704996083797,66,29,66Cu
68,3.688128823114295,66,29,66Cu
68,3.733781408588762,66,29,66Cu
70,3.7793300276385833,66,29,66Cu
70,3.82477639732773,66,29,66Cu
72,3.870122182600454,66,29,66Cu
73,3.9153689985646074,66,29,66Cu
74,3.960518412645046,66,29,66Cu
75,4.005571946616178,66,29,66Cu
76,4.050531078521934,66,29,66Cu
77,4.095397244490819,66,29,66Cu
77,4.140171840453042,66,29,66Cu
78,4.184856223766213,66,29,66Cu
79,4.2294517147555615,66,29,66Cu
81,4.273959598174183,66,29,66Cu
82,4.3183811245884,66,29,66Cu
83,4.362717511692945,66,29,66Cu
83,4.4069699455603315,66,29,66Cu
84,4.451139581828438,66,29,66Cu
85,4.495227546830046,66,29,66Cu
86,4.539234938667829,66,29,66Cu
88,4.583162828238015,66,29,66Cu
89,4.627012260205716,66,29,66Cu
90,4.670784253934753,66,29,66Cu
91,4.71447980437454,66,29,66Cu
92,4.758099882906505,66,29,66Cu
92,4.801645438152268,66,29,66Cu
93,4.845117396745746,66,29,66Cu
95,4.888516664071114,66,29,66Cu
96,4.931844124968498,66,29,66Cu
96,4.975100644409142,66,29,66Cu
98,5.0182870681416585,66,29,66Cu
99,5.061404223310864,66,29,66Cu
100,5.104452919050664,66,29,66Cu
101,5.147433947052313,66,29,66Cu
101,5.190348082109274,66,29,66Cu
102,5.23319608263992,66,29,66Cu
103,5.275978691189123,66,29,66Cu
105,5.318696634909822,66,29,66Cu
106,5.361350626025531,66,29,66Cu
107,5.403941362274721,66,29,66Cu
108,5.446469527337967,66,29,66Cu
109,5.48893579124861,66,29,66Cu
109,5.531340810787833,66,29,66Cu
111,5.573685229864773,66,29,66Cu
111,5.615969679882401,66,29,66Cu
112,5.658194780089878,66,29,66Cu
114,5.700361137921895,66,29,66Cu
115,5.742469349325675,66,29,66Cu
116,5.784519999076177,66,29,66Cu
117,5.826513661079983,66,29,66Cu
118,5.868450898668403,66,29,66Cu
118,5.91033226488026,66,29,66Cu
119,5.952158302734812,66,29,66Cu
121,5.993929545495204,66,29,66Cu
122,6.035646516922882,66,29,66Cu
123,6.077309731523361,66,29,66Cu
124,6.118919694783663,66,29,66Cu
124,6.160476903401813,66,29,66Cu
126,6.201981845508718,66,29,66Cu
126,6.243435000882688,66,29,66Cu
127,6.284836841157,66,29,66Cu
128,6.326187830020669,66,29,66Cu
130,6.367488423412795,66,29,66Cu
131,6.408739069710641,66,29,66Cu
132,6.449940209911836,66,29,66Cu
133,6.491092277810744,66,29,66Cu
134,6.532195700169404,66,29,66Cu
135,6.5732508968831,66,29,66Cu
135,6.614258281140896,66,29,66Cu
136,6.655218259581229,66,29,66Cu
138,6.6961312324428,66,29,66Cu
138,6.736997593710903,66,29,66Cu
140,6.777817731259409,66,29,66Cu
140,6.81859202698849,66,29,66Cu
141,6.8593208569583615,66,29,66Cu
143,6.900004591519021,66,29,66Cu
144,6.940643595436272,66,29,66Cu
144,6.981238228014102,66,29,66Cu
146,7.021788843213554,66,29,66Cu
146,7.0622957897682035,66,29,66Cu
