Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.4361578365384401,87,37,87Rb
2,0.666614858852788,87,37,87Rb
3,0.8543648995221633,87,37,87Rb
4,1.0188407333686833,87,37,87Rb
5,1.167926558639647,87,37,87Rb
6,1.3057941166982758,87,37,87Rb
7,1.4349816735589467,87,37,87Rb
7,1.5571756707578446,87,37,87Rb
9,1.6735670447392823,87,37,87Rb
10,1.7850354454639585,87,37,87Rb
11,1.892253419049332,87,37,87Rb
12,1.9957494463518721,87,37,87Rb
12,2.0959481582887842,87,37,87Rb
13,2.1931971081104904,87,37,87Rb
15,2.287785231238154,87,37,87Rb
16,2.37995595404085,87,37,87Rb
17,2.469916739081205,87,37,87Rb
17,2.557846187434558,87,37,87Rb
18,2.643899423772588,87,37,87Rb
20,2.7282122475869075,87,37,87Rb
21,2.8109043805711464,87,37,87Rb
21,2.892082040447539,87,37,87Rb
22,2.9718400050835734,87,37,87Rb
23,3.0502632855207925,87,37,87Rb
25,3.1274284951558595,87,37,87Rb
26,3.203404980154014,87,37,87Rb
27,3.278255760277424,87,37,87Rb
28,3.3520383177399706,87,37,87Rb
29,3.424805263166167,87,37,87Rb
29,3.49660490136099,87,37,87Rb
30,3.5674817147875184,87,37,87Rb
32,3.637476778980145,87,37,87Rb
33,3.7066281212949597,87,37,87Rb
34,3.7749710322025725,87,37,87Rb
35,3.8425383366073147,87,37,87Rb
36,3.9093606313171305,87,37,87Rb
37,3.9754664937067434,87,37,87Rb
37,4.040882665749834,87,37,87Rb
38,4.105634216897165,87,37,87Rb
39,4.169744688710433,87,37,87Rb
40,4.2332362236988486,87,37,87Rb
42,4.296129680425849,87,37,87Rb
42,4.358444736640025,87,37,87Rb
44,4.420199981924907,87,37,87Rb
45,4.4814130011459925,87,37,87Rb
46,4.542100449792691,87,37,87Rb
47,4.60227812216092,87,37,87Rb
47,4.661961013194081,87,37,87Rb
48,4.7211633746916615,87,37,87Rb
49,4.779898766502551,87,37,87Rb
50,4.838180103241691,87,37,87Rb
52,4.896019697001326,87,37,87Rb
52,4.953429296470458,87,37,87Rb
54,5.010420122826509,87,37,87Rb
55,5.067002902720095,87,37,87Rb
56,5.123187898636854,87,37,87Rb
57,5.178984936887846,87,37,87Rb
58,5.234403433451984,87,37,87Rb
59,5.289452417869466,87,37,87Rb
60,5.344140555363595,87,37,87Rb
61,5.398476167349677,87,37,87Rb
62,5.452467250472964,87,37,87Rb
63,5.506121494303175,87,37,87Rb
63,5.559446297800126,87,37,87Rb
64,5.612448784653634,87,37,87Rb
66,5.665135817590766,87,37,87Rb
67,5.717514011734496,87,37,87Rb
68,5.769589747089868,87,37,87Rb
68,5.821369180226568,87,37,87Rb
70,5.872858255220547,87,37,87Rb
70,5.924062713911534,87,37,87Rb
72,5.974988105528254,87,37,87Rb
73,6.025639795728527,87,37,87Rb
74,6.076022975097335,87,37,87Rb
75,6.1261426671422345,87,37,87Rb
76,6.176003735822127,87,37,87Rb
77,6.2256108926423845,87,37,87Rb
77,6.274968703346616,87,37,87Rb
78,6.324081594232883,87,37,87Rb
79,6.372953858119871,87,37,87Rb
81,6.421589659986606,87,37,87Rb
