Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.1333782728526451,92,40,92Zr
2,1.4018212903203304,92,40,92Zr
3,1.5874318309273736,92,40,92Zr
4,1.733845598653757,92,40,92Zr
5,1.8566502643378247,92,40,92Zr
6,1.9634183845127358,92,40,92Zr
7,2.0584656551484364,92,40,92Zr
7,2.144510559747636,92,40,92Zr
9,2.2233881469237065,92,40,92Zr
10,2.2964017676788635,92,40,92Zr
11,2.3645140067592156,92,40,92Zr
12,2.428458140713049,92,40,92Zr
12,2.4888070080516242,92,40,92Zr
13,2.5460175564486343,92,40,92Zr
15,2.6004607632819656,92,40,92Zr
16,2.652442376899046,92,40,92Zr
17,2.7022176864244507,92,40,92Zr
17,2.7500022857847255,92,40,92Zr
18,2.7959800782631956,92,40,92Zr
20,2.8403093355222677,92,40,92Zr
21,2.8831273566140094,92,40,92Zr
21,2.9245541010707594,92,40,92Zr
22,2.9646950578943607,92,40,92Zr
23,3.0036435370645913,92,40,92Zr
25,3.0414825187970513,92,40,92Zr
26,3.0782861600160647,92,40,92Zr
27,3.114121032203871,92,40,92Zr
28,3.1490471466123355,92,40,92Zr
29,3.183118809588028,92,40,92Zr
29,3.2163853410001493,92,40,92Zr
30,3.2488916814771,92,40,92Zr
32,3.280678908663329,92,40,92Zr
33,3.311784678522075,92,40,92Zr
34,3.342243604490235,92,40,92Zr
35,3.372087584794006,92,40,92Zr
36,3.401346086280416,92,40,92Zr
37,3.4300463915801735,92,40,92Zr
37,3.4582138151949873,92,40,92Zr
38,3.485871893125596,92,40,92Zr
39,3.5130425498710514,92,40,92Zr
40,3.539746245993925,92,40,92Zr
42,3.566002108928694,92,40,92Zr
42,3.5918280492871824,92,40,92Zr
44,3.6172408645667087,92,40,92Zr
45,3.6422563318788717,92,40,92Zr
46,3.666889291077942,92,40,92Zr
47,3.6911537194686597,92,40,92Zr
47,3.715062799106296,92,40,92Zr
48,3.738628977561657,92,40,92Zr
49,3.76186402290521,92,40,92Zr
50,3.784779073564262,92,40,92Zr
52,3.8073846836218395,92,40,92Zr
52,3.829690864053162,92,40,92Zr
54,3.8517071203334043,92,40,92Zr
55,3.873442486796954,92,40,92Zr
56,3.8949055580824523,92,40,92Zr
57,3.916104517958112,92,40,92Zr
58,3.9370471657874693,92,40,92Zr
59,3.9577409408658637,92,40,92Zr
60,3.97819294483196,92,40,92Zr
61,3.998409962335954,92,40,92Zr
62,4.018398480126279,92,40,92Zr
63,4.038164704699274,92,40,92Zr
63,4.0577145786409865,92,40,92Zr
64,4.077053795776843,92,40,92Zr
66,4.096187815233077,92,40,92Zr
67,4.115121874503322,92,40,92Zr
68,4.133861001604464,92,40,92Zr
68,4.1524100263976536,92,40,92Zr
70,4.1707735911430195,92,40,92Zr
70,4.188956160350093,92,40,92Zr
72,4.2069620299802,92,40,92Zr
73,4.224795336051766,92,40,92Zr
74,4.242460062694937,92,40,92Zr
75,4.259960049697661,92,40,92Zr
76,4.277298999581679,92,40,92Zr
77,4.2944804842434765,92,40,92Zr
77,4.31150795119223,92,40,92Zr
78,4.328384729414019,92,40,92Zr
79,4.345114034889158,92,40,92Zr
81,4.361698975787187,92,40,92Zr
82,4.378142557362126,92,40,92Zr
83,4.394447686568689,92,40,92Zr
83,4.410617176418526,92,40,92Zr
84,4.42665375009407,92,40,92Zr
85,4.442560044836103,92,40,92Zr
86,4.458338615620032,92,40,92Zr
88,4.473991938634591,92,40,92Zr
89,4.489522414575741,92,40,92Zr
90,4.504932371767512,92,40,92Zr
91,4.5202240691207285,92,40,92Zr
92,4.535399698939698,92,40,92Zr
92,4.550461389586245,92,40,92Zr
93,4.565411208009788,92,40,92Zr
95,4.5802511621515585,92,40,92Zr
96,4.594983203230453,92,40,92Zr
96,4.60960922791754,92,40,92Zr
98,4.62413108040571,92,40,92Zr
99,4.638550554380561,92,40,92Zr
100,4.652869394898161,92,40,92Zr
101,4.667089300174983,92,40,92Zr
101,4.681211923294948,92,40,92Zr
102,4.695238873838174,92,40,92Zr
103,4.709171719435765,92,40,92Zr
105,4.723011987254651,92,40,92Zr
106,4.736761165416279,92,40,92Zr
107,4.750420704352705,92,40,92Zr
108,4.763992018103362,92,40,92Zr
109,4.7774764855556775,92,40,92Zr
109,4.790875451632425,92,40,92Zr
111,4.804190228428587,92,40,92Zr
111,4.8174220963002705,92,40,92Zr
112,4.830572304908162,92,40,92Zr
114,4.843642074217749,92,40,92Zr
115,4.856632595458494,92,40,92Zr
116,4.869545032043984,92,40,92Zr
117,4.882380520454955,92,40,92Zr
118,4.8951401710869975,92,40,92Zr
118,4.907825069064643,92,40,92Zr
119,4.920436275023444,92,40,92Zr
121,4.932974825861531,92,40,92Zr
122,4.945441735462125,92,40,92Zr
123,4.95783799538832,92,40,92Zr
124,4.970164575551426,92,40,92Zr
124,4.98242242485409,92,40,92Zr
126,4.994612471809341,92,40,92Zr
126,5.006735625136622,92,40,92Zr
127,5.01879277433587,92,40,92Zr
128,5.0307847902406,92,40,92Zr
130,5.042712525550913,92,40,92Zr
131,5.0545768153473185,92,40,92Zr
132,5.066378477586188,92,40,92Zr
133,5.078118313577651,92,40,92Zr
134,5.08979710844666,92,40,92Zr
135,5.101415631577944,92,40,92Zr
135,5.1129746370455464,92,40,92Zr
136,5.124474864027568,92,40,92Zr
138,5.135917037206729,92,40,92Zr
138,5.147301867157365,92,40,92Zr
140,5.158630050719363,92,40,92Zr
140,5.169902271359606,92,40,92Zr
141,5.181119199521419,92,40,92Zr
143,5.192281492962473,92,40,92Zr
144,5.203389797081654,92,40,92Zr
144,5.214444745235281,92,40,92Zr
146,5.225446959043122,92,40,92Zr
146,5.236397048684595,92,40,92Zr
148,5.247295613185537,92,40,92Zr
149,5.258143240695888,92,40,92Zr
