Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.23685695123480463,93,41,93Nb
2,0.35157195257237756,93,41,93Nb
3,0.44294695365674436,93,41,93Nb
4,0.5218459377745779,93,41,93Nb
5,0.5926005048245874,93,41,93Nb
6,0.6574758501755334,93,41,93Nb
7,0.717837846277857,93,41,93Nb
7,0.774587337753474,93,41,93Nb
9,0.8283565364281332,93,41,93Nb
10,0.879609888966359,93,41,93Nb
11,0.9287007996937547,93,41,93Nb
12,0.9759057828378828,93,41,93Nb
12,1.0214461540601902,93,41,93Nb
13,1.0655024137166718,93,41,93Nb
15,1.10822412844149,93,41,93Nb
16,1.149736924975721,93,41,93Nb
17,1.1901475671081565,93,41,93Nb
17,1.2295477224539086,93,41,93Nb
18,1.2680168108336265,93,41,93Nb
20,1.3056241944924323,93,41,93Nb
21,1.3424308873801474,93,41,93Nb
21,1.378490906860427,93,41,93Nb
22,1.413852355424009,93,41,93Nb
23,1.4485582956729897,93,41,93Nb
25,1.482647465010319,93,41,93Nb
26,1.516154864606386,93,41,93Nb
27,1.5491122487207682,93,41,93Nb
28,1.581548534286404,93,41,93Nb
29,1.6134901461203173,93,41,93Nb
29,1.6449613097390219,93,41,93Nb
30,1.6759843012045774,93,41,93Nb
32,1.7065796614833677,93,41,93Nb
33,1.736766381304681,93,41,93Nb
34,1.7665620613459738,93,41,93Nb
35,1.795983051663734,93,41,93Nb
36,1.8250445735726435,93,41,93Nb
37,1.853760826606633,93,41,93Nb
37,1.8821450827400072,93,41,93Nb
38,1.9102097696800655,93,41,93Nb
39,1.937966544745391,93,41,93Nb
40,1.9654263606017335,93,41,93Nb
42,1.992599523928839,93,41,93Nb
42,2.019495747927982,93,41,93Nb
44,2.0461241994445345,93,41,93Nb
45,2.0724935413672,93,41,93Nb
46,2.0986119708714406,93,41,93Nb
47,2.124487253995588,93,41,93Nb
47,2.1501267569715896,93,41,93Nb
48,2.1755374746760374,93,41,93Nb
49,2.200726056519333,93,41,93Nb
50,2.225698830050122,93,41,93Nb
52,2.2504618225173263,93,41,93Nb
52,2.2750207806022402,93,41,93Nb
54,2.299381188507496,93,41,93Nb
55,2.323548284567494,93,41,93Nb
56,2.347527076525792,93,41,93Nb
57,2.3713223556082084,93,41,93Nb
58,2.394938709506009,93,41,93Nb
59,2.4183805343708467,93,41,93Nb
60,2.441652045912101,93,41,93Nb
61,2.4647572896775958,93,41,93Nb
62,2.4877001505901406,93,41,93Nb
63,2.5104843618048727,93,41,93Nb
63,2.533113512945743,93,41,93Nb
64,2.555591057773674,93,41,93Nb
66,2.577920321333704,93,41,93Nb
67,2.600104506623874,93,41,93Nb
68,2.6221467008244828,93,41,93Nb
68,2.6440498811227293,93,41,93Nb
70,2.665816920164484,93,41,93Nb
70,2.687450591162018,93,41,93Nb
72,2.7089535726839684,93,41,93Nb
73,2.730328453151379,93,41,93Nb
74,2.7515777350616797,93,41,93Nb
75,2.772703838960469,93,41,93Nb
76,2.7937091071793274,93,41,93Nb
77,2.814595807356349,93,41,93Nb
77,2.835366135754636,93,41,93Nb
78,2.856022220392828,93,41,93Nb
79,2.876566124000515,93,41,93Nb
81,2.896999846810424,93,41,93Nb
82,2.917325329198263,93,41,93Nb
83,2.937544454180311,93,41,93Nb
83,2.9576590497780217,93,41,93Nb
84,2.9776708912582306,93,41,93Nb
85,2.9975817032568677,93,41,93Nb
86,3.0173931617935574,93,41,93Nb
88,3.037106896183854,93,41,93Nb
89,3.0567244908554376,93,41,93Nb
90,3.076247487074133,93,41,93Nb
91,3.095677384585127,93,41,93Nb
92,3.1150156431745075,93,41,93Nb
92,3.134263684155738,93,41,93Nb
93,3.1534228917855103,93,41,93Nb
95,3.172494614612996,93,41,93Nb
96,3.191480166766316,93,41,93Nb
96,3.2103808291797886,93,41,93Nb
98,3.2291978507652206,93,41,93Nb
99,3.247932449530377,93,41,93Nb
100,3.2665858136474997,93,41,93Nb
101,3.2851591024745925,93,41,93Nb
101,3.303653447531986,93,41,93Nb
102,3.3220699534365976,93,41,93Nb
103,3.3404096987960643,93,41,93Nb
105,3.3586737370648763,93,41,93Nb
106,3.376863097364457,93,41,93Nb
107,3.39497878526904,93,41,93Nb
108,3.4130217835590617,93,41,93Nb
109,3.4309930529437143,93,41,93Nb
109,3.4488935327541896,93,41,93Nb
111,3.4667241416090566,93,41,93Nb
111,3.4844857780531178,93,41,93Nb
112,3.5021793211710652,93,41,93Nb
114,3.51980563117711,93,41,93Nb
115,3.537365549981728,93,41,93Nb
116,3.554859901736639,93,41,93Nb
117,3.572289493358995,93,41,93Nb
118,3.589655115035746,93,41,93Nb
118,3.6069575407091174,93,41,93Nb
119,3.624197528544051,93,41,93Nb
121,3.641375821378396,93,41,93Nb
122,3.6584931471566664,93,41,93Nb
123,3.675550219348064,93,41,93Nb
124,3.692547737349477,93,41,93Nb
124,3.709486386874096,93,41,93Nb
126,3.726366840326294,93,41,93Nb
126,3.743189757163325,93,41,93Nb
127,3.7599557842444518,93,41,93Nb
128,3.7766655561679907,93,41,93Nb
130,3.7933196955968143,93,41,93Nb
131,3.80991881357276,93,41,93Nb
132,3.8264635098204494,93,41,93Nb
133,3.8429543730409,93,41,93Nb
134,3.8593919811953943,93,41,93Nb
135,3.8757769017799633,93,41,93Nb
135,3.892109692090883,93,41,93Nb
136,3.908390899481539,93,41,93Nb
138,3.9246210616109867,93,41,93Nb
138,3.9408007066845534,93,41,93Nb
140,3.9569303536867864,93,41,93Nb
140,3.9730105126070216,93,41,93Nb
