Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.1668572810445335,94,38,94Sr
2,1.4704754117258756,94,38,94Sr
3,1.6834933916898147,94,38,94Sr
4,1.8530954655866425,94,38,94Sr
5,1.996329662216174,94,38,94Sr
6,2.1215410646166175,94,38,94Sr
7,2.23351330078031,94,38,94Sr
7,2.335273869385808,94,38,94Sr
9,2.4288745898095057,94,38,94Sr
10,2.5157778330526352,94,38,94Sr
11,2.5970669394471253,94,38,94Sr
12,2.6735694426081316,94,38,94Sr
12,2.745933425148398,94,38,94Sr
13,2.8146770336986893,94,38,94Sr
15,2.8802218133881814,94,38,94Sr
16,2.9429158650009026,94,38,94Sr
17,3.0030503676834854,94,38,94Sr
17,3.0608716425743743,94,38,94Sr
18,3.116590139203802,94,38,94Sr
20,3.170387248693627,94,38,94Sr
21,3.2224205506512593,94,38,94Sr
21,3.27282791057754,94,38,94Sr
22,3.3217307199362764,94,38,94Sr
23,3.3692364874114085,94,38,94Sr
25,3.4154409326533925,94,38,94Sr
26,3.4604296939402905,94,38,94Sr
27,3.5042797329312414,94,38,94Sr
28,3.547060499376944,94,38,94Sr
29,3.588834903842879,94,38,94Sr
29,3.6296601355673355,94,38,94Sr
30,3.6695883544094814,94,38,94Sr
32,3.7086672796762152,94,38,94Sr
33,3.7469406939137593,94,38,94Sr
34,3.7844488761298494,94,38,94Sr
35,3.821228976101247,94,38,94Sr
36,3.8573153392208472,94,38,94Sr
37,3.892739789602648,94,38,94Sr
37,3.927531877783781,94,38,94Sr
38,3.961719098259693,94,38,94Sr
39,3.9953270812005166,94,38,94Sr
40,4.028379761977709,94,38,94Sr
42,4.060899531544327,94,38,94Sr
42,4.092907370232858,94,38,94Sr
44,4.124422967139861,94,38,94Sr
45,4.155464826940392,94,38,94Sr
46,4.186050365703949,94,38,94Sr
47,4.2161959970575795,94,38,94Sr
47,4.245917209852032,94,38,94Sr
48,4.275228638327504,94,38,94Sr
49,4.304144125640698,94,38,94Sr
50,4.33267678150081,94,38,94Sr
52,4.360839034564924,94,38,94Sr
52,4.388642680160355,94,38,94Sr
54,4.416098923830638,94,38,94Sr
55,4.443218421140742,94,38,94Sr
56,4.470011314124746,94,38,94Sr
57,4.496487264713735,94,38,94Sr
58,4.522655485442474,94,38,94Sr
59,4.548524767699219,94,38,94Sr
60,4.5741035077533825,94,38,94Sr
61,4.599399730769759,94,38,94Sr
62,4.624421112995412,94,38,94Sr
63,4.64917500228531,94,38,94Sr
63,4.67366843711543,94,38,94Sr
64,4.697908164216519,94,38,94Sr
66,4.721900654948213,94,38,94Sr
67,4.745652120521102,94,38,94Sr
68,4.769168526163723,94,38,94Sr
68,4.7924556043219715,94,38,94Sr
70,4.815518866970051,94,38,94Sr
70,4.838363617104502,94,38,94Sr
72,4.860994959486252,94,38,94Sr
73,4.883417810689607,94,38,94Sr
74,4.905636908511681,94,38,94Sr
75,4.927656820791127,94,38,94Sr
76,4.949481953680496,94,38,94Sr
77,4.9711165594128754,94,38,94Sr
77,4.9925647435998215,94,38,94Sr
78,5.01383047209449,94,38,94Sr
79,5.034917577451058,94,38,94Sr
81,5.055829765008888,94,38,94Sr
82,5.076570618627593,94,38,94Sr
83,5.097143606097018,94,38,94Sr
83,5.1175520842442745,94,38,94Sr
84,5.137799303758147,94,38,94Sr
85,5.157888413749662,94,38,94Sr
86,5.177822466066141,94,38,94Sr
88,5.197604419374729,94,38,94Sr
89,5.217237143030172,94,38,94Sr
90,5.236723420740567,94,38,94Sr
91,5.256065954043708,94,38,94Sr
92,5.275267365605823,94,38,94Sr
92,5.2943302023535885,94,38,94Sr
93,5.31325693844954,94,38,94Sr
95,5.332049978120271,94,38,94Sr
96,5.350711658346214,94,38,94Sr
96,5.3692442514211045,94,38,94Sr
98,5.387649967388736,94,38,94Sr
99,5.405930956364078,94,38,94Sr
100,5.42408931074533,94,38,94Sr
101,5.442127067323106,94,38,94Sr
101,5.460046209292488,94,38,94Sr
102,5.477848668173314,94,38,94Sr
103,5.495536325643744,94,38,94Sr
105,5.513111015291825,94,38,94Sr
106,5.530574524289446,94,38,94Sr
107,5.5479285949928405,94,38,94Sr
108,5.5651749264734764,94,38,94Sr
109,5.58231517598304,94,38,94Sr
109,5.599350960355852,94,38,94Sr
111,5.616283857351998,94,38,94Sr
111,5.633115406944136,94,38,94Sr
112,5.649847112550875,94,38,94Sr
114,5.666480442219343,94,38,94Sr
115,5.683016829759484,94,38,94Sr
116,5.699457675832504,94,38,94Sr
117,5.7158043489956,94,38,94Sr
118,5.732058186705172,94,38,94Sr
118,5.748220496280449,94,38,94Sr
119,5.764292555829475,94,38,94Sr
121,5.780275615139126,94,38,94Sr
122,5.796170896530935,94,38,94Sr
123,5.811979595684276,94,38,94Sr
124,5.827702882428372,94,38,94Sr
124,5.843341901504588,94,38,94Sr
126,5.858897773300368,94,38,94Sr
126,5.874371594556017,94,38,94Sr
127,5.889764439045609,94,38,94Sr
128,5.905077358233133,94,38,94Sr
130,5.920311381904969,94,38,94Sr
131,5.935467518779686,94,38,94Sr
132,5.950546757096217,94,38,94Sr
133,5.9655500651812625,94,38,94Sr
134,5.980478391996865,94,38,94Sr
135,5.995332667668906,94,38,94Sr
135,6.010113803997455,94,38,94Sr
136,6.024822694949583,94,38,94Sr
138,6.039460217135478,94,38,94Sr
138,6.054027230268464,94,38,94Sr
140,6.0685245776096375,94,38,94Sr
140,6.08295308639771,94,38,94Sr
141,6.097313568264652,94,38,94Sr
143,6.111606819637732,94,38,94Sr
144,6.125833622128422,94,38,94Sr
144,6.139994742908778,94,38,94Sr
146,6.154090935075726,94,38,94Sr
146,6.168122938003684,94,38,94Sr
148,6.182091477686084,94,38,94Sr
149,6.1959972670661,94,38,94Sr
150,6.209841006357062,94,38,94Sr
150,6.223623383352923,94,38,94Sr
152,6.237345073729156,94,38,94Sr
153,6.251006741334402,94,38,94Sr
154,6.264609038473302,94,38,94Sr
154,6.2781526061807185,94,38,94Sr
156,6.291638074487751,94,38,94Sr
156,6.305066062679798,94,38,94Sr
158,6.318437179546985,94,38,94Sr
