id,distance_metric,distance_type,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,MT_STRATEGY,run_name
11,euclidean,distance,,standard,0.025834378565902285,0.010866473721399643,0.9859021977478132,0.0,0.9859021965330288,0.1187988323045394,0.06333748268851637,0.9165499313916144,0.042118288176547135,0.9165493922865622,0.11943433226081453,0.06483875074842686,0.9135210278967874,0.042138475896396216,0.9135202968507076,E:\ML_Models_EXFOR\KNN_B0\k11_distance_euclidean_standard_one_hot_B0_v4\k11_distance_euclidean_standard_one_hot_B0_v4.joblib,4713.1059634685525,E:\ML_Models_EXFOR\KNN_B0\k11_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
1,euclidean,distance,,standard,0.029087977253575845,0.021552900277880985,0.9724579699145832,0.0,0.9724579353890004,0.14111481141589796,0.09190957242957658,0.8827685025679867,0.04776003361971326,0.8827682312046337,0.1404421424618756,0.08951611242896063,0.8857373690286698,0.04789260431811654,0.8857368000954016,E:\ML_Models_EXFOR\KNN_B0\k1_distance_euclidean_standard_one_hot_B0_v4\k1_distance_euclidean_standard_one_hot_B0_v4.joblib,5352.561099529265,E:\ML_Models_EXFOR\KNN_B0\k1_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
6,euclidean,distance,,standard,0.02601421402695692,0.011178621003722423,0.9855046622866326,0.0,0.985504659381353,0.1196599656756979,0.06492993632320045,0.9133050555708976,0.041135473390173455,0.9133043531696468,0.1182705428979962,0.06267633522878223,0.9170919633107201,0.04106347812406491,0.9170917696677848,E:\ML_Models_EXFOR\KNN_B0\k6_distance_euclidean_standard_one_hot_B0_v4\k6_distance_euclidean_standard_one_hot_B0_v4.joblib,6408.704583883286,E:\ML_Models_EXFOR\KNN_B0\k6_distance_euclidean_standard_one_hot_B0_v4\scaler.pkl,one_hot,
1,euclidean,distance,,robust,0.02915833742324392,0.021519034712134767,0.9724236025968888,0.0,0.972423521809016,0.14142916396302024,0.09173449308306177,0.8823538583760172,0.047762074945969235,0.8823538441894739,0.1427538051015732,0.0947355435467988,0.8783060741255491,0.048158873955560455,0.8783051895233724,E:\ML_Models_EXFOR\KNN_B0\k1_distance_euclidean_robust_one_hot_B0_v4\k1_distance_euclidean_robust_one_hot_B0_v4.joblib,8372.309654474258,E:\ML_Models_EXFOR\KNN_B0\k1_distance_euclidean_robust_one_hot_B0_v4\scaler.pkl,one_hot,
16,euclidean,distance,,robust,0.02580976883479838,0.010877595836199405,0.9858923410202856,0.0,0.9858923397999699,0.12242067908084266,0.06774460719861944,0.9089161650123077,0.043639416918964974,0.9089133360681124,0.12266615952875165,0.06750630251091855,0.909032735014486,0.04387903855137476,0.9090321643948313,E:\ML_Models_EXFOR\KNN_B0\k16_distance_euclidean_robust_one_hot_B0_v4\k16_distance_euclidean_robust_one_hot_B0_v4.joblib,7963.819715976715,E:\ML_Models_EXFOR\KNN_B0\k16_distance_euclidean_robust_one_hot_B0_v4\scaler.pkl,one_hot,
11,euclidean,distance,,robust,0.02588033073700588,0.010965984673333623,0.9857869953021734,0.0,0.9857869951844266,0.12068622312747793,0.0651420770740537,0.9125248766564498,0.04277027302225245,0.9125234743634416,0.12157418239531816,0.06718627976353805,0.9097356852191244,0.04294907694572482,0.9097355525962136,E:\ML_Models_EXFOR\KNN_B0\k11_distance_euclidean_robust_one_hot_B0_v4\k11_distance_euclidean_robust_one_hot_B0_v4.joblib,8221.749804258347,E:\ML_Models_EXFOR\KNN_B0\k11_distance_euclidean_robust_one_hot_B0_v4\scaler.pkl,one_hot,
6,euclidean,distance,,robust,0.02603678054649398,0.011166607523374476,0.9855354634836248,0.0,0.9855354565173596,0.11981308145284973,0.06756123680407915,0.9099145262879392,0.041501776659341016,0.9099135452703176,0.12140112353430554,0.0673494961929761,0.9109788239054196,0.041969421037211074,0.9109786431647304,E:\ML_Models_EXFOR\KNN_B0\k6_distance_euclidean_robust_one_hot_B0_v4\k6_distance_euclidean_robust_one_hot_B0_v4.joblib,9638.389989614489,E:\ML_Models_EXFOR\KNN_B0\k6_distance_euclidean_robust_one_hot_B0_v4\scaler.pkl,one_hot,
11,manhattan,distance,,standard,0.025834378565902285,0.010866473721399643,0.9859021977478132,0.0,0.9859021965330288,0.11740512370187173,0.06135901698605565,0.9192069169825804,0.041790988662511734,0.9192065215456021,0.11817828663794575,0.06334032282647711,0.9156120031038204,0.041862770537306,0.9156116784798636,E:\ML_Models_EXFOR\KNN_B0\k11_distance_manhattan_standard_one_hot_B0_v4\k11_distance_manhattan_standard_one_hot_B0_v4.joblib,6936.128330469132,E:\ML_Models_EXFOR\KNN_B0\k11_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
1,manhattan,distance,,standard,0.029087977253575845,0.021552900277880985,0.9724579699145832,0.0,0.9724579353890004,0.14055571961108773,0.09060338892150972,0.8844026542373755,0.04767166285108188,0.884402415003204,0.13990163003466313,0.08860740740696152,0.8868846652698399,0.04776757067700022,0.8868840292210989,E:\ML_Models_EXFOR\KNN_B0\k1_distance_manhattan_standard_one_hot_B0_v4\k1_distance_manhattan_standard_one_hot_B0_v4.joblib,7650.943023681641,E:\ML_Models_EXFOR\KNN_B0\k1_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
6,manhattan,distance,,standard,0.02601421402695692,0.011178621003722423,0.9855046622866326,0.0,0.985504659381353,0.11863276893293236,0.06352545621108294,0.915293684188094,0.040941104645043636,0.9152925774694608,0.11720385570904575,0.06128127612511676,0.9190198753407554,0.04082276921736308,0.9190193764334421,E:\ML_Models_EXFOR\KNN_B0\k6_distance_manhattan_standard_one_hot_B0_v4\k6_distance_manhattan_standard_one_hot_B0_v4.joblib,8173.345602989197,E:\ML_Models_EXFOR\KNN_B0\k6_distance_manhattan_standard_one_hot_B0_v4\scaler.pkl,one_hot,
