id,distance_metric,distance_type,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,run_name
9,euclidean,distance,one_hot,robust,0.02587618115171144,0.010963261007154524,0.985780360689034,0.0,0.98578036020034,0.1155028171713444,0.059201288091761325,0.9216839481028488,0.040791525832755936,0.9216833730861096,0.11520301230207727,0.05953523434549034,0.9213084500306136,0.040772914894500856,0.9213076027073376,E:\ML_Models_EXFOR\KNN_B1\k9_distance_euclidean_robust_one_hot_B1_v1\k9_distance_euclidean_robust_one_hot_B1_v1.joblib,1019.0792503356934,E:\ML_Models_EXFOR\KNN_B1\k9_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k9_distance_euclidean_robust_one_hot_B1_v1
5,euclidean,distance,one_hot,robust,0.02606296257531996,0.011241999706134459,0.9854260964895748,0.0,0.9854260959356278,0.117405924413056,0.061491631574056585,0.9197080170550956,0.04080027396121688,0.9197076264218264,0.11652981065189966,0.06107569915567077,0.9188341623943348,0.040695876846244566,0.9188321399767588,E:\ML_Models_EXFOR\KNN_B1\k5_distance_euclidean_robust_one_hot_B1_v1\k5_distance_euclidean_robust_one_hot_B1_v1.joblib,1413.1954131126404,E:\ML_Models_EXFOR\KNN_B1\k5_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k5_distance_euclidean_robust_one_hot_B1_v1
1,euclidean,distance,one_hot,robust,0.029166343769822908,0.02149759956962612,0.972529115073958,0.0,0.9725289681705171,0.13938181086680165,0.0877358173236329,0.8884281187656248,0.04751448216643658,0.8884270455269135,0.13941525846401778,0.08757952524527716,0.8877734533661975,0.04743845842556055,0.8877725055922853,E:\ML_Models_EXFOR\KNN_B1\k1_distance_euclidean_robust_one_hot_B1_v1\k1_distance_euclidean_robust_one_hot_B1_v1.joblib,1577.4634544849396,E:\ML_Models_EXFOR\KNN_B1\k1_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k1_distance_euclidean_robust_one_hot_B1_v1
17,euclidean,distance,one_hot,robust,0.0258271651622963,0.010900384358995216,0.9858653012764176,0.0,0.9858652988536896,0.11604358471043567,0.060035723009919474,0.9195079915402486,0.04202590496090902,0.9195074607187578,0.11568706135786047,0.058166460751830636,0.9225019648588112,0.042223470138794635,0.9225019643904144,E:\ML_Models_EXFOR\KNN_B1\k17_distance_euclidean_robust_one_hot_B1_v1\k17_distance_euclidean_robust_one_hot_B1_v1.joblib,1536.123244047165,E:\ML_Models_EXFOR\KNN_B1\k17_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k17_distance_euclidean_robust_one_hot_B1_v1
13,euclidean,distance,one_hot,robust,0.025837477703812128,0.010909006052519472,0.9858424558274372,0.0,0.985842454220244,0.11572869928287527,0.059264145044621214,0.9212052762625949,0.041591072165180654,0.9212041874459896,0.11604937194525135,0.06062026797829183,0.918790523453718,0.041392685158225064,0.9187905225568892,E:\ML_Models_EXFOR\KNN_B1\k13_distance_euclidean_robust_one_hot_B1_v1\k13_distance_euclidean_robust_one_hot_B1_v1.joblib,2221.432976007461,E:\ML_Models_EXFOR\KNN_B1\k13_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k13_distance_euclidean_robust_one_hot_B1_v1
9,manhattan,distance,one_hot,robust,0.02587618115171144,0.010963261007154524,0.985780360689034,0.0,0.98578036020034,0.11550300013931394,0.059326281075631364,0.9215071032718054,0.04077312171493402,0.9215065733344512,0.11517075090233085,0.05965818317615852,0.9211276675112252,0.040772914894500856,0.9211269534282034,E:\ML_Models_EXFOR\KNN_B1\k9_distance_manhattan_robust_one_hot_B1_v1\k9_distance_manhattan_robust_one_hot_B1_v1.joblib,1703.5809881687164,E:\ML_Models_EXFOR\KNN_B1\k9_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k9_distance_manhattan_robust_one_hot_B1_v1
5,manhattan,distance,one_hot,robust,0.02606296257531996,0.011241999706134459,0.9854260964895748,0.0,0.9854260959356278,0.11741167124338335,0.06155266507344517,0.9196247236634516,0.040791300978512524,0.9196243098819472,0.1165756877223796,0.06133223527160035,0.9184556082164872,0.0406874638035884,0.9184537187244184,E:\ML_Models_EXFOR\KNN_B1\k5_distance_manhattan_robust_one_hot_B1_v1\k5_distance_manhattan_robust_one_hot_B1_v1.joblib,1766.3181450366974,E:\ML_Models_EXFOR\KNN_B1\k5_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k5_distance_manhattan_robust_one_hot_B1_v1
17,manhattan,distance,one_hot,robust,0.0258271651622963,0.010900384358995216,0.9858653012764176,0.0,0.9858652988536896,0.116001474266012,0.06009192233429581,0.919425482796942,0.042009248854783736,0.9194249867701304,0.11564044677066525,0.05819290495160336,0.9224291585615652,0.042202428022080934,0.9224291582011324,E:\ML_Models_EXFOR\KNN_B1\k17_distance_manhattan_robust_one_hot_B1_v1\k17_distance_manhattan_robust_one_hot_B1_v1.joblib,1710.176914215088,E:\ML_Models_EXFOR\KNN_B1\k17_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k17_distance_manhattan_robust_one_hot_B1_v1
1,manhattan,distance,one_hot,robust,0.029166343769822908,0.02149759956962612,0.972529115073958,0.0,0.9725289681705171,0.13940231172626796,0.08783029974763999,0.8882704888031242,0.04751641572185136,0.8882694481327019,0.13945318509270954,0.08784881795070258,0.8874262983947049,0.04743748209012239,0.8874253549499147,E:\ML_Models_EXFOR\KNN_B1\k1_distance_manhattan_robust_one_hot_B1_v1\k1_distance_manhattan_robust_one_hot_B1_v1.joblib,1834.1709702014925,E:\ML_Models_EXFOR\KNN_B1\k1_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k1_distance_manhattan_robust_one_hot_B1_v1
13,manhattan,distance,one_hot,robust,0.025837477703812128,0.010909006052519474,0.9858424558274372,0.0,0.985842454220244,0.1156967366335155,0.05927293167093916,0.921174024287226,0.04157401756109175,0.9211729302559388,0.1160162004240494,0.06069537973533708,0.9186647695676275,0.04137016936879667,0.91866476543322,E:\ML_Models_EXFOR\KNN_B1\k13_distance_manhattan_robust_one_hot_B1_v1\k13_distance_manhattan_robust_one_hot_B1_v1.joblib,2184.203105211258,E:\ML_Models_EXFOR\KNN_B1\k13_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k13_distance_manhattan_robust_one_hot_B1_v1
10,euclidean,distance,one_hot,robust,0.025863729471083167,0.01093517876347963,0.9858112117727604,0.0,0.9858112110919176,0.11548610444215125,0.05901605812559521,0.9218319262254058,0.040936098234199185,0.9218315277188704,0.11509533050739056,0.0593076163801186,0.9214918648304734,0.040911932161447284,0.9214912824852096,E:\ML_Models_EXFOR\KNN_B1\k10_distance_euclidean_robust_one_hot_B1_v1\k10_distance_euclidean_robust_one_hot_B1_v1.joblib,1909.4400215148928,E:\ML_Models_EXFOR\KNN_B1\k10_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k10_distance_euclidean_robust_one_hot_B1_v1
6,euclidean,distance,one_hot,robust,0.025989557463150983,0.011113669967073336,0.9855875717157316,0.0,0.9855875717151112,0.11664167723013355,0.06061825954871145,0.9207282174138348,0.04084164359784875,0.9207278822880904,0.11569381178469268,0.060132993267803636,0.9199817810995656,0.04064306939719714,0.9199799638927648,E:\ML_Models_EXFOR\KNN_B1\k6_distance_euclidean_robust_one_hot_B1_v1\k6_distance_euclidean_robust_one_hot_B1_v1.joblib,1716.8313093185425,E:\ML_Models_EXFOR\KNN_B1\k6_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k6_distance_euclidean_robust_one_hot_B1_v1
18,euclidean,distance,one_hot,robust,0.025823529444893044,0.01089474885832177,0.9858720385320732,0.0,0.9858720367525868,0.11613705478770285,0.060002292039813325,0.9195101394290311,0.04221977236416263,0.9195097137778352,0.1157936604861843,0.05816144153359705,0.922470363962308,0.04237450718061708,0.922470362618028,E:\ML_Models_EXFOR\KNN_B1\k18_distance_euclidean_robust_one_hot_B1_v1\k18_distance_euclidean_robust_one_hot_B1_v1.joblib,1788.751662492752,E:\ML_Models_EXFOR\KNN_B1\k18_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k18_distance_euclidean_robust_one_hot_B1_v1
2,euclidean,distance,one_hot,robust,0.027577115304642942,0.01360410078045705,0.982437456061854,0.0,0.9824374297717156,0.12495056638176424,0.07106428972137717,0.9078654242342906,0.04167752348955267,0.9078650789943776,0.12517115342802168,0.07101845034226306,0.9072005486050012,0.04189597354663044,0.907199428662128,E:\ML_Models_EXFOR\KNN_B1\k2_distance_euclidean_robust_one_hot_B1_v1\k2_distance_euclidean_robust_one_hot_B1_v1.joblib,1864.4607989788053,E:\ML_Models_EXFOR\KNN_B1\k2_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k2_distance_euclidean_robust_one_hot_B1_v1
14,euclidean,distance,one_hot,robust,0.02583171105150077,0.010897757935005324,0.9858559646151952,0.0,0.9858559627247416,0.11579425216426605,0.0592128783728097,0.9212008920252184,0.041761700300197935,0.9211995997566508,0.11610480787939804,0.0605302730194338,0.9188544554581534,0.0415384579081966,0.9188544430749238,E:\ML_Models_EXFOR\KNN_B1\k14_distance_euclidean_robust_one_hot_B1_v1\k14_distance_euclidean_robust_one_hot_B1_v1.joblib,2208.7696075439453,E:\ML_Models_EXFOR\KNN_B1\k14_distance_euclidean_robust_one_hot_B1_v1\scaler.pkl,k14_distance_euclidean_robust_one_hot_B1_v1
10,manhattan,distance,one_hot,robust,0.025863729471083167,0.01093517876347963,0.9858112117727604,0.0,0.9858112110919176,0.11548785546808488,0.05913010181241789,0.9216709591625264,0.04093338693777337,0.9216705965925079,0.11506139903799845,0.0594100905868653,0.921340372319693,0.0409168040730129,0.9213398850956656,E:\ML_Models_EXFOR\KNN_B1\k10_distance_manhattan_robust_one_hot_B1_v1\k10_distance_manhattan_robust_one_hot_B1_v1.joblib,1903.2613978385925,E:\ML_Models_EXFOR\KNN_B1\k10_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k10_distance_manhattan_robust_one_hot_B1_v1
6,manhattan,distance,one_hot,robust,0.025989557463150983,0.011113669967073336,0.9855875717157316,0.0,0.9855875717151112,0.11664089148167775,0.06067735987515505,0.9206460124798362,0.040840427393176885,0.9206456697290876,0.11573776922679105,0.0603653656443947,0.9196311011878724,0.04064045736118893,0.9196294205663402,E:\ML_Models_EXFOR\KNN_B1\k6_distance_manhattan_robust_one_hot_B1_v1\k6_distance_manhattan_robust_one_hot_B1_v1.joblib,1755.3705677986145,E:\ML_Models_EXFOR\KNN_B1\k6_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k6_distance_manhattan_robust_one_hot_B1_v1
18,manhattan,distance,one_hot,robust,0.025823529444893044,0.01089474885832177,0.9858720385320732,0.0,0.9858720367525868,0.11609369780882413,0.06006369373029088,0.9194201923888494,0.04218999240989979,0.9194197991463148,0.11574430924108625,0.058186211197288736,0.9224011202743456,0.04235746518715034,0.9224011140118398,E:\ML_Models_EXFOR\KNN_B1\k18_distance_manhattan_robust_one_hot_B1_v1\k18_distance_manhattan_robust_one_hot_B1_v1.joblib,1914.276888847351,E:\ML_Models_EXFOR\KNN_B1\k18_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k18_distance_manhattan_robust_one_hot_B1_v1
2,manhattan,distance,one_hot,robust,0.027577115304642942,0.01360410078045705,0.9824374560618541,0.0,0.9824374297717156,0.12493350608105275,0.07100194430889616,0.9079155717403816,0.041675111986636086,0.9079152725848548,0.12523640880378345,0.07134791832947268,0.906764730026206,0.0418948125730223,0.9067635948283752,E:\ML_Models_EXFOR\KNN_B1\k2_distance_manhattan_robust_one_hot_B1_v1\k2_distance_manhattan_robust_one_hot_B1_v1.joblib,2139.286376953125,E:\ML_Models_EXFOR\KNN_B1\k2_distance_manhattan_robust_one_hot_B1_v1\scaler.pkl,k2_distance_manhattan_robust_one_hot_B1_v1
