id,max_depth,mss,mslmt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path,mt_strategy,msl
1,60,2,,standard,0.02737189269788634,0.01167485410663944,0.9848441330954896,0.0,0.9848441330954896,0.1354156727130234,0.07997273793130896,0.8963923750954343,0.047892612638064935,0.8963902126256041,0.1343534015110391,0.0789798342594404,0.8973010835375966,0.04729720598141468,0.89730087958265,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_standard_one_hot_B1_v1\DT60_MSS2_MSL1_standard_one_hot_B1_v1.joblib,50.14931106567383,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_standard_one_hot_B1_v1\scaler.pkl,one_hot,1.0
1,60,2,,minmax,0.02726903448063056,0.011599774389041006,0.9849369048556921,0.0,0.9849369048556921,0.13540896625300208,0.08135226892623723,0.8954586594362344,0.04789986208401365,0.8954577456579371,0.13426093409908788,0.07960051489189067,0.8964792595645809,0.047281424493930635,0.8964780310103655,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_minmax_one_hot_B1_v1\DT60_MSS2_MSL1_minmax_one_hot_B1_v1.joblib,49.16209769248962,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_minmax_one_hot_B1_v1\scaler.pkl,one_hot,1.0
1,60,2,,maxabs,0.02733066938498441,0.011661280587051796,0.9848610126970844,0.0,0.9848610126970844,0.13561153102303294,0.08250101062163226,0.8935643396646478,0.047526532761100304,0.8935624047757249,0.13484542541111874,0.08037090226986933,0.8955317710681117,0.04776169266269786,0.8955309295921882,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_maxabs_one_hot_B1_v1\DT60_MSS2_MSL1_maxabs_one_hot_B1_v1.joblib,49.262932777404785,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_maxabs_one_hot_B1_v1\scaler.pkl,one_hot,1.0
1,60,2,,robust,0.02729066715066881,0.01163432797720733,0.9848947515061108,0.0,0.9848947515061108,0.1360807272874084,0.08216188249309098,0.8951048672343237,0.04755164120103428,0.8951034192385448,0.13519767122513213,0.08005067677614494,0.8959476365723297,0.047897834676072885,0.8959425366090845,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_robust_one_hot_B1_v1\DT60_MSS2_MSL1_robust_one_hot_B1_v1.joblib,49.09609270095825,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_robust_one_hot_B1_v1\scaler.pkl,one_hot,1.0
1,60,2,,quantilenormal,0.02736293326042976,0.01169750070354051,0.9848214105720694,0.0,0.9848214105720694,0.13455131259618786,0.07926486724052326,0.8971913929188471,0.04767509913532103,0.8971907101086394,0.1357972901123855,0.08142994433537308,0.8943921689333637,0.04767057104415196,0.8943920342071783,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_quantilenormal_one_hot_B1_v1\DT60_MSS2_MSL1_quantilenormal_one_hot_B1_v1.joblib,49.06206631660461,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_quantilenormal_one_hot_B1_v1\scaler.pkl,one_hot,1.0
1,60,2,,poweryeo,0.02720308585970334,0.011581869909058002,0.9849655771233364,0.0,0.9849655771233364,0.1352937560102888,0.07922616378858577,0.8977279172784632,0.04797547168375893,0.8977230813623965,0.13444384756125566,0.08104903394663494,0.8947297166431005,0.04723121306056066,0.8947292511142453,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_poweryeo_one_hot_B1_v1\DT60_MSS2_MSL1_poweryeo_one_hot_B1_v1.joblib,47.826796054840095,E:\ML_Models_EXFOR\DT_B1\DT60_MSS2_MSL1_poweryeo_one_hot_B1_v1\scaler.pkl,one_hot,1.0
6,60,5,,standard,0.05312298173043836,0.017298016745436417,0.9773792230697536,0.014184697479460606,0.9773792230697536,0.130555971487867,0.07368296988870524,0.9036584367723832,0.0467974514093209,0.90365684133868,0.1297088164156176,0.07295314030353957,0.9043309270783768,0.046475370050551,0.9043305570816942,E:\ML_Models_EXFOR\DT_B1\DT60_MSS5_MSL1_standard_one_hot_B1_v1\DT60_MSS5_MSL1_standard_one_hot_B1_v1.joblib,46.16042947769165,E:\ML_Models_EXFOR\DT_B1\DT60_MSS5_MSL1_standard_one_hot_B1_v1\scaler.pkl,one_hot,1.0
6,60,5,,minmax,0.053110224627392975,0.01726413170888562,0.9774152285545016,0.01421574074624754,0.9774152285545016,0.13065853008043676,0.07507023831419382,0.9026848785026416,0.04690061729772371,0.9026845010770352,0.12974924942191374,0.0737174748188762,0.9034410224787441,0.04629134355291548,0.9034403928135156,E:\ML_Models_EXFOR\DT_B1\DT60_MSS5_MSL1_minmax_one_hot_B1_v1\DT60_MSS5_MSL1_minmax_one_hot_B1_v1.joblib,45.21520686149597,E:\ML_Models_EXFOR\DT_B1\DT60_MSS5_MSL1_minmax_one_hot_B1_v1\scaler.pkl,one_hot,1.0
6,60,5,,maxabs,0.053114307711691566,0.017256569527202375,0.9774331338037774,0.014200043005445197,0.9774331338037774,0.13061619849569547,0.07557254832696672,0.901448338520977,0.04651430404138235,0.9014475741968968,0.12995033414274124,0.07372525218709597,0.9034021429604296,0.046788511479379784,0.9034015881309624,E:\ML_Models_EXFOR\DT_B1\DT60_MSS5_MSL1_maxabs_one_hot_B1_v1\DT60_MSS5_MSL1_maxabs_one_hot_B1_v1.joblib,46.92560267448425,E:\ML_Models_EXFOR\DT_B1\DT60_MSS5_MSL1_maxabs_one_hot_B1_v1\scaler.pkl,one_hot,1.0
6,60,5,,robust,0.053055460210543706,0.017280135094226292,0.9773989366965656,0.014168068625835415,0.9773989366965656,0.1313834948657967,0.07542734674885189,0.9028691167934813,0.04684470653723027,0.9028679918347818,0.13031454928500313,0.0734187246003233,0.9037132150871864,0.046953706992050086,0.9037095722284312,E:\ML_Models_EXFOR\DT_B1\DT60_MSS5_MSL1_robust_one_hot_B1_v1\DT60_MSS5_MSL1_robust_one_hot_B1_v1.joblib,46.48049187660217,E:\ML_Models_EXFOR\DT_B1\DT60_MSS5_MSL1_robust_one_hot_B1_v1\scaler.pkl,one_hot,1.0
