id,max_depth,mss,msl,mt_strategy,normalizer,train_mae,train_mse,train_evs,train_mae_m,train_r2,val_mae,val_mse,val_evs,val_mae_m,val_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time,scaler_path
1,60,2,1,one_hot,standard,0.0272464655034492,0.0115974089193565,0.9849375872644586,0.0,0.9849375872644586,0.1341476498357316,0.0790090301530239,0.8983421189176766,0.0476174269447989,0.8983399670522821,0.135704310756359,0.0813814433188018,0.8950136054929372,0.0479661420479072,0.8950134876071871,E:\ML_Models_EXFOR\DT_B0\DT60_MSS2_MSL1_standard_one_hot_B0_v1\DT60_MSS2_MSL1_standard_one_hot_B0_v1.joblib,37.58473491668701,E:\ML_Models_EXFOR\DT_B0\DT60_MSS2_MSL1_standard_one_hot_B0_v1\scaler.pkl
6,60,5,1,one_hot,standard,0.0530343242740778,0.017223315880213,0.9774661559143846,0.014150574915718,0.9774661559143846,0.1295903818255679,0.0729541578290042,0.9054000830446725,0.0466173969219931,0.9053984108435416,0.13081637546928,0.0746075732104632,0.9028922234446692,0.0467229413195126,0.9028922203858448,E:\ML_Models_EXFOR\DT_B0\DT60_MSS5_MSL1_standard_one_hot_B0_v1\DT60_MSS5_MSL1_standard_one_hot_B0_v1.joblib,35.93927049636841,E:\ML_Models_EXFOR\DT_B0\DT60_MSS5_MSL1_standard_one_hot_B0_v1\scaler.pkl
7,60,5,3,one_hot,standard,0.0778976677412842,0.0283927033206995,0.9623019782854696,0.0266351723231053,0.9623019782854696,0.1223522646882471,0.0616056355830461,0.9187590872294322,0.0459882782183553,0.9187590867604424,0.123352692244252,0.0627532929189323,0.9168266344444276,0.0459025416506478,0.9168255260150632,E:\ML_Models_EXFOR\DT_B0\DT60_MSS5_MSL3_standard_one_hot_B0_v1\DT60_MSS5_MSL3_standard_one_hot_B0_v1.joblib,34.89425444602966,E:\ML_Models_EXFOR\DT_B0\DT60_MSS5_MSL3_standard_one_hot_B0_v1\scaler.pkl
11,60,10,1,one_hot,standard,0.0708850293067134,0.0241259165010526,0.9681475950705823,0.02429934093992,0.9681475950705823,0.1243137838325755,0.0663692085545079,0.9130282831154994,0.0460324522498565,0.9130258975084004,0.1256608696524094,0.0680285334317766,0.9104575984992628,0.0459637343159169,0.9104575982433688,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL1_standard_one_hot_B0_v1\DT60_MSS10_MSL1_standard_one_hot_B0_v1.joblib,35.0695436000824,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL1_standard_one_hot_B0_v1\scaler.pkl
12,60,10,3,one_hot,standard,0.0826157789246361,0.0306215800977485,0.95922194079148,0.0295971043891262,0.95922194079148,0.1212693547858449,0.0599924330490805,0.9206106811899308,0.0460774777041469,0.9206105976297516,0.1221917401216004,0.0611864305067844,0.918583933319492,0.046094003551282,0.9185829095777394,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL3_standard_one_hot_B0_v1\DT60_MSS10_MSL3_standard_one_hot_B0_v1.joblib,35.305323123931885,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL3_standard_one_hot_B0_v1\scaler.pkl
13,60,10,5,one_hot,standard,0.0884409272587552,0.034224697303031,0.954204014065722,0.0326443096934395,0.954204014065722,0.1193540823614007,0.0579773009602344,0.922953178408092,0.0462437967181929,0.9229521497380452,0.1199425203336023,0.0586617162214844,0.9216477328406592,0.046237331670116,0.9216472694989007,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL5_standard_one_hot_B0_v1\DT60_MSS10_MSL5_standard_one_hot_B0_v1.joblib,35.31625151634216,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL5_standard_one_hot_B0_v1\scaler.pkl
14,60,10,7,one_hot,standard,0.0945124910880728,0.0381402019210226,0.948695887621712,0.0359761815275159,0.948695887621712,0.1189437062102056,0.0575472692185974,0.923135247415638,0.0467602055601473,0.9231347723448164,0.119793711247708,0.0586476087152203,0.9210984704945848,0.046733286143282,0.9210975921835676,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL7_standard_one_hot_B0_v1\DT60_MSS10_MSL7_standard_one_hot_B0_v1.joblib,35.5556845664978,E:\ML_Models_EXFOR\DT_B0\DT60_MSS10_MSL7_standard_one_hot_B0_v1\scaler.pkl
16,60,15,1,one_hot,standard,0.0802306941697844,0.0285744163395239,0.9620515556155222,0.0293883643177885,0.9620515556155222,0.1221003086840554,0.063068596303275,0.9168168678134196,0.0461826073794044,0.9168149454710102,0.1232970794720947,0.0645670332435052,0.9144025191176672,0.0461368001281974,0.9144025188155018,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL1_standard_one_hot_B0_v1\DT60_MSS15_MSL1_standard_one_hot_B0_v1.joblib,35.307210206985474,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL1_standard_one_hot_B0_v1\scaler.pkl
17,60,15,3,one_hot,standard,0.0881921653639927,0.0334036270199729,0.9553517400571304,0.0329301345275632,0.9553517400571304,0.1202758562177538,0.0584586999357998,0.9222849695470214,0.0464944832624224,0.922284765115554,0.1212690895425685,0.0597701921692052,0.9201152422855746,0.0465068194376046,0.9201146210592832,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL3_standard_one_hot_B0_v1\DT60_MSS15_MSL3_standard_one_hot_B0_v1.joblib,34.751962423324585,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL3_standard_one_hot_B0_v1\scaler.pkl
18,60,15,5,one_hot,standard,0.0916198268501421,0.035816854826058,0.9519712283949674,0.0346300597461551,0.9519712283949674,0.119324196106048,0.057514170458881,0.9233779981320024,0.0467894380781685,0.9233770181637068,0.119986568254354,0.0581894807892656,0.9220907268678842,0.0466744927495404,0.9220904399918948,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL5_standard_one_hot_B0_v1\DT60_MSS15_MSL5_standard_one_hot_B0_v1.joblib,35.000407218933105,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL5_standard_one_hot_B0_v1\scaler.pkl
19,60,15,7,one_hot,standard,0.0948378102841661,0.0383055610336715,0.9484619918890428,0.0361859798952082,0.9484619918890428,0.1190273983418989,0.05759058969012,0.9230430172832126,0.046802803856742,0.9230425020852822,0.1198969836214754,0.0586537188471132,0.9210725181085092,0.0468564150210908,0.92107167057868,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL7_standard_one_hot_B0_v1\DT60_MSS15_MSL7_standard_one_hot_B0_v1.joblib,34.960773229599,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL7_standard_one_hot_B0_v1\scaler.pkl
20,60,15,10,one_hot,standard,0.1007003554389967,0.0423484313709232,0.9427109124740612,0.0393456620789959,0.9427109124740612,0.1196017343356414,0.0575406504700318,0.9226296435236948,0.0477464393349221,0.9226294854112528,0.1203930775341167,0.0582684304495728,0.9210833378023308,0.0477863584787832,0.9210825254456048,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL10_standard_one_hot_B0_v1\DT60_MSS15_MSL10_standard_one_hot_B0_v1.joblib,35.318477630615234,E:\ML_Models_EXFOR\DT_B0\DT60_MSS15_MSL10_standard_one_hot_B0_v1\scaler.pkl
21,70,2,1,one_hot,standard,0.0267696585015735,0.0113102509456416,0.9853160170037156,0.0,0.9853160170037156,0.1342427847277502,0.0792312523904056,0.8981059215673912,0.0475821320821709,0.8981037359560785,0.1357545145730882,0.0815621120985627,0.8947771742762239,0.0479177535038078,0.8947770516349145,E:\ML_Models_EXFOR\DT_B0\DT70_MSS2_MSL1_standard_one_hot_B0_v1\DT70_MSS2_MSL1_standard_one_hot_B0_v1.joblib,38.87613272666931,E:\ML_Models_EXFOR\DT_B0\DT70_MSS2_MSL1_standard_one_hot_B0_v1\scaler.pkl
26,70,5,1,one_hot,standard,0.052665433681314,0.016968810964953,0.9778065231894496,0.0140949466185439,0.9778065231894496,0.1296075393270054,0.0730054901178219,0.9053817768715616,0.0465790458505236,0.9053800132325044,0.1308622120732137,0.0747287961904953,0.9027655845783148,0.0467022704268305,0.9027655836726848,E:\ML_Models_EXFOR\DT_B0\DT70_MSS5_MSL1_standard_one_hot_B0_v1\DT70_MSS5_MSL1_standard_one_hot_B0_v1.joblib,35.662501096725464,E:\ML_Models_EXFOR\DT_B0\DT70_MSS5_MSL1_standard_one_hot_B0_v1\scaler.pkl
27,70,5,3,one_hot,standard,0.0777978948636683,0.0283020795655203,0.9624268237028396,0.0266166178301034,0.9624268237028396,0.1223210770042995,0.0616302009165822,0.9187707521416064,0.0459792609612725,0.9187707364511096,0.1233523652375372,0.0627791962557538,0.9167982997769494,0.0458999140986514,0.9167972204027284,E:\ML_Models_EXFOR\DT_B0\DT70_MSS5_MSL3_standard_one_hot_B0_v1\DT70_MSS5_MSL3_standard_one_hot_B0_v1.joblib,35.60663986206055,E:\ML_Models_EXFOR\DT_B0\DT70_MSS5_MSL3_standard_one_hot_B0_v1\scaler.pkl
31,70,10,1,one_hot,standard,0.0705975149691239,0.0239135197781747,0.968436864163038,0.0242387843540478,0.968436864163038,0.1243005913825929,0.0663992647744742,0.9130175738376614,0.0459968314869359,0.913015095696658,0.1256646672987857,0.0680442507703481,0.9104124562557112,0.0459393870871681,0.9104124542492312,E:\ML_Models_EXFOR\DT_B0\DT70_MSS10_MSL1_standard_one_hot_B0_v1\DT70_MSS10_MSL1_standard_one_hot_B0_v1.joblib,35.531657218933105,E:\ML_Models_EXFOR\DT_B0\DT70_MSS10_MSL1_standard_one_hot_B0_v1\scaler.pkl
