epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,0.16464019506425753,0.25298324,0.1646399,0.1359504075435895,0.2284126,0.13595045
1,0.13362360690528907,0.22698408,0.13362356,0.12849468993449387,0.22120963,0.12849474
2,0.12853193780638605,0.22125858,0.12853163,0.12552824446738617,0.22066486,0.12552823
3,0.13356908286677197,0.225797,0.13356908,0.13268673305102074,0.22450508,0.13268666
4,0.1369080070310863,0.22930585,0.13690785,0.21667044054274562,0.29222205,0.21667047
5,0.1650529930562437,0.24837083,0.16505302,0.1619710962759335,0.24215877,0.16197105
6,0.2811696073603218,0.28893462,0.28116956,0.7733630840514961,0.5794937,0.7733628
7,0.7713066922794591,0.5797396,0.7713069,0.7769151224047008,0.5794704,0.7769158
8,0.771129610838415,0.5796107,0.7711301,0.7738748112160465,0.5787369,0.7738749
9,0.7709893655713911,0.579542,0.7709892,0.7729253899048981,0.5799167,0.7729252
10,0.7709758891713019,0.57943904,0.7709768,0.7734306220506307,0.5787651,0.7734313
11,0.7707549113494016,0.5793489,0.77075607,0.7728628895185452,0.5799943,0.77286327
12,0.7707902557299662,0.5793276,0.77078927,0.7733495010265264,0.5812508,0.77334994
