id,train_mae,train_mse,train_evs,train_mae_m,train_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,training_time,model_path
7,0.025993707,0.011137335,0.9855665790000001,0.0,0.985566568,0.118840393,0.06376934599999999,0.91542494,0.041653768,0.915424903,2.8624687189999998,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k1.joblib
8,0.025978685,0.011117100000000001,0.985593345,0.0,0.9855933309999999,0.118742277,0.063481825,0.915700327,0.041745327,0.915700244,2.874483347,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k2.joblib
9,0.025949275,0.011070278000000001,0.985654495,0.0,0.985654481,0.11874058800000001,0.063287094,0.915859967,0.041949424000000006,0.9158598020000001,3.3484177589999997,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k3.joblib
10,0.025920476,0.011025911999999999,0.985712941,0.0,0.9857129240000001,0.118800346,0.063189178,0.9159108290000001,0.042125102000000005,0.915910619,3.184672356,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k4.joblib
11,0.025908507999999997,0.011010316000000001,0.985732408,0.0,0.9857323929999999,0.11892667900000001,0.063193734,0.9158163020000001,0.042283779,0.915816009,3.3017501830000002,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k5.joblib
12,0.025897853,0.010999868000000001,0.985746992,0.0,0.9857469729999999,0.119108108,0.063244204,0.915671701,0.042469165999999996,0.915671351,2.9088525769999998,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k6.joblib
1,0.029321331000000003,0.022058447000000002,0.9718347740000001,0.0,0.9718347390000001,0.140875791,0.09031828,0.8849394840000001,0.04784477400000001,0.8849384490000001,0.0,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k1.joblib
2,0.02772259,0.013892226,0.982083426,0.0,0.98208338,0.126605246,0.073319559,0.904625929,0.04230972,0.9046256229999999,0.0,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k2.joblib
3,0.026617627,0.012086939,0.984373055,0.0,0.984372997,0.12262991699999999,0.068217081,0.910532612,0.042176212000000005,0.910532497,0.0,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k3.joblib
4,0.026250469,0.011562405,0.9850347140000001,0.0,0.9850346809999999,0.120511,0.065955184,0.913126181,0.04153067,0.9131261390000001,0.0,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k4.joblib
5,0.026110041,0.011337723999999999,0.9853139040000001,0.0,0.9853138909999999,0.11962589400000001,0.06484819,0.9143199740000001,0.041598205,0.9143199679999999,0.0,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k5.joblib
6,0.026031695,0.011218934,0.9854622140000001,0.0,0.9854622040000001,0.119073112,0.064166035,0.915037422,0.041557355,0.915037419,0.0,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k6.joblib
13,0.025885547999999998,0.010976986999999999,0.9857756240000001,0.0,0.985775607,0.119311125,0.063319326,0.915481715,0.042692895,0.9154812929999999,2438.860259,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k13.joblib
14,0.025874888,0.010958532,0.9857963790000001,0.0,0.9857963679999999,0.11953502699999999,0.063437329,0.915221175,0.042868229,0.915220644,2423.73575,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k14.joblib
15,0.025867117000000002,0.01095151,0.985806385,0.0,0.985806373,0.119758559,0.063559457,0.914990505,0.043093279000000005,0.914989906,2424.3146850000003,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k15.joblib
16,0.025863257999999997,0.010940948,0.985816908,0.0,0.985816901,0.119993621,0.06369496599999999,0.914716675,0.043261033,0.91471593,2433.789624,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k16.joblib
17,0.025857513999999998,0.01093135,0.98582808,0.0,0.985828074,0.120196885,0.063794658,0.914495321,0.043463193,0.9144944070000001,2426.3724420000003,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k17.joblib
18,0.025850168,0.010920164,0.9858423040000001,0.0,0.9858422990000001,0.12041745599999999,0.06392637799999999,0.914254986,0.043607099,0.9142539679999999,2427.561028,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k18.joblib
1,0.029011373120889087,0.02136049091056086,0.972678866424715,0.0,0.9726788569168144,0.1406100138078282,0.09089270249371216,0.8840035653013273,0.047652357093875386,0.8840022119550234,2.5634477138519287,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k1.joblib
