id,train_mae,train_mse,train_evs,train_mae_m,train_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,training_time,model_path
1,0.029011373,0.021360491,0.972678866,0,0.972678857,0.140610014,0.090892702,0.884003565,0.047652357,0.884002212,2.563447714,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k1.joblib
2,0.027488923,0.01343766,0.982647284,0,0.982647283,0.126382513,0.074001962,0.903485256,0.042011446,0.903484272,3.210366488,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k2.joblib
3,0.026546785,0.011988787,0.984474343,0,0.984474343,0.122570119,0.068849368,0.90946901,0.041979195,0.909468549,3.297926426,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k3.joblib
4,0.026194766,0.011456858,0.985152242,0,0.985152242,0.120555792,0.066682479,0.911999356,0.041376302,0.911999096,3.218807936,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k4.joblib
5,0.026047513,0.01122987,0.985448074,0,0.98544807,0.11964385,0.065478504,0.91337519,0.041463131,0.913375024,4.094430447,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k5.joblib
6,0.025975931,0.011116895,0.985587679,0,0.985587679,0.11905588,0.064684645,0.914240672,0.041339733,0.914240592,3.269273043,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k6.joblib
7,0.025926318,0.011038373,0.985684035,0,0.985684035,0.118808962,0.064119696,0.914820582,0.041472934,0.914820561,3.056782961,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k7.joblib
8,0.025887898,0.010983688,0.985761474,0,0.985761473,0.118705979,0.063840143,0.915102357,0.041626777,0.915102357,3.068390846,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k8.joblib
9,0.025874286,0.010964196,0.985783976,0,0.985783976,0.118719651,0.063574857,0.915335184,0.041856112,0.915335167,3.277642965,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k9.joblib
10,0.025859876,0.010942245,0.985811541,0,0.985811541,0.118794265,0.063468247,0.915369114,0.042055725,0.915369054,3.196728706,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k10.joblib
11,0.025857616,0.010938259,0.985816996,0,0.985816996,0.118961544,0.063479604,0.915259082,0.042251344,0.915258979,3.623529196,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k11.joblib
12,0.025840969,0.010910393,0.985851698,0,0.985851698,0.119123543,0.063504641,0.91513072,0.042455293,0.915130567,3.125696421,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k12.joblib
13,0.025828216,0.01089151,0.985876227,0,0.985876227,0.119316512,0.063566468,0.914963266,0.042640849,0.91496305,3.437233686,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k13.joblib
14,0.025821322,0.010879317,0.985890605,0,0.985890605,0.119519036,0.06364537,0.914774092,0.042796527,0.914773799,3.330460072,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k14.joblib
15,0.025813923,0.010867686,0.985905783,0,0.985905783,0.119740322,0.063753444,0.914556019,0.042987039,0.91455566,3.469403505,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k15.joblib
16,0.02580938,0.010858404,0.98591725,0,0.98591725,0.119963764,0.063860425,0.914331763,0.043146827,0.914331311,3.162587404,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k16.joblib
17,0.02580547,0.010851801,0.985925996,0,0.985925996,0.120185369,0.063976974,0.914097297,0.04335273,0.914096739,3.173491716,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k17.joblib
18,0.025795251,0.010841545,0.985940782,0,0.985940782,0.120403822,0.064114167,0.913856212,0.043468242,0.913855577,3.153378725,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\KNN\neigh_model_k18.joblib
