id,max_depth,num_estimator,lr,train_mae,train_mse,train_evs,train_mae_m,train_r2,test_mae,test_mse,test_evs,test_mae_m,test_r2,model_path,training_time
1,5,20,0.05,0.38305636965835543,0.3805038054962186,-1.1149220441780008,0.21539335678330174,-1.1534714115563673,0.3828517328037998,0.37731872658092563,-1.1003012374065033,0.2155849090122982,-1.139501078387977,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne20_lr0.05.joblib,9.721179008483887
2,5,20,0.1,0.32930290927920053,0.28567281555424145,0.15136138067781546,0.1868739497183569,0.14902769108435143,0.32932046260926645,0.28364681296670263,0.15590891871780843,0.18658217682024303,0.15345861604956967,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne20_lr0.1.joblib,9.193110227584839
3,5,40,0.05,0.3305033644069602,0.2865050895969384,0.13006985546266114,0.18669131045479187,0.12740420993878887,0.330533738713138,0.2844816246479177,0.13476013671720055,0.18673823748657137,0.13197931535620167,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne40_lr0.05.joblib,15.864667892456055
4,5,40,0.1,0.29353947919830453,0.2165221081989661,0.525509384636208,0.17336741355360674,0.5254839795412938,0.29367514052930555,0.2154015591790705,0.5269568513656102,0.173224468451953,0.526919535900478,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne40_lr0.1.joblib,13.449973344802856
5,5,60,0.05,0.3085382689702198,0.24477592428348008,0.3975066415654952,0.17909224075071015,0.3972296004146254,0.3086123343279271,0.24318774372973756,0.4001646954098179,0.1789731834199222,0.39985319076174464,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne60_lr0.05.joblib,20.77117609977722
6,5,60,0.1,0.28303352125486886,0.20008728073702559,0.5943969510359233,0.16823073781204273,0.5943966752302738,0.28319389179804244,0.19929821678469656,0.5950648525185708,0.16805397218913457,0.5950623433048621,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne60_lr0.1.joblib,16.714924097061157
7,5,80,0.05,0.29684816230604105,0.2239179668568987,0.4975659010358886,0.1744904523446666,0.497533414729744,0.296952171220514,0.22262176469744105,0.499410197207415,0.1744443841603568,0.49936518147743136,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne80_lr0.05.joblib,24.796024322509766
8,5,80,0.1,0.27542162902402073,0.1876103137647482,0.6375594076866593,0.16440991082044665,0.6375592617311856,0.2755999983497277,0.18702942930372213,0.6377073628045518,0.16408470584331436,0.6377064470508288,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne80_lr0.1.joblib,19.8143892288208
9,5,100,0.05,0.28742588035324607,0.20778886064265167,0.5592578430946192,0.1694067832280831,0.5592539697574194,0.28753966842178436,0.20671931336944435,0.5605164031968763,0.1692915328619753,0.5605077187251981,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne100_lr0.05.joblib,28.201920986175537
10,5,100,0.1,0.269560722023051,0.17976371087411053,0.6612475272956657,0.1612951732826391,0.6612475086445169,0.2697830211529046,0.17935438691015396,0.6610513711716142,0.1611781038953719,0.6610505743860906,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md5_ne100_lr0.1.joblib,22.723971843719482
11,15,20,0.05,0.2859015623717451,0.19353565612596488,0.32724642067251664,0.17268594931419912,0.3026838358453753,0.2859930373952421,0.19340040863312036,0.32448291455518463,0.17242335599969993,0.29941234466086697,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne20_lr0.05.joblib,179.38342928886414
12,15,20,0.1,0.1936762682159422,0.1029389075132695,0.8046556556101253,0.10249772303044634,0.8031573714433085,0.19455853716234564,0.10432660049135357,0.8010019795583607,0.1025207617200834,0.7994281672648091,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne20_lr0.1.joblib,186.87920093536377
13,15,40,0.05,0.19545641063637392,0.1042675231355067,0.799133002796867,0.10390275315939951,0.7974320500632794,0.1963089344386972,0.10560509593524421,0.7954855697654649,0.10387438436967811,0.7937042812944748,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne40_lr0.05.joblib,374.7631878852844
14,15,40,0.1,0.17046487519615475,0.08613227417550023,0.8701721066126389,0.08500454553396411,0.8701548125789088,0.17199576154467272,0.08826579072695068,0.8661959244026357,0.08541861645138016,0.8661730778021816,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne40_lr0.1.joblib,371.4521894454956
15,15,60,0.05,0.17567648456292762,0.08985327880436617,0.8550389586416318,0.08947017535431029,0.8548574890667965,0.17697365076578808,0.09172835472684411,0.8511625666392084,0.0895705928137478,0.8509616774595836,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne60_lr0.05.joblib,573.6608431339264
16,15,60,0.1,0.16745977159191472,0.08372145762356822,0.8778630669140896,0.0825573510589787,0.8778628331997966,0.16928428901309217,0.08622843597628957,0.873445555752136,0.08302814621812016,0.8734445532513585,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne60_lr0.1.joblib,481.14257168769836
17,15,80,0.05,0.17058622209920943,0.08623312676863983,0.8695163877405024,0.08503416861064395,0.8694946071272805,0.1721134968056991,0.08836857113101822,0.8654876816398925,0.08541238538018392,0.8654597728352589,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne80_lr0.05.joblib,746.9556584358215
18,15,80,0.1,0.16683740109164777,0.08324685587241897,0.8791722752011139,0.08203579372428738,0.8791722685094587,0.16877267267626475,0.08590602114506114,0.8745597271845912,0.08246715917478442,0.8745594089682589,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne80_lr0.1.joblib,515.4215285778046
19,15,100,0.05,0.16863906032290213,0.08467153317684832,0.875032186231143,0.08353195475861719,0.8750295041810013,0.17032271346958736,0.08697620881514319,0.8708391237231476,0.08402079978348995,0.870834286338835,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne100_lr0.05.joblib,877.5450468063354
20,15,100,0.1,0.1666109579418045,0.083089706507898,0.8795999689949876,0.08180895559341783,0.8795999446986194,0.16858191834416408,0.08580054221369694,0.874915472695546,0.08228562894395308,0.8749151972987711,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md15_ne100_lr0.1.joblib,516.0610501766205
21,25,20,0.05,0.2794771303009593,0.18106621201255108,0.3885728830456062,0.1714993319249637,0.36465260455395,0.2799292964995719,0.18160912785697486,0.3834232078424099,0.17150369778974706,0.3591458043367919,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne20_lr0.05.joblib,424.82115602493286
22,25,20,0.1,0.18438495471385008,0.09352905437866338,0.8270949139149222,0.09717138263018521,0.8256394783591926,0.186136908183561,0.09607496946050738,0.8212382223154832,0.09734769285902395,0.819743166222479,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne20_lr0.1.joblib,485.95209860801697
23,25,40,0.05,0.1863824201877311,0.09487411196059453,0.8219456533537937,0.09877617552265133,0.820293025329719,0.18809493009469064,0.09739032793842568,0.8160439032492637,0.09895869436884296,0.8143476992698532,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne40_lr0.05.joblib,969.7072715759277
24,25,40,0.1,0.16384876817045688,0.08154587805270617,0.8797970114288444,0.07836290377275534,0.8797806435137285,0.1667926808236319,0.0851994164198356,0.8735588113072674,0.07959166974623244,0.8735400161947298,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne40_lr0.1.joblib,1205.5801856517792
25,25,60,0.05,0.16733739142084314,0.08324135967559394,0.868974301113861,0.08250445139264839,0.8687999151158194,0.16988226710718624,0.08653527358397646,0.8628788437111596,0.08331811153719548,0.8626949177767316,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne60_lr0.05.joblib,1639.5027031898499
26,25,60,0.1,0.16333585578061946,0.08127947976179277,0.8835162518343912,0.07782538908605408,0.8835160110468175,0.16657048117024703,0.08518361435616247,0.8770930510608419,0.07924392547543113,0.8770925006847656,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne60_lr0.1.joblib,1942.0715687274933
27,25,80,0.05,0.16395211998274833,0.0815943593671802,0.8792899797361657,0.07846424407295827,0.8792694595164546,0.16688500100034662,0.08524013425846708,0.8730451335885112,0.07969772179528589,0.8730218027846248,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne80_lr0.05.joblib,2406.7516934871674
28,25,80,0.1,0.16327824184196613,0.08125471833528816,0.8839943347317311,0.0777660295494812,0.883994344666615,0.16660983170295526,0.08523013856980431,0.8774953946709819,0.07927449482859711,0.8774952649827298,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne80_lr0.1.joblib,2402.8905012607574
29,25,100,0.05,0.16343157541249884,0.08133684877593791,0.8823633621188497,0.07792342719201961,0.8823608451061714,0.1665607583864856,0.08515967622567436,0.8760014620234211,0.07927633210896945,0.8759979669512439,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne100_lr0.05.joblib,3199.2582578659058
30,25,100,0.1,0.16323793178608378,0.08124403013620621,0.8840791259538376,0.07771264513967857,0.8840791377590934,0.16663047484352386,0.08526295813401277,0.8775222523359671,0.07930195339438972,0.8775221470738088,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md25_ne100_lr0.1.joblib,2596.8298029899597
31,35,20,0.05,0.27949363151009954,0.1809836548784334,0.38890453991015494,0.17157496269722744,0.36499735141274114,0.2799519447203726,0.18153322774646316,0.3837451505977518,0.17157414579751507,0.3594899087363779,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne20_lr0.05.joblib,432.7995810508728
32,35,20,0.1,0.18435283766817476,0.09343102142795896,0.8272915794815436,0.09730819888499222,0.8258402545179112,0.18615317112107382,0.09602510741877401,0.8213352354982255,0.09752329015254524,0.8198465302199922,C:\Users\Pedro\Desktop\ML_Nuclear_Data\ML_Data\Models\XGB\xgb_md35_ne20_lr0.1.joblib,499.82588744163513
