Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.16501043358471498,105,46,105Pd
2,0.2412093077485507,105,46,105Pd
3,0.3011925556588483,105,46,105Pd
4,0.35259546248428547,105,46,105Pd
5,0.3984346304979366,105,46,105Pd
6,0.44027790407683215,105,46,105Pd
7,0.4790662142271299,105,46,105Pd
7,0.515417756159346,105,46,105Pd
9,0.5497649670603107,105,46,105Pd
10,0.5824246341133138,105,46,105Pd
11,0.6136372031694795,105,46,105Pd
12,0.6435903848760799,105,46,105Pd
12,0.67243411338783,105,46,105Pd
13,0.7002904446046426,105,46,105Pd
15,0.7272603435773204,105,46,105Pd
16,0.7534284800280856,105,46,105Pd
17,0.7788667038955085,105,46,105Pd
17,0.8036366201107052,105,46,105Pd
18,0.8277915328733595,105,46,105Pd
20,0.8513779387050148,105,46,105Pd
21,0.8744366902035966,105,46,105Pd
21,0.8970039152662261,105,46,105Pd
22,0.9191117518825684,105,46,105Pd
23,0.9407889418694461,105,46,105Pd
25,0.9620613153441978,105,46,105Pd
26,0.9829521895869585,105,46,105Pd
27,1.003482700114157,105,46,105Pd
28,1.0236720775555705,105,46,105Pd
29,1.0435378808159235,105,46,105Pd
29,1.0630961946851587,105,46,105Pd
30,1.0823617983166867,105,46,105Pd
32,1.1013483096650167,105,46,105Pd
33,1.1200683099537272,105,46,105Pd
34,1.138533451453421,105,46,105Pd
35,1.1567545512304676,105,46,105Pd
36,1.1747416730395417,105,46,105Pd
37,1.1925041991456322,105,46,105Pd
37,1.2100508935514391,105,46,105Pd
38,1.22738995785678,105,46,105Pd
39,1.2445290807747278,105,46,105Pd
40,1.2614754821647216,105,46,105Pd
42,1.2782359523081779,105,46,105Pd
42,1.294816887041203,105,46,105Pd
44,1.311224319267216,105,46,105Pd
45,1.3274639472959695,105,46,105Pd
46,1.3435411603917395,105,46,105Pd
47,1.3594610618599845,105,46,105Pd
47,1.375228489956777,105,46,105Pd
48,1.3908480368672487,105,46,105Pd
49,1.4063240659670004,105,46,105Pd
50,1.421660727552938,105,46,105Pd
52,1.4368619732064924,105,46,105Pd
52,1.4519315689320467,105,46,105Pd
54,1.4668731071960743,105,46,105Pd
55,1.4816900179775445,105,46,105Pd
56,1.4963855789272482,105,46,105Pd
57,1.5109629247224634,105,46,105Pd
58,1.5254250556936584,105,46,105Pd
59,1.5397748457914051,105,46,105Pd
60,1.5540150499542642,105,46,105Pd
61,1.5681483109318848,105,46,105Pd
62,1.5821771656118364,105,46,105Pd
63,1.5961040508936786,105,46,105Pd
63,1.609931309149308,105,46,105Pd
64,1.6236611933047207,105,46,105Pd
66,1.637295871574837,105,46,105Pd
67,1.6508374318799601,105,46,105Pd
68,1.6642878859696946,105,46,105Pd
68,1.6776491732777006,105,46,105Pd
70,1.6909231645285023,105,46,105Pd
70,1.7041116651155823,105,46,105Pd
72,1.7172164182682923,105,46,105Pd
73,1.7302391080235167,105,46,105Pd
74,1.743181362016629,105,46,105Pd
75,1.7560447541050108,105,46,105Pd
76,1.7688308068362928,105,46,105Pd
77,1.7815409937723932,105,46,105Pd
77,1.7941767416795682,105,46,105Pd
78,1.8067394325937893,105,46,105Pd
79,1.8192304057700464,105,46,105Pd
81,1.8316509595234556,105,46,105Pd
82,1.8440023529694394,105,46,105Pd
83,1.8562858076696735,105,46,105Pd
83,1.8685025091899714,105,46,105Pd
84,1.8806536085758063,105,46,105Pd
85,1.8927402237507518,105,46,105Pd
86,1.9047634408426943,105,46,105Pd
88,1.9167243154423597,105,46,105Pd
89,1.928623873798313,105,46,105Pd
90,1.940463113952326,105,46,105Pd
91,1.952243006818718,105,46,105Pd
92,1.9639644972110142,105,46,105Pd
92,1.975628504819027,105,46,105Pd
93,1.9872359251392906,105,46,105Pd
95,1.998787630361509,105,46,105Pd
96,2.0102844702135627,105,46,105Pd
96,2.021727272767417,105,46,105Pd
98,2.033116845208121,105,46,105Pd
99,2.044453974567942,105,46,105Pd
100,2.0557394284275694,105,46,105Pd
101,2.066973955586153,105,46,105Pd
101,2.078158286701877,105,46,105Pd
102,2.089293134904637,105,46,105Pd
103,2.1003791963822764,105,46,105Pd
105,2.1114171509417923,105,46,105Pd
106,2.1224076625467836,105,46,105Pd
107,2.133351379832383,105,46,105Pd
108,2.1442489365987925,105,46,105Pd
109,2.155100952284529,105,46,105Pd
109,2.1659080324203637,105,46,105Pd
111,2.1766707690649434,105,46,105Pd
111,2.187389741222946,105,46,105Pd
112,2.198065515246678,105,46,105Pd
114,2.208698645221856,105,46,105Pd
115,2.219289673338355,105,46,105Pd
116,2.22983913024664,105,46,105Pd
117,2.240347535400534,105,46,105Pd
118,2.2508153973869693,105,46,105Pd
118,2.2612432142433168,105,46,105Pd
119,2.271631473762877,105,46,105Pd
121,2.281980653789041,105,46,105Pd
122,2.292291222498653,105,46,105Pd
123,2.302563638675059,105,46,105Pd
124,2.3127983519712796,105,46,105Pd
124,2.322995803163754,105,46,105Pd
126,2.333156424397058,105,46,105Pd
126,2.3432806394199974,105,46,105Pd
127,2.3533688638134334,105,46,105Pd
128,2.3634215052101957,105,46,105Pd
130,2.3734389635074304,105,46,105Pd
131,2.3834216310716636,105,46,105Pd
132,2.3933698929369345,105,46,105Pd
133,2.403284126996243,105,46,105Pd
134,2.4131647041865953,105,46,105Pd
135,2.4230119886679184,105,46,105Pd
135,2.432826337996088,105,46,105Pd
