Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.8987466458350748,110,48,110Cd
2,1.1220617058169626,110,48,110Cd
3,1.2776006078575226,110,48,110Cd
4,1.4008647236630796,110,48,110Cd
5,1.5046083043355178,110,48,110Cd
6,1.5950509791036973,110,48,110Cd
7,1.6757476888654843,110,48,110Cd
7,1.7489430071716203,110,48,110Cd
9,1.8161551097431754,110,48,110Cd
10,1.878464157137878,110,48,110Cd
11,1.9366691201428488,110,48,110Cd
12,1.9913794735947639,110,48,110Cd
12,2.043071934272985,110,48,110Cd
13,2.092127207373503,110,48,110Cd
15,2.138854696275868,110,48,110Cd
16,2.1835096499083373,110,48,110Cd
17,2.226305385394589,110,48,110Cd
17,2.2674222039217216,110,48,110Cd
18,2.3070140266247474,110,48,110Cd
20,2.34521342164868,110,48,110Cd
21,2.3821354725848463,110,48,110Cd
21,2.417880797242263,110,48,110Cd
22,2.4525379331463038,110,48,110Cd
23,2.4861852441123435,110,48,110Cd
25,2.5188924598121187,110,48,110Cd
26,2.550721930702799,110,48,110Cd
27,2.5817296597702337,110,48,110Cd
28,2.6119661575041584,110,48,110Cd
29,2.641477155569148,110,48,110Cd
29,2.6703042065520233,110,48,110Cd
30,2.698485191131841,110,48,110Cd
32,2.726054749464448,110,48,110Cd
33,2.75304465010203,110,48,110Cd
34,2.779484107097018,110,48,110Cd
35,2.805400053866505,110,48,110Cd
36,2.8308173807711063,110,48,110Cd
37,2.855759142083031,110,48,110Cd
37,2.880246737002286,110,48,110Cd
38,2.904300068567713,110,48,110Cd
39,2.927937683656005,110,48,110Cd
40,2.9511768967328025,110,48,110Cd
42,2.974033899589253,110,48,110Cd
42,2.9965238589449066,110,48,110Cd
44,3.0186610035077495,110,48,110Cd
45,3.040458701842448,110,48,110Cd
46,3.061929532198709,110,48,110Cd
47,3.083085345285565,110,48,110Cd
47,3.103937320838219,110,48,110Cd
48,3.1244960187070565,110,48,110Cd
49,3.1447714250996186,110,48,110Cd
50,3.1647729945225893,110,48,110Cd
52,3.1845096878996584,110,48,110Cd
52,3.203990007280356,110,48,110Cd
54,3.223222027502983,110,48,110Cd
55,3.2422134251300596,110,48,110Cd
56,3.2609715049363412,110,48,110Cd
57,3.2795032241961555,110,48,110Cd
58,3.2978152149881277,110,48,110Cd
59,3.3159138047103554,110,48,110Cd
60,3.333805034977346,110,48,110Cd
61,3.3514946790511035,110,48,110Cd
62,3.3689882579420902,110,48,110Cd
63,3.386291055301308,110,48,110Cd
63,3.4034081312118944,110,48,110Cd
64,3.420344334977427,110,48,110Cd
66,3.437104316994148,110,48,110Cd
67,3.4536925397855556,110,48,110Cd
68,3.470113288270036,110,48,110Cd
68,3.4863706793252836,110,48,110Cd
70,3.5024686707071107,110,48,110Cd
70,3.5184110693748085,110,48,110Cd
72,3.534201539270292,110,48,110Cd
73,3.5498436085939384,110,48,110Cd
74,3.565340676616095,110,48,110Cd
75,3.5806960200597397,110,48,110Cd
76,3.5959127990866318,110,48,110Cd
77,3.610994062916451,110,48,110Cd
77,3.6259427551058905,110,48,110Cd
78,3.6407617185123566,110,48,110Cd
79,3.6554536999648506,110,48,110Cd
81,3.670021354662752,110,48,110Cd
82,3.6844672503214877,110,48,110Cd
83,3.6987938710825636,110,48,110Cd
83,3.7130036212040096,110,48,110Cd
84,3.7270988285460334,110,48,110Cd
85,3.7410817478655134,110,48,110Cd
86,3.754954563931902,110,48,110Cd
88,3.768719394476167,110,48,110Cd
89,3.7823782929834913,110,48,110Cd
90,3.795933251339677,110,48,110Cd
91,3.8093862023404457,110,48,110Cd
92,3.8227390220721706,110,48,110Cd
92,3.8359935321719294,110,48,110Cd
93,3.849151501974252,110,48,110Cd
95,3.862214650551356,110,48,110Cd
96,3.8751846486532315,110,48,110Cd
96,3.888063120553482,110,48,110Cd
98,3.900851645806416,110,48,110Cd
99,3.9135517609205044,110,48,110Cd
100,3.9261649609530136,110,48,110Cd
101,3.93869270103025,110,48,110Cd
101,3.9511363977976006,110,48,110Cd
102,3.963497430803258,110,48,110Cd
103,3.9757771438192817,110,48,110Cd
105,3.9879768461034026,110,48,110Cd
106,4.000097813604766,110,48,110Cd
107,4.012141290116611,110,48,110Cd
108,4.024108488378695,110,48,110Cd
109,4.036000591132087,110,48,110Cd
109,4.047818752128816,110,48,110Cd
111,4.059564097098709,110,48,110Cd
111,4.071237724675557,110,48,110Cd
112,4.082840707284736,110,48,110Cd
114,4.094374091994144,110,48,110Cd
115,4.105838901330323,110,48,110Cd
116,4.117236134061465,110,48,110Cd
117,4.1285667659489205,110,48,110Cd
118,4.139831750468728,110,48,110Cd
118,4.151032019504608,110,48,110Cd
119,4.162168484013797,110,48,110Cd
121,4.173242034666963,110,48,110Cd
122,4.184253542463449,110,48,110Cd
123,4.195203859322998,110,48,110Cd
124,4.206093818654995,110,48,110Cd
124,4.21692423590631,110,48,110Cd
126,4.227695909088668,110,48,110Cd
126,4.238409619286486,110,48,110Cd
127,4.249066131146059,110,48,110Cd
128,4.2596661933468924,110,48,110Cd
130,4.27021053905599,110,48,110Cd
131,4.280699886365812,110,48,110Cd
132,4.291134938716663,110,48,110Cd
133,4.301516385304101,110,48,110Cd
134,4.311844901472078,110,48,110Cd
135,4.322121149092368,110,48,110Cd
135,4.332345776930887,110,48,110Cd
136,4.342519421001422,110,48,110Cd
138,4.35264270490733,110,48,110Cd
138,4.362716240171645,110,48,110Cd
140,4.372740626556135,110,48,110Cd
140,4.3827164523696895,110,48,110Cd
141,4.392644294766512,110,48,110Cd
143,4.402524720034501,110,48,110Cd
144,4.412358283874216,110,48,110Cd
144,4.422145531668805,110,48,110Cd
146,4.431886998745235,110,48,110Cd
146,4.4415832106271615,110,48,110Cd
148,4.451234683279786,110,48,110Cd
149,4.460841923346961,110,48,110Cd
150,4.470405428380896,110,48,110Cd
150,4.4799256870646795,110,48,110Cd
152,4.4894031794279545,110,48,110Cd
153,4.498838377055934,110,48,110Cd
154,4.508231743292066,110,48,110Cd
154,4.517583733434537,110,48,110Cd
156,4.526894794926858,110,48,110Cd
156,4.536165367542749,110,48,110Cd
158,4.545395883565524,110,48,110Cd
158,4.554586767962166,110,48,110Cd
159,4.563738438552305,110,48,110Cd
160,4.572851306172249,110,48,110Cd
161,4.581925774834259,110,48,110Cd
162,4.590962241881242,110,48,110Cd
164,4.5999610981370065,110,48,110Cd
165,4.60892272805223,110,48,110Cd
165,4.617847509846314,110,48,110Cd
167,4.626735815645229,110,48,110Cd
168,4.635588011615518,110,48,110Cd
168,4.644404458094562,110,48,110Cd
170,4.653185509717266,110,48,110Cd
170,4.661931515539233,110,48,110Cd
171,4.67064281915661,110,48,110Cd
173,4.679319758822648,110,48,110Cd
174,4.687962667561135,110,48,110Cd
175,4.696571873276771,110,48,110Cd
176,4.705147698862618,110,48,110Cd
177,4.7136904623046645,110,48,110Cd
178,4.722200476783662,110,48,110Cd
179,4.7306780507742765,110,48,110Cd
179,4.739123488141648,110,48,110Cd
181,4.747537088235454,110,48,110Cd
181,4.755919145981538,110,48,110Cd
182,4.76426995197119,110,48,110Cd
183,4.772589792548151,110,48,110Cd
184,4.780878949893394,110,48,110Cd
186,4.789137702107787,110,48,110Cd
187,4.79736632329266,110,48,110Cd
188,4.805565083628376,110,48,110Cd
189,4.8137342494509285,110,48,110Cd
189,4.821874083326667,110,48,110Cd
191,4.829984844125179,110,48,110Cd
192,4.838066787090375,110,48,110Cd
193,4.846120163909868,110,48,110Cd
193,4.8541452227826545,110,48,110Cd
194,4.862142208485176,110,48,110Cd
195,4.8701113624357895,110,48,110Cd
197,4.878052922757713,110,48,110Cd
197,4.885967124340464,110,48,110Cd
199,4.893854198899864,110,48,110Cd
200,4.9017143750366134,110,48,110Cd
201,4.9095478782935285,110,48,110Cd
202,4.917354931211412,110,48,110Cd
203,4.925135753383665,110,48,110Cd
204,4.932890561509614,110,48,110Cd
204,4.940619569446637,110,48,110Cd
205,4.9483229882610935,110,48,110Cd
207,4.956001026278095,110,48,110Cd
207,4.963653889130159,110,48,110Cd
209,4.971281779804772,110,48,110Cd
209,4.978884898690878,110,48,110Cd
210,4.9864634436243485,110,48,110Cd
211,4.994017609932426,110,48,110Cd
212,5.001547590477208,110,48,110Cd
214,5.0090535756981645,110,48,110Cd
215,5.01653575365373,110,48,110Cd
215,5.023994310061992,110,48,110Cd
217,5.031429428340505,110,48,110Cd
217,5.038841289645233,110,48,110Cd
219,5.046230072908676,110,48,110Cd
219,5.053595954877158,110,48,110Cd
220,5.060939110147358,110,48,110Cd
222,5.068259711202035,110,48,110Cd
223,5.075557928445015,110,48,110Cd
223,5.082833930235454,110,48,110Cd
225,5.090087882921367,110,48,110Cd
225,5.097319950872474,110,48,110Cd
226,5.104530296512369,110,48,110Cd
228,5.111719080350012,110,48,110Cd
228,5.118886461010587,110,48,110Cd
230,5.1260325952657375,110,48,110Cd
231,5.133157638063163,110,48,110Cd
232,5.140261742555646,110,48,110Cd
232,5.147345060129472,110,48,110Cd
234,5.154407740432289,110,48,110Cd
235,5.161449931400414,110,48,110Cd
236,5.168471779285587,110,48,110Cd
237,5.175473428681204,110,48,110Cd
237,5.182455022548023,110,48,110Cd
238,5.189416702239381,110,48,110Cd
239,5.1963586075259,110,48,110Cd
240,5.203280876619724,110,48,110Cd
241,5.210183646198278,110,48,110Cd
242,5.217067051427578,110,48,110Cd
243,5.223931225985083,110,48,110Cd
245,5.23077630208212,110,48,110Cd
246,5.2376024104858585,110,48,110Cd
247,5.2444096805409,110,48,110Cd
248,5.251198240190441,110,48,110Cd
249,5.257968215997028,110,48,110Cd
249,5.264719733162944,110,48,110Cd
250,5.2714529155502,110,48,110Cd
252,5.278167885700158,110,48,110Cd
253,5.284864764852785,110,48,110Cd
254,5.2915436729655685,110,48,110Cd
254,5.298204728732061,110,48,110Cd
256,5.304848049600101,110,48,110Cd
257,5.311473751789689,110,48,110Cd
257,5.318081950310552,110,48,110Cd
259,5.324672758979387,110,48,110Cd
259,5.331246290436772,110,48,110Cd
260,5.337802656163809,110,48,110Cd
261,5.3443419664984395,110,48,110Cd
263,5.350864330651486,110,48,110Cd
264,5.357369856722393,110,48,110Cd
265,5.363858651714708,110,48,110Cd
266,5.3703308215512795,110,48,110Cd
267,5.376786471089178,110,48,110Cd
268,5.38322570413438,110,48,110Cd
269,5.389648623456169,110,48,110Cd
270,5.396055330801311,110,48,110Cd
271,5.4024459269079665,110,48,110Cd
272,5.408820511519367,110,48,110Cd
273,5.415179183397267,110,48,110Cd
274,5.421522040335147,110,48,110Cd
275,5.427849179171213,110,48,110Cd
276,5.434160695801147,110,48,110Cd
277,5.440456685190674,110,48,110Cd
277,5.446737241387898,110,48,110Cd
278,5.453002457535424,110,48,110Cd
280,5.4592524258822985,110,48,110Cd
280,5.465487237795728,110,48,110Cd
281,5.471706983772624,110,48,110Cd
283,5.47791175345094,110,48,110Cd
283,5.4841016356208225,110,48,110Cd
285,5.490276718235593,110,48,110Cd
286,5.496437088422535,110,48,110Cd
287,5.502582832493507,110,48,110Cd
288,5.5087140359553946,110,48,110Cd
288,5.514830783520369,110,48,110Cd
290,5.520933159116011,110,48,110Cd
291,5.527021245895244,110,48,110Cd
292,5.533095126246117,110,48,110Cd
293,5.539154881801442,110,48,110Cd
294,5.545200593448264,110,48,110Cd
295,5.551232341337183,110,48,110Cd
296,5.557250204891528,110,48,110Cd
296,5.5632542628163915,110,48,110Cd
298,5.569244593107522,110,48,110Cd
298,5.575221273060063,110,48,110Cd
300,5.581184379277177,110,48,110Cd
301,5.587133987678514,110,48,110Cd
301,5.593070173508564,110,48,110Cd
302,5.598993011344877,110,48,110Cd
304,5.60490257510615,110,48,110Cd
305,5.610798938060185,110,48,110Cd
306,5.6166821728317515,110,48,110Cd
307,5.622552351410297,110,48,110Cd
308,5.6284095451575595,110,48,110Cd
309,5.634253824815055,110,48,110Cd
309,5.64008526051146,110,48,110Cd
311,5.645903921769878,110,48,110Cd
312,5.651709877514991,110,48,110Cd
312,5.657503196080115,110,48,110Cd
313,5.663283945214149,110,48,110Cd
314,5.6690521920884045,110,48,110Cd
316,5.674808003303359,110,48,110Cd
317,5.680551444895284,110,48,110Cd
317,5.686282582342796,110,48,110Cd
318,5.692001480573303,110,48,110Cd
319,5.69770820396935,110,48,110Cd
320,5.703402816374884,110,48,110Cd
321,5.709085381101418,110,48,110Cd
323,5.71475596093411,110,48,110Cd
323,5.720414618137753,110,48,110Cd
325,5.726061414462684,110,48,110Cd
325,5.731696411150595,110,48,110Cd
326,5.737319668940272,110,48,110Cd
328,5.742931248073256,110,48,110Cd
329,5.748531208299394,110,48,110Cd
330,5.754119608882361,110,48,110Cd
331,5.759696508605057,110,48,110Cd
331,5.765261965774951,110,48,110Cd
332,5.77081603822935,110,48,110Cd
334,5.776358783340582,110,48,110Cd
334,5.7818902580211144,110,48,110Cd
336,5.787410518728611,110,48,110Cd
336,5.792919621470889,110,48,110Cd
337,5.798417621810847,110,48,110Cd
338,5.803904574871289,110,48,110Cd
339,5.8093805353397,110,48,110Cd
340,5.81484555747296,110,48,110Cd
341,5.820299695101976,110,48,110Cd
342,5.825743001636268,110,48,110Cd
343,5.8311755300684815,110,48,110Cd
344,5.8365973329788465,110,48,110Cd
346,5.842008462539567,110,48,110Cd
346,5.847408970519157,110,48,110Cd
347,5.852798908286726,110,48,110Cd
348,5.8581783268161844,110,48,110Cd
350,5.8635472766904195,110,48,110Cd
350,5.868905808105387,110,48,110Cd
352,5.874253970874187,110,48,110Cd
352,5.879591814431035,110,48,110Cd
353,5.8849193878352315,110,48,110Cd
355,5.890236739775044,110,48,110Cd
356,5.895543918571545,110,48,110Cd
357,5.900840972182416,110,48,110Cd
358,5.906127948205682,110,48,110Cd
359,5.911404893883403,110,48,110Cd
360,5.91667185610533,110,48,110Cd
360,5.921928881412488,110,48,110Cd
362,5.927176016000743,110,48,110Cd
362,5.932413305724291,110,48,110Cd
363,5.937640796099131,110,48,110Cd
364,5.9428585323064755,110,48,110Cd
365,5.948066559196126,110,48,110Cd
367,5.953264921289798,110,48,110Cd
368,5.9584536627844065,110,48,110Cd
368,5.963632827555319,110,48,110Cd
370,5.968802459159548,110,48,110Cd
371,5.973962600838926,110,48,110Cd
371,5.979113295523215,110,48,110Cd
373,5.984254585833212,110,48,110Cd
374,5.989386514083763,110,48,110Cd
375,5.994509122286804,110,48,110Cd
375,5.999622452154306,110,48,110Cd
377,6.004726545101224,110,48,110Cd
378,6.0098214422483816,110,48,110Cd
378,6.014907184425336,110,48,110Cd
379,6.019983812173213,110,48,110Cd
381,6.025051365747481,110,48,110Cd
382,6.030109885120719,110,48,110Cd
383,6.035159409985332,110,48,110Cd
384,6.040199979756252,110,48,110Cd
384,6.045231633573579,110,48,110Cd
386,6.05025441030522,110,48,110Cd
387,6.055268348549471,110,48,110Cd
388,6.060273486637587,110,48,110Cd
389,6.065269862636304,110,48,110Cd
389,6.070257514350344,110,48,110Cd
390,6.075236479324886,110,48,110Cd
391,6.080206794848003,110,48,110Cd
392,6.085168497953077,110,48,110Cd
394,6.09012162542118,110,48,110Cd
394,6.095066213783425,110,48,110Cd
395,6.1000022993233,110,48,110Cd
397,6.104929918078963,110,48,110Cd
397,6.1098491058455116,110,48,110Cd
399,6.114759898177234,110,48,110Cd
400,6.119662330389821,110,48,110Cd
400,6.124556437562568,110,48,110Cd
401,6.129442254540534,110,48,110Cd
403,6.134319815936694,110,48,110Cd
404,6.139189156134038,110,48,110Cd
405,6.144050309287689,110,48,110Cd
406,6.148903309326949,110,48,110Cd
406,6.1537481899573585,110,48,110Cd
408,6.158584984662716,110,48,110Cd
409,6.163413726707067,110,48,110Cd
409,6.1682344491366905,110,48,110Cd
411,6.173047184782048,110,48,110Cd
411,6.177851966259706,110,48,110Cd
413,6.182648825974263,110,48,110Cd
414,6.187437796120221,110,48,110Cd
414,6.192218908683855,110,48,110Cd
416,6.196992195445063,110,48,110Cd
417,6.201757687979183,110,48,110Cd
417,6.206515417658802,110,48,110Cd
418,6.211265415655539,110,48,110Cd
419,6.2160077129418045,110,48,110Cd
421,6.220742340292549,110,48,110Cd
422,6.225469328286983,110,48,110Cd
422,6.230188707310287,110,48,110Cd
423,6.234900507555297,110,48,110Cd
425,6.23960475902417,110,48,110Cd
425,6.244301491530037,110,48,110Cd
427,6.248990734698631,110,48,110Cd
428,6.253672517969905,110,48,110Cd
429,6.258346870599624,110,48,110Cd
430,6.263013821660944,110,48,110Cd
430,6.267673400045977,110,48,110Cd
431,6.272325634467332,110,48,110Cd
433,6.27697055345965,110,48,110Cd
434,6.281608185381098,110,48,110Cd
435,6.286238558414885,110,48,110Cd
435,6.2908617005707255,110,48,110Cd
437,6.295477639686316,110,48,110Cd
438,6.300086403428767,110,48,110Cd
438,6.3046880192960435,110,48,110Cd
440,6.309282514618392,110,48,110Cd
441,6.313869916559717,110,48,110Cd
441,6.31845025211899,110,48,110Cd
442,6.323023548131615,110,48,110Cd
443,6.32758983127078,110,48,110Cd
444,6.332149128048809,110,48,110Cd
446,6.336701464818489,110,48,110Cd
447,6.341246867774379,110,48,110Cd
448,6.345785362954122,110,48,110Cd
449,6.350316976239722,110,48,110Cd
449,6.354841733358827,110,48,110Cd
450,6.359359659885992,110,48,110Cd
451,6.363870781243913,110,48,110Cd
453,6.36837512270468,110,48,110Cd
453,6.372872709390986,110,48,110Cd
455,6.3773635662773485,110,48,110Cd
455,6.38184771819129,110,48,110Cd
457,6.386325189814551,110,48,110Cd
458,6.390796005684228,110,48,110Cd
458,6.395260190193968,110,48,110Cd
459,6.399717767595094,110,48,110Cd
460,6.404168761997755,110,48,110Cd
462,6.408613197372049,110,48,110Cd
463,6.413051097549133,110,48,110Cd
463,6.417482486222334,110,48,110Cd
465,6.421907386948241,110,48,110Cd
465,6.426325823147777,110,48,110Cd
467,6.430737818107278,110,48,110Cd
468,6.435143394979553,110,48,110Cd
469,6.439542576784929,110,48,110Cd
470,6.44393538641229,110,48,110Cd
471,6.44832184662011,110,48,110Cd
472,6.452701980037466,110,48,110Cd
473,6.457075809165045,110,48,110Cd
474,6.461443356376153,110,48,110Cd
474,6.465804643917685,110,48,110Cd
475,6.4701596939111266,110,48,110Cd
477,6.474508528353499,110,48,110Cd
477,6.478851169118335,110,48,110Cd
479,6.483187637956622,110,48,110Cd
479,6.487517956497745,110,48,110Cd
481,6.491842146250421,110,48,110Cd
482,6.49616022860361,110,48,110Cd
483,6.500472224827444,110,48,110Cd
483,6.504778156074123,110,48,110Cd
484,6.5090780433788105,110,48,110Cd
486,6.513371907660525,110,48,110Cd
487,6.517659769723016,110,48,110Cd
487,6.52194165025563,110,48,110Cd
489,6.526217569834189,110,48,110Cd
490,6.530487548921823,110,48,110Cd
491,6.534751607869827,110,48,110Cd
491,6.5390097669184994,110,48,110Cd
493,6.543262046197973,110,48,110Cd
494,6.547508465729021,110,48,110Cd
495,6.551749045423898,110,48,110Cd
496,6.555983805087118,110,48,110Cd
496,6.560212764416276,110,48,110Cd
498,6.564435943002827,110,48,110Cd
498,6.56865336033287,110,48,110Cd
499,6.572865035787926,110,48,110Cd
501,6.577070988645715,110,48,110Cd
501,6.581271238080899,110,48,110Cd
502,6.585465803165863,110,48,110Cd
504,6.589654702871436,110,48,110Cd
505,6.59383795606765,110,48,110Cd
506,6.59801558152447,110,48,110Cd
507,6.602187597912514,110,48,110Cd
508,6.606354023803784,110,48,110Cd
509,6.610514877672376,110,48,110Cd
509,6.614670177895183,110,48,110Cd
511,6.618819942752603,110,48,110Cd
512,6.622964190429223,110,48,110Cd
512,6.62710293901452,110,48,110Cd
514,6.631236206503537,110,48,110Cd
515,6.635364010797556,110,48,110Cd
516,6.639486369704768,110,48,110Cd
516,6.643603300940944,110,48,110Cd
518,6.647714822130085,110,48,110Cd
518,6.651820950805065,110,48,110Cd
519,6.655921704408305,110,48,110Cd
521,6.660017100292381,110,48,110Cd
521,6.664107155720674,110,48,110Cd
522,6.668191887868002,110,48,110Cd
523,6.672271313821231,110,48,110Cd
525,6.676345450579901,110,48,110Cd
526,6.680414315056831,110,48,110Cd
527,6.684477924078734,110,48,110Cd
527,6.6885362943868065,110,48,110Cd
528,6.692589442637341,110,48,110Cd
530,6.696637385402296,110,48,110Cd
530,6.7006801391698945,110,48,110Cd
532,6.704717720345201,110,48,110Cd
533,6.7087501452506935,110,48,110Cd
533,6.712777430126837,110,48,110Cd
535,6.71679959113265,110,48,110Cd
536,6.720816644346257,110,48,110Cd
536,6.724828605765444,110,48,110Cd
538,6.728835491308223,110,48,110Cd
539,6.732837316813356,110,48,110Cd
540,6.736834098040914,110,48,110Cd
540,6.740825850672799,110,48,110Cd
542,6.744812590313292,110,48,110Cd
543,6.748794332489554,110,48,110Cd
544,6.752771092652177,110,48,110Cd
545,6.75674288617568,110,48,110Cd
546,6.7607097283590365,110,48,110Cd
547,6.764671634426173,110,48,110Cd
548,6.768628619526478,110,48,110Cd
549,6.772580698735307,110,48,110Cd
549,6.776527887054467,110,48,110Cd
550,6.78047019941272,110,48,110Cd
552,6.7844076506662665,110,48,110Cd
553,6.788340255599216,110,48,110Cd
554,6.792268028924095,110,48,110Cd
555,6.796190985282294,110,48,110Cd
556,6.8001091392445545,110,48,110Cd
557,6.804022505311431,110,48,110Cd
557,6.807931097913757,110,48,110Cd
558,6.811834931413098,110,48,110Cd
559,6.81573402010222,110,48,110Cd
561,6.8196283782055325,110,48,110Cd
562,6.823518019879525,110,48,110Cd
563,6.827402959213241,110,48,110Cd
563,6.831283210228691,110,48,110Cd
565,6.8351587868813075,110,48,110Cd
566,6.839029703060365,110,48,110Cd
566,6.8428959725894165,110,48,110Cd
567,6.846757609226724,110,48,110Cd
569,6.850614626665674,110,48,110Cd
570,6.854467038535195,110,48,110Cd
571,6.858314858400185,110,48,110Cd
572,6.8621580997619125,110,48,110Cd
572,6.8659967760584255,110,48,110Cd
574,6.869830900664976,110,48,110Cd
575,6.873660486894393,110,48,110Cd
575,6.877485547997498,110,48,110Cd
576,6.8813060971635105,110,48,110Cd
578,6.885122147520417,110,48,110Cd
578,6.88893371213538,110,48,110Cd
580,6.892740804015118,110,48,110Cd
580,6.896543436106284,110,48,110Cd
582,6.900341621295854,110,48,110Cd
583,6.9041353724114956,110,48,110Cd
584,6.907924702221955,110,48,110Cd
585,6.9117096234374085,110,48,110Cd
586,6.915490148709853,110,48,110Cd
587,6.91926629063345,110,48,110Cd
588,6.923038061744907,110,48,110Cd
588,6.926805474523822,110,48,110Cd
590,6.9305685413930505,110,48,110Cd
591,6.934327274719049,110,48,110Cd
592,6.938081686812234,110,48,110Cd
593,6.9418317899273285,110,48,110Cd
594,6.945577596263708,110,48,110Cd
595,6.949319117965741,110,48,110Cd
596,6.953056367123128,110,48,110Cd
596,6.956789355771241,110,48,110Cd
598,6.960518095891461,110,48,110Cd
599,6.964242599411503,110,48,110Cd
599,6.967962878205751,110,48,110Cd
601,6.971678944095586,110,48,110Cd
601,6.975390808849703,110,48,110Cd
602,6.9790984841844415,110,48,110Cd
603,6.982801981764096,110,48,110Cd
605,6.986501313201244,110,48,110Cd
605,6.990196490057048,110,48,110Cd
606,6.993887523841582,110,48,110Cd
608,6.997574426014125,110,48,110Cd
608,7.001257207983472,110,48,110Cd
610,7.004935881108261,110,48,110Cd
610,7.008610456697235,110,48,110Cd
612,7.012280946009584,110,48,110Cd
