Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,3.9056833344745083,12,6,12C
2,5.6761042998502695,12,6,12C
3,7.063516793611017,12,6,12C
4,8.249045624973467,12,6,12C
5,9.304002247742426,12,6,12C
6,10.265363218360978,12,6,12C
7,11.155279923030344,12,6,12C
7,11.98828459242528,12,6,12C
9,12.774530145142393,12,6,12C
10,13.521446221223862,12,6,12C
11,14.234666653434791,12,6,12C
12,14.918585894804279,12,6,12C
12,15.576711305743622,12,6,12C
13,16.211896079297766,12,6,12C
15,16.826498847112873,12,6,12C
16,17.422496371444634,12,6,12C
17,18.00156516840084,12,6,12C
17,18.56514194209895,12,6,12C
18,19.114469195603405,12,6,12C
20,19.650630239025553,12,6,12C
21,20.174576463546863,12,6,12C
21,20.687148874901663,12,6,12C
22,21.18909529915471,12,6,12C
23,21.68108427985942,12,6,12C
25,22.163716413441126,12,6,12C
26,22.63753367807366,12,6,12C
27,23.103027174332844,12,6,12C
28,23.56064359652155,12,6,12C
29,24.010790680481048,12,6,12C
29,24.453841819301825,12,6,12C
30,24.890139997392,12,6,12C
32,25.320001162200732,12,6,12C
33,25.743717128956515,12,6,12C
34,26.161558095221913,12,6,12C
35,26.573774827557692,12,6,12C
36,26.980600571156277,12,6,12C
37,27.38225272422728,12,6,12C
37,27.7789343116619,12,6,12C
38,28.170835286664175,12,6,12C
39,28.558133684308988,12,6,12C
40,28.940996647136643,12,6,12C
42,29.319581339741045,12,6,12C
42,29.69403576671204,12,6,12C
44,30.064499506146117,12,6,12C
45,30.431104369153754,12,6,12C
46,30.793974994301784,12,6,12C
47,31.153229384679612,12,6,12C
47,31.508979394225214,12,6,12C
48,31.861331169058214,12,6,12C
49,32.21038554881238,12,6,12C
50,32.55623843231789,12,6,12C
52,32.898981111433955,12,6,12C
52,33.23870057636365,12,6,12C
54,33.57547979537667,12,6,12C
55,33.90939797151798,12,6,12C
56,34.24053077857856,12,6,12C
57,34.56895057834247,12,6,12C
58,34.89472662089749,12,6,12C
59,35.217925229597796,12,6,12C
60,35.53860997209409,12,6,12C
61,35.85684181869474,12,6,12C
62,36.172679289187776,12,6,12C
63,36.48617858913694,12,6,12C
63,36.79739373656059,12,6,12C
64,37.106376679811554,12,6,12C
66,37.41317740739457,12,6,12C
67,37.71784405038608,12,6,12C
68,38.020422978057724,12,6,12C
68,38.32095888724704,12,6,12C
70,38.619494885969104,12,6,12C
70,38.916072571716725,12,6,12C
72,39.21073210485656,12,6,12C
73,39.5035122774919,12,6,12C
74,39.79445057813035,12,6,12C
75,40.08358325246484,12,6,12C
76,40.3709453605503,12,6,12C
77,40.656570830634266,12,6,12C
77,40.94049250987783,12,6,12C
78,41.22274221218424,12,6,12C
79,41.5033507633344,12,6,12C
81,41.782348043612686,12,6,12C
82,42.05976302809164,12,6,12C
83,42.33562382473125,12,6,12C
83,42.6099577104361,12,6,12C
84,42.88279116520276,12,6,12C
85,43.154149904479915,12,6,12C
86,43.42405890985419,12,6,12C
88,43.692542458166905,12,6,12C
89,43.95962414915838,12,6,12C
90,44.22532693173036,12,6,12C
91,44.489673128909885,12,6,12C
92,44.75268446159247,12,6,12C
92,45.01438207113693,12,6,12C
93,45.27478654087895,12,6,12C
95,45.533917916626265,12,6,12C
96,45.79179572619357,12,6,12C
96,46.04843899803222,12,6,12C
98,46.30386627900467,12,6,12C
99,46.55809565135209,12,6,12C
100,46.81114474889908,12,6,12C
101,47.06303077253711,12,6,12C
101,47.31377050502563,12,6,12C
102,47.563380325147456,12,6,12C
103,47.81187622125228,12,6,12C
105,48.05927380422054,12,6,12C
106,48.305588319877856,12,6,12C
107,48.55083466088806,12,6,12C
108,48.79502737815142,12,6,12C
109,49.03818069173314,12,6,12C
109,49.2803085013454,12,6,12C
111,49.52142439640553,12,6,12C
111,49.76154166569024,12,6,12C
112,50.00067330660673,12,6,12C
114,50.23883203409813,12,6,12C
115,50.47603028920127,12,6,12C
116,50.712280247273235,12,6,12C
117,50.94759382590211,12,6,12C
118,51.181982692516726,12,6,12C
118,51.4154582717092,12,6,12C
119,51.64803175228376,12,6,12C
121,51.879714094043656,12,6,12C
122,52.110516034328676,12,6,12C
123,52.3404480943139,12,6,12C
124,52.56952058508052,12,6,12C
124,52.7977436134685,12,6,12C
126,53.02512708772109,12,6,12C
126,53.25168072292943,12,6,12C
127,53.4774140462867,12,6,12C
128,53.70233640215912,12,6,12C
130,53.92645695698218,12,6,12C
131,54.14978470398892,12,6,12C
132,54.3723284677777,12,6,12C
133,54.59409690872577,12,6,12C
134,54.81509852725507,12,6,12C
135,55.0353416679562,12,6,12C
135,55.254834523576484,12,6,12C
136,55.473585138877404,12,6,12C
138,55.691601414366524,12,6,12C
138,55.90889110990919,12,6,12C
140,56.125461848224354,12,6,12C
140,56.341321118269164,12,6,12C
141,56.556476278516925,12,6,12C
143,56.77093456013178,12,6,12C
144,56.98470307004505,12,6,12C
144,57.197788793935985,12,6,12C
146,57.41019859912129,12,6,12C
146,57.62193923735616,12,6,12C
148,57.833017347550935,12,6,12C
149,58.04343945840537,12,6,12C
150,58.25321199096486,12,6,12C
150,58.46234126110001,12,6,12C
152,58.67083348191385,12,6,12C
153,58.87869476607788,12,6,12C
154,59.08593112810039,12,6,12C
154,59.29254848652918,12,6,12C
156,59.49855266609096,12,6,12C
156,59.70394939976953,12,6,12C
158,59.90874433082519,12,6,12C
158,60.11294301475712,12,6,12C
159,60.31655092121087,12,6,12C
160,60.51957343583248,12,6,12C
161,60.722015862071764,12,6,12C
162,60.92388342293552,12,6,12C
164,61.1251812626932,12,6,12C
165,61.325914448536025,12,6,12C
165,61.526087972191426,12,6,12C
167,61.72570675149413,12,6,12C
168,61.92477563191523,12,6,12C
168,62.123299388051024,12,6,12C
170,62.321282725072216,12,6,12C
170,62.518730280135294,12,6,12C
171,62.71564662375734,12,6,12C
173,62.91203626115497,12,6,12C
174,63.10790363354881,12,6,12C
175,63.30325311943475,12,6,12C
176,63.498089035822794,12,6,12C
177,63.692415639444306,12,6,12C
178,63.88623712792918,12,6,12C
179,64.07955764095347,12,6,12C
179,64.27238126135825,12,6,12C
181,64.46471201624115,12,6,12C
181,64.65655387802065,12,6,12C
182,64.84791076547455,12,6,12C
183,65.03878654475317,12,6,12C
184,65.22918503036782,12,6,12C
186,65.41910998615572,12,6,12C
187,65.60856512622154,12,6,12C
188,65.79755411585673,12,6,12C
189,65.98608057243705,12,6,12C
189,66.17414806629871,12,6,12C
191,66.36176012159437,12,6,12C
192,66.54892021712854,12,6,12C
193,66.73563178717441,12,6,12C
193,66.92189822227114,12,6,12C
194,67.10772287000316,12,6,12C
195,67.29310903576166,12,6,12C
197,67.47805998348865,12,6,12C
197,67.66257893640417,12,6,12C
199,67.84666907771751,12,6,12C
200,68.03033355132176,12,6,12C
201,68.21357546247387,12,6,12C
202,68.39639787845861,12,6,12C
203,68.57880382923874,12,6,12C
204,68.76079630809039,12,6,12C
204,68.94237827222467,12,6,12C
205,69.12355264339604,12,6,12C
207,69.30432230849705,12,6,12C
207,69.48469012014064,12,6,12C
209,69.66465889723,12,6,12C
209,69.84423142551572,12,6,12C
210,70.0234104581421,12,6,12C
211,70.2021987161809,12,6,12C
212,70.38059888915456,12,6,12C
214,70.55861363554817,12,6,12C
215,70.73624558331075,12,6,12C
215,70.9134973303465,12,6,12C
217,71.09037144499553,12,6,12C
217,71.26687046650466,12,6,12C
219,71.4429969054892,12,6,12C
219,71.61875324438446,12,6,12C
220,71.79414193788891,12,6,12C
222,71.96916541339795,12,6,12C
223,72.14382607142896,12,6,12C
223,72.3181262860383,12,6,12C
225,72.49206840522946,12,6,12C
225,72.66565475135332,12,6,12C
226,72.83888762150083,12,6,12C
228,73.0117692878875,12,6,12C
228,73.18430199823052,12,6,12C
230,73.35648797611907,12,6,12C
231,73.52832942137627,12,6,12C
232,73.69982851041564,12,6,12C
232,73.87098739658936,12,6,12C
234,74.04180821053085,12,6,12C
235,74.21229306049014,12,6,12C
236,74.38244403266341,12,6,12C
237,74.55226319151595,12,6,12C
237,74.72175258009914,12,6,12C
238,74.89091422036167,12,6,12C
239,75.05975011345473,12,6,12C
240,75.22826224003144,12,6,12C
241,75.39645256054123,12,6,12C
242,75.56432301551838,12,6,12C
243,75.73187552586514,12,6,12C
245,75.8991119931303,12,6,12C
246,76.06603429978205,12,6,12C
247,76.23264430947613,12,6,12C
248,76.39894386731937,12,6,12C
249,76.56493480012813,12,6,12C
