Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.07379670238256568,131,54,131Xe
2,0.14011772906505104,131,54,131Xe
3,0.20388228231363273,131,54,131Xe
4,0.26604139974397145,131,54,131Xe
5,0.32703337547008604,131,54,131Xe
6,0.38711109673018196,131,54,131Xe
7,0.44643902880217645,131,54,131Xe
7,0.5051325542456672,131,54,131Xe
9,0.5632769988274731,131,54,131Xe
10,0.6209379609104626,131,54,131Xe
11,0.6781674027009655,131,54,131Xe
12,0.7350074734847335,131,54,131Xe
12,0.7914930295742233,131,54,131Xe
13,0.8476533620362164,131,54,131Xe
15,0.9035134203953872,131,54,131Xe
16,0.9590947033217677,131,54,131Xe
17,1.014415922168602,131,54,131Xe
17,1.069493505294199,131,54,131Xe
18,1.1243419881232706,131,54,131Xe
20,1.1789743195030902,131,54,131Xe
21,1.2334021056145845,131,54,131Xe
21,1.287635806540487,131,54,131Xe
22,1.3416848964180974,131,54,131Xe
23,1.3955579952154082,131,54,131Xe
25,1.4492629781330877,131,54,131Xe
26,1.502807067175374,131,54,131Xe
27,1.5561969083709344,131,54,131Xe
28,1.6094386373411949,131,54,131Xe
29,1.6625379353282361,131,54,131Xe
29,1.7155000773517888,131,54,131Xe
30,1.7683299738267442,131,54,131Xe
32,1.8210322067116298,131,54,131Xe
33,1.873611061055303,131,54,131Xe
34,1.9260705526494344,131,54,131Xe
35,1.9784144523679286,131,54,131Xe
36,2.0306463076735968,131,54,131Xe
37,2.0827694616912975,131,54,131Xe
37,2.134787070181279,131,54,131Xe
38,2.1867021166930605,131,54,131Xe
39,2.2385174261365623,131,54,131Xe
40,2.2902356769712364,131,54,131Xe
42,2.341859412184203,131,54,131Xe
42,2.3933910492036925,131,54,131Xe
44,2.444832888873397,131,54,131Xe
45,2.496187123596021,131,54,131Xe
46,2.547455844739686,131,54,131Xe
47,2.598641049388515,131,54,131Xe
47,2.6497446465081467,131,54,131Xe
48,2.70076846258806,131,54,131Xe
49,2.7517142468148434,131,54,131Xe
50,2.8025836758240303,131,54,131Xe
52,2.8533783580724013,131,54,131Xe
52,2.904099837867786,131,54,131Xe
54,2.954749599089169,131,54,131Xe
55,3.0053290686261573,131,54,131Xe
56,3.0558396195637463,131,54,131Xe
57,3.106282574135395,131,54,131Xe
58,3.1566592064651027,131,54,131Xe
59,3.2069707451168794,131,54,131Xe
60,3.257218375468217,131,54,131Xe
61,3.30740324192242,131,54,131Xe
62,3.3575264499732005,131,54,131Xe
63,3.4075890681336296,131,54,131Xe
63,3.4575921297403758,131,54,131Xe
64,3.5075366346430985,131,54,131Xe
66,3.557423550787969,131,54,131Xe
67,3.6072538157034604,131,54,131Xe
68,3.657028337895819,131,54,131Xe
68,3.7067479981609077,131,54,131Xe
70,3.756413650818648,131,54,131Xe
70,3.806026124875575,131,54,131Xe
72,3.8555862251207427,131,54,131Xe
73,3.905094733159583,131,54,131Xe
74,3.954552408390113,131,54,131Xe
75,4.003959988925367,131,54,131Xe
76,4.053318192465757,131,54,131Xe
77,4.10262771712466,131,54,131Xe
77,4.15188924221033,131,54,131Xe
78,4.201103428966976,131,54,131Xe
79,4.250270921277627,131,54,131Xe
81,4.299392346331211,131,54,131Xe
82,4.348468315256077,131,54,131Xe
83,4.397499423722045,131,54,131Xe
83,4.446486252512919,131,54,131Xe
84,4.49542936807123,131,54,131Xe
85,4.544329323016858,131,54,131Xe
86,4.593186656641103,131,54,131Xe
88,4.642001895377629,131,54,131Xe
89,4.690775553251583,131,54,131Xe
90,4.7395081323081785,131,54,131Xe
91,4.788200123021861,131,54,131Xe
92,4.836852004687182,131,54,131Xe
92,4.885464245792337,131,54,131Xe
93,4.934037304376371,131,54,131Xe
95,4.982571628370867,131,54,131Xe
96,5.031067655927011,131,54,131Xe
96,5.079525815728774,131,54,131Xe
98,5.12794652729294,131,54,131Xe
99,5.1763302012566355,131,54,131Xe
100,5.224677239653082,131,54,131Xe
101,5.272988036176061,131,54,131Xe
101,5.321262976433741,131,54,131Xe
102,5.369502438192362,131,54,131Xe
103,5.417706791610282,131,54,131Xe
105,5.465876399462846,131,54,131Xe
106,5.514011617358534,131,54,131Xe
107,5.562112793946819,131,54,131Xe
108,5.610180271118105,131,54,131Xe
109,5.658214384196079,131,54,131Xe
109,5.706215462122952,131,54,131Xe
111,5.754183827637785,131,54,131Xe
111,5.802119797448259,131,54,131Xe
112,5.850023682396262,131,54,131Xe
114,5.897895787617448,131,54,131Xe
115,5.945736412695092,131,54,131Xe
116,5.993545851808546,131,54,131Xe
117,6.041324393876432,131,54,131Xe
118,6.089072322694878,131,54,131Xe
118,6.13678991707095,131,54,131Xe
119,6.184477450951566,131,54,131Xe
121,6.232135193547979,131,54,131Xe
122,6.279763409456092,131,54,131Xe
123,6.32736235877278,131,54,131Xe
124,6.3749322972083124,131,54,131Xe
124,6.4224734761951146,131,54,131Xe
126,6.4699861429929895,131,54,131Xe
126,6.517470540790888,131,54,131Xe
127,6.56492690880548,131,54,131Xe
128,6.612355482376548,131,54,131Xe
130,6.659756493059387,131,54,131Xe
131,6.707130168714266,131,54,131Xe
132,6.754476733593183,131,54,131Xe
133,6.8017964084238764,131,54,131Xe
134,6.849089410491305,131,54,131Xe
135,6.896355953716597,131,54,131Xe
135,6.943596248733696,131,54,131Xe
