Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.6863478390969209,132,56,132Ba
2,0.8957335493495393,132,56,132Ba
3,1.0466963945083925,132,56,132Ba
4,1.1689970387114794,132,56,132Ba
5,1.2736187026079124,132,56,132Ba
6,1.3660144654611095,132,56,132Ba
7,1.4493442450677338,132,56,132Ba
7,1.525625647837538,132,56,132Ba
9,1.5962363103210118,132,56,132Ba
10,1.6621644828167694,132,56,132Ba
11,1.724146476358648,132,56,132Ba
12,1.7827476330664283,132,56,132Ba
12,1.8384127651640312,132,56,132Ba
13,1.8914990197565464,132,56,132Ba
15,1.9422981002638655,132,56,132Ba
16,1.9910517651141522,132,56,132Ba
17,2.0379629269751667,132,56,132Ba
17,2.083203784433488,132,56,132Ba
18,2.126921898893602,132,56,132Ba
20,2.169244815799531,132,56,132Ba
21,2.210283633601799,132,56,132Ba
21,2.25013579834284,132,56,132Ba
22,2.2888873191517627,132,56,132Ba
23,2.326614544400983,132,56,132Ba
25,2.3633856001746674,132,56,132Ba
26,2.3992615660837537,132,56,132Ba
27,2.434297444565056,132,56,132Ba
28,2.468542966183146,132,56,132Ba
29,2.502043263504253,132,56,132Ba
29,2.534839438750736,132,56,132Ba
30,2.566969044936071,132,56,132Ba
32,2.598466496013138,132,56,132Ba
33,2.629363418384867,132,56,132Ba
34,2.659688953671293,132,56,132Ba
35,2.689470020717507,132,56,132Ba
36,2.7187315433297363,132,56,132Ba
37,2.7474966490438413,132,56,132Ba
37,2.775786843289233,132,56,132Ba
38,2.8036221625572364,132,56,132Ba
39,2.8310213095750947,132,56,132Ba
40,2.8580017729939393,132,56,132Ba
42,2.8845799336970885,132,56,132Ba
42,2.910771159505473,132,56,132Ba
44,2.936589889785425,132,56,132Ba
45,2.9620497112392066,132,56,132Ba
46,2.9871634259715965,132,56,132Ba
47,3.011943112769594,132,56,132Ba
47,3.0364001824011906,132,56,132Ba
48,3.060545427628758,132,56,132Ba
49,3.0843890685392013,132,56,132Ba
50,3.1079407937138606,132,56,132Ba
52,3.131209797693638,132,56,132Ba
52,3.154204815137229,132,56,132Ba
54,3.1769341520209253,132,56,132Ba
55,3.1994057141860046,132,56,132Ba
56,3.2216270335030903,132,56,132Ba
57,3.243605291891222,132,56,132Ba
58,3.2653473434019062,132,56,132Ba
59,3.2868597345545707,132,56,132Ba
60,3.308148723089026,132,56,132Ba
61,3.3292202952823784,132,56,132Ba
62,3.3500801819619217,132,56,132Ba
63,3.370733873331562,132,56,132Ba
63,3.391186632717046,132,56,132Ba
64,3.4114435093244286,132,56,132Ba
66,3.4315093500966496,132,56,132Ba
67,3.4513888107446093,132,56,132Ba
68,3.4710863660216598,132,56,132Ba
68,3.49060631930367,132,56,132Ba
70,3.5099528115310106,132,56,132Ba
70,3.5291298295633693,132,56,132Ba
72,3.5481412139936914,132,56,132Ba
73,3.566990666463238,132,56,132Ba
74,3.5856817565159953,132,56,132Ba
75,3.604217928027239,132,56,132Ba
76,3.622602505238037,132,56,132Ba
77,3.6408386984246697,132,56,132Ba
77,3.658929609229524,132,56,132Ba
78,3.676878235677697,132,56,132Ba
79,3.6946874769016187,132,56,132Ba
81,3.7123601375940694,132,56,132Ba
82,3.729898932208385,132,56,132Ba
83,3.7473064889230847,132,56,132Ba
83,3.7645853533868054,132,56,132Ba
84,3.781737992258188,132,56,132Ba
85,3.7987667965542053,132,56,132Ba
86,3.8156740848193964,132,56,132Ba
88,3.8324621061275397,132,56,132Ba
89,3.8491330429264137,132,56,132Ba
90,3.8656890137355076,132,56,132Ba
91,3.8821320757058415,132,56,132Ba
92,3.8984642270503684,132,56,132Ba
92,3.914687409352829,132,56,132Ba
93,3.9308035097623883,132,56,132Ba
95,3.9468143630808443,132,56,132Ba
96,3.9627217537487383,132,56,132Ba
96,3.978527417736284,132,56,132Ba
98,3.9942330443445697,132,56,132Ba
99,4.009840277922204,132,56,132Ba
100,4.025350719502153,132,56,132Ba
101,4.040765928363252,132,56,132Ba
101,4.05608742352057,132,56,132Ba
102,4.071316685148526,132,56,132Ba
103,4.086455155940416,132,56,132Ba
105,4.10150424240777,132,56,132Ba
106,4.116465316122757,132,56,132Ba
107,4.131339714906647,132,56,132Ba
108,4.146128743967133,132,56,132Ba
109,4.160833676987192,132,56,132Ba
109,4.175455757167961,132,56,132Ba
111,4.189996198227967,132,56,132Ba
111,4.204456185360919,132,56,132Ba
112,4.21883687615414,132,56,132Ba
114,4.233139401469571,132,56,132Ba
115,4.247364866289196,132,56,132Ba
116,4.2615143505266415,132,56,132Ba
117,4.275588909806546,132,56,132Ba
118,4.289589576213264,132,56,132Ba
118,4.303517359010366,132,56,132Ba
119,4.317373245332292,132,56,132Ba
121,4.331158200849472,132,56,132Ba
122,4.344873170408128,132,56,132Ba
123,4.358519078645949,132,56,132Ba
124,4.372096830584696,132,56,132Ba
124,4.38560731220081,132,56,132Ba
126,4.399051390975008,132,56,132Ba
126,4.4124299164217735,132,56,132Ba
127,4.425743720599673,132,56,132Ba
128,4.438993618603293,132,56,132Ba
130,4.452180409037626,132,56,132Ba
131,4.465304874475645,132,56,132Ba
132,4.478367781899806,132,56,132Ba
133,4.491369883128127,132,56,132Ba
134,4.504311915225529,132,56,132Ba
135,4.517194600901035,132,56,132Ba
135,4.530018648891414,132,56,132Ba
136,4.54278475433184,132,56,132Ba
138,4.555493599114087,132,56,132Ba
138,4.568145852232765,132,56,132Ba
140,4.580742170120095,132,56,132Ba
140,4.5932831969696535,132,56,132Ba
141,4.6057695650495605,132,56,132Ba
143,4.618201895005491,132,56,132Ba
144,4.630580796153935,132,56,132Ba
144,4.642906866766079,132,56,132Ba
146,4.65518069434267,132,56,132Ba
146,4.6674028558801925,132,56,132Ba
148,4.679573918128727,132,56,132Ba
149,4.691694437841767,132,56,132Ba
150,4.703764962018316,132,56,132Ba
150,4.715786028137558,132,56,132Ba
152,4.727758164386355,132,56,132Ba
153,4.739681889879857,132,56,132Ba
154,4.751557714875476,132,56,132Ba
154,4.763386140980448,132,56,132Ba
156,4.775167661353227,132,56,132Ba
156,4.786902760898939,132,56,132Ba
158,4.7985919164591,132,56,132Ba
158,4.81023559699579,132,56,132Ba
159,4.821834263770508,132,56,132Ba
160,4.833388370517861,132,56,132Ba
161,4.844898363614295,132,56,132Ba
162,4.8563646822420194,132,56,132Ba
164,4.867787758548306,132,56,132Ba
165,4.8791680178002945,132,56,132Ba
165,4.8905058785355076,132,56,132Ba
167,4.901801752708153,132,56,132Ba
168,4.9130560458314125,132,56,132Ba
168,4.9242691571158215,132,56,132Ba
170,4.935441479603874,132,56,132Ba
170,4.946573400300976,132,56,132Ba
171,4.957665300302891,132,56,132Ba
173,4.968717554919741,132,56,132Ba
174,4.979730533796717,132,56,132Ba
175,4.990704601031609,132,56,132Ba
176,5.001640115289223,132,56,132Ba
177,5.012537429912797,132,56,132Ba
178,5.0233968930325394,132,56,132Ba
179,5.0342188476713385,132,56,132Ba
179,5.045003631847757,132,56,132Ba
181,5.055751578676395,132,56,132Ba
181,5.066463016465682,132,56,132Ba
182,5.077138268813213,132,56,132Ba
183,5.087777654698673,132,56,132Ba
184,5.0983814885744305,132,56,132Ba
186,5.108950080453884,132,56,132Ba
187,5.11948373599761,132,56,132Ba
188,5.129982756597402,132,56,132Ba
189,5.140447439458228,132,56,132Ba
189,5.1508780776782155,132,56,132Ba
191,5.1612749603266765,132,56,132Ba
192,5.171638372520248,132,56,132Ba
193,5.1819685954972305,132,56,132Ba
193,5.192265906690121,132,56,132Ba
194,5.202530579796439,132,56,132Ba
195,5.212762884847884,132,56,132Ba
197,5.2229630882778455,132,56,132Ba
197,5.233131452987352,132,56,132Ba
199,5.243268238409486,132,56,132Ba
200,5.25337370057229,132,56,132Ba
201,5.263448092160241,132,56,132Ba
202,5.273491662574305,132,56,132Ba
203,5.283504657990625,132,56,132Ba
204,5.293487321417879,132,56,132Ba
204,5.303439892753331,132,56,132Ba
205,5.313362608837637,132,56,132Ba
207,5.323255703508418,132,56,132Ba
207,5.333119407652631,132,56,132Ba
209,5.3429539492578,132,56,132Ba
209,5.352759553462088,132,56,132Ba
210,5.362536442603317,132,56,132Ba
211,5.372284836266853,132,56,132Ba
212,5.382004951332508,132,56,132Ba
214,5.391697002020396,132,56,132Ba
215,5.401361199935802,132,56,132Ba
215,5.410997754113112,132,56,132Ba
217,5.4206068710587765,132,56,132Ba
217,5.430188754793374,132,56,132Ba
219,5.439743606892795,132,56,132Ba
219,5.449271626528539,132,56,132Ba
220,5.458773010507184,132,56,132Ba
222,5.46824795330903,132,56,132Ba
223,5.47769664712592,132,56,132Ba
223,5.487119281898321,132,56,132Ba
225,5.496516045351596,132,56,132Ba
225,5.505887123031556,132,56,132Ba
226,5.515232698339302,132,56,132Ba
228,5.5245529525653225,132,56,132Ba
228,5.533848064922923,132,56,132Ba
230,5.543118212580996,132,56,132Ba
231,5.5523635706961,132,56,132Ba
232,5.561584312443929,132,56,132Ba
232,5.570780609050144,132,56,132Ba
234,5.579952629820593,132,56,132Ba
235,5.5891005421709306,132,56,132Ba
236,5.598224511655683,132,56,132Ba
237,5.607324701996706,132,56,132Ba
237,5.616401275111124,132,56,132Ba
238,5.625454391138705,132,56,132Ba
239,5.634484208468724,132,56,132Ba
