Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.3489228649964276,139,58,139Ce
2,0.5578923859597706,139,58,139Ce
3,0.7341386328727338,139,58,139Ce
4,0.8920135237198407,139,58,139Ce
5,1.037497709009076,139,58,139Ce
6,1.173813454508941,139,58,139Ce
7,1.3029487389438217,139,58,139Ce
7,1.4262394442437567,139,58,139Ce
9,1.5446380456659514,139,58,139Ce
10,1.6588539484587665,139,58,139Ce
11,1.7694335481775256,139,58,139Ce
12,1.8768090443553436,139,58,139Ce
12,1.9813297933443008,139,58,139Ce
13,2.0832833089344405,139,58,139Ce
15,2.182909823660638,139,58,139Ce
16,2.2804126823480977,139,58,139Ce
17,2.375965946271999,139,58,139Ce
17,2.4697200762398808,139,58,139Ce
18,2.5618062594408797,139,58,139Ce
20,2.652339757882943,139,58,139Ce
21,2.741422537388782,139,58,139Ce
21,2.8291453585311146,139,58,139Ce
22,2.9155894590101417,139,58,139Ce
23,3.0008279215436313,139,58,139Ce
25,3.0849267966721,139,58,139Ce
26,3.167946032408476,139,58,139Ce
27,3.2499402500894377,139,58,139Ce
28,3.3309593966090483,139,58,139Ce
29,3.4110492964291783,139,58,139Ce
29,3.4902521216817473,139,58,139Ce
30,3.56860679483352,139,58,139Ce
32,3.6461493354444583,139,58,139Ce
33,3.7229131602811365,139,58,139Ce
34,3.798929344279059,139,58,139Ce
35,3.874226848459243,139,58,139Ce
36,3.9488327198056226,139,58,139Ce
37,4.022772267233627,139,58,139Ce
37,4.096069217076905,139,58,139Ce
38,4.168745850951022,139,58,139Ce
39,4.240823128390926,139,58,139Ce
40,4.312320796281457,139,58,139Ce
42,4.383257486789736,139,58,139Ce
42,4.453650805251865,139,58,139Ce
44,4.523517409253459,139,58,139Ce
45,4.592873079965936,139,58,139Ce
46,4.661732786651796,139,58,139Ce
47,4.730110745126883,139,58,139Ce
47,4.798020470861996,139,58,139Ce
48,4.865474827316567,139,58,139Ce
49,4.932486070020807,139,58,139Ce
