Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.03407091480591727,140,57,140La
2,0.06088484880914016,140,57,140La
3,0.08550532425379993,140,57,140La
4,0.10880144650146134,140,57,140La
5,0.13115985594811108,140,57,140La
6,0.15279832576332714,140,57,140La
7,0.17385587941297767,140,57,140La
7,0.19442858104023486,140,57,140La
9,0.21458656209834723,140,57,140La
10,0.23438314012755643,140,57,140La
11,0.2538601337024565,140,57,140La
12,0.2730511644722319,140,57,140La
12,0.2919838138394277,140,57,140La
13,0.310681089513947,140,57,140La
15,0.3291624564767244,140,57,140La
16,0.34744458222631674,140,57,140La
17,0.3655418884381573,140,57,140La
17,0.3834669677716419,140,57,140La
18,0.40123090445919435,140,57,140La
20,0.4188435247884618,140,57,140La
21,0.4363135955496684,140,57,140La
21,0.4536489832218359,140,57,140La
22,0.4708567830972219,140,57,140La
23,0.4879434250812719,140,57,140La
25,0.5049147611775171,140,57,140La
26,0.5217761384335411,140,57,140La
27,0.5385324602302932,140,57,140La
28,0.5551882381400103,140,57,140La
29,0.5717476360889258,140,57,140La
29,0.5882145081924806,140,57,140La
30,0.6045924313502008,140,57,140La
32,0.6208847334715597,140,57,140La
33,0.637094518036589,140,57,140La
34,0.6532246855637549,140,57,140La
35,0.6692779524539807,140,57,140La
36,0.685256867597256,140,57,140La
37,0.7011638270622144,140,57,140La
37,0.7170010871357619,140,57,140La
38,0.7327707759365888,140,57,140La
39,0.7484749037910748,140,57,140La
40,0.7641153725310887,140,57,140La
42,0.7796939838492458,140,57,140La
42,0.7952124468273167,140,57,140La
44,0.8106723847369274,140,57,140La
45,0.8260753411978096,140,57,140La
46,0.8414227857672174,140,57,140La
47,0.8567161190242601,140,57,140La
47,0.8719566772045594,140,57,140La
48,0.8871457364335388,140,57,140La
49,0.9022845166005689,140,57,140La
50,0.9173741849110154,140,57,140La
52,0.9324158591487476,140,57,140La
52,0.9474106106778196,140,57,140La
54,0.962359467208704,140,57,140La
55,0.9772634153515504,140,57,140La
56,0.9921234029764522,140,57,140La
57,1.0069403413984792,140,57,140La
58,1.0217151074033313,140,57,140La
59,1.036448545127794,140,57,140La
60,1.051141467807669,140,57,140La
61,1.0657946594045888,140,57,140La
62,1.0804088761219395,140,57,140La
63,1.094984847819125,140,57,140La
63,1.1095232793324887,140,57,140La
64,1.124024851710417,140,57,140La
66,1.1384902233694343,140,57,140La
67,1.1529200311774592,140,57,140La
68,1.1673148914698357,140,57,140La
68,1.181675401003227,140,57,140La
70,1.1960021378520322,140,57,140La
70,1.2102956622515404,140,57,140La
72,1.2245565173917161,140,57,140La
73,1.2387852301651234,140,57,140La
74,1.2529823118722596,140,57,140La
75,1.2671482588872394,140,57,140La
76,1.281283553286579,140,57,140La
77,1.295388663443563,140,57,140La
77,1.3094640445905221,140,57,140La
78,1.3235101393511246,140,57,140La
79,1.3375273782446488,140,57,140La
81,1.3515161801640427,140,57,140La
82,1.3654769528294337,140,57,140La
83,1.3794100932186464,140,57,140La
83,1.3933159879761388,140,57,140La
84,1.4071950138016973,140,57,140La
85,1.4210475378201128,140,57,140La
86,1.4348739179329766,140,57,140La
88,1.4486745031536612,140,57,140La
89,1.4624496339264688,140,57,140La
90,1.476199642430864,140,57,140La
91,1.4899248528716518,140,57,140La
92,1.5036255817558852,140,57,140La
92,1.517302138157262,140,57,140La
93,1.530954823968692,140,57,140La
95,1.5445839341436918,140,57,140La
96,1.5581897569272076,140,57,140La
96,1.571772574076442,140,57,140La
98,1.585332661072208,140,57,140La
99,1.5988702873213123,140,57,140La
100,1.6123857163504405,140,57,140La
101,1.625879205991972,140,57,140La
101,1.6393510085621439,140,57,140La
102,1.6528013710319553,140,57,140La
103,1.6662305351911613,140,57,140La
105,1.6796387378057143,140,57,140La
106,1.6930262107689615,140,57,140La
107,1.70639318124692,140,57,140La
108,1.719739871817896,140,57,140La
109,1.733066500606725,140,57,140La
109,1.7463732814138966,140,57,140La
111,1.7596604238397953,140,57,140La
111,1.7729281334042726,140,57,140La
112,1.786176611661802,140,57,140La
114,1.7994060563123713,140,57,140La
115,1.8126166613083388,140,57,140La
116,1.82580861695743,140,57,140La
117,1.8389821100220312,140,57,140La
118,1.8521373238149574,140,57,140La
118,1.8652744382918385,140,57,140La
119,1.8783936301402917,140,57,140La
121,1.8914950728659803,140,57,140La
122,1.904578936875728,140,57,140La
123,1.917645389557801,140,57,140La
124,1.9306945953594672,140,57,140La
124,1.943726715861955,140,57,140La
126,1.9567419098529224,140,57,140La
126,1.9697403333965264,140,57,140La
127,1.9827221399012058,140,57,140La
128,1.9956874801852487,140,57,140La
130,2.0086365025402637,140,57,140La
131,2.021569352792597,140,57,140La
132,2.034486174362821,140,57,140La
133,2.0473871083233353,140,57,140La
134,2.060272293454169,140,57,140La
135,2.0731418662970498,140,57,140La
135,2.085995961207809,140,57,140La
136,2.098834710407185,140,57,140La
138,2.111658244030075,140,57,140La
138,2.124466690173315,140,57,140La
140,2.1372601749420195,140,57,140La
140,2.1500388224945453,140,57,140La
141,2.162802755086144,140,57,140La
143,2.175552093111306,140,57,140La
144,2.1882869551448945,140,57,140La
144,2.2010074579820955,140,57,140La
146,2.213713716677202,140,57,140La
146,2.2264058445813033,140,57,140La
148,2.2390839533789135,140,57,140La
149,2.2517481531235597,140,57,140La
150,2.264398552272383,140,57,140La
150,2.2770352577197754,140,57,140La
152,2.2896583748300965,140,57,140La
153,2.3022680074694866,140,57,140La
154,2.3148642580368226,140,57,140La
154,2.327447227493828,140,57,140La
156,2.340017015394391,140,57,140La
156,2.3525737199130767,140,57,140La
158,2.36511743787291,140,57,140La
158,2.377648264772403,140,57,140La
159,2.3901662948118956,140,57,140La
160,2.402671620919198,140,57,140La
161,2.415164334774573,140,57,140La
162,2.4276445268350786,140,57,140La
164,2.440112286358295,140,57,140La
165,2.4525677014254317,140,57,140La
165,2.4650108589638764,140,57,140La
167,2.4774418447691593,140,57,140La
168,2.4898607435263753,140,57,140La
168,2.5022676388310816,140,57,140La
170,2.51466261320968,140,57,140La
170,2.527045748139281,140,57,140La
171,2.539417124067125,140,57,140La
173,2.551776820429487,140,57,140La
174,2.5641249156701624,140,57,140La
175,2.576461487258488,140,57,140La
176,2.5887866117069556,140,57,140La
177,2.601100364588385,140,57,140La
178,2.6134028205527127,140,57,140La
179,2.6256940533433846,140,57,140La
179,2.63797413581335,140,57,140La
181,2.650243139940721,140,57,140La
181,2.6625011368440314,140,57,140La
182,2.6747481967971805,140,57,140La
183,2.6869843892440137,140,57,140La
184,2.6992097828125914,140,57,140La
186,2.711424445329123,140,57,140La
187,2.7236284438315894,140,57,140La
188,2.7358218445830826,140,57,140La
189,2.748004713084822,140,57,140La
189,2.7601771140889007,140,57,140La
191,2.7723391116107585,140,57,140La
192,2.7844907689413523,140,57,140La
193,2.7966321486591097,140,57,140La
193,2.8087633126415796,140,57,140La
194,2.8208843220768656,140,57,140La
195,2.832995237474797,140,57,140La
197,2.845096118677871,140,57,140La
197,2.857187024871953,140,57,140La
