Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.5506044059824503,141,59,141Pr
2,0.7122659233999434,141,59,141Pr
3,0.8280230530399334,141,59,141Pr
4,0.9213924554990655,141,59,141Pr
5,1.0010067655759038,141,59,141Pr
6,1.0711367327647696,141,59,141Pr
7,1.1342503925334024,141,59,141Pr
7,1.1919200809132302,141,59,141Pr
9,1.2452173809655742,141,59,141Pr
10,1.2949097400343672,141,59,141Pr
11,1.341568131406077,141,59,141Pr
12,1.3856303831949626,141,59,141Pr
12,1.4274405754149917,141,59,141Pr
13,1.4672746792918008,141,59,141Pr
15,1.505357874256109,141,59,141Pr
16,1.541876613820008,141,59,141Pr
17,1.5769872583979156,141,59,141Pr
17,1.6108223945366928,141,59,141Pr
18,1.6434955535291311,141,59,141Pr
20,1.6751047969902315,141,59,141Pr
21,1.7057354840113395,141,59,141Pr
21,1.7354624364381548,141,59,141Pr
22,1.7643516543581064,141,59,141Pr
23,1.7924616905605268,141,59,141Pr
25,1.8198447630305925,141,59,141Pr
26,1.8465476638029523,141,59,141Pr
27,1.8726125077872486,141,59,141Pr
28,1.898077354579762,141,59,141Pr
29,1.9229767285369297,141,59,141Pr
29,1.9473420566645059,141,59,141Pr
30,1.9712020395958563,141,59,141Pr
32,1.994582967696576,141,59,141Pr
33,2.01750899186111,141,59,141Pr
34,2.0400023566621046,141,59,141Pr
35,2.0620836020321445,141,59,141Pr
36,2.0837717384966865,141,59,141Pr
37,2.1050844000602362,141,59,141Pr
37,2.1260379781186116,141,59,141Pr
38,2.1466477391862244,141,59,141Pr
39,2.166927928756805,141,59,141Pr
40,2.186891863234566,141,59,141Pr
42,2.206552011561838,141,59,141Pr
42,2.225920067914369,141,59,141Pr
44,2.2450070166255394,141,59,141Pr
45,2.263823190326917,141,59,141Pr
46,2.2823783221481335,141,59,141Pr
47,2.3006815926983113,141,59,141Pr
47,2.318741672450058,141,59,141Pr
48,2.336566760061821,141,59,141Pr
49,2.3541646171023394,141,59,141Pr
50,2.3715425995798087,141,59,141Pr
52,2.3887076866263572,141,59,141Pr
52,2.405666506643986,141,59,141Pr
54,2.4224253611800584,141,59,141Pr
55,2.4389902467676756,141,59,141Pr
56,2.4553668749380972,141,59,141Pr
57,2.471560690587939,141,59,141Pr
58,2.487576888862773,141,59,141Pr
59,2.5034204307003516,141,59,141Pr
60,2.519096057160681,141,59,141Pr
61,2.5346083026561907,141,59,141Pr
62,2.5499615071829735,141,59,141Pr
63,2.565159827643362,141,59,141Pr
63,2.580207248340623,141,59,141Pr
64,2.5951075907182464,141,59,141Pr
66,2.6098645224089343,141,59,141Pr
67,2.6244815656518927,141,59,141Pr
68,2.6389621051312613,141,59,141Pr
68,2.6533093952833737,141,59,141Pr
70,2.667526567115995,141,59,141Pr
70,2.6816166345786043,141,59,141Pr
72,2.6955825005191745,141,59,141Pr
73,2.709426962259613,141,59,141Pr
74,2.7231527168191803,141,59,141Pr
75,2.736762365812515,141,59,141Pr
76,2.750258420046621,141,59,141Pr
77,2.763643303838994,141,59,141Pr
77,2.7769193590772168,141,59,141Pr
78,2.790088849038581,141,59,141Pr
79,2.803153961986798,141,59,141Pr
81,2.8161168145613895,141,59,141Pr
82,2.8289794549741383,141,59,141Pr
83,2.841743866025776,141,59,141Pr
83,2.854411967955064,141,59,141Pr
84,2.866985621131452,141,59,141Pr
85,2.8794666286016373,141,59,141Pr
86,2.8918567384995524,141,59,141Pr
88,2.9041576463285863,141,59,141Pr
89,2.916370997124186,141,59,141Pr
90,2.9284983875043706,141,59,141Pr
91,2.9405413676151477,141,59,141Pr
92,2.9525014429773195,141,59,141Pr
92,2.9643800762406696,141,59,141Pr
93,2.97617868885115,141,59,141Pr
95,2.987898662636223,141,59,141Pr
96,2.9995413413132237,141,59,141Pr
96,3.0111080319252284,141,59,141Pr
98,3.022600006208619,141,59,141Pr
99,3.0340185018962607,141,59,141Pr
100,3.045364723959942,141,59,141Pr
101,3.05663984579548,141,59,141Pr
101,3.0678450103536856,141,59,141Pr
102,3.078981331220153,141,59,141Pr
103,3.090049893646682,141,59,141Pr
105,3.1010517555369184,141,59,141Pr
106,3.111987948388684,141,59,141Pr
107,3.1228594781952714,141,59,141Pr
108,3.133667326307867,141,59,141Pr
109,3.144412450261112,141,59,141Pr
109,3.1550957845637098,141,59,141Pr
111,3.1657182414558656,141,59,141Pr
111,3.1762807116352056,141,59,141Pr
112,3.186784064952814,141,59,141Pr
114,3.1972291510808053,141,59,141Pr
115,3.207616800152878,141,59,141Pr
116,3.2179478233791614,141,59,141Pr
117,3.2282230136365877,141,59,141Pr
118,3.2384431460359657,141,59,141Pr
118,3.248608978466878,141,59,141Pr
119,3.2587212521214344,141,59,141Pr
121,3.268780691997876,141,59,141Pr
122,3.2787880073849553,141,59,141Pr
123,3.2887438923280086,141,59,141Pr
124,3.298649026077504,141,59,141Pr
124,3.3085040735209144,141,59,141Pr
126,3.31830968559862,141,59,141Pr
126,3.3280664997045735,141,59,141Pr
127,3.3377751400724143,141,59,141Pr
128,3.3474362181476236,141,59,141Pr
130,3.3570503329463914,141,59,141Pr
131,3.3666180714017107,141,59,141Pr
132,3.3761400086972833,141,59,141Pr
133,3.3856167085897506,141,59,141Pr
134,3.395048723719725,141,59,141Pr
135,3.404436595912097,141,59,141Pr
135,3.413780856466099,141,59,141Pr
136,3.42308202643548,141,59,141Pr
138,3.4323406168992676,141,59,141Pr
138,3.441557129223452,141,59,141Pr
140,3.450732055313983,141,59,141Pr
140,3.4598658778614135,141,59,141Pr
141,3.4689590705775393,141,59,141Pr
143,3.4780120984243337,141,59,141Pr
144,3.487025417835495,141,59,141Pr
144,3.4959994769308813,141,59,141Pr
146,3.5049347157241204,141,59,141Pr
146,3.5138315663236472,141,59,141Pr
148,3.522690453127433,141,59,141Pr
149,3.5315117930116195,141,59,141Pr
150,3.5402959955133317,141,59,141Pr
150,3.549043463007833,141,59,141Pr
152,3.5577545908802883,141,59,141Pr
153,3.5664297676922754,141,59,141Pr
154,3.575069375343308,141,59,141Pr
154,3.583673789227478,141,59,141Pr
156,3.592243378385452,141,59,141Pr
156,3.6007785056519594,141,59,141Pr
158,3.6092795277989347,141,59,141Pr
158,3.6177467956744893,141,59,141Pr
159,3.626180654337835,141,59,141Pr
160,3.6345814431903136,141,59,141Pr
161,3.642949496102667,141,59,141Pr
162,3.6512851415386773,141,59,141Pr
164,3.659588702675308,141,59,141Pr
165,3.6678604975194506,141,59,141Pr
165,3.6761008390214163,141,59,141Pr
167,3.684310035185257,141,59,141Pr
168,3.6924883891760327,141,59,141Pr
168,3.7006361994241437,141,59,141Pr
170,3.7087537597268017,141,59,141Pr
170,3.7168413593467324,141,59,141Pr
171,3.72489928310824,141,59,141Pr
173,3.732927811490653,141,59,141Pr
174,3.7409272207193074,141,59,141Pr
175,3.7488977828540984,141,59,141Pr
176,3.7568397658757005,141,59,141Pr
177,3.7647534337695094,141,59,141Pr
178,3.7726390466074142,141,59,141Pr
179,3.780496860627436,141,59,141Pr
179,3.788327128311301,141,59,141Pr
181,3.7961300984600506,141,59,141Pr
181,3.803906016267682,141,59,141Pr
182,3.8116551233929576,141,59,141Pr
183,3.819377658029375,141,59,141Pr
184,3.8270738549733894,141,59,141Pr
186,3.8347439456909367,141,59,141Pr
187,3.8423881583822936,141,59,141Pr
188,3.850006718045341,141,59,141Pr
189,3.8575998465372727,141,59,141Pr
189,3.8651677626347913,141,59,141Pr
191,3.8727106820928494,141,59,141Pr
192,3.8802288177019526,141,59,141Pr
193,3.8877223793441034,141,59,141Pr
193,3.895191574047391,141,59,141Pr
194,3.9026366060392896,141,59,141Pr
195,3.9100576767986803,141,59,141Pr
197,3.917454985106669,141,59,141Pr
197,3.9248287270961892,141,59,141Pr
199,3.9321790963004593,141,59,141Pr
200,3.9395062837003154,141,59,141Pr
201,3.946810477770442,141,59,141Pr
202,3.9540918645245497,141,59,141Pr
203,3.9613506275595096,141,59,141Pr
204,3.9685869480984945,141,59,141Pr
204,3.975801005033129,141,59,141Pr
205,3.982992974964697,141,59,141Pr
207,3.990163032244434,141,59,141Pr
207,3.997311349012893,141,59,141Pr
209,4.004438095238472,141,59,141Pr
209,4.011543438755048,141,59,141Pr
210,4.018627545298828,141,59,141Pr
211,4.025690578544354,141,59,141Pr
212,4.032732700139746,141,59,141Pr
214,4.039754069741167,141,59,141Pr
215,4.046754845046553,141,59,141Pr
215,4.053735181828615,141,59,141Pr
217,4.06069523396714,141,59,141Pr
217,4.067635153480583,141,59,141Pr
219,4.074555090557022,141,59,141Pr
219,4.081455193584428,141,59,141Pr
220,4.088335609180325,141,59,141Pr
222,4.095196482220807,141,59,141Pr
223,4.102037955868972,141,59,141Pr
223,4.108860171602748,141,59,141Pr
225,4.115663269242163,141,59,141Pr
225,4.122447386976031,141,59,141Pr
226,4.129212661388122,141,59,141Pr
228,4.1359592274827754,141,59,141Pr
228,4.142687218709993,141,59,141Pr
230,4.149396766990058,141,59,141Pr
231,4.156088002737616,141,59,141Pr
232,4.162761054885297,141,59,141Pr
232,4.169416050906872,141,59,141Pr
234,4.1760531168399355,141,59,141Pr
235,4.182672377308147,141,59,141Pr
236,4.18927395554304,141,59,141Pr
237,4.195857973405387,141,59,141Pr
237,4.202424551406168,141,59,141Pr
238,4.208973808727123,141,59,141Pr
239,4.215505863240903,141,59,141Pr
240,4.222020831530838,141,59,141Pr
241,4.228518828910318,141,59,141Pr
242,4.23499996944183,141,59,141Pr
243,4.241464365955585,141,59,141Pr
245,4.247912130067848,141,59,141Pr
246,4.25434337219887,141,59,141Pr
247,4.260758201590524,141,59,141Pr
248,4.2671567263235906,141,59,141Pr
249,4.273539053334719,141,59,141Pr
249,4.27990528843309,141,59,141Pr
250,4.286255536316745,141,59,141Pr
252,4.292589900588647,141,59,141Pr
253,4.298908483772413,141,59,141Pr
254,4.305211387327786,141,59,141Pr
254,4.311498711665813,141,59,141Pr
256,4.317770556163747,141,59,141Pr
257,4.324027019179679,141,59,141Pr
257,4.33026819806692,141,59,141Pr
259,4.336494189188107,141,59,141Pr
259,4.342705087929066,141,59,141Pr
260,4.348900988712441,141,59,141Pr
261,4.355081985011042,141,59,141Pr
263,4.361248169361015,141,59,141Pr
264,4.367399633374729,141,59,141Pr
265,4.373536467753464,141,59,141Pr
266,4.379658762299876,141,59,141Pr
267,4.385766605930235,141,59,141Pr
268,4.391860086686458,141,59,141Pr
269,4.397939291747937,141,59,141Pr
270,4.404004307443154,141,59,141Pr
271,4.410055219261118,141,59,141Pr
272,4.4160921118625724,141,59,141Pr
273,4.422115069091043,141,59,141Pr
274,4.428124173983688,141,59,141Pr
275,4.434119508781964,141,59,141Pr
276,4.440101154942105,141,59,141Pr
277,4.4460691931454495,141,59,141Pr
277,4.452023703308565,141,59,141Pr
278,4.457964764593232,141,59,141Pr
280,4.4638924554162385,141,59,141Pr
280,4.469806853459027,141,59,141Pr
281,4.475708035677186,141,59,141Pr
283,4.481596078309769,141,59,141Pr
283,4.48747105688848,141,59,141Pr
285,4.493333046246703,141,59,141Pr
286,4.499182120528368,141,59,141Pr
287,4.505018353196709,141,59,141Pr
288,4.510841817042847,141,59,141Pr
288,4.51665258419425,141,59,141Pr
290,4.52245072612307,141,59,141Pr
291,4.528236313654315,141,59,141Pr
292,4.534009416973917,141,59,141Pr
293,4.539770105636676,141,59,141Pr
294,4.545518448574048,141,59,141Pr
295,4.551254514101851,141,59,141Pr
296,4.55697836992781,141,59,141Pr
296,4.562690083159017,141,59,141Pr
298,4.568389720309258,141,59,141Pr
298,4.574077347306228,141,59,141Pr
300,4.57975302949864,141,59,141Pr
301,4.585416831663212,141,59,141Pr
301,4.591068818011564,141,59,141Pr
302,4.5967090521970055,141,59,141Pr
304,4.602337597321201,141,59,141Pr
305,4.607954515940747,141,59,141Pr
306,4.613559870073672,141,59,141Pr
307,4.619153721205794,141,59,141Pr
308,4.624736130297009,141,59,141Pr
309,4.630307157787494,141,59,141Pr
309,4.6358668636037805,141,59,141Pr
311,4.641415307164787,141,59,141Pr
312,4.646952547387715,141,59,141Pr
312,4.6524786426938896,141,59,141Pr
313,4.657993651014494,141,59,141Pr
314,4.663497629796241,141,59,141Pr
316,4.668990636006933,141,59,141Pr
317,4.674472726140962,141,59,141Pr
317,4.679943956224732,141,59,141Pr
318,4.685404381821977,141,59,141Pr
319,4.690854058039036,141,59,141Pr
320,4.696293039530017,141,59,141Pr
321,4.701721380501924,141,59,141Pr
323,4.707139134719672,141,59,141Pr
323,4.712546355511055,141,59,141Pr
325,4.717943095771643,141,59,141Pr
325,4.723329407969599,141,59,141Pr
326,4.728705344150425,141,59,141Pr
328,4.734070955941663,141,59,141Pr
329,4.739426294557493,141,59,141Pr
330,4.744771410803308,141,59,141Pr
331,4.750106355080198,141,59,141Pr
331,4.755431177389367,141,59,141Pr
332,4.76074592733652,141,59,141Pr
334,4.766050654136154,141,59,141Pr
334,4.7713454066158,141,59,141Pr
336,4.776630233220229,141,59,141Pr
336,4.781905182015561,141,59,141Pr
337,4.787170300693361,141,59,141Pr
338,4.792425636574627,141,59,141Pr
339,4.797671236613787,141,59,141Pr
340,4.802907147402576,141,59,141Pr
341,4.808133415173912,141,59,141Pr
342,4.813350085805696,141,59,141Pr
343,4.818557204824552,141,59,141Pr
344,4.823754817409548,141,59,141Pr
346,4.828942968395838,141,59,141Pr
346,4.834121702278257,141,59,141Pr
347,4.839291063214901,141,59,141Pr
348,4.844451095030608,141,59,141Pr
350,4.849601841220436,141,59,141Pr
350,4.854743344953073,141,59,141Pr
352,4.859875649074215,141,59,141Pr
352,4.8649987961098775,141,59,141Pr
353,4.870112828269695,141,59,141Pr
355,4.875217787450157,141,59,141Pr
356,4.880313715237798,141,59,141Pr
357,4.885400652912359,141,59,141Pr
358,4.89047864144991,141,59,141Pr
359,4.8955477215259116,141,59,141Pr
360,4.900607933518261,141,59,141Pr
360,4.905659317510289,141,59,141Pr
362,4.910701913293712,141,59,141Pr
362,4.915735760371551,141,59,141Pr
363,4.92076089796103,141,59,141Pr
364,4.925777364996399,141,59,141Pr
365,4.930785200131771,141,59,141Pr
367,4.935784441743872,141,59,141Pr
368,4.940775127934802,141,59,141Pr
368,4.945757296534723,141,59,141Pr
370,4.950730985104552,141,59,141Pr
371,4.955696230938574,141,59,141Pr
371,4.960653071067063,141,59,141Pr
373,4.965601542258861,141,59,141Pr
374,4.970541681023898,141,59,141Pr
375,4.975473523615723,141,59,141Pr
375,4.980397106033972,141,59,141Pr
377,4.985312464026822,141,59,141Pr
378,4.990219633093398,141,59,141Pr
378,4.995118648486172,141,59,141Pr
379,5.000009545213324,141,59,141Pr
381,5.004892358041066,141,59,141Pr
382,5.009767121495953,141,59,141Pr
383,5.01463386986714,141,59,141Pr
384,5.019492637208652,141,59,141Pr
384,5.02434345734159,141,59,141Pr
386,5.029186363856329,141,59,141Pr
387,5.034021390114684,141,59,141Pr
388,5.038848569252051,141,59,141Pr
389,5.043667934179523,141,59,141Pr
389,5.048479517585982,141,59,141Pr
390,5.05328335194016,141,59,141Pr
391,5.05807946949269,141,59,141Pr
392,5.062867902278115,141,59,141Pr
394,5.067648682116884,141,59,141Pr
394,5.07242184061732,141,59,141Pr
395,5.077187409177569,141,59,141Pr
397,5.081945418987534,141,59,141Pr
397,5.08669590103075,141,59,141Pr
399,5.091438886086304,141,59,141Pr
400,5.096174404730648,141,59,141Pr
400,5.10090248733947,141,59,141Pr
401,5.105623164089495,141,59,141Pr
403,5.110336464960291,141,59,141Pr
404,5.115042419736014,141,59,141Pr
405,5.119741058007198,141,59,141Pr
406,5.124432409172462,141,59,141Pr
406,5.129116502440244,141,59,141Pr
408,5.133793366830477,141,59,141Pr
409,5.138463031176274,141,59,141Pr
409,5.143125524125584,141,59,141Pr
411,5.147780874142825,141,59,141Pr
411,5.152429109510507,141,59,141Pr
413,5.1570702583308385,141,59,141Pr
414,5.161704348527293,141,59,141Pr
414,5.166331407846186,141,59,141Pr
416,5.17095146385823,141,59,141Pr
417,5.175564543960045,141,59,141Pr
417,5.180170675375689,141,59,141Pr
418,5.184769885158149,141,59,141Pr
419,5.189362200190822,141,59,141Pr
421,5.193947647188975,141,59,141Pr
422,5.198526252701201,141,59,141Pr
422,5.203098043110847,141,59,141Pr
423,5.207663044637424,141,59,141Pr
425,5.212221283338026,141,59,141Pr
425,5.2167727851086925,141,59,141Pr
427,5.221317575685797,141,59,141Pr
428,5.225855680647395,141,59,141Pr
429,5.230387125414568,141,59,141Pr
430,5.234911935252748,141,59,141Pr
430,5.239430135273031,141,59,141Pr
431,5.24394175043348,141,59,141Pr
433,5.2484468055404,141,59,141Pr
434,5.252945325249618,141,59,141Pr
435,5.257437334067729,141,59,141Pr
435,5.261922856353357,141,59,141Pr
437,5.266401916318372,141,59,141Pr
438,5.270874538029106,141,59,141Pr
438,5.2753407454075685,141,59,141Pr
440,5.279800562232636,141,59,141Pr
441,5.284254012141224,141,59,141Pr
441,5.288701118629461,141,59,141Pr
442,5.293141905053838,141,59,141Pr
443,5.297576394632362,141,59,141Pr
444,5.302004610445677,141,59,141Pr
446,5.306426575438185,141,59,141Pr
447,5.310842312419155,141,59,141Pr
448,5.315251844063817,141,59,141Pr
449,5.31965519291446,141,59,141Pr
449,5.3240523813814775,141,59,141Pr
450,5.328443431744466,141,59,141Pr
451,5.332828366153243,141,59,141Pr
453,5.337207206628913,141,59,141Pr
453,5.341579975064879,141,59,141Pr
455,5.345946693227886,141,59,141Pr
455,5.350307382758995,141,59,141Pr
457,5.354662065174627,141,59,141Pr
458,5.359010761867507,141,59,141Pr
458,5.363353494107681,141,59,141Pr
459,5.367690283043459,141,59,141Pr
460,5.3720211497023875,141,59,141Pr
462,5.376346114992201,141,59,141Pr
463,5.3806651997017445,141,59,141Pr
463,5.3849784245019325,141,59,141Pr
465,5.38928580994665,141,59,141Pr
465,5.393587376473672,141,59,141Pr
467,5.397883144405562,141,59,141Pr
468,5.402173133950576,141,59,141Pr
469,5.406457365203538,141,59,141Pr
470,5.41073585814673,141,59,141Pr
471,5.415008632650747,141,59,141Pr
472,5.41927570847536,141,59,141Pr
473,5.423537105270368,141,59,141Pr
474,5.427792842576454,141,59,141Pr
474,5.432042939825993,141,59,141Pr
475,5.43628741634391,141,59,141Pr
477,5.440526291348469,141,59,141Pr
477,5.444759583952105,141,59,141Pr
479,5.4489873131622195,141,59,141Pr
479,5.4532094978819705,141,59,141Pr
481,5.457426156911072,141,59,141Pr
482,5.461637308946561,141,59,141Pr
483,5.4658429725835775,141,59,141Pr
483,5.470043166316134,141,59,141Pr
484,5.474237908537856,141,59,141Pr
486,5.478427217542757,141,59,141Pr
487,5.482611111525956,141,59,141Pr
487,5.48678960858443,141,59,141Pr
489,5.490962726717749,141,59,141Pr
490,5.495130483828775,141,59,141Pr
491,5.499292897724398,141,59,141Pr
491,5.50344998611624,141,59,141Pr
493,5.507601766621358,141,59,141Pr
494,5.51174825676293,141,59,141Pr
495,5.515889473970953,141,59,141Pr
496,5.520025435582925,141,59,141Pr
496,5.524156158844524,141,59,141Pr
498,5.528281660910276,141,59,141Pr
498,5.5324019588442015,141,59,141Pr
499,5.536517069620508,141,59,141Pr
501,5.540627010124212,141,59,141Pr
501,5.544731797151792,141,59,141Pr
502,5.5488314474118425,141,59,141Pr
504,5.552925977525681,141,59,141Pr
505,5.557015404028,141,59,141Pr
506,5.561099743367482,141,59,141Pr
507,5.5651790119074045,141,59,141Pr
508,5.56925322592627,141,59,141Pr
509,5.57332240161839,141,59,141Pr
509,5.577386555094512,141,59,141Pr
511,5.581445702382382,141,59,141Pr
512,5.585499859427357,141,59,141Pr
512,5.5895490420929805,141,59,141Pr
514,5.593593266161563,141,59,141Pr
515,5.597632547334744,141,59,141Pr
516,5.601666901234082,141,59,141Pr
516,5.605696343401599,141,59,141Pr
518,5.609720889300343,141,59,141Pr
518,5.613740554314939,141,59,141Pr
519,5.617755353752148,141,59,141Pr
521,5.621765302841397,141,59,141Pr
521,5.625770416735323,141,59,141Pr
522,5.6297707105103045,141,59,141Pr
523,5.633766199166994,141,59,141Pr
525,5.637756897630839,141,59,141Pr
526,5.641742820752599,141,59,141Pr
527,5.645723983308865,141,59,141Pr
527,5.649700400002566,141,59,141Pr
528,5.6536720854634925,141,59,141Pr
530,5.657639054248757,141,59,141Pr
530,5.661601320843336,141,59,141Pr
532,5.665558899660541,141,59,141Pr
533,5.669511805042497,141,59,141Pr
533,5.673460051260656,141,59,141Pr
535,5.67740365251625,141,59,141Pr
536,5.681342622940783,141,59,141Pr
536,5.685276976596491,141,59,141Pr
538,5.689206727476827,141,59,141Pr
539,5.693131889506895,141,59,141Pr
540,5.69705247654395,141,59,141Pr
540,5.700968502377812,141,59,141Pr
