Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,2.6571565591621065,14,7,14N
2,3.5227322814915603,14,7,14N
3,4.1544698044746955,14,7,14N
4,4.670271566902297,14,7,14N
5,5.114065104623507,14,7,14N
6,5.507799245867502,14,7,14N
7,5.864254815341859,14,7,14N
7,6.191624786025709,14,7,14N
9,6.495522176433055,14,7,14N
10,6.779985233308062,14,7,14N
11,7.0480304649561765,14,7,14N
12,7.301979304339748,14,7,14N
12,7.543662081417793,14,7,14N
13,7.774551211017592,14,7,14N
15,7.995851423213,14,7,14N
16,8.208562808769514,14,7,14N
17,8.413526043378194,14,7,14N
17,8.61145557162071,14,7,14N
18,8.802964441526143,14,7,14N
20,8.988583215789838,14,7,14N
21,9.168774595564493,14,7,14N
21,9.343944885079077,14,7,14N
22,9.514453091000348,14,7,14N
23,9.680618225330402,14,7,14N
25,9.8427252260119,14,7,14N
26,10.001029801290317,14,7,14N
27,10.155762427034528,14,7,14N
28,10.30713167078015,14,7,14N
29,10.455326975721068,14,7,14N
29,10.600521007856894,14,7,14N
30,10.742871647019383,14,7,14N
32,10.882523685477455,14,7,14N
33,11.019610284804385,14,7,14N
34,11.154254231645423,14,7,14N
35,11.286569025205317,14,7,14N
36,11.416659823139875,14,7,14N
37,11.544624267685004,14,7,14N
37,11.670553209994198,14,7,14N
38,11.794531347559557,14,7,14N
39,11.916637787094091,14,7,14N
40,12.036946543226623,14,7,14N
42,12.155526981707016,14,7,14N
42,12.272444214462906,14,7,14N
44,12.387759452730787,14,7,14N
45,12.501530323557365,14,7,14N
46,12.613811154196016,14,7,14N
47,12.724653228278617,14,7,14N
47,12.834105017101647,14,7,14N
48,12.942212388909585,14,7,14N
49,13.049018798672938,14,7,14N
50,13.154565460530597,14,7,14N
52,13.25889150478738,14,7,14N
52,13.362034121119107,14,7,14N
54,13.464028689432979,14,7,14N
55,13.564908899655398,14,7,14N
56,13.664706861567412,14,7,14N
57,13.76345320567679,14,7,14N
58,13.861177176002117,14,7,14N
59,13.95790671554483,14,7,14N
60,14.053668545139255,14,7,14N
61,14.148488236295012,14,7,14N
62,14.242390278580043,14,7,14N
63,14.33539814203454,14,7,14N
63,14.427534335055007,14,7,14N
64,14.518820458142475,14,7,14N
66,14.609277253869388,14,7,14N
67,14.698924653383994,14,7,14N
68,14.787781819740335,14,7,14N
68,14.875867188313608,14,7,14N
70,14.963198504536392,14,7,14N
70,15.049792859168706,14,7,14N
72,15.135666721295731,14,7,14N
73,15.220835969228624,14,7,14N
74,15.305315919468844,14,7,14N
75,15.38912135388148,14,7,14N
76,15.472266545210877,14,7,14N
77,15.55476528105992,14,7,14N
77,15.636630886444273,14,7,14N
78,15.717876245023364,14,7,14N
79,15.798513819101412,14,7,14N
81,15.878555668484257,14,7,14N
82,15.958013468270687,14,7,14N
83,16.036898525650614,14,7,14N
83,16.115221795776982,14,7,14N
84,16.192993896772684,14,7,14N
85,16.27022512392928,14,7,14N
86,16.34692546314994,14,7,14N
88,16.423104603684994,14,7,14N
89,16.498771950204976,14,7,14N
90,16.57393663425249,14,7,14N
91,16.648607525111675,14,7,14N
92,16.72279324013054,14,7,14N
92,16.79650215452982,14,7,14N
93,16.86974241072867,14,7,14N
95,16.94252192721623,14,7,14N
96,17.014848406995398,14,7,14N
96,17.08672934562401,14,7,14N
98,17.158172038876216,14,7,14N
99,17.2291835900459,14,7,14N
100,17.299770916912294,14,7,14N
101,17.369940758386463,14,7,14N
101,17.439699680856446,14,7,14N
102,17.509054084247545,14,7,14N
103,17.578010207812977,14,7,14N
105,17.64657413566961,14,7,14N
106,17.71475180209217,14,7,14N
107,17.782548996578655,14,7,14N
108,17.84997136869888,14,7,14N
109,17.917024432737442,14,7,14N
109,17.983713572141433,14,7,14N
111,18.05004404378309,14,7,14N
111,18.11602098204632,14,7,14N
112,18.181649402746206,14,7,14N
114,18.246934206889613,14,7,14N
115,18.311880184284497,14,7,14N
116,18.37649201700567,14,7,14N
117,18.440774282723417,14,7,14N
118,18.504731457901965,14,7,14N
118,18.568367920873673,14,7,14N
119,18.631687954794778,14,7,14N
121,18.69469575048846,14,7,14N
122,18.757395409180067,14,7,14N
123,18.819790945129736,14,7,14N
124,18.88188628816681,14,7,14N
124,18.94368528613074,14,7,14N
126,19.005191707222384,14,7,14N
126,19.06640924226983,14,7,14N
127,19.127341506912494,14,7,14N
128,19.18799204370697,14,7,14N
130,19.248364324158107,14,7,14N
131,19.308461750678415,14,7,14N
132,19.36828765847903,14,7,14N
133,19.427845317394958,14,7,14N
134,19.487137933647407,14,7,14N
135,19.546168651545866,14,7,14N
135,19.604940555132405,14,7,14N
136,19.663456669770575,14,7,14N
138,19.721719963681085,14,7,14N
138,19.77973334942654,14,7,14N
