Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.0733844098738507,150,60,150Nd
2,0.185317127913418,150,60,150Nd
3,0.31860519349800864,150,60,150Nd
4,0.4679800240557016,150,60,150Nd
5,0.6305837459892963,150,60,150Nd
6,0.8045714273487498,150,60,150Nd
7,0.988634338156008,150,60,150Nd
7,1.1817866237247996,150,60,150Nd
9,1.383253875017869,150,60,150Nd
10,1.592408645330826,150,60,150Nd
11,1.8087302861127594,150,60,150Nd
12,2.0317784986453806,150,60,150Nd
12,2.261175139893903,150,60,150Nd
13,2.496591257170256,150,60,150Nd
15,2.737737576046228,150,60,150Nd
16,2.984357349083404,150,60,150Nd
17,3.2362208662874985,150,60,150Nd
17,3.4931211647551885,150,60,150Nd
18,3.7548706226156794,150,60,150Nd
20,4.0212982174891,150,60,150Nd
21,4.2922472926938395,150,60,150Nd
21,4.567573717205431,150,60,150Nd
22,4.847144355036333,150,60,150Nd
23,5.130835780684883,150,60,150Nd
25,5.418533192396554,150,60,150Nd
26,5.710129486013284,150,60,150Nd
27,6.005524460366053,150,60,150Nd
28,6.304624131308889,150,60,150Nd
29,6.60734013616172,150,60,150Nd
29,6.9135892139171515,150,60,150Nd
30,7.223292749351137,150,60,150Nd
32,7.536376371359355,150,60,150Nd
33,7.8527695975655565,150,60,150Nd
34,8.172405518621952,150,60,150Nd
35,8.495220516724608,150,60,150Nd
36,8.82115401375833,150,60,150Nd
37,9.150148245211318,150,60,150Nd
37,9.48214805659365,150,60,150Nd
38,9.817100719583404,150,60,150Nd
39,10.154955765529321,150,60,150Nd
40,10.495664834276257,150,60,150Nd
42,10.839181536562355,150,60,150Nd
42,11.185461328473616,150,60,150Nd
44,11.534461396642547,150,60,150Nd
45,11.8861405530467,150,60,150Nd
46,12.240459138408218,150,60,150Nd
47,12.597378933318527,150,60,150Nd
47,12.956863076318546,150,60,150Nd
48,13.31887598825602,150,60,150Nd
49,13.68338330231996,150,60,150Nd
50,14.050351799220888,150,60,150Nd
52,14.419749347044478,150,60,150Nd
52,14.791544845357851,150,60,150Nd
54,15.165708173193186,150,60,150Nd
55,15.542210140572285,150,60,150Nd
56,15.92102244327122,150,60,150Nd
57,16.30211762055399,150,60,150Nd
58,16.68546901563156,150,60,150Nd
59,17.071050738626568,150,60,150Nd
60,17.45883763184486,150,60,150Nd
61,17.84880523717393,150,60,150Nd
62,18.2409297654454,150,60,150Nd
63,18.63518806761328,150,60,150Nd
63,19.031557607612825,150,60,150Nd
64,19.430016436777937,150,60,150Nd
66,19.8305431697041,150,60,150Nd
67,20.233116961455096,150,60,150Nd
68,20.637717486019454,150,60,150Nd
68,21.044324915930474,150,60,150Nd
70,21.452919902971463,150,60,150Nd
70,21.86348355989311,150,60,150Nd
72,22.275997443077028,150,60,150Nd
73,22.690443536083194,150,60,150Nd
74,23.106804234025617,150,60,150Nd
75,23.525062328722914,150,60,150Nd
76,23.945200994576417,150,60,150Nd
77,24.367203775130434,150,60,150Nd
77,24.791054570273438,150,60,150Nd
78,25.2167376240419,150,60,150Nd
79,25.644237512990856,150,60,150Nd
81,26.07353913509843,150,60,150Nd
82,26.504627699173113,150,60,150Nd
83,26.9374887147355,150,60,150Nd
83,27.372107982347405,150,60,150Nd
84,27.808471584363954,150,60,150Nd
85,28.24656587608485,150,60,150Nd
86,28.686377477283397,150,60,150Nd
88,29.127893264093178,150,60,150Nd
89,29.571100361232993,150,60,150Nd
90,30.0159861345525,150,60,150Nd
91,30.462538183882064,150,60,150Nd
92,30.910744336170726,150,60,150Nd
92,31.36059263889833,150,60,150Nd
93,31.812071353747406,150,60,150Nd
95,32.265168950522124,150,60,150Nd
96,32.71987410130239,150,60,150Nd
96,33.17617567482136,150,60,150Nd
98,33.63406273105562,150,60,150Nd
99,34.09352451601815,150,60,150Nd
100,34.554550456743996,150,60,150Nd
101,35.01713015646043,150,60,150Nd
101,35.48125338993221,150,60,150Nd
102,35.946910098974534,150,60,150Nd
103,36.41409038812575,150,60,150Nd
105,36.882784520472896,150,60,150Nd
106,37.35298291362287,150,60,150Nd
107,37.82467613581356,150,60,150Nd
108,38.2978549021578,150,60,150Nd
109,38.77251007101529,150,60,150Nd
109,39.24863264048646,150,60,150Nd
111,39.726213745023664,150,60,150Nd
111,40.20524465215366,150,60,150Nd
112,40.685716759308484,150,60,150Nd
114,41.167621590758245,150,60,150Nd
115,41.65095079464319,150,60,150Nd
116,42.135696140100535,150,60,150Nd
117,42.621849514481745,150,60,150Nd
118,43.10940292065757,150,60,150Nd
118,43.59834847440628,150,60,150Nd
119,44.088678401883215,150,60,150Nd
121,44.580385037167005,150,60,150Nd
122,45.073460819880296,150,60,150Nd
123,45.567898292882546,150,60,150Nd
124,46.063690100031124,150,60,150Nd
124,46.5608289840086,150,60,150Nd
126,47.05930778421452,150,60,150Nd
126,47.55911943471729,150,60,150Nd
127,48.06025696226674,150,60,150Nd
128,48.562713484362426,150,60,150Nd
130,49.06648220737747,150,60,150Nd
131,49.57155642473523,150,60,150Nd
132,50.07792951513691,150,60,150Nd
133,50.58559494083862,150,60,150Nd
134,51.094546245975984,150,60,150Nd
135,51.604777054934104,150,60,150Nd
135,52.11628107076262,150,60,150Nd
136,52.62905207363273,150,60,150Nd
138,53.14308391933628,150,60,150Nd
138,53.65837053782401,150,60,150Nd
140,54.17490593178305,150,60,150Nd
140,54.692684175250925,150,60,150Nd
141,55.21169941226666,150,60,150Nd
