Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.36718899214400563,152,64,152Gd
2,0.5214687072770957,152,64,152Gd
3,0.6402367802432186,152,64,152Gd
4,0.7405712548229084,152,64,152Gd
5,0.8291038386539178,152,64,152Gd
6,0.9092414350312149,152,64,152Gd
7,0.9830105268138252,152,64,152Gd
7,1.0517328764246374,152,64,152Gd
9,1.1163274050858418,152,64,152Gd
10,1.177463693605975,152,64,152Gd
11,1.2356475686178416,152,64,152Gd
12,1.291272249094408,152,64,152Gd
12,1.3446506160014313,152,64,152Gd
13,1.396036481552108,152,64,152Gd
15,1.4456391218255724,152,64,152Gd
16,1.4936335108185526,152,64,152Gd
17,1.5401677150222042,152,64,152Gd
17,1.5853683560312362,152,64,152Gd
18,1.6293447245824138,152,64,152Gd
20,1.6721919319673315,152,64,152Gd
21,1.7139933606333406,152,64,152Gd
21,1.7548225955655223,152,64,152Gd
22,1.7947449649155316,152,64,152Gd
23,1.833818782383238,152,64,152Gd
25,1.8720963590353745,152,64,152Gd
26,1.909624834806105,152,64,152Gd
27,1.9464468674734328,152,64,152Gd
28,1.9826012078846225,152,64,152Gd
29,2.01812318358002,152,64,152Gd
29,2.0530451080405125,152,64,152Gd
30,2.0873966290813684,152,64,152Gd
32,2.1212050271017797,152,64,152Gd
33,2.154495471740582,152,64,152Gd
34,2.18729124381693,152,64,152Gd
35,2.219613928129184,152,64,152Gd
36,2.2514835816575807,152,64,152Gd
37,2.2829188809012417,152,64,152Gd
37,2.3139372514291683,152,64,152Gd
38,2.3445549822016116,152,64,152Gd
39,2.374787326794945,152,64,152Gd
40,2.404648593318742,152,64,152Gd
42,2.4341522245319966,152,64,152Gd
42,2.463310869433651,152,64,152Gd
44,2.4921364474110073,152,64,152Gd
45,2.5206402058704747,152,64,152Gd
46,2.5488327721423967,152,64,152Gd
47,2.5767242003404296,152,64,152Gd
47,2.6043240137623935,152,64,152Gd
48,2.6316412433404945,152,64,152Gd
49,2.658684462581788,152,64,152Gd
50,2.685461819382781,152,64,152Gd
52,2.711981065053378,152,64,152Gd
52,2.7382495808437275,152,64,152Gd
54,2.764274402231678,152,64,152Gd
55,2.790062241197709,152,64,152Gd
56,2.815619506687547,152,64,152Gd
57,2.840952323439493,152,64,152Gd
58,2.8660665493334845,152,64,152Gd
59,2.8909677914013234,152,64,152Gd
60,2.9156614206222713,152,64,152Gd
61,2.9401525856147903,152,64,152Gd
62,2.9644462253234747,152,64,152Gd
63,2.9885470807898735,152,64,152Gd
63,3.0124597060868057,152,64,152Gd
64,3.036188478487704,152,64,152Gd
66,3.0597376079354213,152,64,152Gd
67,3.0831111458686067,152,64,152Gd
68,3.1063129934581446,152,64,152Gd
68,3.12934690930115,152,64,152Gd
70,3.152216516615577,152,64,152Gd
70,3.1749253099744923,152,64,152Gd
72,3.197476661615524,152,64,152Gd
73,3.219873827357789,152,64,152Gd
74,3.2421199521557584,152,64,152Gd
75,3.264218075316906,152,64,152Gd
76,3.2861711354077228,152,64,152Gd
77,3.3079819748705277,152,64,152Gd
77,3.329653344371663,152,64,152Gd
78,3.3511879068999284,152,64,152Gd
79,3.3725882416325765,152,64,152Gd
81,3.393856847584785,152,64,152Gd
82,3.414996147057241,152,64,152Gd
83,3.43600848889534,152,64,152Gd
83,3.4568961515724146,152,64,152Gd
84,3.4776613461084898,152,64,152Gd
85,3.4983062188351473,152,64,152Gd
86,3.518832854016316,152,64,152Gd
88,3.5392432763340604,152,64,152Gd
89,3.5595394532477576,152,64,152Gd
90,3.5797232972344895,152,64,152Gd
91,3.5997966679178406,152,64,152Gd
92,3.619761374091863,152,64,152Gd
92,3.6396191756464136,152,64,152Gd
93,3.659371785399715,152,64,152Gd
95,3.679020870843509,152,64,152Gd
96,3.6985680558058713,152,64,152Gd
96,3.7180149220363923,152,64,152Gd
98,3.7373630107180755,152,64,152Gd
99,3.7566138239100897,152,64,152Gd
100,3.7757688259251876,152,64,152Gd
101,3.7948294446453716,152,64,152Gd
101,3.8137970727791526,152,64,152Gd
102,3.8326730690635507,152,64,152Gd
103,3.851458759413774,152,64,152Gd
105,3.8701554380233363,152,64,152Gd
106,3.888764368417188,152,64,152Gd
107,3.907286784460311,152,64,152Gd
108,3.9257238913240444,152,64,152Gd
109,3.9440768664122783,152,64,152Gd
109,3.962346860249572,152,64,152Gd
111,3.980534997333046,152,64,152Gd
111,3.998642376949856,152,64,152Gd
112,4.016670073961962,152,64,152Gd
114,4.034619139559735,152,64,152Gd
115,4.0524906019859035,152,64,152Gd
116,4.070285467231312,152,64,152Gd
117,4.088004719703746,152,64,152Gd
118,4.105649322871128,152,64,152Gd
118,4.123220219880269,152,64,152Gd
119,4.140718334152319,152,64,152Gd
121,4.158144569955918,152,64,152Gd
122,4.175499812959152,152,64,152Gd
123,4.19278493076119,152,64,152Gd
124,4.210000773404542,152,64,152Gd
124,4.22714817386878,152,64,152Gd
126,4.244227948546564,152,64,152Gd
126,4.261240897702691,152,64,152Gd
127,4.278187805916968,152,64,152Gd
128,4.295069442511529,152,64,152Gd
130,4.311886561963326,152,64,152Gd
131,4.328639904302358,152,64,152Gd
132,4.345330195496289,152,64,152Gd
133,4.361958147821978,152,64,152Gd
134,4.378524460224491,152,64,152Gd
135,4.395029818664083,152,64,152Gd
135,4.411474896451653,152,64,152Gd
136,4.427860354573142,152,64,152Gd
138,4.444186842003306,152,64,152Gd
138,4.4604549960092745,152,64,152Gd
140,4.476665442444336,152,64,152Gd
140,4.492818796032282,152,64,152Gd
141,4.508915660642738,152,64,152Gd
143,4.524956629557762,152,64,152Gd
144,4.540942285730095,152,64,152Gd
144,4.556873202033366,152,64,152Gd
146,4.572749941504563,152,64,152Gd
146,4.58857305757902,152,64,152Gd
148,4.604343094318284,152,64,152Gd
149,4.620060586631018,152,64,152Gd
150,4.635726060487309,152,64,152Gd
