Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.1449497115208704,162,66,162Dy
2,0.2532406679813421,162,66,162Dy
3,0.3509775025401851,162,66,162Dy
4,0.4424350710791345,162,66,162Dy
5,0.5294901729981829,162,66,162Dy
6,0.6131904386501806,162,66,162Dy
7,0.6942000449853297,162,66,162Dy
7,0.7729753427092558,162,66,162Dy
9,0.8498478955000126,162,66,162Dy
10,0.9250687268895298,162,66,162Dy
11,0.9988339978915788,162,66,162Dy
12,1.0713008991479462,162,66,162Dy
12,1.142597995455005,162,66,162Dy
13,1.2128322385757238,162,66,162Dy
15,1.2820938833790987,162,66,162Dy
16,1.3504600324272746,162,66,162Dy
17,1.4179972535831873,162,66,162Dy
17,1.48476355337881,162,66,162Dy
18,1.5508098917031343,162,66,162Dy
20,1.6161813629578963,162,66,162Dy
21,1.6809181301278668,162,66,162Dy
21,1.7450561727549052,162,66,162Dy
22,1.8086278926619241,162,66,162Dy
23,1.8716626094849174,162,66,162Dy
25,1.934186969811791,162,66,162Dy
26,1.9962252878406443,162,66,162Dy
27,2.0577998312102848,162,66,162Dy
28,2.1189310625292257,162,66,162Dy
29,2.179637844804942,162,66,162Dy
29,2.2399376172264223,162,66,162Dy
30,2.2998465464230526,162,66,162Dy
32,2.3593796573009853,162,66,162Dy
33,2.4185509467656905,162,66,162Dy
34,2.477373483019393,162,66,162Dy
35,2.5358594926330995,162,66,162Dy
36,2.594020437204269,162,66,162Dy
37,2.651867081100081,162,66,162Dy
37,2.709409551535589,162,66,162Dy
38,2.7666573920326716,162,66,162Dy
39,2.823619610139917,162,66,162Dy
40,2.8803047201574254,162,66,162Dy
42,2.9367207814983414,162,66,162Dy
42,2.9928754332258487,162,66,162Dy
44,3.048775925226919,162,66,162Dy
45,3.104429146419188,162,66,162Dy
46,3.159841650332954,162,66,162Dy
47,3.2150196783641993,162,66,162Dy
47,3.269969180955677,162,66,162Dy
48,3.3246958369299415,162,66,162Dy
49,3.379205071169945,162,66,162Dy
50,3.433502070818609,162,66,162Dy
52,3.487591800148041,162,66,162Dy
52,3.5414790142310517,162,66,162Dy
54,3.595168271532247,162,66,162Dy
55,3.6486639455224408,162,66,162Dy
56,3.7019702354085364,162,66,162Dy
57,3.755091176060814,162,66,162Dy
58,3.8080306472106447,162,66,162Dy
59,3.8607923819839187,162,66,162Dy
60,3.9133799748285876,162,66,162Dy
61,3.9657968888887067,162,66,162Dy
62,4.018046462872044,162,66,162Dy
63,4.070131917453669,162,66,162Dy
63,4.1220563612536925,162,66,162Dy
64,4.173822796423697,162,66,162Dy
66,4.2254341238731215,162,66,162Dy
67,4.2768931481638415,162,66,162Dy
68,4.328202582098714,162,66,162Dy
68,4.379365051027376,162,66,162Dy
70,4.430383096890605,162,66,162Dy
70,4.481259182022573,162,66,162Dy
72,4.531995692728767,162,66,162Dy
73,4.582594942655631,162,66,162Dy
74,4.633059175966852,162,66,162Dy
75,4.683390570339745,162,66,162Dy
76,4.733591239794285,162,66,162Dy
77,4.7836632373661105,162,66,162Dy
77,4.833608557634087,162,66,162Dy
78,4.8834291391120965,162,66,162Dy
79,4.933126866513928,162,66,162Dy
81,4.982703572899552,162,66,162Dy
82,5.032161041710357,162,66,162Dy
83,5.08150100870037,162,66,162Dy
83,5.130725163769975,162,66,162Dy
84,5.179835152708148,162,66,162Dy
85,5.228832578848801,162,66,162Dy
86,5.277719004646392,162,66,162Dy
88,5.326495953175685,162,66,162Dy
89,5.375164909560018,162,66,162Dy
90,5.42372732233239,162,66,162Dy
91,5.472184604733109,162,66,162Dy
92,5.520538135947706,162,66,162Dy
92,5.568789262288459,162,66,162Dy
93,5.616939298322654,162,66,162Dy
95,5.664989527950562,162,66,162Dy
96,5.712941205435833,162,66,162Dy
96,5.760795556390935,162,66,162Dy
98,5.808553778720002,162,66,162Dy
99,5.856217043521335,162,66,162Dy
100,5.903786495951743,162,66,162Dy
101,5.951263256054617,162,66,162Dy
101,5.998648419553644,162,66,162Dy
102,6.045943058613943,162,66,162Dy
103,6.093148222572176,162,66,162Dy
105,6.140264938637265,162,66,162Dy
106,6.18729421256313,162,66,162Dy
107,6.234237029294836,162,66,162Dy
108,6.281094353589415,162,66,162Dy
109,6.327867130612578,162,66,162Dy
109,6.374556286512526,162,66,162Dy
111,6.421162728971869,162,66,162Dy
111,6.467687347738672,162,66,162Dy
112,6.5141310151376945,162,66,162Dy
114,6.5604945865626245,162,66,162Dy
115,6.606778900950178,162,66,162Dy
116,6.652984781237012,162,66,162Dy
117,6.699113034800046,162,66,162Dy
118,6.745164453881028,162,66,162Dy
118,6.791139815996036,162,66,162Dy
119,6.837039884330552,162,66,162Dy
121,6.882865408120706,162,66,162Dy
122,6.9286171230213265,162,66,162Dy
123,6.974295751461385,162,66,162Dy
124,7.019902002987271,162,66,162Dy
124,7.065436574594474,162,66,162Dy
126,7.110900151048183,162,66,162Dy
126,7.156293405193147,162,66,162Dy
127,7.201616998253388,162,66,162Dy
128,7.246871580122029,162,66,162Dy
130,7.292057789641771,162,66,162Dy
131,7.337176254876234,162,66,162Dy
132,7.382227593372726,162,66,162Dy
133,7.427212412416573,162,66,162Dy
134,7.472131309277493,162,66,162Dy
135,7.51698487144821,162,66,162Dy
135,7.561773676875722,162,66,162Dy
136,7.606498294185384,162,66,162Dy
138,7.651159282898153,162,66,162Dy
138,7.6957571936412466,162,66,162Dy
140,7.7402925683524435,162,66,162Dy
140,7.784765940478219,162,66,162Dy
141,7.829177835166099,162,66,162Dy
143,7.873528769451209,162,66,162Dy
144,7.917819252437422,162,66,162Dy
144,7.962049785473242,162,66,162Dy
146,8.006220862322582,162,66,162Dy
146,8.050332969330592,162,66,162Dy
148,8.094386585584882,162,66,162Dy
149,8.138382183072016,162,66,162Dy
150,8.182320226829754,162,66,162Dy
150,8.22620117509493,162,66,162Dy
152,8.2700254794473,162,66,162Dy
153,8.31379358494934,162,66,162Dy
154,8.3575059302823,162,66,162Dy
154,8.401162947878511,162,66,162Dy
156,8.444765064050108,162,66,162Dy
156,8.4883126991143,162,66,162Dy
158,8.531806267515309,162,66,162Dy
158,8.575246177943047,162,66,162Dy
159,8.618632833448704,162,66,162Dy
160,8.661966631557256,162,66,162Dy
161,8.705247964377076,162,66,162Dy
162,8.748477218706718,162,66,162Dy
164,8.791654776138907,162,66,162Dy
165,8.834781013161924,162,66,162Dy
165,8.87785630125839,162,66,162Dy
167,8.920881007001553,162,66,162Dy
168,8.96385549214915,162,66,162Dy
168,9.006780113734964,162,66,162Dy
170,9.049655224158064,162,66,162Dy
170,9.092481171269847,162,66,162Dy
171,9.135258298459025,162,66,162Dy
173,9.177986944734403,162,66,162Dy
174,9.220667444805764,162,66,162Dy
175,9.263300129162761,162,66,162Dy
176,9.305885324151943,162,66,162Dy
177,9.348423352051878,162,66,162Dy
178,9.390914531146597,162,66,162Dy
179,9.43335917579723,162,66,162Dy
179,9.475757596511995,162,66,162Dy
181,9.51811010001456,162,66,162Dy
181,9.560416989310795,162,66,162Dy
182,9.602678563754035,162,66,162Dy
183,9.644895119108789,162,66,162Dy
184,9.687066947613035,162,66,162Dy
186,9.729194338039115,162,66,162Dy
187,9.77127757575318,162,66,162Dy
188,9.813316942773444,162,66,162Dy
189,9.855312717826969,162,66,162Dy
189,9.897265176405321,162,66,162Dy
191,9.939174590818956,162,66,162Dy
192,9.981041230250366,162,66,162Dy
193,10.022865360806149,162,66,162Dy
193,10.06464724556788,162,66,162Dy
194,10.106387144641925,162,66,162Dy
195,10.148085315208137,162,66,162Dy
197,10.189742011567573,162,66,162Dy
197,10.231357485189132,162,66,162Dy
199,10.272931984755257,162,66,162Dy
200,10.31446575620662,162,66,162Dy
201,10.355959042785969,162,66,162Dy
202,10.397412085080902,162,66,162Dy
203,10.438825121065907,162,66,162Dy
204,10.48019838614347,162,66,162Dy
204,10.5215321131843,162,66,162Dy
205,10.562826532566797,162,66,162Dy
207,10.604081872215719,162,66,162Dy
207,10.645298357639938,162,66,162Dy
209,10.686476211969675,162,66,162Dy
209,10.727615655992695,162,66,162Dy
210,10.768716908190074,162,66,162Dy
211,10.809780184771007,162,66,162Dy
212,10.850805699707061,162,66,162Dy
214,10.891793664765771,162,66,162Dy
215,10.932744289543445,162,66,162Dy
215,10.9736577814975,162,66,162Dy
217,11.014534345978054,162,66,162Dy
217,11.05537418625891,162,66,162Dy
219,11.096177503568025,162,66,162Dy
219,11.13694449711728,162,66,162Dy
220,11.177675364131852,162,66,162Dy
222,11.21837029987881,162,66,162Dy
223,11.259029497695323,162,66,162Dy
223,11.299653149016354,162,66,162Dy
225,11.340241443401718,162,66,162Dy
225,11.380794568562672,162,66,162Dy
226,11.421312710388158,162,66,162Dy
228,11.461796052970314,162,66,162Dy
228,11.502244778629679,162,66,162Dy
230,11.542659067939985,162,66,162Dy
231,11.583039099752273,162,66,162Dy
232,11.623385051218813,162,66,162Dy
232,11.66369709781644,162,66,162Dy
234,11.703975413369573,162,66,162Dy
235,11.744220170072673,162,66,162Dy
236,11.78443153851251,162,66,162Dy
237,11.824609687689835,162,66,162Dy
237,11.864754785040763,162,66,162Dy
238,11.904866996457827,162,66,162Dy
239,11.944946486310538,162,66,162Dy
240,11.984993417465688,162,66,162Dy
241,12.025007951307245,162,66,162Dy
242,12.064990247755967,162,66,162Dy
