Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.3397876599493589,168,68,168Er
2,0.4554235157296536,168,68,168Er
3,0.5405392977337725,168,68,168Er
4,0.6104123343104043,168,68,168Er
5,0.6707722402123162,168,68,168Er
6,0.7244945487444773,168,68,168Er
7,0.7732593564023892,168,68,168Er
7,0.8181466371610459,168,68,168Er
9,0.8598980093569796,168,68,168Er
10,0.8990481053281262,168,68,168Er
11,0.9359970018406127,168,68,168Er
12,0.9710530822848421,168,68,168Er
12,1.0044598445116188,168,68,168Er
13,1.036413431600519,168,68,168Er
15,1.0670745244771767,168,68,168Er
16,1.0965766618299462,168,68,168Er
17,1.1250322150921173,168,68,168Er
17,1.1525367773763529,168,68,168Er
18,1.1791724514042934,168,68,168Er
20,1.2050103555839615,168,68,168Er
21,1.2301125636466925,168,68,168Er
21,1.2545336265425229,168,68,168Er
22,1.2783217813173133,168,68,168Er
23,1.3015199220601177,168,68,168Er
25,1.3241663876389933,168,68,168Er
26,1.346295606688367,168,68,168Er
27,1.3679386301720453,168,68,168Er
28,1.3891235745267794,168,68,168Er
29,1.4098759930355802,168,68,168Er
29,1.430219189111729,168,68,168Er
30,1.4501744822002471,168,68,168Er
32,1.4697614347504901,168,68,168Er
33,1.4889980469898345,168,68,168Er
34,1.5079009248974307,168,68,168Er
35,1.5264854257404974,168,68,168Er
36,1.5447657847218241,168,68,168Er
37,1.562755225643502,168,68,168Er
37,1.5804660579790744,168,68,168Er
38,1.5979097623351146,168,68,168Er
39,1.6150970659513593,168,68,168Er
40,1.6320380096191378,168,68,168Er
42,1.6487420071779184,168,68,168Er
42,1.665217898569289,168,68,168Er
44,1.6814739972788293,168,68,168Er
45,1.6975181328729139,168,68,168Er
46,1.7133576892347728,168,68,168Er
47,1.7289996390182116,168,68,168Er
47,1.7444505747652652,168,68,168Er
48,1.759716737073239,168,68,168Er
49,1.774804040145141,168,68,168Er
50,1.7897180950138007,168,68,168Er
52,1.8044642306927305,168,68,168Er
52,1.8190475134749466,168,68,168Er
54,1.8334727645736408,168,68,168Er
55,1.8477445762751092,168,68,168Er
56,1.861867326754057,168,68,168Er
57,1.8758451936838516,168,68,168Er
58,1.8896821667590762,168,68,168Er
59,1.9033820592344837,168,68,168Er
60,1.9169485185729065,168,68,168Er
61,1.9303850362845674,168,68,168Er
62,1.9436949570313924,168,68,168Er
63,1.9568814870621618,168,68,168Er
63,1.9699477020374676,168,68,168Er
64,1.982896554297438,168,68,168Er
66,1.9957308796198316,168,68,168Er
67,2.0084534035113997,168,68,168Er
68,2.0210667470711954,168,68,168Er
68,2.033573432460814,168,68,168Er
70,2.045975888013193,168,68,168Er
70,2.0582764530086655,168,68,168Er
