Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.07235599302718568,173,70,173Yb
2,0.12875229502463534,173,70,173Yb
3,0.1803680745944256,173,70,173Yb
4,0.22910546563685952,173,70,173Yb
5,0.27580857548745924,173,70,173Yb
6,0.3209520397913911,173,70,173Yb
7,0.36483846522126284,173,70,173Yb
7,0.40767672820619605,173,70,173Yb
9,0.44961918110469534,173,70,173Yb
10,0.4907815592848476,173,70,173Yb
11,0.5312545746227453,173,70,173Yb
12,0.5711111130829708,173,70,173Yb
12,0.6104109327102024,173,70,173Yb
13,0.6492038564497917,173,70,173Yb
15,0.6875320154698629,173,70,173Yb
16,0.725431469995317,173,70,173Yb
17,0.7629334085733787,173,70,173Yb
17,0.8000650538038551,173,70,173Yb
18,0.8368503587146588,173,70,173Yb
20,0.8733105506540657,173,70,173Yb
21,0.9094645620469901,173,70,173Yb
21,0.9453293758170852,173,70,173Yb
22,0.9809203054903216,173,70,173Yb
23,1.0162512246342752,173,70,173Yb
25,1.0513347565258382,173,70,173Yb
26,1.0861824322560014,173,70,173Yb
27,1.1208048235355768,173,70,173Yb
28,1.1552116550366383,173,70,173Yb
29,1.1894119000408994,173,70,173Yb
29,1.223413862365189,173,70,173Yb
30,1.2572252469243674,173,70,173Yb
32,1.2908532208230388,173,70,173Yb
33,1.324304466503321,173,70,173Yb
34,1.35758522819089,173,70,173Yb
35,1.390701352656445,173,70,173Yb
36,1.4236583251307404,173,70,173Yb
37,1.4564613010679062,173,70,173Yb
37,1.4891151343361297,173,70,173Yb
38,1.5216244023209011,173,70,173Yb
39,1.5539934283493642,173,70,173Yb
40,1.5862263017814366,173,70,173Yb
42,1.6183268960613881,173,70,173Yb
42,1.6502988849805094,173,70,173Yb
44,1.6821457573656065,173,70,173Yb
45,1.7138708303779513,173,70,173Yb
46,1.7454772615820964,173,70,173Yb
47,1.776968059922563,173,70,173Yb
47,1.808346095728353,173,70,173Yb
48,1.839614109849829,173,70,173Yb
49,1.8707747220193567,173,70,173Yb
50,1.9018304385158522,173,70,173Yb
52,1.9327836592036909,173,70,173Yb
52,1.963636684008077,173,70,173Yb
54,1.9943917188817801,173,70,173Yb
55,2.0250508813118357,173,70,173Yb
56,2.0556162054094287,173,70,173Yb
57,2.086089646621334,173,70,173Yb
58,2.1164730860972387,173,70,173Yb
59,2.1467683347435487,173,70,173Yb
60,2.1769771369911104,173,70,173Yb
61,2.2071011743014854,173,70,173Yb
62,2.2371420684338887,173,70,173Yb
63,2.2671013844927184,173,70,173Yb
63,2.296980633773676,173,70,173Yb
64,2.326781276424706,173,70,173Yb
66,2.356504723936478,173,70,173Yb
67,2.386152341475727,173,70,173Yb
68,2.4157254500735994,173,70,173Yb
68,2.4452253286799612,173,70,173Yb
70,2.4746532160937504,173,70,173Yb
70,2.504010312778481,173,70,173Yb
72,2.533297782571264,173,70,173Yb
73,2.562516754292989,173,70,173Yb
74,2.591668323266644,173,70,173Yb
75,2.620753552750186,173,70,173Yb
76,2.6497734752898627,173,70,173Yb
77,2.6787290939993613,173,70,173Yb
77,2.707621383769781,173,70,173Yb
78,2.7364512924150017,173,70,173Yb
79,2.765219741756671,173,70,173Yb
81,2.793927628652709,173,70,173Yb
82,2.822575825972926,173,70,173Yb
83,2.8511651835250915,173,70,173Yb
83,2.8796965289345366,173,70,173Yb
84,2.9081706684801443,173,70,173Yb
85,2.9365883878893646,173,70,173Yb
86,2.9649504530947457,173,70,173Yb
88,2.993257610954237,173,70,173Yb
89,3.0215105899373946,173,70,173Yb
90,3.0497101007794933,173,70,173Yb
91,3.0778568371053425,173,70,173Yb
92,3.1059514760245674,173,70,173Yb
92,3.1339946786999326,173,70,173Yb
93,3.161987090890216,173,70,173Yb
95,3.1899293434690197,173,70,173Yb
96,3.217822052920837,173,70,173Yb
96,3.245665821815606,173,70,173Yb
98,3.2734612392628746,173,70,173Yb
99,3.3012088813466534,173,70,173Yb
100,3.3289093115419996,173,70,173Yb
101,3.3565630811142175,173,70,173Yb
101,3.3841707295016135,173,70,173Yb
102,3.411732784682624,173,70,173Yb
103,3.43924976352808,173,70,173Yb
105,3.466722172139372,173,70,173Yb
106,3.4941505061731912,173,70,173Yb
107,3.5215352511535314,173,70,173Yb
108,3.54887688277152,173,70,173Yb
109,3.576175867173688,173,70,173Yb
109,3.6034326612392347,173,70,173Yb
111,3.630647712846794,173,70,173Yb
111,3.657821461131156,173,70,173Yb
112,3.684954336730495,173,70,173Yb
114,3.7120467620244364,173,70,173Yb
115,3.739099151363441,173,70,173Yb
116,3.766111911289889,173,70,173Yb
117,3.7930854407512173,173,70,173Yb
118,3.8200201313054563,173,70,173Yb
118,3.846916367319525,173,70,173Yb
119,3.873774526160592,173,70,173Yb
121,3.9005949783807643,173,70,173Yb
122,3.9273780878954376,173,70,173Yb
123,3.954124212155566,173,70,173Yb
124,3.9808337023140754,173,70,173Yb
124,4.007506903386692,173,70,173Yb
126,4.034144154407428,173,70,173Yb
126,4.0607457885788865,173,70,173Yb
127,4.087312133417695,173,70,173Yb
128,4.11384351089514,173,70,173Yb
130,4.140340237573321,173,70,173Yb
131,4.1668026247368815,173,70,173Yb
132,4.19323097852061,173,70,173Yb
133,4.219625600032967,173,70,173Yb
134,4.245986785475768,173,70,173Yb
135,4.272314826260137,173,70,173Yb
135,4.2986100091188755,173,70,173Yb
136,4.324872616215411,173,70,173Yb
138,4.351102925249407,173,70,173Yb
138,4.3773012095591906,173,70,173Yb
140,4.403467738221131,173,70,173Yb
140,4.429602776146029,173,70,173Yb
141,4.455706584172686,173,70,173Yb
143,4.481779419158707,173,70,173Yb
144,4.5078215340686665,173,70,173Yb
144,4.5338331780597265,173,70,173Yb
146,4.559814596564797,173,70,173Yb
146,4.585766031373305,173,70,173Yb
148,4.611687720709702,173,70,173Yb
149,4.637579899309727,173,70,173Yb
150,4.663442798494581,173,70,173Yb
150,4.689276646242997,173,70,173Yb
152,4.715081667261356,173,70,173Yb
153,4.740858083051851,173,70,173Yb
154,4.766606111978817,173,70,173Yb
154,4.79232596933327,173,70,173Yb
156,4.818017867395685,173,70,173Yb
156,4.843682015497121,173,70,173Yb
158,4.869318620078716,173,70,173Yb
158,4.894927884749606,173,70,173Yb
159,4.920510010343349,173,70,173Yb
160,4.946065194972849,173,70,173Yb
161,4.97159363408387,173,70,173Yb
162,4.997095520507203,173,70,173Yb
164,5.022571044509443,173,70,173Yb
165,5.0480203938425205,173,70,173Yb
165,5.073443753791976,173,70,173Yb
167,5.098841307224006,173,70,173Yb
168,5.124213234631339,173,70,173Yb
168,5.149559714177995,173,70,173Yb
170,5.174880921742915,173,70,173Yb
170,5.200177030962522,173,70,173Yb
171,5.225448213272289,173,70,173Yb
173,5.250694637947228,173,70,173Yb
174,5.275916472141454,173,70,173Yb
175,5.301113880926798,173,70,173Yb
176,5.3262870273304985,173,70,173Yb
177,5.351436072371957,173,70,173Yb
178,5.376561175098709,173,70,173Yb
179,5.401662492621484,173,70,173Yb
179,5.426740180148476,173,70,173Yb
181,5.45179439101884,173,70,173Yb
181,5.476825276735358,173,70,173Yb
182,5.501832986996439,173,70,173Yb
183,5.526817669727319,173,70,173Yb
184,5.551779471110592,173,70,173Yb
186,5.576718535616038,173,70,173Yb
187,5.601635006029799,173,70,173Yb
188,5.62652902348289,173,70,173Yb
189,5.651400727479078,173,70,173Yb
189,5.676250255922155,173,70,173Yb
191,5.701077745142621,173,70,173Yb
192,5.7258833299237475,173,70,173Yb
193,5.750667143527119,173,70,173Yb
193,5.775429317717601,173,70,173Yb
194,5.800169982787779,173,70,173Yb
