Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.39216060558405574,176,72,176Hf
2,0.5168201456186005,176,72,176Hf
3,0.6073822394806848,176,72,176Hf
4,0.681106309797302,176,72,176Hf
5,0.7443996926639217,176,72,176Hf
6,0.8004561727638302,176,72,176Hf
7,0.8511320685893912,176,72,176Hf
7,0.8976155615807756,176,72,176Hf
9,0.940719642879833,176,72,176Hf
10,0.9810285686091139,176,72,176Hf
11,1.018978343924394,176,72,176Hf
12,1.054904214952921,176,72,176Hf
12,1.0890702966777133,176,72,176Hf
13,1.1216889033866648,176,72,176Hf
15,1.1529336347427575,176,72,176Hf
16,1.182948513032793,176,72,176Hf
17,1.2118545334536086,176,72,176Hf
17,1.2397544676761896,176,72,176Hf
18,1.2667364568224995,176,72,176Hf
20,1.2928767460705477,176,72,176Hf
21,1.31824179826458,176,72,176Hf
21,1.3428899501643803,176,72,176Hf
22,1.366872726424012,176,72,176Hf
23,1.3902358937192805,176,72,176Hf
25,1.413020315013178,176,72,176Hf
26,1.4352626482703301,176,72,176Hf
27,1.456995922792541,176,72,176Hf
28,1.478250018315032,176,72,176Hf
29,1.4990520661312432,176,72,176Hf
29,1.5194267871677325,176,72,176Hf
30,1.5393967786761378,176,72,176Hf
32,1.5589827587459537,176,72,176Hf
33,1.5782037759589826,176,72,176Hf
34,1.5970773900536825,176,72,176Hf
35,1.615619828337267,176,72,176Hf
36,1.6338461216966493,176,72,176Hf
37,1.6517702233584448,176,72,176Hf
37,1.669405112990298,176,72,176Hf
38,1.686762888288689,176,72,176Hf
39,1.7038548458378082,176,72,176Hf
40,1.7206915527315607,176,72,176Hf
42,1.7372829102121465,176,72,176Hf
42,1.7536382103829184,176,72,176Hf
44,1.7697661868918932,176,72,176Hf
45,1.7856750603486244,176,72,176Hf
46,1.801372579125966,176,72,176Hf
47,1.816866056105305,176,72,176Hf
47,1.832162401845843,176,72,176Hf
48,1.8472681545928065,176,72,176Hf
49,1.8621895074838761,176,72,176Hf
50,1.8769323332659593,176,72,176Hf
52,1.8915022067942484,176,72,176Hf
52,1.905904425551165,176,72,176Hf
54,1.92014402839336,176,72,176Hf
55,1.9342258127096044,176,72,176Hf
56,1.9481543501506051,176,72,176Hf
57,1.9619340010728483,176,72,176Hf
58,1.9755689278222397,176,72,176Hf
59,1.9890631069690303,176,72,176Hf
60,2.002420340593122,176,72,176Hf
61,2.0156442667079943,176,72,176Hf
62,2.0287383689019705,176,72,176Hf
63,2.0417059852672237,176,72,176Hf
63,2.054550316679564,176,72,176Hf
64,2.0672744344855656,176,72,176Hf
66,2.079881287647901,176,72,176Hf
67,2.092373709394653,176,72,176Hf
68,2.1047544234139086,176,72,176Hf
68,2.117026049630927,176,72,176Hf
70,2.1291911096016345,176,72,176Hf
70,2.1412520315530204,176,72,176Hf
72,2.1532111550981843,176,72,176Hf
73,2.1650707356512373,176,72,176Hf
74,2.1768329485650098,176,72,176Hf
75,2.188499893012458,176,72,176Hf
76,2.200073595630842,176,72,176Hf
77,2.2115560139460966,176,72,176Hf
77,2.22294903959332,176,72,176Hf
78,2.2342545013479778,176,72,176Hf
79,2.2454741679811825,176,72,176Hf
81,2.2566097509513345,176,72,176Hf
82,2.2676629069433925,176,72,176Hf
83,2.278635240266152,176,72,176Hf
83,2.2895283051170714,176,72,176Hf
84,2.3003436077234674,176,72,176Hf
85,2.3110826083681735,176,72,176Hf
86,2.3217467233071836,176,72,176Hf
88,2.332337326586205,176,72,176Hf
89,2.3428557517625284,176,72,176Hf
90,2.3533032935381644,176,72,176Hf
91,2.3636812093097483,176,72,176Hf
92,2.3739907206403177,176,72,176Hf
92,2.3842330146577053,176,72,176Hf
93,2.3944092453839607,176,72,176Hf
95,2.4045205349998877,176,72,176Hf
96,2.414567975048517,176,72,176Hf
96,2.424552627581068,176,72,176Hf
98,2.4344755262487126,176,72,176Hf
99,2.4443376773432153,176,72,176Hf
100,2.4541400607893604,176,72,176Hf
101,2.4638836310918286,176,72,176Hf
101,2.473569318239068,176,72,176Hf
102,2.4831980285664996,176,72,176Hf
103,2.4927706455812677,176,72,176Hf
105,2.502288030750598,176,72,176Hf
106,2.5117510242557026,176,72,176Hf
107,2.521160445713049,176,72,176Hf
108,2.530517094864691,176,72,176Hf
109,2.539821752239265,176,72,176Hf
109,2.5490751797851585,176,72,176Hf
111,2.5582781214772616,176,72,176Hf
111,2.567431303898622,176,72,176Hf
112,2.5765354367982787,176,72,176Hf
114,2.5855912136264263,176,72,176Hf
115,2.5945993120480333,176,72,176Hf
116,2.6035603944359687,176,72,176Hf
117,2.612475108344606,176,72,176Hf
118,2.6213440869648528,176,72,176Hf
118,2.630167949561473,176,72,176Hf
119,2.638947301893551,176,72,176Hf
121,2.6476827366188567,176,72,176Hf
122,2.6563748336828787,176,72,176Hf
123,2.6650241606932186,176,72,176Hf
124,2.6736312732800087,176,72,176Hf
124,2.6821967154429878,176,72,176Hf
126,2.6907210198858293,176,72,176Hf
126,2.6992047083382835,176,72,176Hf
127,2.707648291866687,176,72,176Hf
128,2.7160522711733153,176,72,176Hf
130,2.724417136885101,176,72,176Hf
131,2.7327433698321366,176,72,176Hf
132,2.741031441316436,176,72,176Hf
133,2.749281813371326,176,72,176Hf
134,2.757494939011901,176,72,176Hf
135,2.765671262476883,176,72,176Hf
135,2.773811219462264,176,72,176Hf
136,2.7819152373470546,176,72,176Hf
138,2.789983735411466,176,72,176Hf
138,2.798017125047836,176,72,176Hf
140,2.8060158099645856,176,72,176Hf
140,2.8139801863834797,176,72,176Hf
141,2.821910643230477,176,72,176Hf
143,2.8298075623203904,176,72,176Hf
144,2.83767131853563,176,72,176Hf
144,2.8455022799992427,176,72,176Hf
146,2.8533008082424707,176,72,176Hf
146,2.8610672583670356,176,72,176Hf
148,2.8688019792023622,176,72,176Hf
149,2.87650531345791,176,72,176Hf
150,2.884177597870826,176,72,176Hf
150,2.891819163349057,176,72,176Hf
152,2.899430335110129,176,72,176Hf
153,2.9070114328157177,176,72,176Hf
154,2.9145627707021884,176,72,176Hf
154,2.922084657707236,176,72,176Hf
156,2.9295773975927837,176,72,176Hf
156,2.937041289064245,176,72,176Hf
158,2.944476625886318,176,72,176Hf
158,2.9518836969953934,176,72,176Hf
159,2.9592627866087313,176,72,176Hf
160,2.966614174330494,176,72,176Hf
161,2.9739381352547554,176,72,176Hf
162,2.9812349400655953,176,72,176Hf
164,2.988504855134365,176,72,176Hf
165,2.9957481426142314,176,72,176Hf
165,3.0029650605320954,176,72,176Hf
167,3.010155862877956,176,72,176Hf
168,3.0173207996918223,176,72,176Hf
168,3.0244601171482515,176,72,176Hf
170,3.031574057638582,176,72,176Hf
170,3.0386628598509486,176,72,176Hf
171,3.045726758848151,176,72,176Hf
173,3.0527659861434375,176,72,176Hf
174,3.059780769774274,176,72,176Hf
175,3.066771334374175,176,72,176Hf
176,3.073737901242645,176,72,176Hf
177,3.0806806884132825,176,72,176Hf
178,3.087599910720138,176,72,176Hf
179,3.0944957798623407,176,72,176Hf
179,3.101368504467077,176,72,176Hf
181,3.108218290150957,176,72,176Hf
181,3.1150453395798223,176,72,176Hf
182,3.1218498525270526,176,72,176Hf
183,3.1286320259303957,176,72,176Hf
184,3.135392053947387,176,72,176Hf
186,3.1421301280093936,176,72,176Hf
187,3.148846436874315,176,72,176Hf
188,3.1555411666780007,176,72,176Hf
189,3.162214500984399,176,72,176Hf
189,3.1688666208344984,176,72,176Hf
191,3.175497704794076,176,72,176Hf
192,3.1821079290003027,176,72,176Hf
