Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.7152158015013732,17,8,17O
2,2.3903595702319094,17,8,17O
3,2.902567591115703,17,8,17O
4,3.3312536358386056,17,8,17O
5,3.7069083925425352,17,8,17O
6,4.045077134664472,17,8,17O
7,4.35495271832327,17,8,17O
7,4.642502711511009,17,8,17O
9,4.911859262036113,17,8,17O
10,5.166022808518265,17,8,17O
11,5.407253012440068,17,8,17O
12,5.6373016344111315,17,8,17O
12,5.857559044317139,17,8,17O
13,6.069150540147447,17,8,17O
15,6.273002005934561,17,8,17O
16,6.469886049658717,17,8,17O
17,6.660455273819415,17,8,17O
17,6.845266808038361,17,8,17O
18,7.0248007532848264,17,8,17O
20,7.199474287473835,17,8,17O
21,7.369652617461756,17,8,17O
21,7.535657598092089,17,8,17O
22,7.697774598002145,17,8,17O
23,7.856258029050019,17,8,17O
25,8.011335843964519,17,8,17O
26,8.163213228053237,17,8,17O
27,8.31207565463657,17,8,17O
28,8.45809143323007,17,8,17O
29,8.601413849686296,17,8,17O
29,8.742182975369255,17,8,17O
30,8.880527205806438,17,8,17O
32,9.01656457664068,17,8,17O
33,9.150403895027742,17,8,17O
34,9.282145717139421,17,8,17O
35,9.411883196591187,17,8,17O
36,9.53970282401939,17,8,17O
37,9.665685074393043,17,8,17O
37,9.789904975740319,17,8,17O
38,9.91243261063671,17,8,17O
39,10.033333559915816,17,8,17O
40,10.15266929653028,17,8,17O
42,10.27049753623684,17,8,17O
42,10.386872550748878,17,8,17O
44,10.501845448148877,17,8,17O
45,10.615464424646552,17,8,17O
46,10.727774991179604,17,8,17O
47,10.838820177860825,17,8,17O
47,10.94864071886056,17,8,17O
48,11.057275219963657,17,8,17O
49,11.164760310743425,17,8,17O
50,11.271130783043004,17,8,17O
52,11.376419717239385,17,8,17O
52,11.48065859758132,17,8,17O
54,11.58387741773395,17,8,17O
55,11.68610477752699,17,8,17O
56,11.7873679717857,17,8,17O
57,11.887693072021525,17,8,17O
58,11.987105001671397,17,8,17O
59,12.085627605496992,17,8,17O
60,12.18328371368822,17,8,17O
61,12.28009520115639,17,8,17O
62,12.376083042450482,17,8,17O
63,12.471267362684902,17,8,17O
63,12.56566748482687,17,8,17O
64,12.659301973656197,17,8,17O
66,12.752188676679115,17,8,17O
67,12.844344762249982,17,8,17O
68,12.935786755130115,17,8,17O
68,13.026530569691028,17,8,17O
70,13.116591540949969,17,8,17O
70,13.205984453608048,17,8,17O
72,13.294723569245798,17,8,17O
73,13.382822651816909,17,8,17O
74,13.470294991568524,17,8,17O
75,13.557153427504945,17,8,17O
76,13.64341036850174,17,8,17O
77,13.729077813167939,17,8,17O
77,13.814167368545764,17,8,17O
78,13.898690267729958,17,8,17O
79,13.982657386481966,17,8,17O
81,14.06607925890813,17,8,17O
82,14.148966092265443,17,8,17O
83,14.231327780953533,17,8,17O
83,14.313173919746745,17,8,17O
84,14.3945138163162,17,8,17O
85,14.475356503087706,17,8,17O
86,14.555710748478207,17,8,17O
88,14.635585067549874,17,8,17O
89,14.714987732118496,17,8,17O
90,14.793926780349768,17,8,17O
91,14.87241002587485,17,8,17O
92,14.950445066454332,17,8,17O
92,15.02803929221755,17,8,17O
93,15.105199893502503,17,8,17O
95,15.1819338683196,17,8,17O
96,15.258248029461251,17,8,17O
96,15.334149011277406,17,8,17O
98,15.409643276136249,17,8,17O
99,15.484737120587418,17,8,17O
100,15.559436681244673,17,8,17O
101,15.633747940403094,17,8,17O
101,15.70767673140559,17,8,17O
102,15.7812287437721,17,8,17O
103,15.854409528104144,17,8,17O
105,15.927224500776717,17,8,17O
106,15.99967894842869,17,8,17O
107,16.071778032262056,17,8,17O
108,16.143526792160014,17,8,17O
109,16.21493015063303,17,8,17O
109,16.28599291660159,17,8,17O
111,16.35671978902391,17,8,17O
111,16.42711536037611,17,8,17O
112,16.497184119992312,17,8,17O
114,16.56693045727137,17,8,17O
115,16.636358664756653,17,8,17O
116,16.705472941095145,17,8,17O
117,16.774277393881334,17,8,17O
118,16.84277604239151,17,8,17O
118,16.910972820213495,17,8,17O
119,16.978871577776722,17,8,17O
121,17.04647608478716,17,8,17O
122,17.113790032571377,17,8,17O
123,17.180817036334115,17,8,17O
124,17.247560637332818,17,8,17O
124,17.314024304973213,17,8,17O
126,17.38021143882918,17,8,17O
126,17.446125370590224,17,8,17O
127,17.51176936593993,17,8,17O
128,17.577146626368013,17,8,17O
130,17.64226029091919,17,8,17O
131,17.707113437881013,17,8,17O
132,17.77170908641404,17,8,17O
133,17.836050198125832,17,8,17O
134,17.90013967859179,17,8,17O
135,17.96398037882473,17,8,17O
135,18.027575096695305,17,8,17O
136,18.090926578305357,17,8,17O
138,18.15403751931593,17,8,17O
138,18.21691056623193,17,8,17O
140,18.27954831764508,17,8,17O
140,18.341953325436755,17,8,17O
141,18.404128095942408,17,8,17O
143,18.466075091078878,17,8,17O
144,18.527796729436186,17,8,17O
144,18.58929538733508,17,8,17O
146,18.65057339985175,17,8,17O
146,18.711633061810726,17,8,17O
148,18.7724766287474,17,8,17O
149,18.833106317841157,17,8,17O
150,18.893524308820226,17,8,17O
150,18.95373274483936,17,8,17O
152,19.013733733331218,17,8,17O
153,19.073529346832437,17,8,17O
154,19.133121623785524,17,8,17O
154,19.192512569316975,17,8,17O
156,19.251704155992915,17,8,17O
156,19.310698324552853,17,8,17O
158,19.369496984622312,17,8,17O
158,19.428102015405045,17,8,17O
159,19.48651526635571,17,8,17O
160,19.54473855783355,17,8,17O
161,19.60277368173761,17,8,17O
162,19.660622402124467,17,8,17O
164,19.718286455808638,17,8,17O
165,19.77576755294665,17,8,17O
165,19.833067377605012,17,8,17O
167,19.890187588312756,17,8,17O
168,19.947129818599105,17,8,17O
168,20.003895677516606,17,8,17O
170,20.06048675015039,17,8,17O
170,20.116904598113756,17,8,17O
171,20.17315076003087,17,8,17O
173,20.22922675200668,17,8,17O
174,20.285134068084492,17,8,17O
175,20.34087418069183,17,8,17O
176,20.396448541074758,17,8,17O
177,20.451858579720984,17,8,17O
178,20.507105706772155,17,8,17O
179,20.56219131242595,17,8,17O
