Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.13570807770130647,184,76,184Os
2,0.2640734647831189,184,76,184Os
3,0.3898060495824575,184,76,184Os
4,0.5138588356991353,184,76,184Os
5,0.6366773182054647,184,76,184Os
6,0.7585210537962606,184,76,184Os
7,0.8795601175054233,184,76,184Os
7,0.9999145625742195,184,76,184Os
9,1.1196736322912229,184,76,184Os
10,1.2389062479935395,184,76,184Os
11,1.3576672231259708,184,76,184Os
12,1.4760011797366481,184,76,184Os
12,1.593945139430807,184,76,184Os
13,1.711530305704626,184,76,184Os
15,1.828783330161608,184,76,184Os
16,1.9457272367179723,184,76,184Os
17,2.0623821118902863,184,76,184Os
17,2.178765630710843,184,76,184Os
18,2.2948934644057446,184,76,184Os
20,2.4107796012643568,184,76,184Os
21,2.5264366026147793,184,76,184Os
21,2.6418758095038526,184,76,184Os
22,2.7571075113899277,184,76,184Os
23,2.8721410851822506,184,76,184Os
25,2.9869851108605023,184,76,184Os
26,3.101647468400126,184,76,184Os
27,3.2161354196300813,184,76,184Os
28,3.330455677837519,184,76,184Os
29,3.4446144673262995,184,76,184Os
29,3.558617574676153,184,76,184Os
30,3.672470393097478,184,76,184Os
32,3.7861779610046917,184,76,184Os
33,3.899744995719033,184,76,184Os
34,4.013175923044932,184,76,184Os
35,4.12647490333175,184,76,184Os
36,4.23964585452713,184,76,184Os
37,4.352692472643204,184,76,184Os
37,4.465618249988121,184,76,184Os
38,4.578426491459327,184,76,184Os
39,4.691120329149099,184,76,184Os
40,4.803702735475007,184,76,184Os
42,4.91617653501663,184,76,184Os
42,5.028544415213824,184,76,184Os
44,5.140808936059913,184,76,184Os
45,5.252972538904991,184,76,184Os
46,5.365037554468959,184,76,184Os
47,5.477006210150939,184,76,184Os
47,5.588880636710414,184,76,184Os
48,5.70066287438619,184,76,184Os
49,5.812354878510871,184,76,184Os
50,5.923958524671807,184,76,184Os
52,6.035475613463247,184,76,184Os
52,6.146907874869354,184,76,184Os
54,6.258256972313221,184,76,184Os
55,6.36952450640292,184,76,184Os
56,6.480712018402555,184,76,184Os
57,6.591820993452859,184,76,184Os
58,6.702852863563599,184,76,184Os
59,6.813809010397606,184,76,184Os
60,6.924690767864175,184,76,184Os
61,7.03549942453789,184,76,184Os
62,7.146236225917283,184,76,184Os
63,7.256902376536361,184,76,184Os
63,7.367499041940725,184,76,184Os
64,7.478027350539,184,76,184Os
66,7.588488395339198,184,76,184Os
67,7.698883235578822,184,76,184Os
68,7.809212898256713,184,76,184Os
68,7.919478379573876,184,76,184Os
70,8.029680646290005,184,76,184Os
70,8.139820637001678,184,76,184Os
72,8.249899263347888,184,76,184Os
73,8.359917411147924,184,76,184Os
74,8.4698759414763,184,76,184Os
75,8.579775691678979,184,76,184Os
76,8.689617476334929,184,76,184Os
77,8.799402088166522,184,76,184Os
77,8.909130298902198,184,76,184Os
78,9.018802860094471,184,76,184Os
79,9.128420503896075,184,76,184Os
81,9.237983943796968,184,76,184Os
82,9.347493875324556,184,76,184Os
83,9.456950976709411,184,76,184Os
83,9.566355909518649,184,76,184Os
84,9.675709319258813,184,76,184Os
85,9.785011835950082,184,76,184Os
86,9.89426407467357,184,76,184Os
88,10.003466636093183,184,76,184Os
89,10.112620106953525,184,76,184Os
90,10.221725060555208,184,76,184Os
91,10.330782057208834,184,76,184Os
92,10.43979164466884,184,76,184Os
92,10.548754358548262,184,76,184Os
93,10.657670722715519,184,76,184Os
95,10.766541249674129,184,76,184Os
96,10.875366440926268,184,76,184Os
96,10.98414678732109,184,76,184Os
98,11.092882769388474,184,76,184Os
99,11.20157485765904,184,76,184Os
100,11.310223512971133,184,76,184Os
101,11.418829186765379,184,76,184Os
101,11.52739232136745,184,76,184Os
102,11.635913350259697,184,76,184Os
103,11.744392698342049,184,76,184Os
105,11.85283078218282,184,76,184Os
106,11.961228010259868,184,76,184Os
107,12.069584783192573,184,76,184Os
108,12.17790149396504,184,76,184Os
109,12.28617852814093,184,76,184Os
109,12.394416264070408,184,76,184Os
111,12.502615073089434,184,76,184Os
111,12.610775319711767,184,76,184Os
112,12.718897361814143,184,76,184Os
114,12.826981550814786,184,76,184Os
115,12.935028231845504,184,76,184Os
116,13.043037743917948,184,76,184Os
117,13.151010420083868,184,76,184Os
118,13.25894658758996,184,76,184Os
118,13.36684656802739,184,76,184Os
119,13.47471067747623,184,76,184Os
121,13.582539226645014,184,76,184Os
122,13.690332521005674,184,76,184Os
123,13.79809086092398,184,76,184Os
124,13.905814541785738,184,76,184Os
124,14.013503854118824,184,76,184Os
126,14.12115908371133,184,76,184Os
126,14.228780511725798,184,76,184Os
127,14.336368414810037,184,76,184Os
128,14.443923065204233,184,76,184Os
130,14.551444730844866,184,76,184Os
131,14.658933675465205,184,76,184Os
132,14.766390158692966,184,76,184Os
133,14.87381443614475,184,76,184Os
134,14.981206759517713,184,76,184Os
135,15.088567376678512,184,76,184Os
135,15.195896531749474,184,76,184Os
136,15.303194465192298,184,76,184Os
138,15.410461413889294,184,76,184Os
138,15.51769761122215,184,76,184Os
140,15.624903287148566,184,76,184Os
140,15.732078668276426,184,76,184Os
141,15.839223977936218,184,76,184Os
143,15.946339436251023,184,76,184Os
144,16.053425260204715,184,76,184Os
144,16.16048166370821,184,76,184Os
146,16.267508857663984,184,76,184Os
146,16.374507050028487,184,76,184Os
148,16.4814764458733,184,76,184Os
149,16.588417247444173,184,76,184Os
150,16.69532965421878,184,76,184Os
150,16.802213862962734,184,76,184Os
152,16.909070067784285,184,76,184Os
153,17.015898460187316,184,76,184Os
154,17.122699229123143,184,76,184Os
154,17.22947256104094,184,76,184Os
156,17.336218639936693,184,76,184Os
156,17.442937647401106,184,76,184Os
158,17.549629762666072,184,76,184Os
158,17.656295162650114,184,76,184Os
159,17.76293402200254,184,76,184Os
160,17.8695465131466,184,76,184Os
161,17.97613280632153,184,76,184Os
162,18.082693069623417,184,76,184Os
164,18.18922746904531,184,76,184Os
165,18.295736168516008,184,76,184Os
165,18.40221932993832,184,76,184Os
167,18.508677113225925,184,76,184Os
168,18.61510967633973,184,76,184Os
168,18.721517175323132,184,76,184Os
170,18.8278997643365,184,76,184Os
170,18.934257595690855,184,76,184Os
171,19.040590819880777,184,76,184Os
173,19.14689958561644,184,76,184Os
174,19.253184039854965,184,76,184Os
175,19.359444327831042,184,76,184Os
176,19.465680593086958,184,76,184Os
177,19.571892977501644,184,76,184Os
178,19.6780816213193,184,76,184Os
179,19.78424666317743,184,76,184Os
179,19.890388240133923,184,76,184Os
181,19.996506487693892,184,76,184Os
181,20.102601539835607,184,76,184Os
182,20.208673529036094,184,76,184Os
183,20.314722586296085,184,76,184Os
184,20.42074884116429,184,76,184Os
186,20.526752421761334,184,76,184Os
187,20.632733454803073,184,76,184Os
188,20.738692065623454,184,76,184Os
189,20.84462837819679,184,76,184Os
189,20.950542515159697,184,76,184Os
191,21.056434597832453,184,76,184Os
192,21.162304746239936,184,76,184Os
193,21.268153079132162,184,76,184Os
193,21.373979714004314,184,76,184Os
194,21.479784767116453,184,76,184Os
195,21.585568353512755,184,76,184Os
197,21.69133058704038,184,76,184Os
197,21.797071580367806,184,76,184Os
199,21.90279144500317,184,76,184Os
200,22.008490291311766,184,76,184Os
201,22.114168228533515,184,76,184Os
202,22.21982536479999,184,76,184Os
203,22.325461807151026,184,76,184Os
204,22.431077661551146,184,76,184Os
204,22.53667303290551,184,76,184Os
205,22.6422480250757,184,76,184Os
207,22.74780274089504,184,76,184Os
207,22.853337282183674,184,76,184Os
209,22.958851749763536,184,76,184Os
209,23.06434624347264,184,76,184Os
210,23.1698208621795,184,76,184Os
211,23.275275703796996,184,76,184Os
212,23.380710865296113,184,76,184Os
214,23.486126442719392,184,76,184Os
215,23.59152253119406,184,76,184Os
215,23.696899224945,184,76,184Os
217,23.802256617307528,184,76,184Os
217,23.907594800739687,184,76,184Os
219,24.012913866834683,184,76,184Os
219,24.1182139063326,184,76,184Os
220,24.223495009132506,184,76,184Os
222,24.328757264303874,184,76,184Os
223,24.434000760097828,184,76,184Os
223,24.53922558395851,184,76,184Os
225,24.644431822533907,184,76,184Os
225,24.749619561686536,184,76,184Os
226,24.85478888650424,184,76,184Os
228,24.959939881310344,184,76,184Os
228,25.065072629673875,184,76,184Os
230,25.170187214419737,184,76,184Os
231,25.27528371763826,184,76,184Os
232,25.380362220695197,184,76,184Os
232,25.485422804240933,184,76,184Os
234,25.590465548219992,184,76,184Os
235,25.695490531880125,184,76,184Os
236,25.80049783378139,184,76,184Os
237,25.905487531804823,184,76,184Os
237,26.010459703161448,184,76,184Os
238,26.1154144244006,184,76,184Os
239,26.220351771418375,184,76,184Os
240,26.32527181946601,184,76,184Os
241,26.430174643157883,184,76,184Os
242,26.535060316479615,184,76,184Os
243,26.63992891279582,184,76,184Os
245,26.744780504858,184,76,184Os
246,26.849615164812,184,76,184Os
247,26.95443296420556,184,76,184Os
248,27.05923397399569,184,76,184Os
249,27.16401826455589,184,76,184Os
249,27.268785905683213,184,76,184Os
250,27.37353696660543,184,76,184Os
252,27.478271515987764,184,76,184Os
253,27.582989621939674,184,76,184Os
254,27.687691352021695,184,76,184Os
254,27.79237677325183,184,76,184Os
256,27.89704595211218,184,76,184Os
257,28.001698954555106,184,76,184Os
257,28.106335846009625,184,76,184Os
259,28.210956691387672,184,76,184Os
259,28.315561555089847,184,76,184Os
260,28.420150501011804,184,76,184Os
261,28.524723592549762,184,76,184Os
263,28.62928089260658,184,76,184Os
264,28.73382246359725,184,76,184Os
265,28.838348367454604,184,76,184Os
266,28.94285866563493,184,76,184Os
267,29.04735341912321,184,76,184Os
268,29.15183268843869,184,76,184Os
269,29.256296533640086,184,76,184Os
270,29.360745014330647,184,76,184Os
271,29.46517818966359,184,76,184Os
272,29.569596118346844,184,76,184Os
273,29.67399885864821,184,76,184Os
274,29.778386468400136,184,76,184Os
275,29.882759005004736,184,76,184Os
276,29.987116525438267,184,76,184Os
277,30.091459086256098,184,76,184Os
277,30.195786743597143,184,76,184Os
278,30.300099553188513,184,76,184Os
280,30.404397570349957,184,76,184Os
280,30.508680849998186,184,76,184Os
281,30.61294944665152,184,76,184Os
283,30.717203414433886,184,76,184Os
283,30.821442807079166,184,76,184Os
285,30.925667677935458,184,76,184Os
286,31.029878079968963,184,76,184Os
287,31.134074065768335,184,76,184Os
288,31.23825568754843,184,76,184Os
288,31.342422997154358,184,76,184Os
290,31.44657604606542,184,76,184Os
291,31.550714885398865,184,76,184Os
292,31.654839565913687,184,76,184Os
293,31.758950138014278,184,76,184Os
294,31.863046651754335,184,76,184Os
295,31.967129156840265,184,76,184Os
296,32.07119770263482,184,76,184Os
296,32.17525233816066,184,76,184Os
298,32.279293112103815,184,76,184Os
298,32.38332007281714,184,76,184Os
300,32.48733326832365,184,76,184Os
301,32.59133274631991,184,76,184Os
301,32.69531855417923,184,76,184Os
302,32.799290738955214,184,76,184Os
304,32.90324934738455,184,76,184Os
305,33.00719442589047,184,76,184Os
306,33.111126020585765,184,76,184Os
307,33.21504417727587,184,76,184Os
308,33.318948941462,184,76,184Os
309,33.42284035834401,184,76,184Os
309,33.5267184728235,184,76,184Os
311,33.630583329506564,184,76,184Os
312,33.73443497270686,184,76,184Os
312,33.83827344644836,184,76,184Os
313,33.94209879446823,184,76,184Os
314,34.04591106021949,184,76,184Os
316,34.149710286873805,184,76,184Os
317,34.25349651732436,184,76,184Os
317,34.35726979418817,184,76,184Os
318,34.461030159809106,184,76,184Os
319,34.56477765626029,184,76,184Os
320,34.66851232534659,184,76,184Os
321,34.77223420860743,184,76,184Os
323,34.875943347319044,184,76,184Os
323,34.97963978249703,184,76,184Os
325,35.08332355489883,184,76,184Os
325,35.18699470502615,184,76,184Os
326,35.290653273127305,184,76,184Os
328,35.394299299199595,184,76,184Os
329,35.49793282299154,184,76,184Os
330,35.601553884005384,184,76,184Os
331,35.705162521499155,184,76,184Os
331,35.80875877448903,184,76,184Os
332,35.912342681751504,184,76,184Os
334,36.01591428182562,184,76,184Os
334,36.119473613015046,184,76,184Os
336,36.22302071339024,184,76,184Os
336,36.32655562079066,184,76,184Os
337,36.43007837282669,184,76,184Os
338,36.53358900688182,184,76,184Os
339,36.63708756011461,184,76,184Os
340,36.740574069460806,184,76,184Os
341,36.844048571635135,184,76,184Os
342,36.94751110313347,184,76,184Os
343,37.05096170023457,184,76,184Os
344,37.1544003990023,184,76,184Os
346,37.257827235287124,184,76,184Os
346,37.36124224472832,184,76,184Os
347,37.46464546275564,184,76,184Os
348,37.56803692459127,184,76,184Os
350,37.6714166652515,184,76,184Os
350,37.77478471954857,184,76,184Os
352,37.87814112209257,184,76,184Os
352,37.981485907292814,184,76,184Os
353,38.08481910936015,184,76,184Os
355,38.18814076230803,184,76,184Os
356,38.29145089995461,184,76,184Os
357,38.39474955592439,184,76,184Os
358,38.49803676364967,184,76,184Os
359,38.60131255637238,184,76,184Os
360,38.70457696714543,184,76,184Os
360,38.80783002883474,184,76,184Os
362,38.91107177412038,184,76,184Os
362,39.0143022354983,184,76,184Os
363,39.11752144528199,184,76,184Os
364,39.22072943560374,184,76,184Os
365,39.32392623841642,184,76,184Os
367,39.427111885494845,184,76,184Os
368,39.53028640843716,184,76,184Os
368,39.633449838666486,184,76,184Os
370,39.7366022074322,184,76,184Os
371,39.83974354581148,184,76,184Os
371,39.94287388471057,184,76,184Os
373,40.04599325486652,184,76,184Os
374,40.14910168684796,184,76,184Os
375,40.2521992110571,184,76,184Os
375,40.355285857730735,184,76,184Os
377,40.45836165694164,184,76,184Os
378,40.56142663859986,184,76,184Os
378,40.66448083245406,184,76,184Os
379,40.76752426809298,184,76,184Os
381,40.87055697494637,184,76,184Os
382,40.97357898228651,184,76,184Os
383,41.07659031922943,184,76,184Os
384,41.179591014736054,184,76,184Os
384,41.28258109761355,184,76,184Os
386,41.385560596516505,184,76,184Os
387,41.488529539947955,184,76,184Os
388,41.59148795626098,184,76,184Os
389,41.694435873659344,184,76,184Os
389,41.797373320199156,184,76,184Os
390,41.900300323789715,184,76,184Os
391,42.003216912194766,184,76,184Os
392,42.10612311303362,184,76,184Os
394,42.20901895378224,184,76,184Os
394,42.31190446177429,184,76,184Os
395,42.414779664202456,184,76,184Os
397,42.5176445881193,184,76,184Os
397,42.62049926043831,184,76,184Os
399,42.72334370793532,184,76,184Os
400,42.826177957249044,184,76,184Os
400,42.92900203488242,184,76,184Os
401,43.03181596720375,184,76,184Os
403,43.13461978044747,184,76,184Os
404,43.23741350071511,184,76,184Os
405,43.3401971539766,184,76,184Os
406,43.4429707660711,184,76,184Os
406,43.545734362707854,184,76,184Os
408,43.648487969467475,184,76,184Os
409,43.75123161180245,184,76,184Os
409,43.85396531503847,184,76,184Os
411,43.95668910437535,184,76,184Os
411,44.05940300488767,184,76,184Os
413,44.16210704152607,184,76,184Os
414,44.26480123911777,184,76,184Os
414,44.36748562236782,184,76,184Os
416,44.47016021585995,184,76,184Os
417,44.572825044057154,184,76,184Os
417,44.67548013130287,184,76,184Os
418,44.778125501821876,184,76,184Os
419,44.880761179720835,184,76,184Os
421,44.98338718898946,184,76,184Os
422,45.086003553501286,184,76,184Os
422,45.188610297014385,184,76,184Os
423,45.291207443172325,184,76,184Os
425,45.393795015504956,184,76,184Os
425,45.496373037429144,184,76,184Os
427,45.59894153224981,184,76,184Os
428,45.70150052316031,184,76,184Os
429,45.80405003324371,184,76,184Os
430,45.90659008547326,184,76,184Os
430,46.00912070271319,184,76,184Os
431,46.1116419077196,184,76,184Os
433,46.21415372314121,184,76,184Os
434,46.3166561715199,184,76,184Os
435,46.41914927529178,184,76,184Os
435,46.52163305678767,184,76,184Os
437,46.62410753823407,184,76,184Os
438,46.72657274175353,184,76,184Os
438,46.82902868936568,184,76,184Os
440,46.93147540298801,184,76,184Os
441,47.03391290443619,184,76,184Os
441,47.13634121542514,184,76,184Os
442,47.23876035756955,184,76,184Os
443,47.341170352384566,184,76,184Os
444,47.4435712212866,184,76,184Os
446,47.545962985593725,184,76,184Os
447,47.64834566652674,184,76,184Os
448,47.750719285209456,184,76,184Os
449,47.853083862669656,184,76,184Os
449,47.955439419839514,184,76,184Os
450,48.057785977556385,184,76,184Os
451,48.16012355656336,184,76,184Os
453,48.262452177509964,184,76,184Os
453,48.36477186095273,184,76,184Os
455,48.4670826273559,184,76,184Os
455,48.56938449709182,184,76,184Os
457,48.671677490442036,184,76,184Os
458,48.77396162759721,184,76,184Os
458,48.876236928658386,184,76,184Os
459,48.97850341363714,184,76,184Os
460,49.080761102456364,184,76,184Os
462,49.18301001495087,184,76,184Os
463,49.285250170867776,184,76,184Os
463,49.38748158986726,184,76,184Os
465,49.48970429152327,184,76,184Os
465,49.59191829532357,184,76,184Os
467,49.694123620670915,184,76,184Os
468,49.79632028688321,184,76,184Os
469,49.898508313194206,184,76,184Os
470,50.00068771875388,184,76,184Os
471,50.10285852262939,184,76,184Os
472,50.2050207438051,184,76,184Os
473,50.307174401183296,184,76,184Os
474,50.40931951358507,184,76,184Os
474,50.51145609975018,184,76,184Os
475,50.613584178338215,184,76,184Os
477,50.71570376792862,184,76,184Os
477,50.8178148870214,184,76,184Os
479,50.91991755403777,184,76,184Os
479,51.02201178732032,184,76,184Os
481,51.124097605134,184,76,184Os
482,51.22617502566588,184,76,184Os
483,51.32824406702652,184,76,184Os
483,51.43030474724972,184,76,184Os
484,51.5323570842934,184,76,184Os
486,51.634401096039966,184,76,184Os
487,51.73643680029669,184,76,184Os
487,51.83846421479635,184,76,184Os
489,51.94048335719762,184,76,184Os
490,52.04249424508555,184,76,184Os
491,52.14449689597186,184,76,184Os
491,52.24649132729563,184,76,184Os
493,52.34847755642375,184,76,184Os
494,52.45045560065104,184,76,184Os
495,52.552425477201034,184,76,184Os
