Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.03955357141558592,184,75,184Re
2,0.07040005297241139,184,75,184Re
3,0.09863706857636663,184,75,184Re
4,0.12530265361993007,184,75,184Re
5,0.15085752186486662,184,75,184Re
6,0.17556075480160835,184,75,184Re
7,0.19957754377253945,184,75,184Re
7,0.22302192031515997,184,75,184Re
9,0.24597706222566473,184,75,184Re
10,0.2685061588746548,184,75,184Re
11,0.2906587392566653,184,75,184Re
12,0.31247460079014644,184,75,184Re
12,0.333986373811453,184,75,184Re
13,0.35522126449886343,184,75,184Re
15,0.376202279513554,184,75,184Re
16,0.3969491108458883,184,75,184Re
17,0.41747879053583764,184,75,184Re
17,0.43780618515427705,184,75,184Re
18,0.4579443759961195,184,75,184Re
20,0.4779049560299838,184,75,184Re
21,0.4976982650835344,184,75,184Re
21,0.5173335784414254,184,75,184Re
22,0.5368192597825496,184,75,184Re
23,0.5561628864565968,184,75,184Re
25,0.5753713530465422,184,75,184Re
26,0.5944509576984703,184,75,184Re
27,0.6134074746384488,184,75,184Re
28,0.6322462155160231,184,75,184Re
29,0.6509720816332584,184,75,184Re
29,0.6695896086809481,184,75,184Re
30,0.688103005270679,184,75,184Re
32,0.7065161862953908,184,75,184Re
33,0.7248328019523103,184,75,184Re
34,0.7430562631064964,184,75,184Re
35,0.7611897635503629,184,75,184Re
36,0.7792362996168113,184,75,184Re
37,0.7971986875253062,184,75,184Re
37,0.815079578777074,184,75,184Re
38,0.832881473864357,184,75,184Re
39,0.8506067345168049,184,75,184Re
40,0.8682575946737406,184,75,184Re
42,0.8858361703426734,184,75,184Re
42,0.9033444684809137,184,75,184Re
44,0.9207843950175436,184,75,184Re
45,0.938157762116566,184,75,184Re
46,0.9554662947682733,184,75,184Re
47,0.9727116367842046,184,75,184Re
47,0.9898953562611847,184,75,184Re
48,1.0070189505715426,184,75,184Re
49,1.024083850929408,184,75,184Re
50,1.041091426576859,184,75,184Re
52,1.0580429886283902,184,75,184Re
52,1.0749397936076193,184,75,184Re
54,1.0917830467062057,184,75,184Re
55,1.1085739047915348,184,75,184Re
56,1.125313479186752,184,75,184Re
57,1.142002838244121,184,75,184Re
58,1.1586430097304388,184,75,184Re
59,1.1752349830412185,184,75,184Re
60,1.1917797112586395,184,75,184Re
61,1.2082781130666909,184,75,184Re
62,1.2247310745356035,184,75,184Re
63,1.241139450786458,184,75,184Re
63,1.2575040675457743,184,75,184Re
64,1.2738257225989722,184,75,184Re
66,1.2901051871507243,184,75,184Re
67,1.3063432070994934,184,75,184Re
68,1.322540504232859,184,75,184Re
68,1.3386977773496551,184,75,184Re
70,1.354815703314387,184,75,184Re
70,1.3708949380489284,184,75,184Re
72,1.386936117466062,184,75,184Re
73,1.4029398583490233,184,75,184Re
74,1.418906759180877,184,75,184Re
75,1.4348374009272238,184,75,184Re
76,1.450732347775447,184,75,184Re
77,1.4665921478334576,184,75,184Re
77,1.482417333790647,184,75,184Re
78,1.4982084235435515,184,75,184Re
79,1.5139659207885439,184,75,184Re
81,1.529690315583662,184,75,184Re
82,1.5453820848815598,184,75,184Re
83,1.5610416930353916,184,75,184Re
83,1.5766695922793046,184,75,184Re
84,1.5922662231851266,184,75,184Re
85,1.6078320150966594,184,75,184Re
86,1.6233673865429548,184,75,184Re
88,1.6388727456318017,184,75,184Re
89,1.6543484904245926,184,75,184Re
90,1.6697950092936464,184,75,184Re
91,1.685212681262998,184,75,184Re
92,1.700601876333591,184,75,184Re
92,1.7159629557937475,184,75,184Re
93,1.731296272515739,184,75,184Re
95,1.7466021712392044,184,75,184Re
96,1.7618809888421583,184,75,184Re
96,1.7771330546002349,184,75,184Re
98,1.792358690434796,184,75,184Re
99,1.807558211150499,184,75,184Re
100,1.8227319246628741,184,75,184Re
101,1.837880132216415,184,75,184Re
101,1.8530031285936786,184,75,184Re
102,1.868101202315848,184,75,184Re
