Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.09158889177469642,187,74,187W
2,0.14139632035448013,187,74,187W
3,0.18228850706917474,187,74,187W
4,0.21828978408176672,187,74,187W
5,0.2510426658465169,187,74,187W
6,0.28141976219013365,187,74,187W
7,0.3099536521262656,187,74,187W
7,0.33699907971441434,187,74,187W
9,0.36280709555095725,187,74,187W
10,0.38756347538297836,187,74,187W
11,0.41141048952964365,187,74,187W
12,0.4344600974821617,187,74,187W
12,0.45680237812029095,187,74,187W
13,0.4785111495714658,187,74,187W
15,0.49964784900334563,187,74,187W
16,0.5202642909107552,187,74,187W
17,0.5404046777074621,187,74,187W
17,0.5601070972186866,187,74,187W
18,0.5794046591484248,187,74,187W
20,0.59832637191148,187,74,187W
21,0.6168978291136504,187,74,187W
21,0.6351417540658391,187,74,187W
22,0.6530784367848261,187,74,187W
23,0.6707260884425089,187,74,187W
25,0.688101131634583,187,74,187W
26,0.705218440182389,187,74,187W
27,0.7220915388383259,187,74,187W
28,0.7387327708302956,187,74,187W
29,0.7551534393837362,187,74,187W
29,0.7713639280175485,187,74,187W
30,0.7873738033962971,187,74,187W
32,0.8031919037471884,187,74,187W
33,0.8188264152539546,187,74,187W
34,0.8342849383760568,187,74,187W
35,0.8495745456780265,187,74,187W
36,0.86470183246645,187,74,187W
37,0.8796729613033774,187,74,187W
37,0.8944937012816105,187,74,187W
38,0.9091694627994366,187,74,187W
39,0.9237053284523147,187,74,187W
40,0.9381060805610322,187,74,187W
42,0.9523762257754016,187,74,187W
42,0.9665200171261837,187,74,187W
44,0.9805414738429129,187,74,187W
45,0.9944443992094172,187,74,187W
46,1.0082323966905156,187,74,187W
47,1.0219088845310957,187,74,187W
47,1.0354771090016144,187,74,187W
48,1.0489401564410237,187,74,187W
49,1.0623009642285448,187,74,187W
50,1.0755623307990216,187,74,187W
52,1.0887269248023,187,74,187W
52,1.1017972934947828,187,74,187W
54,1.1147758704407789,187,74,187W
55,1.1276649825920944,187,74,187W
56,1.1404668568064402,187,74,187W
57,1.1531836258583283,187,74,187W
58,1.1658173339901643,187,74,187W
59,1.1783699420460143,187,74,187W
60,1.1908433322259293,187,74,187W
61,1.2032393124947307,187,74,187W
62,1.2155596206755972,187,74,187W
63,1.2278059282557026,187,74,187W
63,1.2399798439283893,187,74,187W
64,1.252082916893953,187,74,187W
66,1.264116639938922,187,74,187W
67,1.2760824523118355,187,74,187W
68,1.2879817424117936,187,74,187W
68,1.2998158503045274,187,74,187W
70,1.3115860700794069,187,74,187W
70,1.3232936520595449,187,74,187W
72,1.3349398048761083,187,74,187W
73,1.3465256974169297,187,74,187W
74,1.3580524606586646,187,74,187W
75,1.3695211893909125,187,74,187W
76,1.3809329438400502,187,74,187W
77,1.3922887511998223,187,74,187W
77,1.4035896070752067,187,74,187W
78,1.4148364768454968,187,74,187W
79,1.4260302969520968,187,74,187W
81,1.437171976116071,187,74,187W
82,1.4482623964900923,187,74,187W
83,1.4593024147490856,187,74,187W
83,1.470292863123528,187,74,187W
84,1.4812345503790627,187,74,187W
85,1.492128262745808,187,74,187W
86,1.5029747648005112,187,74,187W
88,1.5137748003044464,187,74,187W
89,1.5245290929997506,187,74,187W
90,1.5352383473667088,187,74,187W
91,1.5459032493443094,187,74,187W
92,1.5565244670162401,187,74,187W
92,1.5671026512643336,187,74,187W
93,1.577638436391346,187,74,187W
95,1.588132440714808,187,74,187W
96,1.5985852671335976,187,74,187W
96,1.608997503668742,187,74,187W
98,1.6193697239798837,187,74,187W
99,1.6297024878587387,187,74,187W
100,1.6399963417007983,187,74,187W
101,1.6502518189564335,187,74,187W
101,1.6604694405625033,187,74,187W
102,1.6706497153554862,187,74,187W
103,1.6807931404671075,187,74,187W
105,1.6909002017033437,187,74,187W
106,1.7009713739076842,187,74,187W
107,1.7110071213094207,187,74,187W
108,1.7210078978577237,187,74,187W
109,1.730974147542221,187,74,187W
109,1.7409063047007214,187,74,187W
111,1.7508047943147431,187,74,187W
111,1.760670032293389,187,74,187W
112,1.7705024257461885,187,74,187W
114,1.7803023732453676,187,74,187W
115,1.790070265078084,187,74,187W
116,1.7998064834890914,187,74,187W
117,1.8095114029142567,187,74,187W
118,1.8191853902053694,187,74,187W
118,1.82882880484663,187,74,187W
119,1.8384419991631913,187,74,187W
121,1.848025318522117,187,74,187W
122,1.8575791015260739,187,74,187W
123,1.8671036802001137,187,74,187W
124,1.8765993801717982,187,74,187W
124,1.8860665208449978,187,74,187W
126,1.8955054155676143,187,74,187W
126,1.9049163717934805,187,74,187W
127,1.9142996912387091,187,74,187W
128,1.923655670032691,187,74,187W
130,1.9329845988639949,187,74,187W
131,1.942286763121353,187,74,187W
132,1.9515624430299567,187,74,187W
133,1.960811913783238,187,74,187W
134,1.9700354456703228,187,74,187W
135,1.9792333041993284,187,74,187W
135,1.9884057502166794,187,74,187W
136,1.9975530400225838,187,74,187W
138,2.0066754254828325,187,74,187W
138,2.015773154137054,187,74,187W
140,2.024846469303578,187,74,187W
140,2.033895610181014,187,74,187W
141,2.0429208119467015,187,74,187W
143,2.051922305852108,187,74,187W
144,2.0609003193153344,187,74,187W
144,2.0698550760108003,187,74,187W
146,2.078786795956241,187,74,187W
146,2.087695695597083,187,74,187W
148,2.0965819878883347,187,74,187W
149,2.1054458823740387,187,74,187W
150,2.1142875852644094,187,74,187W
150,2.1231072995107203,187,74,187W
152,2.131905224878024,187,74,187W
153,2.1406815580157774,187,74,187W
154,2.149436492526463,187,74,187W
154,2.158170219032251,187,74,187W
156,2.166882925239791,187,74,187W
156,2.1755747960031844,187,74,187W
158,2.184246013385208,187,74,187W
158,2.1928967567168387,187,74,187W
159,2.201527202655155,187,74,187W
160,2.2101375252396456,187,74,187W
161,2.2187278959469956,187,74,187W
162,2.227298483744392,187,74,187W
164,2.2358494551414063,187,74,187W
165,2.2443809742404883,187,74,187W
165,2.25289320278613,187,74,187W
167,2.2613863002127297,187,74,187W
168,2.2698604236912043,187,74,187W
168,2.278315728174394,187,74,187W
170,2.286752366441292,187,74,187W
170,2.2951704891401294,187,74,187W
171,2.303570244830375,187,74,187W
173,2.311951780023654,187,74,187W
174,2.320315239223638,187,74,187W
175,2.3286607649649356,187,74,187W
176,2.3369884978510136,187,74,187W
177,2.345298576591167,187,74,187W
178,2.353591138036591,187,74,187W
179,2.361866317215554,187,74,187W
179,2.3701242473677193,187,74,187W
181,2.378365059977637,187,74,187W
181,2.386588884807415,187,74,187W
182,2.3947958499286206,187,74,187W
183,2.4029860817534088,187,74,187W
184,2.4111597050649176,187,74,187W
186,2.4193168430469476,187,74,187W
