Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.48872733557270726,196,80,196Hg
2,0.6848587571247647,196,80,196Hg
3,0.8342921019729368,196,80,196Hg
4,0.9596997815987731,196,80,196Hg
5,1.0698156101873935,196,80,196Hg
6,1.1691022998880134,196,80,196Hg
7,1.2602034116959853,196,80,196Hg
7,1.3448374007327535,196,80,196Hg
9,1.4241955805454878,196,80,196Hg
10,1.4991438698370316,196,80,196Hg
11,1.5703349881625341,196,80,196Hg
12,1.6382753526867013,196,80,196Hg
12,1.703367200088716,196,80,196Hg
13,1.76593629911684,196,80,196Hg
15,1.8262508543762823,196,80,196Hg
16,1.8845347983685956,196,80,196Hg
17,1.940977382092709,196,80,196Hg
17,1.9957402506491488,196,80,196Hg
18,2.0489627655418032,196,80,196Hg
20,2.100766076946925,196,80,196Hg
21,2.1512562869545038,196,80,196Hg
21,2.200526940041664,196,80,196Hg
22,2.2486610077438125,196,80,196Hg
23,2.295732487634167,196,80,196Hg
25,2.3418077044114067,196,80,196Hg
26,2.3869463782148115,196,80,196Hg
27,2.4312025091076497,196,80,196Hg
28,2.474625114957873,196,80,196Hg
29,2.5172588513524103,196,80,196Hg
29,2.559144535798349,196,80,196Hg
30,2.6003195936684307,196,80,196Hg
32,2.6408184397066092,196,80,196Hg
33,2.6806728061169873,196,80,196Hg
34,2.7199120260985175,196,80,196Hg
35,2.7585632800013653,196,80,196Hg
36,2.7966518099540716,196,80,196Hg
37,2.8342011077590783,196,80,196Hg
37,2.871233080014859,196,80,196Hg
38,2.9077681937485056,196,80,196Hg
39,2.943825605297458,196,80,196Hg
40,2.9794232747356557,196,80,196Hg
42,3.0145780677768452,196,80,196Hg
42,3.049305846789673,196,80,196Hg
44,3.0836215523129753,196,80,196Hg
45,3.11753927625518,196,80,196Hg
46,3.1510723277913364,196,80,196Hg
47,3.184233292828453,196,80,196Hg
47,3.2170340877897923,196,80,196Hg
48,3.24948600836742,196,80,196Hg
49,3.2815997738063865,196,80,196Hg
50,3.3133855672109167,196,80,196Hg
52,3.3448530723005967,196,80,196Hg
52,3.3760115069912344,196,80,196Hg
54,3.4068696541291996,196,80,196Hg
55,3.437435889668562,196,80,196Hg
56,3.467718208546264,196,80,196Hg
57,3.4977242484809667,196,80,196Hg
58,3.5274613118955624,196,80,196Hg
59,3.5569363861409546,196,80,196Hg
60,3.586156162179209,196,80,196Hg
61,3.6151270518670615,196,80,196Hg
62,3.6438552039657703,196,80,196Hg
63,3.6723465189901616,196,80,196Hg
63,3.7006066629980174,196,80,196Hg
64,3.7286410804107804,196,80,196Hg
66,3.756455005947409,196,80,196Hg
67,3.7840534757452002,196,80,196Hg
68,3.8114413377342427,196,80,196Hg
68,3.838623261325786,196,80,196Hg
70,3.865603746469164,196,80,196Hg
70,3.892387132126817,196,80,196Hg
72,3.918977604212464,196,80,196Hg
73,3.9453792030333696,196,80,196Hg
74,3.9715958302740564,196,80,196Hg
75,3.9976312555554894,196,80,196Hg
76,4.023489122600856,196,80,196Hg
77,4.04917295503639,196,80,196Hg
77,4.074686161853258,196,80,196Hg
78,4.100032042554436,196,80,196Hg
79,4.125213792008452,196,80,196Hg
81,4.150234505030151,196,80,196Hg
82,4.175097180707008,196,80,196Hg
83,4.199804726488038,196,80,196Hg
83,4.224359962051034,196,80,196Hg
84,4.248765622962631,196,80,196Hg
85,4.273024364144604,196,80,196Hg
86,4.297138763158767,196,80,196Hg
88,4.321111323321971,196,80,196Hg
89,4.344944476661777,196,80,196Hg
90,4.368640586722674,196,80,196Hg
91,4.392201951231952,196,80,196Hg
92,4.415630804633733,196,80,196Hg
92,4.438929320499009,196,80,196Hg
93,4.462099613819051,196,80,196Hg
95,4.485143743188989,196,80,196Hg
96,4.508063712887919,196,80,196Hg
96,4.5308614748614895,196,80,196Hg
98,4.553538930612463,196,80,196Hg
99,4.576097933004438,196,80,196Hg
100,4.5985402879835515,196,80,196Hg
101,4.620867756222665,196,80,196Hg
101,4.6430820546922655,196,80,196Hg
102,4.665184858162028,196,80,196Hg
103,4.687177800636742,196,80,196Hg
