Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,2.2364893017678695,22,10,22Ne
2,2.90656456490973,22,10,22Ne
3,3.3881013970048763,22,10,22Ne
4,3.7774012883991595,22,10,22Ne
5,4.1099143800277655,22,10,22Ne
6,4.403211522215296,22,10,22Ne
7,4.66746135230648,22,10,22Ne
7,4.909149676516057,22,10,22Ne
9,5.132701089744738,22,10,22Ne
10,5.341287120112287,22,10,22Ne
11,5.537269141942836,22,10,22Ne
12,5.722459111320878,22,10,22Ne
12,5.898281883800332,22,10,22Ne
13,6.065880916119733,22,10,22Ne
15,6.2261896989783985,22,10,22Ne
16,6.3799815551635595,22,10,22Ne
17,6.527905286208902,22,10,22Ne
17,6.670511277622934,22,10,22Ne
18,6.808271000127258,22,10,22Ne
20,6.941591834155112,22,10,22Ne
21,7.070828514903046,22,10,22Ne
21,7.196292091188203,22,10,22Ne
22,7.318257025689864,22,10,22Ne
23,7.436966885539087,22,10,22Ne
25,7.552638949717723,22,10,22Ne
26,7.665467974182352,22,10,22Ne
27,7.775629294907112,22,10,22Ne
28,7.883281405289609,22,10,22Ne
29,7.988568112410349,22,10,22Ne
29,8.091620353002208,22,10,22Ne
30,8.192557732303063,22,10,22Ne
32,8.291489835590898,22,10,22Ne
33,8.388517351984968,22,10,22Ne
34,8.483733042220937,22,10,22Ne
35,8.577222575983184,22,10,22Ne
36,8.669065259576147,22,10,22Ne
37,8.75933467092382,22,10,22Ne
37,8.848099215869324,22,10,22Ne
38,8.935422617329667,22,10,22Ne
39,9.021364346913439,22,10,22Ne
40,9.105980007029688,22,10,22Ne
42,9.189321670228857,22,10,22Ne
42,9.271438181460974,22,10,22Ne
44,9.352375428066656,22,10,22Ne
45,9.432176581596531,22,10,22Ne
46,9.510882314955781,22,10,22Ne
47,9.588530997870391,22,10,22Ne
47,9.665158873252043,22,10,22Ne
48,9.740800216685223,22,10,22Ne
49,9.815487480961373,22,10,22Ne
50,9.88925142733166,22,10,22Ne
52,9.962121244933776,22,10,22Ne
52,10.034124659664279,22,10,22Ne
54,10.105288033609735,22,10,22Ne
55,10.175636456014194,22,10,22Ne
56,10.245193826643568,22,10,22Ne
57,10.31398293230608,22,10,22Ne
58,10.382025517200402,22,10,22Ne
59,10.449342347686613,22,10,22Ne
60,10.515953272008833,22,10,22Ne
61,10.581877275440142,22,10,22Ne
62,10.647132531269682,22,10,22Ne
63,10.71173644800714,22,10,22Ne
63,10.775705713140526,22,10,22Ne
64,10.8390563337487,22,10,22Ne
66,10.901803674239323,22,10,22Ne
67,10.963962491456087,22,10,22Ne
68,11.025546967374927,22,10,22Ne
68,11.08657073958769,22,10,22Ne
70,11.147046929752785,22,10,22Ne
70,11.206988170175288,22,10,22Ne
72,11.266406628664154,22,10,22Ne
73,11.325314031800374,22,10,22Ne
74,11.383721686737994,22,10,22Ne
75,11.44164050164905,22,10,22Ne
76,11.499081004913581,22,10,22Ne
