Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.005979150112094668,233,90,233Th
2,0.014353932123459598,233,90,233Th
3,0.023957997395993615,233,90,233Th
4,0.034458972185380604,233,90,233Th
5,0.045681640594752,233,90,233Th
6,0.05751510866744894,233,90,233Th
7,0.06988191097441485,233,90,233Th
7,0.08272442379270778,233,90,233Th
9,0.09599786398829066,233,90,233Th
10,0.10966628301553591,233,90,233Th
11,0.12370009578421556,233,90,233Th
12,0.1380744671748582,233,90,233Th
12,0.15276821048103456,233,90,233Th
13,0.16776300778188522,233,90,233Th
15,0.18304284152357084,233,90,233Th
16,0.19859356962303237,233,90,233Th
17,0.214402601032421,233,90,233Th
17,0.2304586434278862,233,90,233Th
18,0.24675150382785932,233,90,233Th
20,0.263271928806893,233,90,233Th
21,0.2800114748357703,233,90,233Th
21,0.2969624018905997,233,90,233Th
22,0.31411758527801514,233,90,233Th
23,0.3314704418947001,233,90,233Th
25,0.3490148680507077,233,90,233Th
26,0.3667451866497712,233,90,233Th
27,0.38465610201023875,233,90,233Th
28,0.4027426609774469,233,90,233Th
29,0.4210002192565892,233,90,233Th
29,0.43942441210830546,233,90,233Th
30,0.458011128714226,233,90,233Th
32,0.47675648964864503,233,90,233Th
33,0.4956568269941229,233,90,233Th
34,0.5147086667195947,233,90,233Th
35,0.5339087130042491,233,90,233Th
36,0.553253834242602,233,90,233Th
37,0.5727410505085592,233,90,233Th
37,0.5923675222908666,233,90,233Th
38,0.6121305403407944,233,90,233Th
39,0.6320275164964109,233,90,233Th
40,0.6520559753673418,233,90,233Th
42,0.6722135467802126,233,90,233Th
42,0.6924979588986634,233,90,233Th
44,0.7129070319433568,233,90,233Th
45,0.7334386724471564,233,90,233Th
46,0.7540908679889446,233,90,233Th
47,0.7748616823566336,233,90,233Th
47,0.7957492510959645,233,90,233Th
48,0.8167517774069095,233,90,233Th
49,0.8378675283539612,233,90,233Th
50,0.859094831360486,233,90,233Th
52,0.8804320709606883,233,90,233Th
52,0.901877685785629,233,90,233Th
54,0.9234301657623447,233,90,233Th
55,0.9450880495073047,233,90,233Th
56,0.9668499218974357,233,90,233Th
57,0.9887144118036428,233,90,233Th
58,1.010680189973296,233,90,233Th
59,1.0327459670494865,233,90,233Th
60,1.0549104917160321,233,90,233Th
