Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.1532971543186555,236,92,236U
2,0.23229404724733388,236,92,236U
3,0.2962280261615475,236,92,236U
4,0.3519995177104201,236,92,236U
5,0.4023938859190542,236,92,236U
6,0.4488798726303615,236,92,236U
7,0.4923487632644353,236,92,236U
7,0.5333914576659065,236,92,236U
9,0.5724244776335523,236,92,236U
10,0.6097549870587763,236,92,236U
11,0.64561750234258,236,92,236U
12,0.6801960728144123,236,92,236U
12,0.7136384123961903,236,92,236U
13,0.7460652964123347,236,92,236U
15,0.7775770339317396,236,92,236U
16,0.8082580594471602,236,92,236U
17,0.8381802733174921,236,92,236U
17,0.8674055251967382,236,92,236U
18,0.8959874955258027,236,92,236U
20,0.92397314485499,236,92,236U
21,0.9514038468172253,236,92,236U
21,0.9783162855138661,236,92,236U
22,1.004743174735843,236,92,236U
23,1.0307138405671863,236,92,236U
25,1.0562546979081906,236,92,236U
26,1.081389643685637,236,92,236U
27,1.1061403839464907,236,92,236U
28,1.1305267079788999,236,92,236U
29,1.1545667196169573,236,92,236U
29,1.1782770336565853,236,92,236U
30,1.2016729436277924,236,92,236U
32,1.2247685658859513,236,92,236U
33,1.2475769639972796,236,92,236U
34,1.270110256626611,236,92,236U
35,1.2923797115345834,236,92,236U
36,1.3143958278169345,236,92,236U
37,1.3361684081411858,236,92,236U
37,1.3577066224337764,236,92,236U
38,1.3790190642270617,236,92,236U
39,1.400113800677987,236,92,236U
40,1.4209984171090508,236,92,236U
42,1.441680056789942,236,92,236U
42,1.4621654565692164,236,92,236U
44,1.4824609788750536,236,92,236U
45,1.5025726405289084,236,92,236U
46,1.5225061387530343,236,92,236U
47,1.5422668747000108,236,92,236U
47,1.561859974787918,236,92,236U
48,1.5812903100871138,236,92,236U
49,1.6005625139725388,236,92,236U
50,1.6196809982282299,236,92,236U
52,1.6386499677673343,236,92,236U
52,1.657473434110907,236,92,236U
54,1.6761552277515477,236,92,236U
55,1.6946990095129855,236,92,236U
56,1.7131082810039122,236,92,236U
57,1.7313863942530934,236,92,236U
58,1.7495365606030844,236,92,236U
59,1.7675618589313742,236,92,236U
60,1.7854652432603084,236,92,236U
61,1.8032495498106464,236,92,236U
62,1.82091750354786,236,92,236U
63,1.8384717242652187,236,92,236U
63,1.8559147322432548,236,92,236U
64,1.8732489535212526,236,92,236U
66,1.890476724812899,236,92,236U
67,1.9076002980951292,236,92,236U
68,1.9246218448964418,236,92,236U
68,1.9415434603084802,236,92,236U
70,1.9583671667424807,236,92,236U
70,1.9750949174502148,236,92,236U
72,1.991728599827302,236,92,236U
73,2.008270038515163,236,92,236U
74,2.0247209983164787,236,92,236U
75,2.0410831869377204,236,92,236U
76,2.057358257571183,236,92,236U
77,2.073547811327897,236,92,236U
77,2.0896533995318376,236,92,236U
78,2.105676525885035,236,92,236U
79,2.12161864851236,236,92,236U
81,2.137481181894121,236,92,236U
82,2.1532654986939064,236,92,236U
83,2.168972931488577,236,92,236U
83,2.1846047744067403,236,92,236U
84,2.200162284681597,236,92,236U
85,2.2156466841235756,236,92,236U
86,2.2310591605177787,236,92,236U
88,2.2464008689509174,236,92,236U
89,2.261672933072014,236,92,236U
90,2.276876446290936,236,92,236U
91,2.292012472918427,236,92,236U
92,2.3070820492511475,236,92,236U
92,2.322086184604914,236,92,236U
93,2.3370258622991527,236,92,236U
95,2.351902040595368,236,92,236U
96,2.3667156535922214,236,92,236U
96,2.381467612079672,236,92,236U
98,2.396158804354438,236,92,236U
99,2.410790096998921,236,92,236U
100,2.4253623356255747,236,92,236U
101,2.4398763455885777,236,92,236U
101,2.45433293266456,236,92,236U
102,2.468732883704027,236,92,236U
103,2.483076967254989,236,92,236U
105,2.497365934160268,236,92,236U
106,2.5116005181298062,236,92,236U
