Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.04107588402831186,241,95,241Am
2,0.0735498755331269,241,95,241Am
3,0.10341285864196068,241,95,241Am
4,0.13169732846674373,241,95,241Am
5,0.1588631504961993,241,95,241Am
6,0.1851695480588698,241,95,241Am
7,0.21078210744416254,241,95,241Am
7,0.23581530491462968,241,95,241Am
9,0.2603527491978279,241,95,241Am
10,0.2844580274338668,241,95,241Am
11,0.30818102925594704,241,95,241Am
12,0.33156187710696866,241,95,241Am
12,0.35463349404061606,241,95,241Am
13,0.37742335031530366,241,95,241Am
15,0.3999546915254831,241,95,241Am
16,0.4222474265757197,241,95,241Am
17,0.4443187851306115,241,95,241Am
17,0.4661838144495957,241,95,241Am
18,0.4878557615997917,241,95,241Am
20,0.5093463721374604,241,95,241Am
21,0.5306661267802198,241,95,241Am
21,0.5518244312848547,241,95,241Am
22,0.5728297704898057,241,95,241Am
23,0.5936898345496106,241,95,241Am
25,0.6144116233306857,241,95,241Am
26,0.6350015334688143,241,95,241Am
27,0.6554654315238445,241,95,241Am
28,0.6758087158843115,241,95,241Am
29,0.6960363694919081,241,95,241Am
29,0.7161530050166128,241,95,241Am
30,0.7361629037789106,241,95,241Am
32,0.7560700494582556,241,95,241Am
33,0.7758781574271815,241,95,241Am
34,0.7955907003939826,241,95,241Am
35,0.815210930913329,241,95,241Am
36,0.8347419012258628,241,95,241Am
37,0.8541864808090518,241,95,241Am
37,0.8735473719580025,241,95,241Am
38,0.8928271236633456,241,95,241Am
39,0.9120281440111847,241,95,241Am
40,0.9311527112954788,241,95,241Am
42,0.9502029840046705,241,95,241Am
42,0.9691810098206808,241,95,241Am
44,0.9880887337486145,241,95,241Am
45,1.0069280054789753,241,95,241Am
46,1.025700586070293,241,95,241Am
47,1.044408154028271,241,95,241Am
47,1.0630523108476393,241,95,241Am
48,1.0816345860743837,241,95,241Am
49,1.1001564419388,241,95,241Am
50,1.1186192776036044,241,95,241Am
52,1.1370244330659993,241,95,241Am
52,1.1553731927479884,241,95,241Am
54,1.1736667888052608,241,95,241Am
55,1.1919064041814902,241,95,241Am
56,1.210093175431926,241,95,241Am
57,1.2282281953374863,241,95,241Am
58,1.2463125153283114,241,95,241Am
59,1.2643471477337065,241,95,241Am
60,1.2823330678736322,241,95,241Am
61,1.3002712160053669,241,95,241Am
62,1.3181624991375602,241,95,241Am
63,1.3360077927227272,241,95,241Am
63,1.3538079422381015,241,95,241Am
64,1.3715637646638559,241,95,241Am
66,1.3892760498668282,241,95,241Am
67,1.4069455618971176,241,95,241Am
68,1.4245730402042807,241,95,241Am
68,1.4421592007791928,241,95,241Am
70,1.45970473722715,241,95,241Am
70,1.4772103217772605,241,95,241Am
72,1.4946766062327677,241,95,241Am
73,1.512104222866507,241,95,241Am
74,1.5294937852654047,241,95,241Am
75,1.54684588912754,241,95,241Am
76,1.5641611130150452,241,95,241Am
77,1.5814400190658364,241,95,241Am
77,1.5986831536669321,241,95,241Am
78,1.6158910480918907,241,95,241Am
79,1.6330642191047255,241,95,241Am
81,1.650203169532438,241,95,241Am
82,1.6673083888081757,241,95,241Am
83,1.684380353486867,241,95,241Am
83,1.7014195277350306,241,95,241Am
84,1.7184263637963562,241,95,241Am
85,1.7354013024345114,241,95,241Am
86,1.7523447733545563,241,95,241Am
88,1.7692571956042287,241,95,241Am
89,1.7861389779562635,241,95,241Am
90,1.8029905192728743,241,95,241Am
91,1.8198122088533908,241,95,241Am
92,1.8366044267660235,241,95,241Am
92,1.8533675441646367,241,95,241Am
93,1.870101923591372,241,95,241Am
95,1.8868079192658795,241,95,241Am
96,1.9034858773618986,241,95,241Am
96,1.920136136271872,241,95,241Am
98,1.9367590268602108,241,95,241Am
99,1.9533548727058172,241,95,241Am
100,1.9699239903344328,241,95,241Am
101,1.9864666894413248,241,95,241Am
101,2.002983273104804,241,95,241Am
102,2.019474037991049,241,95,241Am
103,2.0359392745506626,241,95,241Am
105,2.052379267207362,241,95,241Am
106,2.068794294539214,241,95,241Am
107,2.0851846294527583,241,95,241Am
108,2.1015505393503613,241,95,241Am
109,2.1178922862911307,241,95,241Am
109,2.1342101271456992,241,95,241Am
111,2.150504313745156,241,95,241Am
111,2.1667750930243894,241,95,241Am
112,2.1830227071601334,241,95,241Am
114,2.1992473937039163,241,95,241Am
115,2.2154493857101603,241,95,241Am
116,2.2316289118596706,241,95,241Am
117,2.247786196578677,241,95,241Am
118,2.263921460153658,241,95,241Am
118,2.280034918842119,241,95,241Am
119,2.2961267849794984,241,95,241Am
121,2.312197267082366,241,95,241Am
122,2.328246569948082,241,95,241Am
123,2.344274894751067,241,95,241Am
124,2.3602824391357973,241,95,241Am
124,2.376269397306706,241,95,241Am
126,2.3922359601150776,241,95,241Am
126,2.408182315143082,241,95,241Am
127,2.4241086467850574,241,95,241Am
128,2.4400151363261573,241,95,241Am
130,2.455901962018455,241,95,241Am
131,2.471769299154616,241,95,241Am
132,2.4876173201392415,241,95,241Am
133,2.503446194557952,241,95,241Am
134,2.519256089244323,241,95,241Am
135,2.535047168344734,241,95,241Am
135,2.55081959338123,241,95,241Am
136,2.5665735233124507,241,95,241Am
138,2.5823091145927237,241,95,241Am
138,2.5980265212293645,241,95,241Am
140,2.6137258948382747,241,95,241Am
140,2.6294073846978727,241,95,241Am
141,2.6450711378014646,241,95,241Am
143,2.6607172989080397,241,95,241Am
144,2.676346010591623,241,95,241Am
144,2.6919574132891904,241,95,241Am
146,2.707551645347215,241,95,241Am
146,2.723128843066872,241,95,241Am
148,2.7386891407479936,241,95,241Am
149,2.754232670731754,241,95,241Am
150,2.7697595634422023,241,95,241Am
150,2.7852699474266034,241,95,241Am
152,2.80076394939471,241,95,241Am
153,2.81624169425692,241,95,241Am
154,2.8317033051614273,241,95,241Am
154,2.8471489035303557,241,95,241Am
156,2.862578609094931,241,95,241Am
156,2.8779925399296995,241,95,241Am
158,2.893390812485868,241,95,241Am
