Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.0952911765131517,246,96,246Cm
2,0.17074898483442802,246,96,246Cm
3,0.24017749710581618,246,96,246Cm
4,0.3059592387125564,246,96,246Cm
5,0.36915581151702304,246,96,246Cm
6,0.4303658041752884,246,96,246Cm
7,0.48997166603219133,246,96,246Cm
7,0.5482378465929967,246,96,246Cm
9,0.6053575181543996,246,96,246Cm
10,0.6614776138645069,246,96,246Cm
11,0.7167134289838542,246,96,246Cm
12,0.7711576964341573,246,96,246Cm
12,0.8248865167807197,246,96,246Cm
13,0.8779633921413843,246,96,246Cm
15,0.9304420629121746,246,96,246Cm
16,0.9823685589677579,246,96,246Cm
17,1.0337827184704018,246,96,246Cm
17,1.0847193357140117,246,96,246Cm
18,1.1352090442133476,246,96,246Cm
20,1.1852790068393784,246,96,246Cm
21,1.2349534627073981,246,96,246Cm
21,1.2842541659594773,246,96,246Cm
22,1.3332007417547813,246,96,246Cm
23,1.3818109780102794,246,96,246Cm
25,1.4301010666814842,246,96,246Cm
26,1.4780858049798127,246,96,246Cm
27,1.5257787644635266,246,96,246Cm
28,1.5731924341310033,246,96,246Cm
29,1.6203383422988396,246,96,246Cm
29,1.6672271610328777,246,96,246Cm
30,1.7138687961277566,246,96,246Cm
32,1.7602724650361934,246,96,246Cm
33,1.8064467646877187,246,96,246Cm
34,1.8523997307750133,246,96,246Cm
35,1.8981388898005433,246,96,246Cm
36,1.943671304948996,246,96,246Cm
37,1.9890036166689842,246,96,246Cm
37,2.034142078700623,246,96,246Cm
38,2.079092590166357,246,96,246Cm
39,2.1238607242450236,246,96,246Cm
40,2.1684517538692267,246,96,246Cm
42,2.2128706748200013,246,96,246Cm
42,2.25712222653807,246,96,246Cm
44,2.301210910925221,246,96,246Cm
45,2.345141009371165,246,96,246Cm
46,2.388916598209039,246,96,246Cm
47,2.43254156277554,246,96,246Cm
47,2.4760196102286507,246,96,246Cm
48,2.5193542812563283,246,96,246Cm
49,2.562548960792755,246,96,246Cm
50,2.6056068878444325,246,96,246Cm
52,2.6485311645160428,246,96,246Cm
52,2.691324764315374,246,96,246Cm
