Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.683855784204191,27,13,27Al
2,1.1311906738718036,27,13,27Al
3,1.5184196838784652,27,13,27Al
4,1.871143551331686,27,13,27Al
5,2.2002465394243993,27,13,27Al
6,2.5116731116422506,27,13,27Al
7,2.8091292059208177,27,13,27Al
7,3.0951264632570146,27,13,27Al
9,3.371468648280314,27,13,27Al
10,3.6395076609784662,27,13,27Al
11,3.9002905488024893,27,13,27Al
12,4.154649657618375,27,13,27Al
12,4.4032608321256435,27,13,27Al
13,4.646682579626648,27,13,27Al
15,4.885383339610581,27,13,27Al
16,5.119761023538766,27,13,27Al
17,5.350157361806528,27,13,27Al
17,5.576868661897755,27,13,27Al
18,5.800154024704217,27,13,27Al
20,6.020241721541898,27,13,27Al
21,6.237334214832707,27,13,27Al
21,6.451612161663535,27,13,27Al
22,6.663237643054551,27,13,27Al
23,6.872356795770428,27,13,27Al
25,7.07910197744786,27,13,27Al
26,7.283593563110494,27,13,27Al
27,7.485941447560219,27,13,27Al
28,7.686246310884134,27,13,27Al
29,7.884600691534526,27,13,27Al
29,8.081089901852888,27,13,27Al
30,8.27579281364023,27,13,27Al
32,8.468782535807524,27,13,27Al
33,8.660127001833647,27,13,27Al
34,8.84988948139839,27,13,27Al
35,9.038129027914728,27,13,27Al
36,9.224900871589359,27,13,27Al
37,9.410256765967109,27,13,27Al
37,9.594245294569825,27,13,27Al
38,9.776912143151938,27,13,27Al
39,9.958300342208888,27,13,27Al
40,10.138450483649633,27,13,27Al
42,10.317400914947218,27,13,27Al
42,10.495187913588003,27,13,27Al
44,10.671845844229349,27,13,27Al
45,10.847407300632959,27,13,27Al
46,11.021903234153637,27,13,27Al
47,11.19536307032098,27,13,27Al
47,11.367814814846714,27,13,27Al
48,11.539285150216857,27,13,27Al
49,11.709799523879473,27,13,27Al
50,11.879382228912535,27,13,27Al
52,12.048056477947677,27,13,27Al
52,12.215844471032304,27,13,27Al
54,12.382767458031854,27,13,27Al
55,12.548845796104294,27,13,27Al
56,12.714099002718362,27,13,27Al
57,12.878545804634305,27,13,27Al
58,13.042204183219908,27,13,27Al
59,13.20509141643432,27,13,27Al
60,13.367224117777045,27,13,27Al
61,13.528618272468114,27,13,27Al
62,13.689289271098556,27,13,27Al
63,13.849251940965848,27,13,27Al
63,14.008520575287642,27,13,27Al
64,14.167108960468555,27,13,27Al
66,14.325030401577433,27,13,27Al
67,14.482297746177888,27,13,27Al
68,14.638923406641679,27,13,27Al
68,14.79491938106206,27,13,27Al
70,14.950297272874211,27,13,27Al
70,15.105068309279817,27,13,27Al
72,15.259243358564554,27,13,27Al
73,15.41283294638937,27,13,27Al
74,15.56584727112965,27,13,27Al
75,15.718296218329943,27,13,27Al
76,15.870189374336379,27,13,27Al
77,16.02153603916371,27,13,27Al
77,16.172345238649346,27,13,27Al
78,16.32262573594253,27,13,27Al
79,16.472386042372896,27,13,27Al
81,16.621634427739373,27,13,27Al
82,16.770378930056957,27,13,27Al
83,16.918627364796357,27,13,27Al
83,17.06638733364855,27,13,27Al
84,17.213666232844073,27,13,27Al
85,17.360471261054613,27,13,27Al
86,17.506809426902567,27,13,27Al
88,17.65268755610216,27,13,27Al
89,17.798112298254274,27,13,27Al
90,17.94309013331545,27,13,27Al
91,18.087627377760136,27,13,27Al
92,18.231730190453884,27,13,27Al
92,18.375404578254148,27,13,27Al
93,18.51865640135398,27,13,27Al
95,18.661491378383154,27,13,27Al
96,18.803915091280032,27,13,27Al
96,18.94593298994694,27,13,27Al
98,19.087550396700596,27,13,27Al
99,19.22877251052872,27,13,27Al
100,19.36960441116317,27,13,27Al
101,19.510051062979166,27,13,27Al
101,19.650117318729766,27,13,27Al
102,19.789807923124012,27,13,27Al
103,19.929127516256898,27,13,27Al
105,20.06808063689836,27,13,27Al
106,20.20667172564876,27,13,27Al
107,20.3449051279672,27,13,27Al
108,20.482785097079027,27,13,27Al
109,20.620315796768423,27,13,27Al
109,20.757501304061595,27,13,27Al
111,20.894345611805967,27,13,27Al
111,21.030852631149923,27,13,27Al
112,21.167026193928358,27,13,27Al
114,21.302870054957836,27,13,27Al
115,21.438387894245906,27,13,27Al
116,21.573583319118427,27,13,27Al
117,21.708459866268562,27,13,27Al
118,21.843021003731057,27,13,27Al
118,21.977270132784938,27,13,27Al
119,22.111210589788218,27,13,27Al
121,22.24484564794706,27,13,27Al
122,22.37817851902263,27,13,27Al
123,22.511212354978287,27,13,27Al
124,22.64395024956949,27,13,27Al
124,22.776395239879015,27,13,27Al
126,22.908550307799725,27,13,27Al
126,23.040418381467045,27,13,27Al
127,23.17200233664345,27,13,27Al
128,23.30330499805652,27,13,27Al
130,23.43432914069295,27,13,27Al
131,23.565077491049852,27,13,27Al
132,23.695552728345472,27,13,27Al
133,23.825757485690573,27,13,27Al
134,23.955694351222352,27,13,27Al
135,24.085365869202082,27,13,27Al
135,24.214774541078203,27,13,27Al
136,24.343922826515886,27,13,27Al
138,24.472813144394596,27,13,27Al
138,24.601447873774763,27,13,27Al
140,24.72982935483479,27,13,27Al
140,24.8579598897794,27,13,27Al
141,24.985841743720602,27,13,27Al
143,25.11347714553202,27,13,27Al
144,25.24086828867784,27,13,27Al
144,25.36801733201709,27,13,27Al
146,25.49492640058433,27,13,27Al
146,25.621597586347313,27,13,27Al
148,25.748032948942946,27,13,27Al
149,25.874234516391688,27,13,27Al
150,26.00020428579173,27,13,27Al
150,26.12594422399327,27,13,27Al
152,26.25145626825377,27,13,27Al
153,26.37674232687478,27,13,27Al
154,26.501804279821016,27,13,27Al
154,26.62664397932226,27,13,27Al
156,26.751263250458727,27,13,27Al
156,26.875663891730223,27,13,27Al
158,26.99984767561014,27,13,27Al
158,27.123816349084095,27,13,27Al
159,27.247571634174523,27,13,27Al
160,27.371115228450847,27,13,27Al
161,27.49444880552644,27,13,27Al
162,27.61757401554233,27,13,27Al
164,27.74049248563827,27,13,27Al
165,27.86320582041149,27,13,27Al
165,27.985715602363744,27,13,27Al
167,28.108023392336623,27,13,27Al
168,28.23013072993586,27,13,27Al
168,28.35203913394492,27,13,27Al
170,28.473750102727983,27,13,27Al
170,28.595265114622837,27,13,27Al
171,28.716585628324204,27,13,27Al
173,28.837713083257068,27,13,27Al
174,28.958648899941274,27,13,27Al
175,29.079394480346807,27,13,27Al
176,29.199951208240766,27,13,27Al
177,29.32032044952551,27,13,27Al
178,29.440503552568916,27,13,27Al
179,29.560501848526723,27,13,27Al
179,29.680316651657005,27,13,27Al
181,29.799949259627365,27,13,27Al
181,29.919400953814687,27,13,27Al
182,30.038672999598138,27,13,27Al
183,30.157766646645037,27,13,27Al
184,30.276683129190204,27,13,27Al
186,30.39542366630897,27,13,27Al
187,30.51398946218371,27,13,27Al
188,30.6323817063645,27,13,27Al
189,30.75060157402367,27,13,27Al
189,30.868650226204686,27,13,27Al
191,30.986528810065554,27,13,27Al
192,31.104238459116452,27,13,27Al
193,31.22178029345248,27,13,27Al
193,31.33915541998098,27,13,27Al
194,31.456364932643943,27,13,27Al
195,31.57340991263555,27,13,27Al
197,31.69029142861495,27,13,27Al
197,31.807010536914436,27,13,27Al
199,31.923568281743208,27,13,27Al
200,32.03996569538652,27,13,27Al
201,32.15620379840091,27,13,27Al
202,32.27228359980501,27,13,27Al
203,32.38820609726646,27,13,27Al
204,32.503972277284866,27,13,27Al
204,32.61958311537086,27,13,27Al
205,32.735039576221546,27,13,27Al
207,32.850342613892245,27,13,27Al
207,32.96549317196459,27,13,27Al
209,33.08049218371143,27,13,27Al
209,33.195340572258054,27,13,27Al
210,33.31003925074053,27,13,27Al
211,33.42458912246024,27,13,27Al
212,33.53899108103606,27,13,27Al
214,33.65324601055278,27,13,27Al
215,33.767354785706985,27,13,27Al
215,33.88131827194999,27,13,27Al
217,33.99513732562785,27,13,27Al
217,34.1088127941185,27,13,27Al
219,34.22234551596664,27,13,27Al
219,34.335736321015354,27,13,27Al
220,34.44898603053589,27,13,27Al
222,34.56209545735433,27,13,27Al
223,34.675065405976056,27,13,27Al
223,34.78789667270797,27,13,27Al
225,34.900590045778195,27,13,27Al
225,35.013146305453446,27,13,27Al
226,35.12556622415451,27,13,27Al
228,35.23785056656914,27,13,27Al
228,35.35000008976306,27,13,27Al
230,35.46201554328905,27,13,27Al
231,35.57389766929357,27,13,27Al
232,35.68564720262187,27,13,27Al
232,35.797264870920806,27,13,27Al
234,35.90875139474012,27,13,27Al
235,36.02010748763144,27,13,27Al
236,36.131333856245924,27,13,27Al
237,36.2424312004298,27,13,27Al
237,36.3534002133184,27,13,27Al
238,36.464241581428396,27,13,27Al
239,36.574955984748414,27,13,27Al
240,36.685544096827996,27,13,27Al
241,36.796006584865054,27,13,27Al
242,36.90634410979184,27,13,27Al
243,37.01655732635912,27,13,27Al
245,37.12664688321929,27,13,27Al
246,37.23661342300759,27,13,27Al
247,37.34645758242236,27,13,27Al
248,37.45617999230362,27,13,27Al
249,37.56578127771022,27,13,27Al
249,37.675262057996036,27,13,27Al
250,37.78462294688452,27,13,27Al
252,37.89386455254212,27,13,27Al
253,38.00298747765035,27,13,27Al
254,38.11199231947693,27,13,27Al
254,38.22087966994535,27,13,27Al
256,38.32965011570356,27,13,27Al
257,38.438304238191265,27,13,27Al
257,38.54684261370642,27,13,27Al
259,38.6552658134703,27,13,27Al
259,38.76357440369169,27,13,27Al
260,38.871768945630016,27,13,27Al
261,38.97984999565728,27,13,27Al
263,39.087818105319236,27,13,27Al
264,39.19567382139531,27,13,27Al
