Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,2.623098793408834,38,18,38Ar
2,3.13519933480538,38,18,38Ar
3,3.479932361143818,38,18,38Ar
4,3.7472758912714292,38,18,38Ar
5,3.968708161835491,38,18,38Ar
6,4.159310221651018,38,18,38Ar
7,4.327586127722786,38,18,38Ar
7,4.478846512059416,38,18,38Ar
9,4.616650073784905,38,18,38Ar
10,4.743508410849247,38,18,38Ar
11,4.86126608447536,38,18,38Ar
12,4.971321199543187,38,18,38Ar
12,5.074760998504901,38,18,38Ar
13,5.172449159384291,38,18,38Ar
15,5.265084181735728,38,18,38Ar
16,5.3532397028233065,38,18,38Ar
17,5.437393103223928,38,18,38Ar
17,5.517946284268569,38,18,38Ar
18,5.595241070506584,38,18,38Ar
20,5.669570834200894,38,18,38Ar
21,5.741189409007668,38,18,38Ar
21,5.810318022583011,38,18,38Ar
22,5.877150757489391,38,18,38Ar
23,5.941858902560384,38,18,38Ar
25,6.004594456524826,38,18,38Ar
26,6.06549297601277,38,18,38Ar
27,6.124675910876801,38,18,38Ar
28,6.182252534507861,38,18,38Ar
29,6.238321551204264,38,18,38Ar
29,6.292972443794419,38,18,38Ar
30,6.346286610668687,38,18,38Ar
32,6.398338330800918,38,18,38Ar
33,6.449195587297139,38,18,38Ar
34,6.498920773833789,38,18,38Ar
35,6.547571303564931,38,18,38Ar
36,6.595200136342825,38,18,38Ar
37,6.641856237157044,38,18,38Ar
37,6.687584976367251,38,18,38Ar
38,6.7324284804454475,38,18,38Ar
39,6.776425940449964,38,18,38Ar
40,6.819613884246542,38,18,38Ar
42,6.862026417510958,38,18,38Ar
42,6.903695437746123,38,18,38Ar
44,6.944650824888224,38,18,38Ar
45,6.984920611532951,38,18,38Ar
46,7.024531135362315,38,18,38Ar
47,7.063507175977145,38,18,38Ar
47,7.1018720780263225,38,18,38Ar
48,7.139647862260204,38,18,38Ar
49,7.176855325913209,38,18,38Ar
50,7.213514133632568,38,18,38Ar
52,7.2496429000103015,38,18,38Ar
52,7.285259264639448,38,18,38Ar
54,7.3203799604991335,38,18,38Ar
55,7.355020876373234,38,18,38Ar
56,7.38919711392165,38,18,38Ar
57,7.422923039948995,38,18,38Ar
58,7.456212334351573,38,18,38Ar
59,7.489078034167922,38,18,38Ar
60,7.521532574109871,38,18,38Ar
61,7.55358782390897,38,18,38Ar
62,7.585255122776327,38,18,38Ar
63,7.6165453112417465,38,18,38Ar
63,7.647468760609603,38,18,38Ar
64,7.678035400244183,38,18,38Ar
66,7.7082547428751695,38,18,38Ar
67,7.73813590809461,38,18,38Ar
68,7.767687644199558,38,18,38Ar
68,7.796918348519323,38,18,38Ar
70,7.825836086352884,38,18,38Ar
70,7.854448608629779,38,18,38Ar
72,7.882763368397322,38,18,38Ar
73,7.910787536227184,38,18,38Ar
74,7.938528014626018,38,18,38Ar
75,7.965991451526985,38,18,38Ar
76,7.993184252932243,38,18,38Ar
77,8.02011259477025,38,18,38Ar
77,8.046782434026138,38,18,38Ar
78,8.073199519198496,38,18,38Ar
79,8.099369400131229,38,18,38Ar
81,8.125297437265177,38,18,38Ar
82,8.1509888103505,38,18,38Ar
83,8.176448526657323,38,18,38Ar
83,8.201681428719324,38,18,38Ar
84,8.22669220164193,38,18,38Ar
85,8.251485380004556,38,18,38Ar
86,8.276065354383732,38,18,38Ar
