Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.8566827943014694,41,19,41K
2,1.1174685726484583,41,19,41K
3,1.3054159807514136,41,19,41K
4,1.4576410535654447,41,19,41K
5,1.5878373393550043,41,19,41K
6,1.7028021835225828,41,19,41K
7,1.80647385539564,41,19,41K
7,1.9013666183055948,41,19,41K
9,1.9891970448533292,41,19,41K
10,2.0711964066626978,41,19,41K
11,2.1482820057259575,41,19,41K
12,2.221158097467343,41,19,41K
12,2.2903787541516096,41,19,41K
13,2.3563888222614917,41,19,41K
15,2.4195516139879514,41,19,41K
16,2.4801682199907527,41,19,41K
17,2.5384913392989255,41,19,41K
17,2.594735411070422,41,19,41K
18,2.6490841858240053,41,19,41K
20,2.7016964827864887,41,19,41K
21,2.7527106361064946,41,19,41K
21,2.802247976209688,41,19,41K
22,2.8504155896501153,41,19,41K
23,2.897308531598625,41,19,41K
25,2.9430116176265253,41,19,41K
26,2.9876008882763707,41,19,41K
27,3.0311448163638794,41,19,41K
28,3.0737053099851375,41,19,41K
29,3.115338551805961,41,19,41K
29,3.156095706039035,41,19,41K
30,3.196023517650909,41,19,41K
32,3.235164823149035,41,19,41K
33,3.2735589883324856,41,19,41K
34,3.311242285331349,41,19,41K
35,3.348248218880879,41,19,41K
36,3.384607809911168,41,19,41K
37,3.4203498430594377,41,19,41K
37,3.4555010835394775,41,19,41K
38,3.4900864678634718,41,19,41K
39,3.5241292721543327,41,19,41K
40,3.5576512611726874,41,19,41K
42,3.590672820681953,41,19,41K
42,3.623213075364472,41,19,41K
44,3.655289994163363,41,19,41K
45,3.686920484644697,41,19,41K
46,3.718120477741647,41,19,41K
47,3.748905004047551,41,19,41K
47,3.779288262661636,41,19,41K
48,3.8092836834535575,41,19,41K
49,3.83890398349664,41,19,41K
50,3.8681612183210765,41,19,41K
52,3.8970668285542995,41,19,41K
52,3.925631682443959,41,19,41K
54,3.9538661146974645,41,19,41K
55,3.981779962019117,41,19,41K
56,4.009382595680301,41,19,41K
57,4.036682951418736,41,19,41K
58,4.063689556928634,41,19,41K
59,4.090410557173885,41,19,41K
60,4.116853737730448,41,19,41K
61,4.143026546341568,41,19,41K
62,4.1689361128495594,41,19,41K
63,4.194589267650526,41,19,41K
63,4.219992558803106,41,19,41K
64,4.2451522679087885,41,19,41K
66,4.270074424869489,41,19,41K
67,4.294764821617508,41,19,41K
68,4.319229024903618,41,19,41K
68,4.3434723882207456,41,19,41K
70,4.36750006293332,41,19,41K
70,4.391317008675735,41,19,41K
72,4.414928003077522,41,19,41K
73,4.438337650867513,41,19,41K
74,4.461550392404622,41,19,41K
75,4.484570511678532,41,19,41K
76,4.5074021438198955,41,19,41K
77,4.530049282156095,41,19,41K
77,4.552515784845621,41,19,41K
78,4.5748053811212825,41,19,41K
79,4.596921677169954,41,19,41K
81,4.618868161674285,41,19,41K
82,4.64064821103973,41,19,41K
83,4.662265094328363,41,19,41K
83,4.68372197791926,41,19,41K
84,4.705021929913659,41,19,41K
85,4.7261679243017145,41,19,41K
86,4.747162844906329,41,19,41K
88,4.7680094891184615,41,19,41K
89,4.788710571437119,41,19,41K
90,4.809268726826357,41,19,41K
91,4.829686513900639,41,19,41K
92,4.849966417949147,41,19,41K
92,4.870110853808807,41,19,41K
93,4.890122168595179,41,19,41K
95,4.910002644299626,41,19,41K
96,4.929754500260689,41,19,41K
96,4.949379895516993,41,19,41K
98,4.968880931048492,41,19,41K
99,4.988259651912478,41,19,41K
100,5.007518049280278,41,19,41K
101,5.0266580623802035,41,19,41K
101,5.045681580351965,41,19,41K
102,5.0645904440173934,41,19,41K
103,5.083386447572032,41,19,41K
105,5.102071340201844,41,19,41K
106,5.120646827629061,41,19,41K
107,5.139114573590882,41,19,41K
108,5.157476201254558,41,19,41K
109,5.17573329457215,41,19,41K
109,5.193887399578073,41,19,41K
111,5.211940025632334,41,19,41K
111,5.229892646612188,41,19,41K
112,5.247746702054831,41,19,41K
114,5.265503598253512,41,19,41K
115,5.283164709309375,41,19,41K
116,5.300731378141206,41,19,41K
117,5.318204917455079,41,19,41K
118,5.335586610675843,41,19,41K
118,5.352877712842266,41,19,41K
119,5.37007945146754,41,19,41K
121,5.387193027366755,41,19,41K
122,5.404219615452879,41,19,41K
123,5.421160365502723,41,19,41K
124,5.438016402894179,41,19,41K
124,5.4547888293161115,41,19,41K
126,5.471478723452094,41,19,41K
126,5.488087141639124,41,19,41K
127,5.504615118502487,41,19,41K
128,5.5210636675677485,41,19,41K
130,5.537433781850922,41,19,41K
131,5.55372643442769,41,19,41K
132,5.5699425789826575,41,19,41K
133,5.586083150339398,41,19,41K
134,5.602149064972177,41,19,41K
135,5.618141221500052,41,19,41K
135,5.634060501164147,41,19,41K
136,5.649907768288735,41,19,41K
138,5.6656838707268316,41,19,41K
138,5.681389640290912,41,19,41K
140,5.697025893169356,41,19,41K
140,5.712593430329176,41,19,41K
141,5.728093037905611,41,19,41K
143,5.743525487579062,41,19,41K
144,5.758891536939889,41,19,41K
144,5.774191929841544,41,19,41K
146,5.789427396742483,41,19,41K
146,5.804598655037275,41,19,41K
148,5.819706409377353,41,19,41K
149,5.834751351981764,41,19,41K
150,5.84973416293833,41,19,41K
150,5.864655510495532,41,19,41K
152,5.879516051345518,41,19,41K
153,5.894316430898502,41,19,41K
154,5.909057283548927,41,19,41K
154,5.923739232933648,41,19,41K
156,5.938362892182445,41,19,41K
156,5.952928864161137,41,19,41K
158,5.967437741707565,41,19,41K
158,5.981890107860678,41,19,41K
159,5.9962865360830016,41,19,41K
160,6.010627590476692,41,19,41K
161,6.024913825993386,41,19,41K
162,6.039145788638122,41,19,41K
164,6.0533240156674575,41,19,41K
165,6.0674490357820385,41,19,41K
165,6.0815213693138,41,19,41K
167,6.095541528407946,41,19,41K
168,6.109510017199924,41,19,41K
168,6.123427331987543,41,19,41K
170,6.137293961398398,41,19,41K
170,6.151110386552746,41,19,41K
171,6.164877081222017,41,19,41K
173,6.178594511983046,41,19,41K
174,6.192263138368219,41,19,41K
175,6.205883413011635,41,19,41K
176,6.219455781791431,41,19,41K
177,6.232980683968345,41,19,41K
178,6.246458552320714,41,19,41K
179,6.259889813275957,41,19,41K
179,6.273274887038663,41,19,41K
181,6.286614187715417,41,19,41K
181,6.299908123436438,41,19,41K
182,6.313157096474143,41,19,41K
183,6.326361503358714,41,19,41K
184,6.339521734990783,41,19,41K
186,6.352638176751299,41,19,41K
187,6.36571120860868,41,19,41K
188,6.378741205223324,41,19,41K
189,6.391728536049549,41,19,41K
189,6.404673565435055,41,19,41K
191,6.417576652717978,41,19,41K
192,6.430438152321577,41,19,41K
193,6.443258413846691,41,19,41K
193,6.456037782161939,41,19,41K
194,6.468776597491814,41,19,41K
195,6.481475195502682,41,19,41K
197,6.494133907386752,41,19,41K
197,6.5067530599440815,41,19,41K
199,6.5193329756627,41,19,41K
200,6.531873972796825,41,19,41K
201,6.544376365443337,41,19,41K
202,6.556840463616438,41,19,41K
203,6.569266573320662,41,19,41K
204,6.581654996622193,41,19,41K
204,6.594006031718577,41,19,41K
205,6.606319973006877,41,19,41K
207,6.618597111150296,41,19,41K
207,6.630837733143315,41,19,41K
209,6.643042122375387,41,19,41K
209,6.655210558693231,41,19,41K
210,6.6673433184617625,41,19,41K
211,6.679440674623674,41,19,41K
212,6.691502896757742,41,19,41K
214,6.703530251135853,41,19,41K
215,6.715523000778818,41,19,41K
215,6.7274814055109795,41,19,41K
217,6.739405722013659,41,19,41K
217,6.751296203877455,41,19,41K
219,6.763153101653468,41,19,41K
219,6.774976662903393,41,19,41K
220,6.786767132248627,41,19,41K
222,6.798524751418302,41,19,41K
223,6.810249759296337,41,19,41K
223,6.821942391967527,41,19,41K
225,6.833602882762669,41,19,41K
225,6.845231462302767,41,19,41K
226,6.856828358542347,41,19,41K
228,6.868393796811874,41,19,41K
228,6.879927999859311,41,19,41K
230,6.891431187890882,41,19,41K
231,6.902903578610945,41,19,41K
232,6.914345387261141,41,19,41K
232,6.925756826658719,41,19,41K
234,6.937138107234128,41,19,41K
235,6.948489437067844,41,19,41K
236,6.959811021926502,41,19,41K
237,6.9711030652982995,41,19,41K
237,6.982365768427727,41,19,41K
238,6.99359933034962,41,19,41K
239,7.004803947922543,41,19,41K
240,7.015979815861552,41,19,41K
241,7.027127126770318,41,19,41K
242,7.03824607117264,41,19,41K
243,7.049336837543359,41,19,41K
245,7.060399612338699,41,19,41K
246,7.071434580026013,41,19,41K
247,7.082441923113,41,19,41K
248,7.0934218221763565,41,19,41K
249,7.104374455889899,41,19,41K
249,7.115300001052182,41,19,41K
250,7.126198632613572,41,19,41K
252,7.137070523702864,41,19,41K
253,7.14791584565338,41,19,41K
254,7.1587347680286095,41,19,41K
254,7.169527458647379,41,19,41K
256,7.180294083608572,41,19,41K
257,7.1910348073153765,41,19,41K
257,7.201749792499146,41,19,41K
259,7.212439200242797,41,19,41K
259,7.223103190003789,41,19,41K
260,7.233741919636727,41,19,41K
261,7.244355545415531,41,19,41K
263,7.254944222055238,41,19,41K
264,7.265508102733408,41,19,41K
265,7.276047339111168,41,19,41K
266,7.286562081353878,41,19,41K
267,7.297052478151455,41,19,41K
268,7.307518676738313,41,19,41K
269,7.317960822913012,41,19,41K
270,7.328379061057515,41,19,41K
271,7.338773534156157,41,19,41K
272,7.349144383814268,41,19,41K
273,7.359491750276494,41,19,41K
274,7.369815772444795,41,19,41K
275,7.380116587896158,41,19,41K
276,7.390394332899988,41,19,41K
277,7.400649142435241,41,19,41K
277,7.4108811502072385,41,19,41K
278,7.421090488664229,41,19,41K
280,7.43127728901366,41,19,41K
280,7.441441681238182,41,19,41K
281,7.451583794111407,41,19,41K
283,7.461703755213392,41,19,41K
283,7.471801690945874,41,19,41K
285,7.481877726547257,41,19,41K
286,7.491931986107366,41,19,41K
287,7.501964592581945,41,19,41K
288,7.51197566780695,41,19,41K
288,7.521965332512572,41,19,41K
290,7.531933706337087,41,19,41K
291,7.541880907840434,41,19,41K
292,7.55180705451762,41,19,41K
293,7.561712262811889,41,19,41K
294,7.571596648127685,41,19,41K
295,7.581460324843438,41,19,41K
296,7.591303406324104,41,19,41K
296,7.601126004933545,41,19,41K
298,7.610928232046719,41,19,41K
298,7.620710198061648,41,19,41K
300,7.630472012411245,41,19,41K
301,7.640213783574908,41,19,41K
301,7.649935619089995,41,19,41K
302,7.659637625563081,41,19,41K
304,7.6693199086810555,41,19,41K
305,7.678982573222044,41,19,41K
306,7.688625723066196,41,19,41K
307,7.698249461206267,41,19,41K
308,7.7078538897580735,41,19,41K
309,7.717439109970772,41,19,41K
309,7.727005222236998,41,19,41K
311,7.736552326102847,41,19,41K
312,7.74608052027771,41,19,41K
312,7.75558990264396,41,19,41K
313,7.765080570266503,41,19,41K
314,7.77455261940218,41,19,41K
316,7.784006145509038,41,19,41K
317,7.7934412432554625,41,19,41K
317,7.802858006529172,41,19,41K
318,7.812256528446106,41,19,41K
319,7.821636901359148,41,19,41K
320,7.830999216866748,41,19,41K
321,7.84034356582141,41,19,41K
323,7.849670038338074,41,19,41K
323,7.858978723802349,41,19,41K
325,7.86826971087867,41,19,41K
325,7.877543087518287,41,19,41K
326,7.886798940967196,41,19,41K
328,7.896037357773915,41,19,41K
329,7.905258423797167,41,19,41K
330,7.914462224213472,41,19,41K
331,7.923648843524601,41,19,41K
331,7.932818365564943,41,19,41K
332,7.941970873508775,41,19,41K
334,7.951106449877427,41,19,41K
334,7.960225176546325,41,19,41K
336,7.969327134751991,41,19,41K
336,7.978412405098878,41,19,41K
337,7.987481067566179,41,19,41K
338,7.996533201514488,41,19,41K
339,8.005568885692403,41,19,41K
340,8.014588198243036,41,19,41K
341,8.023591216710415,41,19,41K
342,8.032578018045822,41,19,41K
343,8.041548678614037,41,19,41K
344,8.050503274199498,41,19,41K
346,8.059441880012379,41,19,41K
346,8.068364570694582,41,19,41K
347,8.07727142032567,41,19,41K
348,8.086162502428689,41,19,41K
350,8.095037889975936,41,19,41K
350,8.103897655394645,41,19,41K
352,8.11274187057261,41,19,41K
352,8.121570606863687,41,19,41K
353,8.130383935093311,41,19,41K
355,8.139181925563854,41,19,41K
356,8.147964648059947,41,19,41K
357,8.15673217185376,41,19,41K
358,8.165484565710171,41,19,41K
359,8.174221897891888,41,19,41K
360,8.18294423616451,41,19,41K
360,8.191651647801509,41,19,41K
362,8.200344199589168,41,19,41K
362,8.209021957831428,41,19,41K
363,8.217684988354703,41,19,41K
364,8.226333356512614,41,19,41K
365,8.23496712719067,41,19,41K
367,8.243586364810893,41,19,41K
368,8.252191133336378,41,19,41K
368,8.2607814962758,41,19,41K
370,8.269357516687876,41,19,41K
371,8.277919257185728,41,19,41K
371,8.286466779941259,41,19,41K
373,8.295000146689427,41,19,41K
374,8.303519418732458,41,19,41K
375,8.31202465694406,41,19,41K
375,8.320515921773527,41,19,41K
377,8.328993273249843,41,19,41K
378,8.337456770985671,41,19,41K
378,8.34590647418137,41,19,41K
379,8.354342441628921,41,19,41K
381,8.36276473171579,41,19,41K
382,8.371173402428784,41,19,41K
383,8.379568511357833,41,19,41K
384,8.387950115699736,41,19,41K
384,8.396318272261864,41,19,41K
386,8.404673037465814,41,19,41K
387,8.41301446735101,41,19,41K
388,8.421342617578292,41,19,41K
389,8.429657543433422,41,19,41K
389,8.437959299830577,41,19,41K
390,8.446247941315805,41,19,41K
391,8.4545235220704,41,19,41K
392,8.462786095914286,41,19,41K
394,8.471035716309334,41,19,41K
394,8.479272436362638,41,19,41K
395,8.487496308829778,41,19,41K
397,8.495707386118015,41,19,41K
397,8.503905720289456,41,19,41K
399,8.512091363064213,41,19,41K
400,8.520264365823467,41,19,41K
400,8.528424779612555,41,19,41K
401,8.53657265514399,41,19,41K
403,8.544708042800456,41,19,41K
404,8.55283099263775,41,19,41K
405,8.560941554387721,41,19,41K
406,8.569039777461164,41,19,41K
406,8.577125710950662,41,19,41K
408,8.585199403633432,41,19,41K
409,8.593260903974093,41,19,41K
409,8.60131026012745,41,19,41K
411,8.609347519941222,41,19,41K
411,8.617372730958719,41,19,41K
413,8.625385940421548,41,19,41K
414,8.633387195272224,41,19,41K
414,8.641376542156795,41,19,41K
416,8.64935402742743,41,19,41K
417,8.657319697144946,41,19,41K
417,8.665273597081363,41,19,41K
418,8.67321577272238,41,19,41K
419,8.681146269269853,41,19,41K
421,8.689065131644242,41,19,41K
422,8.696972404487013,41,19,41K
422,8.704868132163037,41,19,41K
423,8.712752358762964,41,19,41K
425,8.720625128105532,41,19,41K
425,8.728486483739893,41,19,41K
427,8.736336468947922,41,19,41K
428,8.744175126746441,41,19,41K
429,8.752002499889477,41,19,41K
430,8.759818630870486,41,19,41K
430,8.767623561924516,41,19,41K
431,8.775417335030403,41,19,41K
433,8.783199991912891,41,19,41K
434,8.790971574044766,41,19,41K
435,8.798732122648946,41,19,41K
435,8.806481678700566,41,19,41K
437,8.81422028292903,41,19,41K
438,8.821947975820027,41,19,41K
438,8.82966479761757,41,19,41K
440,8.837370788325966,41,19,41K
441,8.845065987711788,41,19,41K
441,8.852750435305827,41,19,41K
442,8.860424170405015,41,19,41K
443,8.868087232074332,41,19,41K
444,8.875739659148719,41,19,41K
446,8.8833814902349,41,19,41K
447,8.891012763713267,41,19,41K
448,8.898633517739702,41,19,41K
449,8.906243790247382,41,19,41K
449,8.913843618948574,41,19,41K
450,8.921433041336423,41,19,41K
451,8.929012094686673,41,19,41K
453,8.936580816059443,41,19,41K
453,8.94413924230093,41,19,41K
455,8.95168741004512,41,19,41K
455,8.959225355715448,41,19,41K
