Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,1.383779628088767,50,24,50Cr
2,1.7776281620664927,50,24,50Cr
3,2.058114947156829,50,24,50Cr
4,2.2835730620896166,50,24,50Cr
5,2.4753254919585865,50,24,50Cr
6,2.6438914235853166,50,24,50Cr
7,2.795336703253008,50,24,50Cr
7,2.933518967115852,50,24,50Cr
9,3.0610633729019137,50,24,50Cr
10,3.1798475822802135,50,24,50Cr
11,3.29126696360484,50,24,50Cr
12,3.39639040538747,50,24,50Cr
12,3.496057146284045,50,24,50Cr
13,3.590939731511856,50,24,50Cr
15,3.6815864973490524,50,24,50Cr
16,3.7684511493378006,50,24,50Cr
17,3.8519139091689594,50,24,50Cr
17,3.932296983628978,50,24,50Cr
18,4.009876107983831,50,24,50Cr
20,4.084889312287053,50,24,50Cr
21,4.1575436829108,50,24,50Cr
21,4.2280206505596345,50,24,50Cr
22,4.296480177681235,50,24,50Cr
23,4.363064111825398,50,24,50Cr
25,4.427898898614922,50,24,50Cr
26,4.491097797133975,50,24,50Cr
27,4.552762704466979,50,24,50Cr
28,4.612985670149991,50,24,50Cr
29,4.671850162340897,50,24,50Cr
29,4.729432133504132,50,24,50Cr
30,4.785800922929226,50,24,50Cr
32,4.8410200254841405,50,24,50Cr
33,4.895147749959551,50,24,50Cr
34,4.948237785702633,50,24,50Cr
35,5.0003396926188755,50,24,50Cr
36,5.051499326784123,50,24,50Cr
37,5.101759211669779,50,24,50Cr
37,5.151158863203316,50,24,50Cr
38,5.199735075461072,50,24,50Cr
39,5.247522172641845,50,24,50Cr
40,5.294552232039266,50,24,50Cr
42,5.340855281972535,50,24,50Cr
42,5.386459478013575,50,24,50Cr
44,5.431391260336844,50,24,50Cr
45,5.4756754945945625,50,24,50Cr
46,5.5193355983678885,50,24,50Cr
47,5.562393654950656,50,24,50Cr
47,5.604870515975635,50,24,50Cr
48,5.646785894185853,50,24,50Cr
49,5.688158447478005,50,24,50Cr
50,5.729005855196315,50,24,50Cr
52,5.769344887528591,50,24,50Cr
52,5.809191468748063,50,24,50Cr
54,5.848560734952049,50,24,50Cr
55,5.8874670868688215,50,24,50Cr
56,5.925924238235549,50,24,50Cr
57,5.963945260190788,50,24,50Cr
58,6.001542622073746,50,24,50Cr
59,6.0387282289777415,50,24,50Cr
60,6.075513456366519,50,24,50Cr
61,6.11190918202802,50,24,50Cr
62,6.147925815610485,50,24,50Cr
63,6.183573325959723,50,24,50Cr
63,6.2188612664533505,50,24,50Cr
64,6.253798798507643,50,24,50Cr
66,6.288394713414818,50,24,50Cr
67,6.322657452652649,50,24,50Cr
68,6.356595126794489,50,24,50Cr
68,6.390215533135117,50,24,50Cr
