Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.19914111542130147,64,29,64Cu
2,0.2982893920327329,64,29,64Cu
3,0.37782022278626354,64,29,64Cu
4,0.4468015618523542,64,29,64Cu
5,0.5088685588295057,64,29,64Cu
6,0.5659291619119411,64,29,64Cu
7,0.6191370594612055,64,29,64Cu
7,0.6692548947627223,64,29,64Cu
9,0.7168189273433814,64,29,64Cu
10,0.7622237764245732,64,29,64Cu
11,0.8057701601856668,64,29,64Cu
12,0.8476936833620341,64,29,64Cu
12,0.8881831465357234,64,29,64Cu
13,0.9273927017075559,64,29,64Cu
15,0.9654502128259306,64,29,64Cu
16,1.0024631791951344,64,29,64Cu
17,1.0385230394991338,64,29,64Cu
17,1.0737083679704118,64,29,64Cu
18,1.1080872932984853,64,29,64Cu
20,1.14171936007073,64,29,64Cu
21,1.174656982542154,64,29,64Cu
21,1.2069465950886735,64,29,64Cu
22,1.2386295734746346,64,29,64Cu
23,1.269742980524662,64,29,64Cu
25,1.300320175556872,64,29,64Cu
26,1.3303913168978936,64,29,64Cu
27,1.3599837796093672,64,29,64Cu
28,1.3891225053284508,64,29,64Cu
29,1.4178302972743826,64,29,64Cu
29,1.446128070601912,64,29,64Cu
30,1.4740350661171215,64,29,64Cu
32,1.5015690337211582,64,29,64Cu
33,1.528746390677831,64,29,64Cu
34,1.5555823588153224,64,29,64Cu
35,1.5820910840005302,64,29,64Cu
36,1.6082857406155373,64,29,64Cu
37,1.6341786232815867,64,29,64Cu
37,1.659781227688383,64,29,64Cu
38,1.6851043220742967,64,29,64Cu
39,1.7101580106499192,64,29,64Cu
40,1.7349517900510034,64,29,64Cu
42,1.7594945997376084,64,29,64Cu
42,1.7837948671167914,64,29,64Cu
44,1.807860548050679,64,29,64Cu
45,1.831699163315627,64,29,64Cu
46,1.8553178314978502,64,29,64Cu
47,1.8787232987434435,64,29,64Cu
47,1.9019219657239,64,29,64Cu
48,1.9249199121301328,64,29,64Cu
49,1.9477229189671719,64,29,64Cu
50,1.9703364888869115,64,29,64Cu
52,1.9927658647665218,64,29,64Cu
52,2.015016046714612,64,29,64Cu
54,2.0370918076652664,64,29,64Cu
55,2.058997707701101,64,29,64Cu
56,2.0807381072301037,64,29,64Cu
57,2.1023171791267328,64,29,64Cu
58,2.123738919935395,64,29,64Cu
59,2.145007160223575,64,29,64Cu
60,2.166125574162431,64,29,64Cu
61,2.1870976884043913,64,29,64Cu
62,2.207926890319975,64,29,64Cu
63,2.228616435649651,64,29,64Cu
63,2.249169455620875,64,29,64Cu
64,2.2695889635754423,64,29,64Cu
66,2.28987786114784,64,29,64Cu
67,2.3100389440313407,64,29,64Cu
68,2.3300749073650775,64,29,64Cu
68,2.349988350772203,64,29,64Cu
70,2.3697817830764536,64,29,64Cu
70,2.389457626721925,64,29,64Cu
72,2.409018221918659,64,29,64Cu
73,2.428465830534596,64,29,64Cu
74,2.4478026397526707,64,29,64Cu
75,2.467030765510212,64,29,64Cu
76,2.486152255736297,64,29,64Cu
77,2.5051690934014643,64,29,64Cu
77,2.524083199392917,64,29,64Cu
78,2.5428964352273207,64,29,64Cu
79,2.5616106056123176,64,29,64Cu
81,2.5802274608669444,64,29,64Cu
82,2.5987486992104003,64,29,64Cu
83,2.617175968927812,64,29,64Cu
83,2.6355108704210237,64,29,64Cu
84,2.653754958151817,64,29,64Cu
85,2.671909742484358,64,29,64Cu
86,2.6899766914332606,64,29,64Cu
88,2.7079572323230896,64,29,64Cu
89,2.7258527533647556,64,29,64Cu
90,2.743664605153859,64,29,64Cu
91,2.761394102095639,64,29,64Cu
92,2.77904252376094,64,29,64Cu
92,2.7966111161771856,64,29,64Cu
93,2.8141010930581927,64,29,64Cu
95,2.8315136369763074,64,29,64Cu
96,2.848849900480159,64,29,64Cu
96,2.866111007161093,64,29,64Cu
98,2.8832980526711496,64,29,64Cu
99,2.900412105695233,64,29,64Cu
100,2.9174542088800197,64,29,64Cu
101,2.9344253797219007,64,29,64Cu
101,2.951326611416172,64,29,64Cu
102,2.968158873669529,64,29,64Cu
103,2.9849231134777794,64,29,64Cu
