Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.4484444006601727,70,31,70Ga
2,0.5680441417916835,70,31,70Ga
3,0.6522922531811879,70,31,70Ga
4,0.7195410323973916,70,31,70Ga
5,0.7764420412194419,70,31,70Ga
6,0.8262580436062941,70,31,70Ga
7,0.8708623279483654,70,31,70Ga
7,0.9114420151759484,70,31,70Ga
9,0.9488025336782383,70,31,70Ga
10,0.9835184747678614,70,31,70Ga
11,1.0160158604357663,70,31,70Ga
12,1.0466203627202446,70,31,70Ga
12,1.0755872060501332,70,31,70Ga
13,1.1031205718476733,70,31,70Ga
15,1.1293866704234468,70,31,70Ga
16,1.154522827225225,70,31,70Ga
17,1.1786439694226656,70,31,70Ga
17,1.2018473643100525,70,31,70Ga
18,1.2242161506879594,70,31,70Ga
20,1.2458220174302939,70,31,70Ga
21,1.2667272671300949,70,31,70Ga
21,1.2869864282803851,70,31,70Ga
22,1.3066475306018732,70,31,70Ga
23,1.3257531253548838,70,31,70Ga
25,1.3443411100361968,70,31,70Ga
26,1.3624454012212293,70,31,70Ga
27,1.380096488228855,70,31,70Ga
28,1.3973218923137156,70,31,70Ga
29,1.4141465502768578,70,31,70Ga
29,1.430593137091722,70,31,70Ga
30,1.4466823389343204,70,31,70Ga
32,1.4624330855834138,70,31,70Ga
33,1.4778627493081076,70,31,70Ga
34,1.4929873159370743,70,31,70Ga
35,1.5078215326981923,70,31,70Ga
36,1.5223790365518388,70,31,70Ga
37,1.5366724660581503,70,31,70Ga
37,1.5507135592758465,70,31,70Ga
38,1.5645132397560346,70,31,70Ga
39,1.5780816923448446,70,31,70Ga
40,1.5914284302255968,70,31,70Ga
42,1.60456235440057,70,31,70Ga
42,1.6174918066235486,70,31,70Ga
44,1.6302246166388643,70,31,70Ga
45,1.6427681444540259,70,31,70Ga
46,1.655129318266194,70,31,70Ga
47,1.667314668573555,70,31,70Ga
47,1.6793303589279052,70,31,70Ga
48,1.6911822137218662,70,31,70Ga
49,1.7028757433510116,70,31,70Ga
50,1.7144161670461684,70,31,70Ga
52,1.7258084336328146,70,31,70Ga
52,1.7370572404418059,70,31,70Ga
54,1.7481670505676599,70,31,70Ga
55,1.7591421086465486,70,31,70Ga
56,1.7699864553054494,70,31,70Ga
57,1.7807039404159748,70,31,70Ga
58,1.7912982352709084,70,31,70Ga
59,1.8017728437879732,70,31,70Ga
60,1.812131112833653,70,31,70Ga
