Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.8300410078532925,72,32,72Ge
2,1.089239218445068,72,32,72Ge
3,1.2769171524408847,72,32,72Ge
4,1.4293776617944194,72,32,72Ge
5,1.5600630196718077,72,32,72Ge
6,1.67566207932421,72,32,72Ge
7,1.7800574645989433,72,32,72Ge
7,1.8757316716464882,72,32,72Ge
9,1.964381757974453,72,32,72Ge
10,2.0472263517041993,72,32,72Ge
11,2.125174228164254,72,32,72Ge
12,2.198923711470095,72,32,72Ge
12,2.2690246463840356,72,32,72Ge
13,2.335918807844924,72,32,72Ge
15,2.3999672424133363,72,32,72Ge
16,2.461469349955295,72,32,72Ge
17,2.5206765567218303,72,32,72Ge
17,2.5778023381249917,72,32,72Ge
18,2.6330297126566293,72,32,72Ge
20,2.686516943394876,72,32,72Ge
21,2.7384019432429874,72,32,72Ge
21,2.7888057257941776,72,32,72Ge
22,2.837835142210224,72,32,72Ge
23,2.8855850762078865,72,32,72Ge
25,2.9321402223752373,72,32,72Ge
26,2.9775765402867624,72,32,72Ge
27,3.0219624536224146,72,32,72Ge
28,3.0653598467244065,72,32,72Ge
29,3.107824898768791,72,32,72Ge
29,3.149408786658537,72,32,72Ge
30,3.1901582809544355,72,32,72Ge
32,3.230116254022088,72,32,72Ge
33,3.269322115646469,72,32,72Ge
34,3.3078121883368117,72,32,72Ge
35,3.345620032188093,72,32,72Ge
36,3.3827767273173253,72,32,72Ge
37,3.419311120432251,72,32,72Ge
37,3.4552500409276883,72,32,72Ge
38,3.4906184909733855,72,32,72Ge
39,3.525439813306279,72,32,72Ge
40,3.5597358398309886,72,32,72Ge
42,3.593527023635493,72,32,72Ge
42,3.626832556621546,72,32,72Ge
44,3.6596704746135655,72,32,72Ge
45,3.6920577515315873,72,32,72Ge
46,3.724010383982563,72,32,72Ge
47,3.755543467430865,72,32,72Ge
47,3.786671264946664,72,32,72Ge
48,3.817407269394165,72,32,72Ge
49,3.8477642598061212,72,32,72Ge
50,3.877754352592938,72,32,72Ge
52,3.90738904815118,72,32,72Ge
52,3.936679273364884,72,32,72Ge
54,3.9656354204319118,72,32,72Ge
55,3.9942673823949413,72,32,72Ge
56,4.022584585711371,72,32,72Ge
57,4.050596020157111,72,32,72Ge
58,4.078310266325251,72,32,72Ge
59,4.105735520950995,72,32,72Ge
60,4.132879620268472,72,32,72Ge
61,4.159750061582458,72,32,72Ge
62,4.186354023218382,72,32,72Ge
63,4.212698382996584,72,32,72Ge
63,4.238789735361594,72,32,72Ge
64,4.2646344072837525,72,32,72Ge
66,4.290238473038608,72,32,72Ge
67,4.315607767959042,72,32,72Ge
68,4.340747901245716,72,32,72Ge
68,4.365664267913168,72,32,72Ge
70,4.390362059941526,72,32,72Ge
70,4.414846276697198,72,32,72Ge
72,4.439121734680055,72,32,72Ge
73,4.463193076649333,72,32,72Ge
74,4.487064780175825,72,32,72Ge
75,4.5107411656636245,72,32,72Ge
76,4.534226403880964,72,32,72Ge
77,4.557524523036217,72,32,72Ge
77,4.5806394154320715,72,32,72Ge
78,4.603574843728072,72,32,72Ge
79,4.6263344468392535,72,32,72Ge
81,4.648921745496259,72,32,72Ge
82,4.671340147490309,72,32,72Ge
83,4.693592952624495,72,32,72Ge
83,4.715683357391159,72,32,72Ge
84,4.737614459393598,72,32,72Ge
85,4.759389261528894,72,32,72Ge
86,4.781010675947393,72,32,72Ge
88,4.80248152780318,72,32,72Ge
89,4.823804558808834,72,32,72Ge
90,4.84498243060675,72,32,72Ge
91,4.866017727968402,72,32,72Ge
92,4.88691296183216,72,32,72Ge
92,4.907670572189413,72,32,72Ge
93,4.928292930828175,72,32,72Ge
95,4.948782343942598,72,32,72Ge
96,4.969141054616318,72,32,72Ge
96,4.989371245186968,72,32,72Ge
98,5.00947503949871,72,32,72Ge
99,5.029454505049174,72,32,72Ge
100,5.049311655036757,72,32,72Ge
101,5.069048450313881,72,32,72Ge
101,5.088666801251389,72,32,72Ge
102,5.108168569518955,72,32,72Ge
103,5.1275555697860895,72,32,72Ge
105,5.146829571347974,72,32,72Ge
106,5.165992299680157,72,32,72Ge
107,5.185045437925862,72,32,72Ge
108,5.203990628319413,72,32,72Ge
109,5.222829473549086,72,32,72Ge
109,5.241563538062531,72,32,72Ge
111,5.260194349317632,72,32,72Ge
111,5.278723398981584,72,32,72Ge
112,5.297152144080783,72,32,72Ge
114,5.3154820081039365,72,32,72Ge
115,5.33371438206069,72,32,72Ge
116,5.351850625497976,72,32,72Ge
117,5.369892067476066,72,32,72Ge
118,5.387840007506296,72,32,72Ge
118,5.4056957164522546,72,32,72Ge
119,5.423460437396175,72,32,72Ge
121,5.441135386472121,72,32,72Ge
122,5.458721753667542,72,32,72Ge
123,5.476220703594624,72,32,72Ge
124,5.493633376232796,72,32,72Ge
124,5.510960887643731,72,32,72Ge
126,5.528204330660047,72,32,72Ge
126,5.545364775548866,72,32,72Ge
127,5.562443270651385,72,32,72Ge
128,5.57944084299944,72,32,72Ge
130,5.596358498910127,72,32,72Ge
131,5.613197224559374,72,32,72Ge
132,5.629957986535398,72,32,72Ge
133,5.646641732372877,72,32,72Ge
134,5.663249391068656,72,32,72Ge
135,5.679781873579764,72,32,72Ge
135,5.696240073304467,72,32,72Ge
136,5.712624866547059,72,32,72Ge
138,5.7289371129670466,72,32,72Ge
138,5.745177656013381,72,32,72Ge
140,5.761347323344319,72,32,72Ge
140,5.77744692723348,72,32,72Ge
141,5.793477264962698,72,32,72Ge
143,5.809439119202109,72,32,72Ge
144,5.825333258378046,72,32,72Ge
144,5.84116043702917,72,32,72Ge
146,5.856921396151324,72,32,72Ge
146,5.872616863531504,72,32,72Ge
148,5.888247554071398,72,32,72Ge
149,5.903814170100863,72,32,72Ge
150,5.919317401681737,72,32,72Ge
150,5.934757926902326,72,32,72Ge
152,5.95013641216293,72,32,72Ge
153,5.965453512452722,72,32,72Ge
154,5.9807098716183145,72,32,72Ge
154,5.995906122624298,72,32,72Ge
156,6.011042887806055,72,32,72Ge
156,6.026120779115109,72,32,72Ge
158,6.041140398357309,72,32,72Ge
158,6.056102337424049,72,32,72Ge
159,6.0710071785168305,72,32,72Ge
160,6.085855494365351,72,32,72Ge
161,6.100647848439358,72,32,72Ge
162,6.11538479515452,72,32,72Ge
164,6.1300668800724365,72,32,72Ge
165,6.144694640095091,72,32,72Ge
165,6.1592686036538495,72,32,72Ge
167,6.173789290893237,72,32,72Ge
168,6.188257213849637,72,32,72Ge
168,6.202672876625123,72,32,72Ge
170,6.217036775556544,72,32,72Ge
170,6.231349399380017,72,32,72Ge
171,6.2456112293910415,72,32,72Ge
