Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.7767315508918979,84,38,84Sr
2,1.0819995953910153,84,38,84Sr
3,1.313518061467157,84,38,84Sr
4,1.5072429117653503,84,38,84Sr
5,1.6769757396830498,84,38,84Sr
6,1.8297518742663441,84,38,84Sr
7,1.96973117179945,84,38,84Sr
7,2.0996137195836106,84,38,84Sr
9,2.221268977446961,84,38,84Sr
10,2.33605429022947,84,38,84Sr
11,2.4449918159333865,84,38,84Sr
12,2.5488739131927898,84,38,84Sr
12,2.6483294396752997,84,38,84Sr
13,2.7438673354633596,84,38,84Sr
15,2.8359063310697143,84,38,84Sr
16,2.9247958222609496,84,38,84Sr
17,3.010830922444154,84,38,84Sr
17,3.094263561319813,84,38,84Sr
18,3.175310828795246,84,38,84Sr
20,3.254161355924517,84,38,84Sr
21,3.330980269080805,84,38,84Sr
21,3.4059130886810762,84,38,84Sr
22,3.4790888347553652,84,38,84Sr
23,3.550622527964158,84,38,84Sr
25,3.620617223873926,84,38,84Sr
26,3.6891656826614403,84,38,84Sr
27,3.756351751004557,84,38,84Sr
28,3.8222515145276645,84,38,84Sr
29,3.8869342656825583,84,38,84Sr
29,3.950463321930001,84,38,84Sr
30,4.012896721564485,84,38,84Sr
32,4.074287818814403,84,38,84Sr
33,4.13468579547228,84,38,84Sr
34,4.19413610292332,84,38,84Sr
35,4.25268084579825,84,38,84Sr
36,4.310359116398451,84,38,84Sr
37,4.367207287394694,84,38,84Sr
37,4.423259268986908,84,38,84Sr
38,4.478546735656991,84,38,84Sr
39,4.5330993267935895,84,38,84Sr
40,4.586944824774264,84,38,84Sr
42,4.6401093135232925,84,38,84Sr
42,4.692617320097473,84,38,84Sr
44,4.744491941467146,84,38,84Sr
45,4.795754958340246,84,38,84Sr
46,4.846426937610795,84,38,84Sr
47,4.896527324790173,84,38,84Sr
47,4.946074527591994,84,38,84Sr
48,4.9950859916831325,84,38,84Sr
49,5.043578269479295,84,38,84Sr
50,5.091567082749579,84,38,84Sr
52,5.139067379697109,84,38,84Sr
52,5.186093387099551,84,38,84Sr
54,5.232658658021895,84,38,84Sr
55,5.278776115552102,84,38,84Sr
56,5.324458092957282,84,38,84Sr
57,5.369716370611653,84,38,84Sr
58,5.414562210007775,84,38,84Sr
59,5.459006385127521,84,38,84Sr
60,5.503059211418847,84,38,84Sr
61,5.546730572597857,84,38,84Sr
62,5.590029945472109,84,38,84Sr
63,5.632966422960849,84,38,84Sr
63,5.675548735469436,84,38,84Sr
64,5.717785270759504,84,38,84Sr
66,5.759684092442152,84,38,84Sr
67,5.801252957208867,84,38,84Sr
68,5.842499330903926,84,38,84Sr
68,5.883430403531925,84,38,84Sr
70,5.924053103285395,84,38,84Sr
70,5.964374109669488,84,38,84Sr
72,6.004399865793767,84,38,84Sr
73,6.044136589894699,84,38,84Sr
74,6.08359028614688,84,38,84Sr
75,6.122766754815863,84,38,84Sr
76,6.16167160180092,84,38,84Sr
77,6.200310247611917,84,38,84Sr
77,6.238687935820738,84,38,84Sr
78,6.276809741024332,84,38,84Sr
79,6.314680576353436,84,38,84Sr
81,6.352305200558234,84,38,84Sr
82,6.389688224699658,84,38,84Sr
83,6.426834118472856,84,38,84Sr
83,6.463747216187214,84,38,84Sr
84,6.500431722425415,84,38,84Sr
85,6.536891717402356,84,38,84Sr
86,6.573131162043129,84,38,84Sr
88,6.609153902797813,84,38,84Sr
89,6.6449636762096045,84,38,84Sr
90,6.680564113251511,84,38,84Sr
91,6.715958743445735,84,38,84Sr
92,6.751150998778997,84,38,84Sr
92,6.786144217425883,84,38,84Sr
93,6.820941647291696,84,38,84Sr
95,6.85554644938532,84,38,84Sr
96,6.889961701031976,84,38,84Sr
96,6.924190398935047,84,38,84Sr
98,6.9582354620955496,84,38,84Sr
99,6.9920997345972395,84,38,84Sr
100,7.025785988264836,84,38,84Sr
101,7.059296925202368,84,38,84Sr
101,7.092635180218118,84,38,84Sr
102,7.1258033231424,84,38,84Sr
103,7.15880386104377,84,38,84Sr
105,7.191639240349151,84,38,84Sr
106,7.224311848872869,84,38,84Sr
107,7.256824017759327,84,38,84Sr
108,7.2891780233438155,84,38,84Sr
109,7.32137608893554,84,38,84Sr
109,7.353420386526886,84,38,84Sr
111,7.385313038432614,84,38,84Sr
111,7.417056118862349,84,38,84Sr
112,7.448651655429818,84,38,84Sr
114,7.4801016306017605,84,38,84Sr
115,7.511407983089535,84,38,84Sr
116,7.542572609186134,84,38,84Sr
117,7.573597364051143,84,38,84Sr
118,7.604484062946226,84,38,84Sr
118,7.635234482423291,84,38,84Sr
119,7.665850361467661,84,38,84Sr
121,7.696333402598225,84,38,84Sr
122,7.726685272926585,84,38,84Sr
123,7.756907605177012,84,38,84Sr
124,7.787001998669001,84,38,84Sr
124,7.816970020264046,84,38,84Sr
126,7.846813205278269,84,38,84Sr
126,7.87653305836232,84,38,84Sr
127,7.906131054350056,84,38,84Sr
128,7.9356086390772775,84,38,84Sr
130,7.964967230171806,84,38,84Sr
131,7.994208217816172,84,38,84Sr
132,8.023332965483993,84,38,84Sr
133,8.052342810651211,84,38,84Sr
134,8.081239065483155,84,38,84Sr
135,8.110023017498483,84,38,84Sr
135,8.138695930210941,84,38,84Sr
136,8.167259043749807,84,38,84Sr
138,8.195713575459889,84,38,84Sr
138,8.224060720481914,84,38,84Sr
140,8.25230165231408,84,38,84Sr
140,8.280437523355454,84,38,84Sr
141,8.30846946543207,84,38,84Sr
143,8.336398590306187,84,38,84Sr
144,8.36422599016956,84,38,84Sr
144,8.391952738121212,84,38,84Sr
146,8.419579888630365,84,38,84Sr
146,8.447108477984987,84,38,84Sr
148,8.474539524726673,84,38,84Sr
149,8.50187403007214,84,38,84Sr
150,8.529112978322075,84,38,84Sr
150,8.556257337257577,84,38,84Sr
152,8.58330805852481,84,38,84Sr
153,8.610266078008207,84,38,84Sr
154,8.637132316192668,84,38,84Sr
154,8.663907678515134,84,38,84Sr
156,8.690593055705959,84,38,84Sr
156,8.717189324120318,84,38,84Sr
158,8.743697346060197,84,38,84Sr
158,8.770117970087083,84,38,84Sr
159,8.796452031325858,84,38,84Sr
160,8.822700351760036,84,38,84Sr
161,8.848863740518802,84,38,84Sr
162,8.874942994155994,84,38,84Sr
164,8.900938896921383,84,38,84Sr
165,8.926852221024477,84,38,84Sr
165,8.952683726891124,84,38,84Sr
167,8.978434163413112,84,38,84Sr
168,9.004104268191014,84,38,84Sr
168,9.029694767770563,84,38,84Sr
170,9.055206377872635,84,38,84Sr
170,9.080639803617185,84,38,84Sr
171,9.105995739741235,84,38,84Sr
173,9.131274870811172,84,38,84Sr
174,9.156477871429445,84,38,84Sr
175,9.18160540643598,84,38,84Sr
176,9.206658131104344,84,38,84Sr
177,9.231636691332874,84,38,84Sr
178,9.256541723830958,84,38,84Sr
179,9.281373856300597,84,38,84Sr
179,9.306133707613323,84,38,84Sr
181,9.330821887982781,84,38,84Sr
181,9.355438999132888,84,38,84Sr
182,9.37998563446194,84,38,84Sr
183,9.40446237920257,84,38,84Sr
184,9.428869810577835,84,38,84Sr
186,9.453208497953492,84,38,84Sr
187,9.477479002986524,84,38,84Sr
188,9.501681879770187,84,38,84Sr
189,9.525817674975436,84,38,84Sr
189,9.549886927989085,84,38,84Sr
191,9.573890171048642,84,38,84Sr
192,9.597827929373931,84,38,84Sr
193,9.621700721295655,84,38,84Sr
193,9.64550905838093,84,38,84Sr
194,9.669253445555931,84,38,84Sr
195,9.692934381225648,84,38,84Sr
197,9.716552357390896,84,38,84Sr
197,9.74010785976268,84,38,84Sr
199,9.763601367873932,84,38,84Sr
200,9.787033355188653,84,38,84Sr
201,9.8104042892087,84,38,84Sr
202,9.83371463157809,84,38,84Sr
203,9.856964838185,84,38,84Sr
204,9.880155359261504,84,38,84Sr
204,9.903286639481083,84,38,84Sr
205,9.926359118054014,84,38,84Sr
207,9.949373228820646,84,38,84Sr
207,9.972329400342621,84,38,84Sr
209,9.995228055992202,84,38,84Sr
209,10.018069614039536,84,38,84Sr
210,10.040854487738178,84,38,84Sr
211,10.063583085408679,84,38,84Sr
212,10.086255810520449,84,38,84Sr
214,10.108873061771867,84,38,84Sr
215,10.131435233168709,84,38,84Sr
215,10.153942714100909,84,38,84Sr
217,10.176395889417746,84,38,84Sr
217,10.198795139501435,84,38,84Sr
219,10.221140840339222,84,38,84Sr
219,10.243433363593944,84,38,84Sr
220,10.265673076673218,84,38,84Sr
222,10.287860342797146,84,38,84Sr
223,10.309995521064659,84,38,84Sr
223,10.332078966518557,84,38,84Sr
225,10.354111030209184,84,38,84Sr
225,10.376092059256846,84,38,84Sr
226,10.398022396913005,84,38,84Sr
228,10.419902382620206,84,38,84Sr
228,10.441732352070865,84,38,84Sr
230,10.463512637264877,84,38,84Sr
231,10.485243566566067,84,38,84Sr
232,10.506925464757604,84,38,84Sr
232,10.528558653096256,84,38,84Sr
234,10.550143449365674,84,38,84Sr
235,10.571680167928546,84,38,84Sr
236,10.59316911977789,84,38,84Sr
237,10.61461061258719,84,38,84Sr
237,10.636004950759752,84,38,84Sr
238,10.657352435477003,84,38,84Sr
