Level_Number,Level_Energy,A,Z,Target_Element_w_A
1,0.15775218762069562,85,37,85Rb
2,0.2706685102727253,85,37,85Rb
3,0.3711841393707997,85,37,85Rb
4,0.4644084088989532,85,37,85Rb
5,0.5525608230614144,85,37,85Rb
6,0.6368714092379252,85,37,85Rb
7,0.7181156653021366,85,37,85Rb
7,0.7968240193096096,85,37,85Rb
9,0.8733803784180684,85,37,85Rb
10,0.9480744265348177,85,37,85Rb
11,1.021131868400243,85,37,85Rb
12,1.092733090891892,85,37,85Rb
12,1.1630252770582439,85,37,85Rb
13,1.2321305983926434,85,37,85Rb
15,1.3001519449684287,85,37,85Rb
16,1.3671770484389956,85,37,85Rb
17,1.4332815210039158,85,37,85Rb
17,1.498531142377861,85,37,85Rb
18,1.5629836122816327,85,37,85Rb
20,1.6266899149117227,85,37,85Rb
21,1.6896953963945762,85,37,85Rb
21,1.7520406263807566,85,37,85Rb
22,1.8137620948618611,85,37,85Rb
23,1.8748927815097804,85,37,85Rb
25,1.9354626251931113,85,37,85Rb
26,1.9954989144605706,85,37,85Rb
27,2.055026614819027,85,37,85Rb
28,2.1140686449956174,85,37,85Rb
29,2.1726461116717433,85,37,85Rb
29,2.2307785101461466,85,37,85Rb
30,2.2884838968415675,85,37,85Rb
32,2.3457790383852473,85,37,85Rb
33,2.4026795410760813,85,37,85Rb
34,2.4591999638340423,85,37,85Rb
35,2.5153539171623316,85,37,85Rb
36,2.571154150203931,85,37,85Rb
37,2.626612627615289,85,37,85Rb
37,2.6817405976907804,85,37,85Rb
38,2.736548652937448,85,37,85Rb
39,2.791046784108492,85,37,85Rb
40,2.8452444285475447,85,37,85Rb
42,2.8991505135666484,85,37,85Rb
42,2.9527734954740663,85,37,85Rb
44,3.00612139477905,85,37,85Rb
45,3.0592018280262847,85,37,85Rb
46,3.1120220366502997,85,37,85Rb
47,3.164588913187445,85,37,85Rb
47,3.21690902513838,85,37,85Rb
48,3.2689886367361947,85,37,85Rb
