 Z=  11 A=  16  Na beta2= 0.71 nrho= 132
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   6.344413E-02  -3.103168E-16  -4.996004E-16  -7.255376E-16  -7.152448E-17   8.766499E-02  -4.344435E-16  -8.118506E-16  -4.878615E-16  -2.589186E-15
   0.100   6.344074E-02   6.932723E-05   1.651145E-08   2.044402E-12   1.859637E-16   8.766292E-02  -4.790800E-05  -2.127617E-08  -5.799147E-12  -2.074210E-15
   0.200   6.342693E-02   2.757787E-04   2.623906E-07   1.299097E-10   5.121153E-14   8.765354E-02  -1.869797E-04  -3.344844E-07  -3.660835E-10  -2.431832E-13
   0.300   6.339197E-02   6.147872E-04   1.313347E-06   1.461492E-09   1.306695E-12   8.762749E-02  -4.035836E-04  -1.644134E-06  -4.076214E-09  -6.117475E-12
   0.400   6.331877E-02   1.078820E-03   4.085216E-06   8.069927E-09   1.282557E-11   8.756971E-02  -6.760602E-04  -4.984329E-06  -2.218331E-08  -5.944023E-11
   0.500   6.318496E-02   1.657500E-03   9.770982E-06   3.010229E-08   7.465448E-11   8.746017E-02  -9.762303E-04  -1.152675E-05  -8.120509E-08  -3.418094E-10
   0.600   6.296426E-02   2.337788E-03   1.975759E-05   8.745358E-08   3.118394E-10   8.727496E-02  -1.271351E-03  -2.234590E-05  -2.304966E-07  -1.406562E-09
   0.700   6.262819E-02   3.104224E-03   3.552727E-05   2.134812E-07   1.034229E-09   8.698743E-02  -1.526374E-03  -3.817084E-05  -5.472111E-07  -4.582655E-09
   0.800   6.214786E-02   3.939235E-03   5.854898E-05   4.581540E-07   2.893055E-09   8.656956E-02  -1.706357E-03  -5.915493E-05  -1.136660E-06  -1.255616E-08
   0.900   6.149576E-02   4.823511E-03   9.016647E-05   8.900460E-07   7.096864E-09   8.599339E-02  -1.778838E-03  -8.469343E-05  -2.126463E-06  -3.007831E-08
   1.000   6.064751E-02   5.736460E-03   1.314895E-04   1.596666E-06   1.567809E-08   8.523237E-02  -1.716036E-03  -1.133143E-04  -3.653817E-06  -6.468536E-08
   1.100   5.958334E-02   6.656706E-03   1.832952E-04   2.682758E-06   3.178848E-08   8.426271E-02  -1.496705E-03  -1.426591E-04  -5.846367E-06  -1.272595E-07
   1.200   5.828941E-02   7.562652E-03   2.459450E-04   4.266394E-06   5.998905E-08   8.306454E-02  -1.107554E-03  -1.695625E-04  -8.798341E-06  -2.322279E-07
   1.300   5.675864E-02   8.433074E-03   3.193244E-04   6.472911E-06   1.064904E-07   8.162293E-02  -5.441197E-04  -1.902263E-04  -1.254464E-05  -3.971991E-07
   1.400   5.499129E-02   9.247724E-03   4.028071E-04   9.426957E-06   1.792940E-07   7.992861E-02   1.889282E-04  -2.004760E-04  -1.703632E-05  -6.418845E-07
   1.500   5.299505E-02   9.987924E-03   4.952493E-04   1.324315E-05   2.881862E-07   7.797845E-02   1.078050E-03  -1.960770E-04  -2.212108E-05  -9.862375E-07
   1.600   5.078476E-02   1.063712E-02   5.950126E-04   1.801598E-05   4.445445E-07   7.577573E-02   2.101639E-03  -1.730822E-04  -2.753229E-05  -1.447865E-06
   1.700   4.838186E-02   1.118137E-02   7.000161E-04   2.380987E-05   6.609302E-07   7.333003E-02   3.231276E-03  -1.281796E-04  -3.288909E-05  -2.038899E-06
   1.800   4.581339E-02   1.160976E-02   8.078152E-04   3.065000E-05   9.504622E-07   7.065695E-02   4.433341E-03  -5.900680E-05  -3.770929E-05  -2.762648E-06
   1.900   4.311092E-02   1.191467E-02   9.157019E-04   3.851506E-05   1.325990E-06   6.777755E-02   5.670865E-03   3.559575E-05  -4.143490E-05  -3.610441E-06
