 Z=  22 A=  38  Ti beta2= 0.11 nrho= 140
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.020679E-02  -4.034118E-16  -5.828671E-16  -7.255376E-16  -1.001343E-15   1.020205E-01  -5.430544E-16  -6.661338E-16  -1.225908E-15  -1.859637E-16
   0.100   8.014702E-02  -2.758478E-05  -4.137652E-09  -7.382970E-14  -2.531967E-15   1.018520E-01   6.165350E-06  -2.295683E-09  -2.521869E-14  -1.444794E-15
   0.200   7.997030E-02  -1.088874E-04  -6.558919E-08  -4.672237E-12  -6.294154E-16   1.013527E-01   2.419075E-05  -3.628165E-08  -1.532861E-12  -6.151105E-16
   0.300   7.968427E-02  -2.396289E-04  -3.269332E-07  -5.261617E-11   7.352717E-15   1.005413E-01   5.269284E-05  -1.799510E-07  -1.697618E-11   2.150026E-14
   0.400   7.930119E-02  -4.129275E-04  -1.011056E-06  -2.910581E-10   8.276813E-14   9.944752E-02   8.946111E-05  -5.526798E-07  -9.176259E-11   2.328551E-13
   0.500   7.883730E-02  -6.196556E-04  -2.400327E-06  -1.088223E-09   4.668546E-13   9.811154E-02   1.315992E-04  -1.300649E-06  -3.330631E-10   1.306767E-12
   0.600   7.831191E-02  -8.489062E-04  -4.809910E-06  -3.170402E-09   1.866403E-12   9.658173E-02   1.757193E-04  -2.578923E-06  -9.358937E-10   5.187799E-12
   0.700   7.774624E-02  -1.088540E-03  -8.557385E-06  -7.764520E-09   5.831305E-12   9.491257E-02   2.181846E-04  -4.532237E-06  -2.196577E-09   1.613880E-11
   0.800   7.716218E-02  -1.325777E-03  -1.393115E-05  -1.672523E-08   1.516411E-11   9.316216E-02   2.553912E-04  -7.276612E-06  -4.506065E-09   4.176686E-11
   0.900   7.658084E-02  -1.547802E-03  -2.116011E-05  -3.262489E-08   3.401989E-11   9.138939E-02   2.840759E-04  -1.088365E-05  -8.320019E-09   9.319002E-11
   1.000   7.602109E-02  -1.742346E-03  -3.038692E-05  -5.878634E-08   6.739088E-11   8.965115E-02   3.016333E-04  -1.536892E-05  -1.410804E-08   1.833649E-10
