 Z=  42 A=  78  Mo beta2= 0.00 nrho= 166
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   8.477851E-02  -4.654752E-16  -6.453171E-16  -5.879356E-16  -1.258831E-15   7.497586E-02  -3.723801E-16  -6.453171E-16  -4.378244E-16  -1.187306E-15
   0.100   8.479087E-02   2.803798E-07   5.572834E-13  -6.629913E-16  -1.645063E-15   7.510780E-02  -8.106130E-08  -5.359775E-13  -9.757230E-16  -1.430490E-17
   0.200   8.482590E-02   1.108777E-06   8.857061E-12  -6.129542E-16  -1.416185E-15   7.549725E-02  -3.147412E-07  -8.364164E-12  -4.128059E-16  -2.546271E-15
   0.300   8.487757E-02   2.447393E-06   4.425585E-11  -7.505561E-17  -7.152448E-17   7.612540E-02  -6.737030E-07  -4.067203E-11  -1.538640E-15   3.433175E-16
   0.400   8.493628E-02   4.234684E-06   1.372755E-10   3.752781E-15  -1.888246E-15   7.696211E-02  -1.116143E-06  -1.214860E-10  -5.366476E-15   1.287441E-16
   0.500   8.498951E-02   6.387569E-06   3.269986E-10   1.528633E-14  -5.721958E-17   7.796749E-02  -1.590884E-06  -2.757752E-10  -1.607441E-14  -5.578910E-16
   0.600   8.502262E-02   8.804600E-06   6.574682E-10   4.605913E-14  -1.044257E-15   7.909413E-02  -2.043517E-06  -5.230098E-10  -4.185601E-14  -8.296840E-16
   0.700   8.501990E-02   1.137007E-05   1.173220E-09   1.104068E-13   5.435861E-16   8.028957E-02  -2.422759E-06  -8.715529E-10  -9.211826E-14  -1.902551E-15
   0.800   8.496560E-02   1.395908E-05   1.914199E-09   2.329601E-13  -1.602148E-15   8.149909E-02  -2.686216E-06  -1.315052E-09  -1.780069E-13  -1.773807E-15
   0.900   8.484504E-02   1.644331E-05   2.910435E-09   4.401261E-13  -2.417528E-15   8.266842E-02  -2.804824E-06  -1.831623E-09  -3.080533E-13  -2.560576E-15
   1.000   8.464564E-02   1.869746E-05   4.176995E-09   7.636408E-13  -2.574881E-15   8.374647E-02  -2.765456E-06  -2.386041E-09  -4.850844E-13   4.005371E-16
   1.100   8.435790E-02   2.060589E-05   5.709792E-09   1.232964E-12  -1.230221E-15   8.468766E-02  -2.571454E-06  -2.934539E-09  -7.014948E-13   2.002685E-16
   1.200   8.397608E-02   2.206913E-05   7.482833E-09   1.872075E-12  -3.046943E-15   8.545401E-02  -2.241117E-06  -3.431340E-09  -9.441246E-13   1.988381E-15
   1.300   8.349882E-02   2.300977E-05   9.447402E-09   2.692695E-12  -3.333041E-15   8.601662E-02  -1.804479E-06  -3.835670E-09  -1.189631E-12   2.431832E-15
   1.400   8.292936E-02   2.337732E-05   1.153348E-08   3.690009E-12  -4.076895E-15   8.635677E-02  -1.298875E-06  -4.117977E-09  -1.407743E-12  -1.144392E-16
   1.500   8.227555E-02   2.315158E-05   1.365347E-08   4.838360E-12  -6.050971E-15   8.646633E-02  -7.639598E-07  -4.264196E-09  -1.575205E-12   2.002685E-15
   1.600   8.154955E-02   2.234418E-05   1.570794E-08   6.091163E-12  -8.668767E-15   8.634774E-02  -2.368419E-07  -4.277313E-09  -1.667110E-12   2.403223E-15
   1.700   8.076724E-02   2.099819E-05   1.759295E-08   7.379893E-12  -8.683072E-15   8.601340E-02   2.520649E-07  -4.175955E-09  -1.678681E-12   3.004028E-15
   1.800   7.994730E-02   1.918559E-05   1.920813E-08   8.625941E-12  -1.306037E-14   8.548459E-02   6.820099E-07  -3.990351E-09  -1.615422E-12   5.378641E-15
   1.900   7.911020E-02   1.700299E-05   2.046465E-08   9.740155E-12  -1.816722E-14   8.479000E-02   1.043442E-06  -3.756324E-09  -1.510457E-12   8.768901E-15
   2.000   7.827688E-02   1.456567E-05   2.129219E-08   1.064439E-11  -2.513370E-14   8.396388E-02   1.338075E-06  -3.508548E-09  -1.392644E-12   9.584280E-15
   2.100   7.746736E-02   1.200058E-05   2.164411E-08   1.127075E-11  -3.397413E-14   8.304399E-02   1.577639E-06  -3.274074E-09  -1.326696E-12   9.140829E-15
   2.200   7.669932E-02   9.438797E-06   2.150023E-08   1.158238E-11  -4.423074E-14   8.206935E-02   1.781653E-06  -3.067503E-09  -1.359720E-12   1.765224E-14
   2.300   7.598669E-02   7.007918E-06   2.086695E-08   1.157740E-11  -5.327143E-14   8.107789E-02   1.974645E-06  -2.888448E-09  -1.530884E-12   2.108542E-14
   2.400   7.533843E-02   4.825174E-06   1.977470E-08   1.129503E-11  -6.617445E-14   8.010425E-02   2.183267E-06  -2.721907E-09  -1.857939E-12   2.121416E-14
   2.500   7.475740E-02   2.991559E-06   1.827327E-08   1.080883E-11  -8.245342E-14   7.917759E-02   2.433726E-06  -2.541415E-09  -2.339909E-12   1.989811E-14
   2.600   7.423968E-02   1.587433E-06   1.642549E-08   1.022245E-11  -9.248115E-14   7.831978E-02   2.749828E-06  -2.314641E-09  -2.940516E-12   2.516231E-14
   2.700   7.377409E-02   6.697846E-07   1.430023E-08   9.662697E-12  -1.069434E-13   7.754390E-02   3.151824E-06  -2.010402E-09  -3.584894E-12   2.662141E-14
   2.800   7.334225E-02   2.711902E-07   1.196568E-08   9.260387E-12  -1.207476E-13   7.685318E-02   3.656042E-06  -1.606075E-09  -4.163360E-12   2.580603E-14
   2.900   7.291895E-02   4.003405E-07   9.483723E-09   9.126175E-12  -1.311616E-13   7.624050E-02   4.275185E-06  -1.094068E-09  -4.562631E-12   2.005547E-14
   3.000   7.247309E-02   1.043886E-06   6.906124E-09   9.346350E-12  -1.411750E-13   7.568854E-02   5.019040E-06  -4.863692E-10  -4.645267E-12   1.154405E-14
   3.100   7.196895E-02   2.169249E-06   4.273028E-09   9.951924E-12  -1.460816E-13   7.517041E-02   5.895294E-06   1.839526E-10  -4.310144E-12   8.554328E-15
   3.200   7.136784E-02   3.728019E-06   1.613762E-09   1.092466E-11  -1.485563E-13   7.465106E-02   6.910129E-06   8.644744E-10  -3.452921E-12  -4.577567E-16
   3.300   7.063005E-02   5.659551E-06  -1.050190E-09   1.217790E-11  -1.469828E-13   7.408905E-02   8.068354E-06   1.488672E-09  -2.042238E-12  -1.007065E-14
   3.400   6.971693E-02   7.894451E-06  -3.700732E-09   1.357254E-11  -1.402595E-13   7.343893E-02   9.372913E-06   1.983832E-09  -8.033452E-14  -1.863928E-14
   3.500   6.859309E-02   1.035771E-05  -6.317924E-09   1.491630E-11  -1.300172E-13   7.265386E-02   1.082376E-05   2.280975E-09   2.343561E-12  -3.046943E-14
   3.600   6.722844E-02   1.297140E-05  -8.875004E-09   1.598781E-11  -1.172858E-13   7.168841E-02   1.241621E-05   2.325127E-09   5.080765E-12  -3.819407E-14
   3.700   6.560002E-02   1.565680E-05  -1.133453E-08   1.655684E-11  -1.009067E-13   7.050133E-02   1.413906E-05   2.084698E-09   7.923596E-12  -4.692006E-14
   3.800   6.369356E-02   1.833621E-05  -1.364645E-08   1.641179E-11  -8.152360E-14   6.905814E-02   1.597271E-05   1.558426E-09   1.062325E-11  -4.896566E-14
   3.900   6.150452E-02   2.093439E-05  -1.574851E-08   1.538133E-11  -6.212616E-14   6.733334E-02   1.788781E-05   7.788160E-10   1.290489E-11  -5.524551E-14
   4.000   5.903859E-02   2.337991E-05  -1.756935E-08   1.336163E-11  -4.259998E-14   6.531209E-02   1.984461E-05  -1.887205E-10   1.451113E-11  -5.802066E-14
   4.100   5.631177E-02   2.560643E-05  -1.903374E-08   1.033027E-11  -2.259458E-14   6.299127E-02   2.179342E-05  -1.250962E-09   1.521537E-11  -5.734833E-14
   4.200   5.334973E-02   2.755414E-05  -2.006965E-08   6.358174E-12  -8.826121E-15   6.037982E-02   2.367614E-05  -2.295869E-09   1.486794E-11  -6.059554E-14
   4.300   5.018676E-02   2.917125E-05  -2.061606E-08   1.603576E-12   4.777835E-15   5.749841E-02   2.542899E-05  -3.204303E-09   1.339628E-11  -5.238453E-14
   4.400   4.686425E-02   3.041561E-05  -2.063059E-08  -3.690497E-12   1.596426E-14   5.437837E-02   2.698614E-05  -3.863078E-09   1.084585E-11  -4.912301E-14
   4.500   4.342883E-02   3.125619E-05  -2.009585E-08  -9.218793E-12   2.062051E-14   5.106015E-02   2.828401E-05  -4.177648E-09   7.359678E-12  -4.299337E-14
   4.600   3.993030E-02   3.167448E-05  -1.902371E-08  -1.464248E-11   2.423965E-14   4.759119E-02   2.926569E-05  -4.082845E-09   3.178424E-12  -3.963171E-14
