 Z=  46 A=  86  Pd beta2= 0.00 nrho= 171
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.312025E-02  -3.878960E-16  -5.100087E-16  -9.006674E-16  -1.058562E-15   7.134030E-02  -3.723801E-16  -5.308254E-16  -7.505561E-16  -2.574881E-16
   0.100   7.325019E-02   2.735442E-14  -6.453171E-16  -1.063288E-15   1.001343E-15   7.145820E-02   2.335134E-14  -5.828671E-16  -1.175871E-15  -5.721958E-17
   0.200   7.363429E-02   1.107055E-13  -1.779826E-15  -4.753522E-16  -2.117125E-15   7.180674E-02   9.444491E-14  -2.040035E-15  -6.755005E-16  -1.416185E-15
   0.300   7.425559E-02   2.491533E-13  -6.276229E-15  -5.754264E-16  -2.016990E-15   7.237065E-02   2.145685E-13  -7.764622E-15  -8.381210E-16  -4.291469E-16
   0.400   7.508671E-02   4.424186E-13  -1.747560E-14  -8.506303E-16  -7.724644E-16   7.312534E-02   3.854910E-13  -2.235712E-14  -8.506303E-16  -1.373270E-15
   0.500   7.609111E-02   6.881274E-13  -3.927067E-14  -1.200890E-15  -2.145734E-16   7.403804E-02   6.077554E-13  -5.056372E-14  -9.882322E-16  -1.273136E-15
   0.600   7.722480E-02   9.828663E-13  -7.456535E-14  -1.951446E-15  -7.724644E-16   7.506944E-02   8.809428E-13  -9.710982E-14  -1.588677E-15  -1.602148E-15
   0.700   7.843834E-02   1.319762E-12  -1.244421E-13  -3.902892E-15  -1.788112E-15   7.617552E-02   1.201996E-12  -1.638065E-13  -4.015475E-15  -1.916856E-15
   0.800   7.967913E-02   1.689085E-12  -1.882557E-13  -7.855821E-15  -1.859636E-15   7.730969E-02   1.563810E-12  -2.509555E-13  -8.030951E-15  -5.006714E-16
   0.900   8.089386E-02   2.077509E-12  -2.621549E-13  -1.416049E-14  -1.358965E-15   7.842492E-02   1.955461E-12  -3.547579E-13  -1.488603E-14  -6.723301E-16
   1.000   8.203092E-02   2.468880E-12  -3.390725E-13  -2.451817E-14  -6.008056E-16   7.947602E-02   2.362597E-12  -4.685835E-13  -2.471832E-14  -4.992409E-15
   1.100   8.304273E-02   2.843557E-12  -4.097139E-13  -3.972944E-14  -2.460442E-15   8.042164E-02   2.765683E-12  -5.806085E-13  -4.155579E-14  -3.347346E-15
   1.200   8.388792E-02   3.180204E-12  -4.620471E-13  -6.102021E-14  -3.962456E-15   8.122614E-02   3.142609E-12  -6.777807E-13  -6.432266E-14  -2.531967E-15
   1.300   8.453315E-02   3.457798E-12  -4.844458E-13  -8.881581E-14  -6.980789E-15   8.186119E-02   3.471700E-12  -7.464654E-13  -9.373195E-14  -5.364336E-15
   1.400   8.495448E-02   3.654399E-12  -4.633793E-13  -1.246674E-13  -8.597243E-15   8.230691E-02   3.725617E-12  -7.682813E-13  -1.327108E-13  -5.736263E-15
   1.500   8.513839E-02   3.754290E-12  -3.894801E-13  -1.689252E-13  -1.253109E-14   8.255271E-02   3.887757E-12  -7.325598E-13  -1.804712E-13  -1.128656E-14
   1.600   8.508211E-02   3.743553E-12  -2.565032E-13  -2.196377E-13  -2.005547E-14   8.259751E-02   3.938990E-12  -6.295589E-13  -2.357622E-13  -1.842471E-14
   1.700   8.479352E-02   3.614833E-12  -6.070144E-14  -2.774055E-13  -2.792316E-14   8.244969E-02   3.867400E-12  -4.523257E-13  -2.988089E-13  -2.699334E-14
   1.800   8.429045E-02   3.368008E-12   1.941572E-13  -3.393640E-13  -3.765049E-14   8.212633E-02   3.668410E-12  -2.024422E-13  -3.668093E-13  -4.001080E-14
   1.900   8.359941E-02   3.011267E-12   4.994755E-13  -4.018227E-13  -5.710515E-14   8.165227E-02   3.347402E-12   1.134301E-13  -4.380371E-13  -5.468762E-14
   2.000   8.275389E-02   2.556995E-12   8.433879E-13  -4.651321E-13  -7.261165E-14   8.105854E-02   2.911252E-12   4.850807E-13  -5.101780E-13  -7.501488E-14
   2.100   8.179227E-02   2.029084E-12   1.205088E-12  -5.227874E-13  -9.511325E-14   8.038056E-02   2.385607E-12   8.888827E-13  -5.778782E-13  -9.929029E-14
   2.200   8.075542E-02   1.452857E-12   1.564457E-12  -5.736501E-13  -1.190310E-13   7.965608E-02   1.792669E-12   1.305091E-12  -6.401243E-13  -1.229077E-13
   2.300   7.968416E-02   8.594844E-13   1.896296E-12  -6.117408E-13  -1.502014E-13   7.892293E-02   1.165100E-12   1.704428E-12  -6.885602E-13  -1.604294E-13
   2.400   7.861672E-02   2.765233E-13   2.181526E-12  -6.373347E-13  -1.806279E-13   7.821666E-02   5.297728E-13   2.066409E-12  -7.248246E-13  -1.953477E-13
   2.500   7.758629E-02  -2.612712E-13   2.396312E-12  -6.451155E-13  -2.186790E-13   7.756835E-02  -7.179179E-14   2.362090E-12  -7.435134E-13  -2.350867E-13
   2.600   7.661887E-02  -7.280807E-13   2.522420E-12  -6.338572E-13  -2.572306E-13   7.700248E-02  -6.124877E-13   2.566405E-12  -7.397231E-13  -2.810626E-13
   2.700   7.573156E-02  -1.099670E-12   2.550668E-12  -6.040226E-13  -2.938941E-13   7.653517E-02  -1.060523E-12   2.668116E-12  -7.160556E-13  -3.244780E-13
   2.800   7.493131E-02  -1.365875E-12   2.478757E-12  -5.570878E-13  -3.297994E-13   7.617284E-02  -1.406961E-12   2.662932E-12  -6.729862E-13  -3.730860E-13
   2.900   7.421435E-02  -1.510203E-12   2.302700E-12  -4.915642E-13  -3.646032E-13   7.591131E-02  -1.622258E-12   2.537741E-12  -6.078379E-13  -4.163011E-13
   3.000   7.356621E-02  -1.539668E-12   2.037287E-12  -4.117301E-13  -3.978621E-13   7.573563E-02  -1.716114E-12   2.309517E-12  -5.250891E-13  -4.596020E-13
   3.100   7.296246E-02  -1.459265E-12   1.698266E-12  -3.239150E-13  -4.239685E-13   7.562036E-02  -1.688092E-12   1.993291E-12  -4.330709E-13  -4.995985E-13
   3.200   7.237006E-02  -1.279808E-12   1.299003E-12  -2.253920E-13  -4.455403E-13   7.553067E-02  -1.543314E-12   1.596005E-12  -3.238399E-13  -5.339446E-13
   3.300   7.174928E-02  -1.022230E-12   8.687634E-13  -1.268940E-13  -4.586865E-13   7.542391E-02  -1.303160E-12   1.153244E-12  -2.143088E-13  -5.581770E-13
   3.400   7.105605E-02  -7.150940E-13   4.330390E-13  -3.044756E-14  -4.627348E-13   7.525174E-02  -9.997475E-13   6.914989E-13  -1.035768E-13  -5.732544E-13
   3.500   7.024462E-02  -3.775004E-13   1.421779E-14   5.976929E-14  -4.601170E-13   7.496273E-02  -6.488879E-13   2.351869E-13   2.101557E-15  -5.802209E-13
   3.600   6.927033E-02  -3.438310E-14  -3.657907E-13   1.410920E-13  -4.498747E-13   7.450514E-02  -2.770818E-13  -1.918882E-13   1.013001E-13  -5.803067E-13
   3.700   6.809234E-02   2.888584E-13  -6.860762E-13   2.077790E-13  -4.297191E-13   7.382981E-02   8.448374E-14  -5.617798E-13   1.838988E-13  -5.645570E-13
   3.800   6.667617E-02   5.772978E-13  -9.368860E-13   2.604930E-13  -4.014097E-13   7.289299E-02   4.227290E-13  -8.667025E-13   2.549264E-13  -5.397667E-13
   3.900   6.499580E-02   8.140695E-13  -1.108197E-12   2.974079E-13  -3.660623E-13   7.165887E-02   7.136975E-13  -1.089556E-12   3.085536E-13  -5.077952E-13
   4.000   6.303533E-02   9.874590E-13  -1.196366E-12   3.188362E-13  -3.277681E-13   7.010168E-02   9.412528E-13  -1.223407E-12   3.452808E-13  -4.687571E-13
   4.100   6.078997E-02   1.094999E-12  -1.205786E-12   3.245155E-13  -2.846388E-13   6.820721E-02   1.101283E-12  -1.270963E-12   3.633943E-13  -4.223234E-13
   4.200   5.826644E-02   1.137427E-12  -1.142929E-12   3.145956E-13  -2.381479E-13   6.597373E-02   1.191337E-12  -1.236459E-12   3.628939E-13  -3.711835E-13
   4.300   5.548269E-02   1.121826E-12  -1.022921E-12   2.950561E-13  -1.931376E-13   6.341212E-02   1.219017E-12  -1.137715E-12   3.518607E-13  -3.165530E-13
   4.400   5.246694E-02   1.054325E-12  -8.576889E-13   2.664099E-13  -1.483418E-13   6.054541E-02   1.185969E-12  -9.831615E-13   3.280931E-13  -2.623661E-13
   4.500   4.925632E-02   9.441077E-13  -6.606798E-13   2.296327E-13  -1.056059E-13   5.740757E-02   1.098599E-12  -7.857673E-13   2.927544E-13  -2.083222E-13
   4.600   4.589497E-02   8.071960E-13  -4.508269E-13   1.901409E-13  -6.552358E-14   5.404183E-02   9.772651E-13  -5.687326E-13   2.533377E-13  -1.555014E-13
   4.700   4.243186E-02   6.528211E-13  -2.401933E-13   1.494420E-13  -3.117037E-14   5.049854E-02   8.286544E-13  -3.438500E-13   2.106186E-13  -1.086028E-13
   4.800   3.891857E-02   4.935355E-13  -4.160734E-14   1.088932E-13   1.144392E-16   4.683279E-02   6.669095E-13  -1.253372E-13   1.658604E-13  -6.518741E-14
   4.900   3.540693E-02   3.390055E-13   1.350742E-13   7.151549E-14   2.608498E-14   4.310187E-02   5.028450E-13   7.500250E-14   1.220279E-13  -2.589186E-14
   5.000   3.194692E-02   1.977494E-13   2.819411E-13   3.898514E-14   4.531791E-14   3.936285E-02   3.470117E-13   2.461364E-13   8.346184E-14   6.730454E-15
   5.100   2.858474E-02   7.473204E-14   3.965474E-13   1.108947E-14   5.980877E-14   3.567029E-02   2.047237E-13   3.861703E-13   4.807938E-14   3.237913E-14
   5.200   2.536130E-02  -2.555071E-14   4.761816E-13  -1.103317E-14   6.983293E-14   3.207431E-02   8.338212E-14   4.890411E-13   1.912667E-14   5.103272E-14
   5.300   2.231099E-02  -1.021369E-13   5.229411E-13  -2.741719E-14   7.438904E-14   2.861898E-02  -1.503873E-14   5.569763E-13  -4.053003E-15   6.435773E-14
   5.400   1.946104E-02  -1.554377E-13   5.393602E-13  -3.859735E-14   7.569436E-14   2.534119E-02  -9.015866E-14   5.914956E-13  -2.180991E-14   7.262596E-14
   5.500   1.683114E-02  -1.869465E-13   5.297065E-13  -4.478318E-14   7.388479E-14   2.227003E-02  -1.415277E-13   5.956277E-13  -3.346855E-14   7.660987E-14
   5.600   1.443355E-02  -2.000573E-13   4.997305E-13  -4.706925E-14   6.932153E-14   1.942652E-02  -1.725167E-13   5.758805E-13  -4.063636E-14   7.624867E-14
   5.700   1.227351E-02  -1.981179E-13   4.546780E-13  -4.607476E-14   6.295406E-14   1.682383E-02  -1.860039E-13   5.373176E-13  -4.370113E-14   7.304080E-14
   5.800   1.034991E-02  -1.850128E-13   4.000654E-13  -4.284425E-14   5.590175E-14   1.446773E-02  -1.854550E-13   4.856115E-13  -4.350724E-14   6.725089E-14
   5.900   8.656206E-03  -1.638608E-13   3.399989E-13  -3.745588E-14   4.820392E-14   1.235743E-02  -1.736824E-13   4.246759E-13  -3.987329E-14   6.003050E-14
   6.000   7.181372E-03  -1.383412E-13   2.796890E-13  -3.155150E-14   4.009841E-14   1.048655E-02  -1.548190E-13   3.614270E-13  -3.551538E-14   5.199114E-14
   6.100   5.910976E-03  -1.113484E-13   2.219162E-13  -2.520305E-14   3.253202E-14   8.844102E-03  -1.321426E-13   2.984436E-13  -2.965791E-14   4.344755E-14
   6.200   4.828199E-03  -8.472036E-14   1.690432E-13  -1.893825E-14   2.531430E-14   7.415675E-03  -1.074986E-13   2.388558E-13  -2.346739E-14   3.487891E-14
   6.300   3.914794E-03  -6.049044E-14   1.228197E-13  -1.315350E-14   1.876266E-14   6.184431E-03  -8.372153E-14   1.850122E-13  -1.716663E-14   2.674300E-14
   6.400   3.151940E-03  -3.911931E-14   8.370713E-14  -7.996550E-15   1.311759E-14   5.132097E-03  -6.120028E-14   1.377290E-13  -1.127554E-14   1.943767E-14
   6.500   2.520958E-03  -2.181575E-14   5.237477E-14  -3.795781E-15   8.418431E-15   4.239816E-03  -4.212356E-14   9.849413E-14  -6.144397E-15   1.275818E-14
   6.600   2.003892E-03  -8.141451E-15   2.795127E-14  -3.189864E-16   4.468939E-15   3.488851E-03  -2.597109E-14   6.635512E-14  -1.602750E-15   7.097464E-15
   6.700   1.583933E-03   1.571706E-15   1.025579E-14   2.098039E-15   1.562139E-15   2.861151E-03  -1.381104E-14   4.182657E-14   1.712597E-15   2.542248E-15
   6.800   1.245715E-03   8.228970E-15  -1.994498E-15   3.862628E-15  -7.505600E-16   2.339767E-03  -4.561172E-15   2.348187E-14   4.396617E-15  -1.265536E-15
   6.900   9.754813E-04   1.207859E-14  -9.683010E-15   5.056676E-15  -2.497546E-15   1.909128E-03   1.652679E-15   1.056447E-14   6.472374E-15  -4.278952E-15
   7.000   7.611485E-04   1.370485E-14  -1.370844E-14   5.636403E-15  -3.615339E-15   1.555206E-03   5.300841E-15   2.301544E-15   7.742456E-15  -6.432733E-15
   7.100   5.922895E-04   1.363624E-14  -1.502851E-14   5.830590E-15  -4.339860E-15   1.265575E-03   6.821150E-15  -2.330330E-15   8.512558E-15  -8.068408E-15
   7.200   4.600500E-04   1.244625E-14  -1.444483E-14   5.695431E-15  -4.674907E-15   1.029397E-03   6.828908E-15  -4.202368E-15   8.777598E-15  -8.959782E-15
   7.300   3.570244E-04   1.052041E-14  -1.261141E-14   5.320593E-15  -4.738329E-15   8.373490E-04   5.692616E-15  -4.053073E-15   8.635696E-15  -9.426033E-15
   7.400   2.771044E-04   8.175938E-15  -1.007332E-14   4.854769E-15  -4.681445E-15   6.815077E-04   3.748530E-15  -2.558988E-15   8.315243E-15  -9.673351E-15
   7.500   2.153170E-04   5.710283E-15  -7.213224E-15   4.246848E-15  -4.415771E-15   5.552141E-04   1.379819E-15  -2.130457E-16   7.674534E-15  -9.466712E-15
   7.600   1.676613E-04   3.358846E-15  -4.392035E-15   3.659083E-15  -4.100281E-15   4.529269E-04  -1.066290E-15   2.435958E-15   6.997275E-15  -9.110878E-15
   7.700   1.309538E-04   1.170082E-15  -1.736119E-15   3.055120E-15  -3.715697E-15   3.700742E-04  -3.536460E-15   5.200267E-15   6.207920E-15  -8.580367E-15
   7.800   1.026857E-04  -7.415025E-16   6.107175E-16   2.488001E-15  -3.313916E-15   3.029124E-04  -5.813651E-15   7.808126E-15   5.404151E-15  -7.956875E-15
   7.900   8.089766E-05  -2.323876E-15   2.569640E-15   1.985675E-15  -2.929235E-15   2.483961E-04  -7.772102E-15   1.007365E-14   4.640304E-15  -7.294268E-15
   8.000   6.407076E-05  -3.607629E-15   4.159515E-15   1.530077E-15  -2.559892E-15   2.040615E-04  -9.418629E-15   1.197195E-14   3.897077E-15  -6.605901E-15
   8.100   5.103518E-05  -4.571846E-15   5.359696E-15   1.143401E-15  -2.214772E-15   1.679237E-04  -1.066887E-14   1.340371E-14   3.225559E-15  -5.920104E-15
   8.200   4.089479E-05  -5.256657E-15   6.215131E-15   8.150387E-16  -1.900030E-15   1.383900E-04  -1.155221E-14   1.439555E-14   2.613484E-15  -5.254814E-15
   8.300   3.296595E-05  -5.686540E-15   6.753153E-15   5.506155E-16  -1.619680E-15   1.141849E-04  -1.206300E-14   1.493654E-14   2.091393E-15  -4.634116E-15
   8.400   2.672887E-05  -5.909235E-15   7.034808E-15   3.326195E-16  -1.371936E-15   9.428938E-05  -1.226150E-14   1.510202E-14   1.630432E-15  -4.050269E-15
   8.500   2.178919E-05  -5.949661E-15   7.091429E-15   1.636802E-16  -1.153304E-15   7.788949E-05  -1.216627E-14   1.491651E-14   1.245711E-15  -3.512816E-15
   8.600   1.784815E-05  -5.844838E-15   6.970079E-15   3.466314E-17  -9.654862E-16   6.433517E-05  -1.182914E-14   1.444470E-14   9.266876E-16  -3.029509E-15
   8.700   1.467957E-05  -5.627942E-15   6.711952E-15  -6.281510E-17  -8.014968E-16   5.310662E-05  -1.129946E-14   1.374860E-14   6.617941E-16  -2.588418E-15
   8.800   1.211222E-05  -5.324433E-15   6.348387E-15  -1.312954E-16  -6.614565E-16   4.378731E-05  -1.061873E-14   1.287772E-14   4.507979E-16  -2.197073E-15
   8.900   1.001633E-05  -4.959714E-15   5.910743E-15  -1.760490E-16  -5.432368E-16   3.604234E-05  -9.830950E-15   1.188591E-14   2.870108E-16  -1.853797E-15
   9.000   8.293386E-06  -4.555938E-15   5.426128E-15  -2.025457E-16  -4.428127E-16   2.960129E-05  -8.977231E-15   1.082229E-14   1.614844E-16  -1.551096E-15
   9.100   6.868365E-06  -4.130767E-15   4.916582E-15  -2.143800E-16  -3.590386E-16   2.424461E-05  -8.090938E-15   9.728048E-15   6.893536E-17  -1.289997E-15
   9.200   5.683840E-06  -3.700358E-15   4.401065E-15  -2.155108E-16  -2.889940E-16   1.979295E-05  -7.203414E-15   8.639088E-15   2.211111E-18  -1.064950E-15
   9.300   4.695552E-06  -3.276548E-15   3.894320E-15  -2.087698E-16  -2.309476E-16   1.609878E-05  -6.337849E-15   7.583361E-15  -4.337320E-17  -8.727069E-16
   9.400   3.869062E-06  -2.869004E-15   3.407595E-15  -1.962636E-16  -1.832317E-16   1.303984E-05  -5.513051E-15   6.582081E-15  -7.197105E-17  -7.102961E-16
   9.500   3.177245E-06  -2.485291E-15   2.949694E-15  -1.799437E-16  -1.445001E-16   1.051417E-05  -4.743352E-15   5.651173E-15  -8.740760E-17  -5.739805E-16
   9.600   2.598421E-06  -2.130495E-15   2.526911E-15  -1.618982E-16  -1.129553E-16   8.436102E-06  -4.037980E-15   4.801399E-15  -9.399970E-17  -4.603271E-16
   9.700   2.114985E-06  -1.807612E-15   2.142598E-15  -1.430160E-16  -8.766726E-17   6.733345E-06  -3.401844E-15   4.037576E-15  -9.370957E-17  -3.665830E-16
   9.800   1.712401E-06  -1.518402E-15   1.798681E-15  -1.243693E-16  -6.752175E-17   5.344598E-06  -2.837174E-15   3.361503E-15  -8.901554E-17  -2.898907E-16
   9.900   1.378475E-06  -1.262888E-15   1.495149E-15  -1.065651E-16  -5.163501E-17   4.217765E-06  -2.342845E-15   2.771279E-15  -8.154464E-17  -2.275442E-16
  10.000   1.102847E-06  -1.040246E-15   1.230882E-15  -9.009628E-17  -3.913983E-17   3.308529E-06  -1.916013E-15   2.262857E-15  -7.261850E-17  -1.773269E-16
  10.100   8.766156E-07  -8.486922E-16   1.003693E-15  -7.520641E-17  -2.938161E-17   2.579217E-06  -1.552087E-15   1.830331E-15  -6.317280E-17  -1.371678E-16
  10.200   6.920890E-07  -6.859070E-16   8.107792E-16  -6.202277E-17  -2.191496E-17   1.997876E-06  -1.245573E-15   1.466816E-15  -5.387712E-17  -1.053462E-16
  10.300   5.425957E-07  -5.492164E-16   6.489037E-16  -5.057382E-17  -1.620236E-17   1.537498E-06  -9.904451E-16   1.164829E-15  -4.515141E-17  -8.031814E-17
  10.400   4.223524E-07  -4.357484E-16   5.146103E-16  -4.078015E-17  -1.187669E-17   1.175370E-06  -7.804808E-16   9.167310E-16  -3.724397E-17  -6.078599E-17
  10.500   3.263599E-07  -3.426010E-16   4.044360E-16  -3.253319E-17  -8.636066E-18   8.924930E-07  -6.095604E-16   7.151125E-16  -3.028100E-17  -4.566234E-17
  10.600   2.503199E-07  -2.669668E-16   3.150258E-16  -2.569100E-17  -6.219976E-18   6.730855E-07  -4.719071E-16   5.529892E-16  -2.429340E-17  -3.406548E-17
  10.700   1.905618E-07  -2.061989E-16   2.432256E-16  -2.008317E-17  -4.437239E-18   5.041297E-07  -3.621840E-16   4.239475E-16  -1.924682E-17  -2.522969E-17
  10.800   1.439774E-07  -1.578804E-16   1.861633E-16  -1.554978E-17  -3.139892E-18   3.749719E-07  -2.756074E-16   3.222688E-16  -1.507427E-17  -1.854779E-17
