 Z=  63 A= 128  Eu beta2= 0.42 nrho= 191
   r[fm]   rhon0[fm-3]    rhon2          rhon4          rhon6          rhon8          rhop0[fm-3]    rhop2          rhop4          rhop6          rhop8        
   0.000   7.768215E-02  -3.878960E-16  -6.869505E-16  -5.378986E-16  -1.502014E-15   7.090766E-02  -3.413484E-16  -6.661338E-16  -7.505561E-17  -3.032638E-15
   0.100   7.771973E-02  -3.862460E-05  -3.297878E-08  -1.434851E-12   1.044257E-15   7.093643E-02  -2.998404E-05  -1.306385E-08   3.566518E-12   2.031295E-15
   0.200   7.783115E-02  -1.520890E-04  -5.222963E-07  -9.166830E-11   1.866074E-13   7.102167E-02  -1.182028E-04  -2.067794E-07   2.265717E-10   5.604086E-13
   0.300   7.801246E-02  -3.333047E-04  -2.599368E-06  -1.041872E-09   4.689917E-12   7.116024E-02  -2.595539E-04  -1.028122E-06   2.548153E-09   1.417866E-11
   0.400   7.825734E-02  -5.709134E-04  -8.020536E-06  -5.832443E-09   4.527026E-11   7.134704E-02  -4.458522E-04  -3.168085E-06   1.406515E-08   1.389299E-10
   0.500   7.855728E-02  -8.499423E-04  -1.898359E-05  -2.212156E-08   2.582231E-10   7.157531E-02  -6.662875E-04  -7.485334E-06   5.244858E-08   8.077865E-10
   0.600   7.890202E-02  -1.152664E-03  -3.789120E-05  -6.549445E-08   1.051472E-09   7.183685E-02  -9.080241E-04  -1.490810E-05   1.523455E-07   3.369494E-09
   0.700   7.927993E-02  -1.459608E-03  -6.707966E-05  -1.631678E-07   3.380730E-09   7.212249E-02  -1.156907E-03  -2.632214E-05   3.719151E-07   1.115741E-08
   0.800   7.967853E-02  -1.750671E-03  -1.085343E-04  -3.576024E-07   9.112438E-09   7.242242E-02  -1.398233E-03  -4.245352E-05   7.985659E-07   3.115539E-08
   0.900   8.008501E-02  -2.006244E-03  -1.636142E-04  -7.092237E-07   2.139425E-08   7.272665E-02  -1.617539E-03  -6.375545E-05   1.553068E-06   7.627874E-08
