 Z=  25 A=  40  Mn beta2= 0.34 nrho= 200
   r[fm]    rhon0[fm-3]    rhop0[fm-3]
   0.000   7.353470E-02   9.292031E-02
   0.100   7.351361E-02   9.282087E-02
   0.200   7.348061E-02   9.265981E-02
   0.300   7.342498E-02   9.238095E-02
   0.400   7.335157E-02   9.200526E-02
   0.500   7.326564E-02   9.155399E-02
   0.600   7.316960E-02   9.103508E-02
   0.700   7.306803E-02   9.048028E-02
   0.800   7.296080E-02   8.990358E-02
   0.900   7.285041E-02   8.932822E-02
   1.000   7.273299E-02   8.877484E-02
   1.100   7.260318E-02   8.826772E-02
   1.200   7.245817E-02   8.780750E-02
   1.300   7.228330E-02   8.741275E-02
   1.400   7.207582E-02   8.707048E-02
   1.500   7.181135E-02   8.678854E-02
   1.600   7.148248E-02   8.654481E-02
   1.700   7.106945E-02   8.632309E-02
   1.800   7.054147E-02   8.609201E-02
   1.900   6.990881E-02   8.582880E-02
   2.000   6.910226E-02   8.547577E-02
   2.100   6.815033E-02   8.501963E-02
   2.200   6.703706E-02   8.443733E-02
   2.300   6.572952E-02   8.367280E-02
   2.400   6.425646E-02   8.273974E-02
   2.500   6.249673E-02   8.149797E-02
   2.600   6.054960E-02   8.002776E-02
   2.700   5.840612E-02   7.830890E-02
   2.800   5.604890E-02   7.630667E-02
   2.900   5.353644E-02   7.407503E-02
   3.000   5.073678E-02   7.145573E-02
   3.100   4.780341E-02   6.860899E-02
   3.200   4.474650E-02   6.553545E-02
   3.300   4.156833E-02   6.223227E-02
   3.400   3.835437E-02   5.878648E-02
   3.500   3.499447E-02   5.506224E-02
   3.600   3.167026E-02   5.126317E-02
   3.700   2.840558E-02   4.741012E-02
   3.800   2.522371E-02   4.352946E-02
   3.900   2.220204E-02   3.971375E-02
   4.000   1.927302E-02   3.587803E-02
   4.100   1.657279E-02   3.219981E-02
   4.200   1.410654E-02   2.869579E-02
   4.300   1.188097E-02   2.539208E-02
   4.400   9.916846E-03   2.233530E-02
   4.500   8.169758E-03   1.948127E-02
   4.600   6.675690E-03   1.690620E-02
   4.700   5.408885E-03   1.459689E-02
   4.800   4.348533E-03   1.254850E-02
   4.900   3.474099E-03   1.075093E-02
   5.000   2.752768E-03   9.174091E-03
   5.100   2.171403E-03   7.814560E-03
   5.200   1.705429E-03   6.646671E-03
   5.300   1.334817E-03   5.649900E-03
   5.400   1.042042E-03   4.801612E-03
   5.500   8.109518E-04   4.082463E-03
   5.600   6.301012E-04   3.473863E-03
   5.700   4.889210E-04   2.959566E-03
   5.800   3.789541E-04   2.525483E-03
   5.900   2.934888E-04   2.158481E-03
   6.000   2.270554E-04   1.849614E-03
   6.100   1.755857E-04   1.588120E-03
   6.200   1.357627E-04   1.366886E-03
   6.300   1.049790E-04   1.179564E-03
   6.400   8.119930E-05   1.020414E-03
   6.500   6.284772E-05   8.860858E-04
   6.600   4.867636E-05   7.714700E-04
   6.700   3.773804E-05   6.737192E-04
   6.800   2.928544E-05   5.901952E-04
   6.900   2.274565E-05   5.184475E-04
   7.000   1.767936E-05   4.572258E-04
   7.100   1.374453E-05   4.042921E-04
   7.200   1.068898E-05   3.585333E-04
   7.300   8.312438E-06   3.188826E-04
   7.400   6.464509E-06   2.843457E-04
   7.500   5.026698E-06   2.544938E-04
   7.600   3.909653E-06   2.283494E-04
   7.700   3.042789E-06   2.054715E-04
   7.800   2.370866E-06   1.854312E-04
   7.900   1.849748E-06   1.677817E-04
   8.000   1.446454E-06   1.523822E-04
   8.100   1.132902E-06   1.387292E-04
   8.200   8.890450E-07   1.266338E-04
   8.300   6.985780E-07   1.158745E-04
   8.400   5.493954E-07   1.062448E-04
   8.500   4.319773E-07   9.765925E-05
   8.600   3.393145E-07   8.988278E-05
   8.700   2.662034E-07   8.283221E-05
   8.800   2.084626E-07   7.639507E-05
   8.900   1.632231E-07   7.049074E-05
   9.000   1.279813E-07   6.504971E-05
   9.100   1.003486E-07   6.002865E-05
   9.200   7.868218E-08   5.539517E-05
   9.300   6.169377E-08   5.111933E-05
   9.400   4.837336E-08   4.717353E-05
   9.500   3.792898E-08   4.353231E-05
   9.600   3.002094E-08   4.023161E-05
   9.700   2.386430E-08   3.720636E-05
   9.800   1.897025E-08   3.440860E-05
   9.900   1.507986E-08   3.182122E-05
  10.000   1.198731E-08   2.942839E-05
  10.100   9.528976E-09   2.721550E-05
  10.200   7.574790E-09   2.516901E-05
  10.300   6.021366E-09   2.327641E-05
  10.400   4.753366E-09   2.154257E-05
  10.500   3.722502E-09   1.995543E-05
  10.600   2.915202E-09   1.848522E-05
  10.700   2.282982E-09   1.712333E-05
  10.800   1.787871E-09   1.586177E-05
  10.900   1.400135E-09   1.469316E-05
  11.000   1.096487E-09   1.361065E-05
  11.100   8.586920E-10   1.260789E-05
  11.200   6.763573E-10   1.167416E-05
  11.300   5.522833E-10   1.078160E-05
  11.400   4.509701E-10   9.957279E-06
  11.500   3.682422E-10   9.195984E-06
  11.600   3.006902E-10   8.492895E-06
  11.700   2.455303E-10   7.843562E-06
  11.800   2.004892E-10   7.243874E-06
  11.900   1.637105E-10   6.690036E-06
  12.000   1.336788E-10   6.178542E-06
  12.100   1.009213E-10   5.717233E-06
